"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Croatia (HR)","Generation - Solar  [MW] Intraday / Croatia (HR)","Generation - Solar  [MW] Current / Croatia (HR)","Generation - Wind Offshore  [MW] Day Ahead/ Croatia (HR)","Generation - Wind Offshore  [MW] Intraday / Croatia (HR)","Generation - Wind Offshore  [MW] Current / Croatia (HR)","Generation - Wind Onshore  [MW] Day Ahead/ Croatia (HR)","Generation - Wind Onshore  [MW] Intraday / Croatia (HR)","Generation - Wind Onshore  [MW] Current / Croatia (HR)"
"10.01.2022 01:00 - 10.01.2022 02:00","0","0","0","n/e","n/e","n/e","710","753","753"
"10.01.2022 02:00 - 10.01.2022 03:00","0","0","0","n/e","n/e","n/e","734","753","753"
"10.01.2022 03:00 - 10.01.2022 04:00","0","0","0","n/e","n/e","n/e","755","765","765"
"10.01.2022 04:00 - 10.01.2022 05:00","0","0","0","n/e","n/e","n/e","772","774","774"
"10.01.2022 05:00 - 10.01.2022 06:00","0","0","0","n/e","n/e","n/e","774","775","775"
"10.01.2022 06:00 - 10.01.2022 07:00","0","0","0","n/e","n/e","n/e","774","771","771"
"10.01.2022 07:00 - 10.01.2022 08:00","0","0","0","n/e","n/e","n/e","779","774","774"
"10.01.2022 08:00 - 10.01.2022 09:00","1","1","1","n/e","n/e","n/e","787","776","776"
"10.01.2022 09:00 - 10.01.2022 10:00","6","6","6","n/e","n/e","n/e","798","805","754"
"10.01.2022 10:00 - 10.01.2022 11:00","9","9","9","n/e","n/e","n/e","799","799","774"
"10.01.2022 11:00 - 10.01.2022 12:00","11","11","11","n/e","n/e","n/e","789","790","745"
"10.01.2022 12:00 - 10.01.2022 13:00","11","11","11","n/e","n/e","n/e","775","777","685"
"10.01.2022 13:00 - 10.01.2022 14:00","10","10","10","n/e","n/e","n/e","752","754","668"
"10.01.2022 14:00 - 10.01.2022 15:00","6","6","6","n/e","n/e","n/e","733","735","640"
"10.01.2022 15:00 - 10.01.2022 16:00","2","2","2","n/e","n/e","n/e","713","716","621"
"10.01.2022 16:00 - 10.01.2022 17:00","0","0","0","n/e","n/e","n/e","701","704","581"
"10.01.2022 17:00 - 10.01.2022 18:00","0","0","0","n/e","n/e","n/e","689","692","610"
"10.01.2022 18:00 - 10.01.2022 19:00","0","0","0","n/e","n/e","n/e","676","678","582"
"10.01.2022 19:00 - 10.01.2022 20:00","0","0","0","n/e","n/e","n/e","666","666","563"
"10.01.2022 20:00 - 10.01.2022 21:00","0","0","0","n/e","n/e","n/e","655","650","534"
"10.01.2022 21:00 - 10.01.2022 22:00","0","0","0","n/e","n/e","n/e","648","640","545"
"10.01.2022 22:00 - 10.01.2022 23:00","0","0","0","n/e","n/e","n/e","639","634","509"
"10.01.2022 23:00 - 11.01.2022 00:00","0","0","0","n/e","n/e","n/e","637","631","526"
"11.01.2022 00:00 - 11.01.2022 01:00","0","0","0","n/e","n/e","n/e","598","500","500"
"11.01.2022 01:00 - 11.01.2022 02:00","0","0","0","n/e","n/e","n/e","594","506","506"
"11.01.2022 02:00 - 11.01.2022 03:00","0","0","0","n/e","n/e","n/e","601","518","518"
"11.01.2022 03:00 - 11.01.2022 04:00","0","0","0","n/e","n/e","n/e","606","525","525"
"11.01.2022 04:00 - 11.01.2022 05:00","0","0","0","n/e","n/e","n/e","592","511","511"
"11.01.2022 05:00 - 11.01.2022 06:00","0","0","0","n/e","n/e","n/e","594","513","513"
"11.01.2022 06:00 - 11.01.2022 07:00","0","0","0","n/e","n/e","n/e","592","555","555"
"11.01.2022 07:00 - 11.01.2022 08:00","0","0","0","n/e","n/e","n/e","590","548","548"
"11.01.2022 08:00 - 11.01.2022 09:00","4","4","4","n/e","n/e","n/e","595","555","555"
"11.01.2022 09:00 - 11.01.2022 10:00","10","10","10","n/e","n/e","n/e","616","585","555"
"11.01.2022 10:00 - 11.01.2022 11:00","17","17","17","n/e","n/e","n/e","626","587","598"
"11.01.2022 11:00 - 11.01.2022 12:00","21","21","21","n/e","n/e","n/e","641","603","622"
"11.01.2022 12:00 - 11.01.2022 13:00","20","20","20","n/e","n/e","n/e","659","642","597"
"11.01.2022 13:00 - 11.01.2022 14:00","17","17","17","n/e","n/e","n/e","683","668","613"
"11.01.2022 14:00 - 11.01.2022 15:00","12","12","12","n/e","n/e","n/e","691","694","614"
"11.01.2022 15:00 - 11.01.2022 16:00","4","4","4","n/e","n/e","n/e","689","691","635"
