"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Italy (IT)","Generation - Solar  [MW] Intraday / Italy (IT)","Generation - Solar  [MW] Current / Italy (IT)","Generation - Wind Offshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Offshore  [MW] Intraday / Italy (IT)","Generation - Wind Offshore  [MW] Current / Italy (IT)","Generation - Wind Onshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Onshore  [MW] Intraday / Italy (IT)","Generation - Wind Onshore  [MW] Current / Italy (IT)"
"06.01.2022 21:00 - 06.01.2022 22:00","0","N/A","0","N/A","n/e","n/e","1063","1075","n/e"
"06.01.2022 22:00 - 06.01.2022 23:00","0","N/A","0","N/A","n/e","n/e","1102","1128","n/e"
"06.01.2022 23:00 - 07.01.2022 00:00","0","N/A","0","N/A","n/e","n/e","1252","1262","n/e"
"07.01.2022 00:00 - 07.01.2022 01:00","0","N/A","0","N/A","n/e","n/e","1419","1419","n/e"
"07.01.2022 01:00 - 07.01.2022 02:00","0","N/A","0","N/A","n/e","n/e","1539","1539","n/e"
"07.01.2022 02:00 - 07.01.2022 03:00","0","N/A","0","N/A","n/e","n/e","1660","1660","n/e"
"07.01.2022 03:00 - 07.01.2022 04:00","0","N/A","0","N/A","n/e","n/e","1885","1885","n/e"
"07.01.2022 04:00 - 07.01.2022 05:00","0","N/A","0","N/A","n/e","n/e","2064","2064","n/e"
"07.01.2022 05:00 - 07.01.2022 06:00","0","N/A","0","N/A","n/e","n/e","2209","2209","n/e"
"07.01.2022 06:00 - 07.01.2022 07:00","0","N/A","0","N/A","n/e","n/e","2387","2387","n/e"
"07.01.2022 07:00 - 07.01.2022 08:00","8","N/A","0","N/A","n/e","n/e","2637","2637","n/e"
"07.01.2022 08:00 - 07.01.2022 09:00","692","N/A","689","N/A","n/e","n/e","2652","2744","n/e"
"07.01.2022 09:00 - 07.01.2022 10:00","2415","N/A","2425","N/A","n/e","n/e","2735","2765","n/e"
"07.01.2022 10:00 - 07.01.2022 11:00","4136","N/A","4155","N/A","n/e","n/e","2823","2784","n/e"
"07.01.2022 11:00 - 07.01.2022 12:00","5194","N/A","5248","N/A","n/e","n/e","2800","2764","n/e"
"07.01.2022 12:00 - 07.01.2022 13:00","5455","N/A","5517","N/A","n/e","n/e","2844","2723","n/e"
"07.01.2022 13:00 - 07.01.2022 14:00","4957","N/A","5003","N/A","n/e","n/e","2881","2694","n/e"
"07.01.2022 14:00 - 07.01.2022 15:00","3723","N/A","3743","N/A","n/e","n/e","2884","2755","n/e"
"07.01.2022 15:00 - 07.01.2022 16:00","1971","N/A","1968","N/A","n/e","n/e","2866","2789","n/e"
"07.01.2022 16:00 - 07.01.2022 17:00","413","N/A","407","N/A","n/e","n/e","2846","2768","n/e"
"07.01.2022 17:00 - 07.01.2022 18:00","0","N/A","0","N/A","n/e","n/e","2867","2770","n/e"
"07.01.2022 18:00 - 07.01.2022 19:00","0","N/A","0","N/A","n/e","n/e","2857","2769","n/e"
"07.01.2022 19:00 - 07.01.2022 20:00","0","N/A","0","N/A","n/e","n/e","2844","2750","n/e"
"07.01.2022 20:00 - 07.01.2022 21:00","0","N/A","0","N/A","n/e","n/e","2720","2566","n/e"
"07.01.2022 21:00 - 07.01.2022 22:00","0","N/A","0","N/A","n/e","n/e","2666","2418","n/e"
"07.01.2022 22:00 - 07.01.2022 23:00","0","N/A","0","N/A","n/e","n/e","2741","2520","n/e"
"07.01.2022 23:00 - 08.01.2022 00:00","0","N/A","0","N/A","n/e","n/e","2997","2826","n/e"
"08.01.2022 00:00 - 08.01.2022 01:00","0","N/A","0","N/A","n/e","n/e","2328","2328","n/e"
"08.01.2022 01:00 - 08.01.2022 02:00","0","N/A","0","N/A","n/e","n/e","2360","2360","n/e"
"08.01.2022 02:00 - 08.01.2022 03:00","0","N/A","0","N/A","n/e","n/e","2382","2382","n/e"
"08.01.2022 03:00 - 08.01.2022 04:00","0","N/A","0","N/A","n/e","n/e","2369","2369","n/e"
"08.01.2022 04:00 - 08.01.2022 05:00","0","N/A","0","N/A","n/e","n/e","2473","2473","n/e"
"08.01.2022 05:00 - 08.01.2022 06:00","0","N/A","0","N/A","n/e","n/e","2601","2601","n/e"
"08.01.2022 06:00 - 08.01.2022 07:00","0","N/A","0","N/A","n/e","n/e","2736","2736","n/e"
"08.01.2022 07:00 - 08.01.2022 08:00","0","N/A","0","N/A","n/e","n/e","2785","2785","n/e"
"08.01.2022 08:00 - 08.01.2022 09:00","745","N/A","743","N/A","n/e","n/e","2718","2715","n/e"
"08.01.2022 09:00 - 08.01.2022 10:00","2561","N/A","2559","N/A","n/e","n/e","2681","2676","n/e"
"08.01.2022 10:00 - 08.01.2022 11:00","4371","N/A","4369","N/A","n/e","n/e","2654","2608","n/e"
"08.01.2022 11:00 - 08.01.2022 12:00","5534","N/A","5531","N/A","n/e","n/e","2781","2722","n/e"
"08.01.2022 12:00 - 08.01.2022 13:00","5878","N/A","5876","N/A","n/e","n/e","2964","2914","n/e"
"08.01.2022 13:00 - 08.01.2022 14:00","5472","N/A","5470","N/A","n/e","n/e","3297","3234","n/e"
"08.01.2022 14:00 - 08.01.2022 15:00","4277","N/A","4275","N/A","n/e","n/e","3453","3395","n/e"
"08.01.2022 15:00 - 08.01.2022 16:00","2353","N/A","2353","N/A","n/e","n/e","3607","3560","n/e"
"08.01.2022 16:00 - 08.01.2022 17:00","515","N/A","512","N/A","n/e","n/e","3580","3506","n/e"
"08.01.2022 17:00 - 08.01.2022 18:00","0","N/A","0","N/A","n/e","n/e","3536","3387","n/e"
"08.01.2022 18:00 - 08.01.2022 19:00","0","N/A","0","N/A","n/e","n/e","3391","3258","n/e"
"08.01.2022 19:00 - 08.01.2022 20:00","0","N/A","0","N/A","n/e","n/e","3378","3343","n/e"
"08.01.2022 20:00 - 08.01.2022 21:00","0","N/A","0","N/A","n/e","n/e","3379","3270","n/e"
"08.01.2022 21:00 - 08.01.2022 22:00","0","N/A","0","N/A","n/e","n/e","3204","3080","n/e"
"08.01.2022 22:00 - 08.01.2022 23:00","0","N/A","0","N/A","n/e","n/e","3039","2945","n/e"
"08.01.2022 23:00 - 09.01.2022 00:00","0","N/A","0","N/A","n/e","n/e","2959","2848","n/e"
"09.01.2022 00:00 - 09.01.2022 01:00","0","N/A","0","N/A","n/e","n/e","2577","2577","n/e"
"09.01.2022 01:00 - 09.01.2022 02:00","0","N/A","0","N/A","n/e","n/e","2597","2597","n/e"
"09.01.2022 02:00 - 09.01.2022 03:00","0","N/A","0","N/A","n/e","n/e","2566","2566","n/e"
"09.01.2022 03:00 - 09.01.2022 04:00","0","N/A","0","N/A","n/e","n/e","2534","2534","n/e"
"09.01.2022 04:00 - 09.01.2022 05:00","0","N/A","0","N/A","n/e","n/e","2577","2577","n/e"
"09.01.2022 05:00 - 09.01.2022 06:00","0","N/A","0","N/A","n/e","n/e","2620","2620","n/e"
"09.01.2022 06:00 - 09.01.2022 07:00","0","N/A","0","N/A","n/e","n/e","2794","2794","n/e"
"09.01.2022 07:00 - 09.01.2022 08:00","46","N/A","46","N/A","n/e","n/e","3167","3167","n/e"
"09.01.2022 08:00 - 09.01.2022 09:00","772","N/A","772","N/A","n/e","n/e","3444","3464","n/e"
"09.01.2022 09:00 - 09.01.2022 10:00","1992","N/A","1992","N/A","n/e","n/e","3694","3709","n/e"
"09.01.2022 10:00 - 09.01.2022 11:00","2959","N/A","2959","N/A","n/e","n/e","3971","3992","n/e"
"09.01.2022 11:00 - 09.01.2022 12:00","3433","N/A","3433","N/A","n/e","n/e","4111","4126","n/e"
"09.01.2022 12:00 - 09.01.2022 13:00","3458","N/A","3458","N/A","n/e","n/e","4079","4084","n/e"
"09.01.2022 13:00 - 09.01.2022 14:00","3075","N/A","3075","N/A","n/e","n/e","4028","4018","n/e"
"09.01.2022 14:00 - 09.01.2022 15:00","2289","N/A","2289","N/A","n/e","n/e","3977","3950","n/e"
"09.01.2022 15:00 - 09.01.2022 16:00","1189","N/A","1189","N/A","n/e","n/e","3937","3931","n/e"
"09.01.2022 16:00 - 09.01.2022 17:00","184","N/A","184","N/A","n/e","n/e","3954","3947","n/e"
"09.01.2022 17:00 - 09.01.2022 18:00","0","N/A","0","N/A","n/e","n/e","3947","3949","n/e"
"09.01.2022 18:00 - 09.01.2022 19:00","0","N/A","0","N/A","n/e","n/e","3855","3851","n/e"
"09.01.2022 19:00 - 09.01.2022 20:00","0","N/A","0","N/A","n/e","n/e","3728","3702","n/e"
"09.01.2022 20:00 - 09.01.2022 21:00","0","N/A","0","N/A","n/e","n/e","3973","3907","n/e"
"09.01.2022 21:00 - 09.01.2022 22:00","0","N/A","0","N/A","n/e","n/e","4455","4375","n/e"
"09.01.2022 22:00 - 09.01.2022 23:00","0","N/A","0","N/A","n/e","n/e","4859","4789","n/e"
"09.01.2022 23:00 - 10.01.2022 00:00","0","N/A","0","N/A","n/e","n/e","5036","4995","n/e"
"10.01.2022 00:00 - 10.01.2022 01:00","0","N/A","0","N/A","n/e","n/e","4341","4341","n/e"
"10.01.2022 01:00 - 10.01.2022 02:00","0","N/A","0","N/A","n/e","n/e","4341","4341","n/e"
"10.01.2022 02:00 - 10.01.2022 03:00","0","N/A","0","N/A","n/e","n/e","4237","4237","n/e"
"10.01.2022 03:00 - 10.01.2022 04:00","0","N/A","0","N/A","n/e","n/e","4163","4163","n/e"
"10.01.2022 04:00 - 10.01.2022 05:00","0","N/A","0","N/A","n/e","n/e","4131","4131","n/e"
"10.01.2022 05:00 - 10.01.2022 06:00","0","N/A","0","N/A","n/e","n/e","4079","4079","n/e"
"10.01.2022 06:00 - 10.01.2022 07:00","0","N/A","0","N/A","n/e","n/e","4068","4068","n/e"
"10.01.2022 07:00 - 10.01.2022 08:00","21","N/A","21","N/A","n/e","n/e","4258","4258","n/e"
"10.01.2022 08:00 - 10.01.2022 09:00","663","N/A","596","N/A","n/e","n/e","4361","4272","n/e"
"10.01.2022 09:00 - 10.01.2022 10:00","2089","N/A","1967","N/A","n/e","n/e","4642","4622","n/e"
"10.01.2022 10:00 - 10.01.2022 11:00","3467","N/A","3324","N/A","n/e","n/e","4868","4911","n/e"
"10.01.2022 11:00 - 10.01.2022 12:00","4379","N/A","4248","N/A","n/e","n/e","5332","5350","n/e"
"10.01.2022 12:00 - 10.01.2022 13:00","4686","N/A","4583","N/A","n/e","n/e","5766","5768","n/e"
