MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Latvia (LV),Generation - Solar  [MW] Intraday / Latvia (LV),Generation - Solar  [MW] Current / Latvia (LV),Generation - Wind Offshore  [MW] Day Ahead/ Latvia (LV),Generation - Wind Offshore  [MW] Intraday / Latvia (LV),Generation - Wind Offshore  [MW] Current / Latvia (LV),Generation - Wind Onshore  [MW] Day Ahead/ Latvia (LV),Generation - Wind Onshore  [MW] Intraday / Latvia (LV),Generation - Wind Onshore  [MW] Current / Latvia (LV)
05.08.2022 15:00 - 05.08.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,12,12,12
05.08.2022 16:00 - 05.08.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,13,12,12
05.08.2022 17:00 - 05.08.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,19,18,18
05.08.2022 18:00 - 05.08.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,10,10,10
05.08.2022 19:00 - 05.08.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,7,8,8
05.08.2022 20:00 - 05.08.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,9,8,8
05.08.2022 21:00 - 05.08.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,15,16,16
05.08.2022 22:00 - 05.08.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,18,17,17
05.08.2022 23:00 - 06.08.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,16,17,17
06.08.2022 00:00 - 06.08.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,18,15,15
06.08.2022 01:00 - 06.08.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,20,13,13
06.08.2022 02:00 - 06.08.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,17,26,26
06.08.2022 03:00 - 06.08.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,13,13,13
06.08.2022 04:00 - 06.08.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,14,14,14
06.08.2022 05:00 - 06.08.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,24,15,15
06.08.2022 06:00 - 06.08.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,20,20,20
06.08.2022 07:00 - 06.08.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,19,14,14
06.08.2022 08:00 - 06.08.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,19,21,21
06.08.2022 09:00 - 06.08.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,20,21,21
06.08.2022 10:00 - 06.08.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,30,29,29
06.08.2022 11:00 - 06.08.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,30,31,31
06.08.2022 12:00 - 06.08.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,31,36,36
06.08.2022 13:00 - 06.08.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,36,38,38
06.08.2022 14:00 - 06.08.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,30,30,30
06.08.2022 15:00 - 06.08.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,31,31,31
06.08.2022 16:00 - 06.08.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,32,31,31
06.08.2022 17:00 - 06.08.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,29,29,29
06.08.2022 18:00 - 06.08.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,17,16,16
06.08.2022 19:00 - 06.08.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,15,15,15
06.08.2022 20:00 - 06.08.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,12,12,12
06.08.2022 21:00 - 06.08.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,10,10,10
06.08.2022 22:00 - 06.08.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,8,7,7
06.08.2022 23:00 - 07.08.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,7,7,7
07.08.2022 00:00 - 07.08.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,10,10,10
07.08.2022 01:00 - 07.08.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,10,10,10
07.08.2022 02:00 - 07.08.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,9,8,8
07.08.2022 03:00 - 07.08.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,7,8,8
07.08.2022 04:00 - 07.08.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,6,7,7
07.08.2022 05:00 - 07.08.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,7,8,8
07.08.2022 06:00 - 07.08.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,6,7,7
07.08.2022 07:00 - 07.08.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,6,5,5
07.08.2022 08:00 - 07.08.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,6,5,5
07.08.2022 09:00 - 07.08.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,7,6,6
07.08.2022 10:00 - 07.08.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,8,6,6
07.08.2022 11:00 - 07.08.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,9,7,7
07.08.2022 12:00 - 07.08.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,25,23,23
07.08.2022 13:00 - 07.08.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,12,13,13
07.08.2022 14:00 - 07.08.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,12,13,13
07.08.2022 15:00 - 07.08.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,12,12,12
07.08.2022 16:00 - 07.08.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,12,12,12
07.08.2022 17:00 - 07.08.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,15,15,15
07.08.2022 18:00 - 07.08.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,13,14,14
07.08.2022 19:00 - 07.08.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,12,12,12
07.08.2022 20:00 - 07.08.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,10,10,10
07.08.2022 21:00 - 07.08.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,9,8,8
07.08.2022 22:00 - 07.08.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,9,9,9
07.08.2022 23:00 - 08.08.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,8,8,8
08.08.2022 00:00 - 08.08.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,10,14,14
08.08.2022 01:00 - 08.08.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,11,11,11
08.08.2022 02:00 - 08.08.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,11,11,11
08.08.2022 03:00 - 08.08.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,11,12,12
08.08.2022 04:00 - 08.08.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,12,11,11
08.08.2022 05:00 - 08.08.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,11,9,9
08.08.2022 06:00 - 08.08.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,10,9,9
08.08.2022 07:00 - 08.08.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,22,9,9
08.08.2022 08:00 - 08.08.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,21,22,9
08.08.2022 09:00 - 08.08.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,8,8,15
08.08.2022 10:00 - 08.08.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,6,6,11
08.08.2022 11:00 - 08.08.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,20,19,21
08.08.2022 12:00 - 08.08.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,19,20,21
08.08.2022 13:00 - 08.08.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,19,19,21
08.08.2022 14:00 - 08.08.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,5,5,5
08.08.2022 15:00 - 08.08.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
08.08.2022 16:00 - 08.08.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
08.08.2022 17:00 - 08.08.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
08.08.2022 18:00 - 08.08.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,17,17,17
08.08.2022 19:00 - 08.08.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,17,17,17
08.08.2022 20:00 - 08.08.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
08.08.2022 21:00 - 08.08.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
08.08.2022 22:00 - 08.08.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
08.08.2022 23:00 - 09.08.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
09.08.2022 00:00 - 09.08.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
09.08.2022 01:00 - 09.08.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
09.08.2022 02:00 - 09.08.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
09.08.2022 03:00 - 09.08.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
09.08.2022 04:00 - 09.08.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
09.08.2022 05:00 - 09.08.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
09.08.2022 06:00 - 09.08.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
09.08.2022 07:00 - 09.08.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
09.08.2022 08:00 - 09.08.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
09.08.2022 09:00 - 09.08.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,2
09.08.2022 10:00 - 09.08.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,2
09.08.2022 11:00 - 09.08.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,5,5,5
09.08.2022 12:00 - 09.08.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,7,7,7
09.08.2022 13:00 - 09.08.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,9,9,8
09.08.2022 14:00 - 09.08.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,9,9,9
09.08.2022 15:00 - 09.08.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,7,7,7
09.08.2022 16:00 - 09.08.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,8,8,8
09.08.2022 17:00 - 09.08.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,9,9,9
09.08.2022 18:00 - 09.08.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,9,9,9
09.08.2022 19:00 - 09.08.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,10,9,9
09.08.2022 20:00 - 09.08.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,9,9,9
09.08.2022 21:00 - 09.08.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,10,10,10
09.08.2022 22:00 - 09.08.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,10,10,10
09.08.2022 23:00 - 10.08.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,11,7,7
10.08.2022 00:00 - 10.08.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,5,4,4
10.08.2022 01:00 - 10.08.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,4,3,3
10.08.2022 02:00 - 10.08.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,4,3,3
10.08.2022 03:00 - 10.08.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
10.08.2022 04:00 - 10.08.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
10.08.2022 05:00 - 10.08.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
10.08.2022 06:00 - 10.08.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
10.08.2022 07:00 - 10.08.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,2,3,3
10.08.2022 08:00 - 10.08.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,2,2,3
10.08.2022 09:00 - 10.08.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,2,2,12
10.08.2022 10:00 - 10.08.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,2,2,2
10.08.2022 11:00 - 10.08.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,2,2,2
10.08.2022 12:00 - 10.08.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
10.08.2022 13:00 - 10.08.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,5,5,5
10.08.2022 14:00 - 10.08.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,6,5,5
10.08.2022 15:00 - 10.08.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,7,7,7
10.08.2022 16:00 - 10.08.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,7,7,7
10.08.2022 17:00 - 10.08.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,7,7,7
10.08.2022 18:00 - 10.08.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,5,5,5
10.08.2022 19:00 - 10.08.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
10.08.2022 20:00 - 10.08.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,4,3,3
10.08.2022 21:00 - 10.08.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
10.08.2022 22:00 - 10.08.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,3,2,2
10.08.2022 23:00 - 11.08.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
11.08.2022 00:00 - 11.08.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,7,6,6
11.08.2022 01:00 - 11.08.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,9,6,6
11.08.2022 02:00 - 11.08.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,12,9,9
11.08.2022 03:00 - 11.08.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,14,13,13
11.08.2022 04:00 - 11.08.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,14,18,18
11.08.2022 05:00 - 11.08.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,15,20,20
11.08.2022 06:00 - 11.08.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,16,20,20
11.08.2022 07:00 - 11.08.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,14,16,16
11.08.2022 08:00 - 11.08.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,9,9,9
11.08.2022 09:00 - 11.08.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,12,16,14
11.08.2022 10:00 - 11.08.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,13,18,18
11.08.2022 11:00 - 11.08.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,27,31,29
11.08.2022 12:00 - 11.08.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,28,36,29
11.08.2022 13:00 - 11.08.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,30,35,30
11.08.2022 14:00 - 11.08.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,35,36,36
11.08.2022 15:00 - 11.08.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,38,41,41
11.08.2022 16:00 - 11.08.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,29,36,36
11.08.2022 17:00 - 11.08.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,25,26,26
11.08.2022 18:00 - 11.08.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,17,16,16
11.08.2022 19:00 - 11.08.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,14,19,19
11.08.2022 20:00 - 11.08.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,13,13,13
11.08.2022 21:00 - 11.08.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,15,15,15
11.08.2022 22:00 - 11.08.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,15,15,15
11.08.2022 23:00 - 12.08.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,15,9,9
12.08.2022 00:00 - 12.08.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,13,17,17
12.08.2022 01:00 - 12.08.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,14,18,18
12.08.2022 02:00 - 12.08.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,16,16,16
12.08.2022 03:00 - 12.08.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,14,13,13
12.08.2022 04:00 - 12.08.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,15,15,15
12.08.2022 05:00 - 12.08.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,16,15,15
12.08.2022 06:00 - 12.08.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,24,24,24
12.08.2022 07:00 - 12.08.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,21,23,23
12.08.2022 08:00 - 12.08.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,19,24,28
12.08.2022 09:00 - 12.08.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,16,16,21
12.08.2022 10:00 - 12.08.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,22,21,24
12.08.2022 11:00 - 12.08.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,18,17,19
12.08.2022 12:00 - 12.08.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,18,16,17
12.08.2022 13:00 - 12.08.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,12,10,13
12.08.2022 14:00 - 12.08.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,10,10,10
12.08.2022 15:00 - 12.08.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,8,9,9
12.08.2022 16:00 - 12.08.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,7,7,7
12.08.2022 17:00 - 12.08.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,6,5,5
12.08.2022 18:00 - 12.08.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
12.08.2022 19:00 - 12.08.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
12.08.2022 20:00 - 12.08.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
12.08.2022 21:00 - 12.08.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
12.08.2022 22:00 - 12.08.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,4,3,3
12.08.2022 23:00 - 13.08.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,4,17,17
13.08.2022 00:00 - 13.08.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,2,2,2
13.08.2022 01:00 - 13.08.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,2,3,3
13.08.2022 02:00 - 13.08.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
13.08.2022 03:00 - 13.08.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
13.08.2022 04:00 - 13.08.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,2,8,8
13.08.2022 05:00 - 13.08.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,2,2,2
13.08.2022 06:00 - 13.08.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,2,4,4
13.08.2022 07:00 - 13.08.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,2,12,12
13.08.2022 08:00 - 13.08.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,2,2,2
13.08.2022 09:00 - 13.08.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,2,2,2
13.08.2022 10:00 - 13.08.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,2,2,2
13.08.2022 11:00 - 13.08.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,2,2,2
13.08.2022 12:00 - 13.08.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,2,2,2
13.08.2022 13:00 - 13.08.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,2,2,2
13.08.2022 14:00 - 13.08.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
13.08.2022 15:00 - 13.08.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
13.08.2022 16:00 - 13.08.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,5,5,5
13.08.2022 17:00 - 13.08.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,5,6,6
13.08.2022 18:00 - 13.08.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,5,6,6
13.08.2022 19:00 - 13.08.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,5,6,6
13.08.2022 20:00 - 13.08.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,6,6,6
13.08.2022 21:00 - 13.08.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,12,12,12
13.08.2022 22:00 - 13.08.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,12,12,12
13.08.2022 23:00 - 14.08.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,10,5,5
14.08.2022 00:00 - 14.08.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,9,9,9
14.08.2022 01:00 - 14.08.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,8,17,17
14.08.2022 02:00 - 14.08.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,9,7,7
14.08.2022 03:00 - 14.08.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,8,8,8
14.08.2022 04:00 - 14.08.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,10,10,10
14.08.2022 05:00 - 14.08.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,11,11,11
14.08.2022 06:00 - 14.08.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,10,9,9
14.08.2022 07:00 - 14.08.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,9,11,11
14.08.2022 08:00 - 14.08.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,6,7,7
14.08.2022 09:00 - 14.08.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,2,2,6
14.08.2022 10:00 - 14.08.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,2,2,2
14.08.2022 11:00 - 14.08.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,3,2,3
14.08.2022 12:00 - 14.08.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
14.08.2022 13:00 - 14.08.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
14.08.2022 14:00 - 14.08.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,4,3,3
14.08.2022 15:00 - 14.08.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
14.08.2022 16:00 - 14.08.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,5,5,5
14.08.2022 17:00 - 14.08.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,7,6,6
14.08.2022 18:00 - 14.08.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,14,14,14
14.08.2022 19:00 - 14.08.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,21,20,20
14.08.2022 20:00 - 14.08.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,22,22,22
14.08.2022 21:00 - 14.08.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,27,27,27
14.08.2022 22:00 - 14.08.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,31,30,30
14.08.2022 23:00 - 15.08.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,25,19,19
15.08.2022 00:00 - 15.08.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,26,25,25
15.08.2022 01:00 - 15.08.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,27,25,25
15.08.2022 02:00 - 15.08.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,23,26,26
15.08.2022 03:00 - 15.08.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,21,21,21
15.08.2022 04:00 - 15.08.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,24,23,23
15.08.2022 05:00 - 15.08.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,25,24,24
15.08.2022 06:00 - 15.08.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,24,32,32
15.08.2022 07:00 - 15.08.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,18,19,19
15.08.2022 08:00 - 15.08.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,10,9,27
15.08.2022 09:00 - 15.08.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,8,8,24
15.08.2022 10:00 - 15.08.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,10,10,25
15.08.2022 11:00 - 15.08.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,12,12,26
15.08.2022 12:00 - 15.08.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,15,15,31
15.08.2022 13:00 - 15.08.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,18,18,20
15.08.2022 14:00 - 15.08.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,19,19,19
15.08.2022 15:00 - 15.08.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,22,22,22
15.08.2022 16:00 - 15.08.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,23,23,23
15.08.2022 17:00 - 15.08.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,19,19,19
15.08.2022 18:00 - 15.08.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,15,15,15
15.08.2022 19:00 - 15.08.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,14,15,15
15.08.2022 20:00 - 15.08.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,11,11,11
15.08.2022 21:00 - 15.08.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,14,14,14
15.08.2022 22:00 - 15.08.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,13,13,13
15.08.2022 23:00 - 16.08.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,12,14,14
16.08.2022 00:00 - 16.08.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,22,22,22
16.08.2022 01:00 - 16.08.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,19,26,26
16.08.2022 02:00 - 16.08.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,20,26,26
16.08.2022 03:00 - 16.08.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,21,24,24
16.08.2022 04:00 - 16.08.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,20,19,19
