MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Latvia (LV),Generation - Solar  [MW] Intraday / Latvia (LV),Generation - Solar  [MW] Current / Latvia (LV),Generation - Wind Offshore  [MW] Day Ahead/ Latvia (LV),Generation - Wind Offshore  [MW] Intraday / Latvia (LV),Generation - Wind Offshore  [MW] Current / Latvia (LV),Generation - Wind Onshore  [MW] Day Ahead/ Latvia (LV),Generation - Wind Onshore  [MW] Intraday / Latvia (LV),Generation - Wind Onshore  [MW] Current / Latvia (LV)
04.01.2022 22:00 - 04.01.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
04.01.2022 23:00 - 05.01.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,4,7,7
05.01.2022 00:00 - 05.01.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,14,6,6
05.01.2022 01:00 - 05.01.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,8,6,6
05.01.2022 02:00 - 05.01.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,5,16,16
05.01.2022 03:00 - 05.01.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,6,7,7
05.01.2022 04:00 - 05.01.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,9,6,6
05.01.2022 05:00 - 05.01.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,11,9,9
05.01.2022 06:00 - 05.01.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,14,12,12
05.01.2022 07:00 - 05.01.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,13,16,16
05.01.2022 08:00 - 05.01.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,14,17,17
05.01.2022 09:00 - 05.01.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,14,22,22
05.01.2022 10:00 - 05.01.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,16,23,23
05.01.2022 11:00 - 05.01.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,24,22,22
05.01.2022 12:00 - 05.01.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,30,24,24
05.01.2022 13:00 - 05.01.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,31,28,28
05.01.2022 14:00 - 05.01.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,35,35,35
05.01.2022 15:00 - 05.01.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,31,31,31
05.01.2022 16:00 - 05.01.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,31,31,31
05.01.2022 17:00 - 05.01.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,20,20,20
05.01.2022 18:00 - 05.01.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,21,21,21
05.01.2022 19:00 - 05.01.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,26,26,26
05.01.2022 20:00 - 05.01.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,28,28,28
05.01.2022 21:00 - 05.01.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,31,31,31
05.01.2022 22:00 - 05.01.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,20,21,21
05.01.2022 23:00 - 06.01.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,14,5,5
06.01.2022 00:00 - 06.01.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,7,6,6
06.01.2022 01:00 - 06.01.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,8,5,5
06.01.2022 02:00 - 06.01.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,12,12,12
06.01.2022 03:00 - 06.01.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,13,18,18
06.01.2022 04:00 - 06.01.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,15,21,21
06.01.2022 05:00 - 06.01.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,15,18,18
06.01.2022 06:00 - 06.01.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,22,19,19
06.01.2022 07:00 - 06.01.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,23,23,23
06.01.2022 08:00 - 06.01.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,26,27,27
06.01.2022 09:00 - 06.01.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,20,21,24
06.01.2022 10:00 - 06.01.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,27,27,28
06.01.2022 11:00 - 06.01.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,31,30,30
06.01.2022 12:00 - 06.01.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,33,33,30
06.01.2022 13:00 - 06.01.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,36,36,27
06.01.2022 14:00 - 06.01.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,31,31,31
06.01.2022 15:00 - 06.01.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,26,26,26
06.01.2022 16:00 - 06.01.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,32,32,32
06.01.2022 17:00 - 06.01.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,30,30,30
06.01.2022 18:00 - 06.01.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,29,29,29
06.01.2022 19:00 - 06.01.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,31,32,32
06.01.2022 20:00 - 06.01.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,29,29,29
06.01.2022 21:00 - 06.01.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,31,31,31
06.01.2022 22:00 - 06.01.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,29,29,29
06.01.2022 23:00 - 07.01.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,31,24,24
07.01.2022 00:00 - 07.01.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,27,26,26
07.01.2022 01:00 - 07.01.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,32,30,30
