MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Netherlands (NL),Generation - Solar  [MW] Intraday / Netherlands (NL),Generation - Solar  [MW] Current / Netherlands (NL),Generation - Wind Offshore  [MW] Day Ahead/ Netherlands (NL),Generation - Wind Offshore  [MW] Intraday / Netherlands (NL),Generation - Wind Offshore  [MW] Current / Netherlands (NL),Generation - Wind Onshore  [MW] Day Ahead/ Netherlands (NL),Generation - Wind Onshore  [MW] Intraday / Netherlands (NL),Generation - Wind Onshore  [MW] Current / Netherlands (NL)
23.12.2022 16:45 - 23.12.2022 17:00,41,41,n/e,785,785,785,1725,1725,1725
23.12.2022 17:00 - 23.12.2022 17:15,20,20,n/e,843,843,843,1763,1763,1763
23.12.2022 17:15 - 23.12.2022 17:30,14,14,n/e,924,924,924,1810,1810,1810
23.12.2022 17:30 - 23.12.2022 17:45,9,9,n/e,1029,1029,1029,1865,1865,1865
23.12.2022 17:45 - 23.12.2022 18:00,4,4,n/e,1134,1134,1134,1923,1923,1923
23.12.2022 18:00 - 23.12.2022 18:15,0,0,n/e,1239,1239,1239,1979,1979,1979
23.12.2022 18:15 - 23.12.2022 18:30,0,0,n/e,1311,1311,1311,2036,2036,2036
23.12.2022 18:30 - 23.12.2022 18:45,0,0,n/e,1349,1349,1349,2089,2089,2089
23.12.2022 18:45 - 23.12.2022 19:00,0,0,n/e,1387,1387,1387,2143,2143,2143
23.12.2022 19:00 - 23.12.2022 19:15,0,0,n/e,1426,1426,1426,2198,2198,2198
23.12.2022 19:15 - 23.12.2022 19:30,0,0,n/e,1453,1453,1453,2299,2299,2299
23.12.2022 19:30 - 23.12.2022 19:45,0,0,n/e,1469,1469,1469,2446,2446,2446
23.12.2022 19:45 - 23.12.2022 20:00,0,0,n/e,1485,1485,1485,2592,2592,2592
23.12.2022 20:00 - 23.12.2022 20:15,0,0,n/e,1501,1501,1501,2740,2740,2740
23.12.2022 20:15 - 23.12.2022 20:30,0,0,n/e,1514,1514,1514,2890,2890,2890
23.12.2022 20:30 - 23.12.2022 20:45,0,0,n/e,1524,1524,1524,3037,3037,3037
23.12.2022 20:45 - 23.12.2022 21:00,0,0,n/e,1534,1534,1534,3189,3189,3189
23.12.2022 21:00 - 23.12.2022 21:15,0,0,n/e,1545,1545,1545,3338,3338,3338
23.12.2022 21:15 - 23.12.2022 21:30,0,0,n/e,1553,1553,1553,3472,3472,3472
23.12.2022 21:30 - 23.12.2022 21:45,0,0,n/e,1561,1561,1561,3585,3585,3585
23.12.2022 21:45 - 23.12.2022 22:00,0,0,n/e,1568,1568,1568,3700,3700,3700
23.12.2022 22:00 - 23.12.2022 22:15,0,0,n/e,1576,1576,1576,3814,3814,3814
23.12.2022 22:15 - 23.12.2022 22:30,0,0,n/e,1581,1581,1581,3877,3877,3877
23.12.2022 22:30 - 23.12.2022 22:45,0,0,n/e,1584,1584,1584,3889,3889,3889
23.12.2022 22:45 - 23.12.2022 23:00,0,0,n/e,1587,1587,1587,3901,3901,3901
23.12.2022 23:00 - 23.12.2022 23:15,0,0,n/e,1589,1589,1589,3910,3910,3910
23.12.2022 23:15 - 23.12.2022 23:30,0,0,n/e,1591,1591,1591,3912,3912,3912
23.12.2022 23:30 - 23.12.2022 23:45,0,0,n/e,1592,1592,1592,3900,3900,3900
23.12.2022 23:45 - 24.12.2022 00:00,0,0,n/e,1592,1592,1592,3892,3892,3892
24.12.2022 00:00 - 24.12.2022 00:15,0,0,n/e,1585,1585,1585,4732,4732,4732
24.12.2022 00:15 - 24.12.2022 00:30,0,0,n/e,1586,1586,1586,4705,4705,4705
24.12.2022 00:30 - 24.12.2022 00:45,0,0,n/e,1588,1588,1588,4674,4674,4674
24.12.2022 00:45 - 24.12.2022 01:00,0,0,n/e,1590,1590,1590,4644,4644,4644
24.12.2022 01:00 - 24.12.2022 01:15,0,0,n/e,1592,1592,1592,4614,4614,4614
24.12.2022 01:15 - 24.12.2022 01:30,0,0,n/e,1591,1591,1591,4555,4555,4555
24.12.2022 01:30 - 24.12.2022 01:45,0,0,n/e,1587,1587,1587,4463,4463,4463
24.12.2022 01:45 - 24.12.2022 02:00,0,0,n/e,1583,1583,1583,4371,4371,4371
24.12.2022 02:00 - 24.12.2022 02:15,0,0,n/e,1578,1578,1578,4279,4279,4279
24.12.2022 02:15 - 24.12.2022 02:30,0,0,n/e,1572,1572,1572,4182,4182,4182
24.12.2022 02:30 - 24.12.2022 02:45,0,0,n/e,1566,1566,1566,4084,4084,4084
24.12.2022 02:45 - 24.12.2022 03:00,0,0,n/e,1559,1559,1559,3987,3987,3987
24.12.2022 03:00 - 24.12.2022 03:15,0,0,n/e,1552,1552,1552,3888,3888,3888
24.12.2022 03:15 - 24.12.2022 03:30,0,0,n/e,1535,1535,1535,3786,3786,3786
24.12.2022 03:30 - 24.12.2022 03:45,0,0,n/e,1509,1509,1509,3677,3677,3677
24.12.2022 03:45 - 24.12.2022 04:00,0,0,n/e,1482,1482,1482,3567,3567,3567
24.12.2022 04:00 - 24.12.2022 04:15,0,0,n/e,1455,1455,1455,3460,3460,3460
24.12.2022 04:15 - 24.12.2022 04:30,0,0,n/e,1440,1440,1440,3383,3383,3383
24.12.2022 04:30 - 24.12.2022 04:45,0,0,n/e,1436,1436,1436,3330,3330,3330
24.12.2022 04:45 - 24.12.2022 05:00,0,0,n/e,1433,1433,1433,3280,3280,3280
24.12.2022 05:00 - 24.12.2022 05:15,0,0,n/e,1429,1429,1429,3228,3228,3228
24.12.2022 05:15 - 24.12.2022 05:30,0,0,n/e,1425,1425,1425,3176,3176,3176
24.12.2022 05:30 - 24.12.2022 05:45,0,0,n/e,1422,1422,1422,3122,3122,3122
24.12.2022 05:45 - 24.12.2022 06:00,0,0,n/e,1419,1419,1419,3071,3071,3071
24.12.2022 06:00 - 24.12.2022 06:15,0,0,n/e,1416,1416,1416,3016,3016,3016
24.12.2022 06:15 - 24.12.2022 06:30,0,0,n/e,1412,1412,1412,2960,2960,2960
24.12.2022 06:30 - 24.12.2022 06:45,0,0,n/e,1408,1408,1408,2898,2898,2898
24.12.2022 06:45 - 24.12.2022 07:00,0,0,n/e,1404,1404,1404,2838,2838,2838
24.12.2022 07:00 - 24.12.2022 07:15,0,0,n/e,1399,1399,1399,2776,2776,2776
24.12.2022 07:15 - 24.12.2022 07:30,0,0,n/e,1392,1392,1392,2730,2730,2730
24.12.2022 07:30 - 24.12.2022 07:45,0,0,n/e,1383,1383,1383,2700,2700,2700
24.12.2022 07:45 - 24.12.2022 08:00,0,0,n/e,1373,1373,1373,2670,2670,2670
24.12.2022 08:00 - 24.12.2022 08:15,0,0,n/e,1363,1363,1363,2641,2641,2641
24.12.2022 08:15 - 24.12.2022 08:30,0,0,n/e,1352,1352,1352,2609,2609,2609
24.12.2022 08:30 - 24.12.2022 08:45,0,0,n/e,1341,1341,1341,2575,2575,2575
24.12.2022 08:45 - 24.12.2022 09:00,0,0,n/e,1329,1329,1329,2541,2541,2541
24.12.2022 09:00 - 24.12.2022 09:15,0,0,n/e,1318,1318,1318,2506,2506,2506
24.12.2022 09:15 - 24.12.2022 09:30,59,59,n/e,1303,1303,1303,2474,2474,2474
24.12.2022 09:30 - 24.12.2022 09:45,111,111,n/e,1286,1286,1286,2445,2445,2445
24.12.2022 09:45 - 24.12.2022 10:00,170,170,n/e,1270,1270,1270,2419,2419,2419
24.12.2022 10:00 - 24.12.2022 10:15,226,226,n/e,1253,1253,1253,2390,2390,2390
24.12.2022 10:15 - 24.12.2022 10:30,429,429,n/e,1239,1239,1239,2372,2372,2372
24.12.2022 10:30 - 24.12.2022 10:45,630,630,n/e,1229,1229,1229,2364,2364,2364
24.12.2022 10:45 - 24.12.2022 11:00,832,832,n/e,1219,1219,1219,2358,2358,2358
24.12.2022 11:00 - 24.12.2022 11:15,1031,1031,n/e,1209,1209,1209,2348,2348,2348
24.12.2022 11:15 - 24.12.2022 11:30,1107,1107,n/e,1200,1200,1200,2345,2345,2345
24.12.2022 11:30 - 24.12.2022 11:45,1182,1182,n/e,1194,1194,1194,2349,2349,2349
24.12.2022 11:45 - 24.12.2022 12:00,1257,1257,n/e,1187,1187,1187,2351,2351,2351
24.12.2022 12:00 - 24.12.2022 12:15,1332,1332,n/e,1181,1181,1181,2353,2353,2353
24.12.2022 12:15 - 24.12.2022 12:30,1365,1365,n/e,1170,1170,1170,2357,2357,2357
24.12.2022 12:30 - 24.12.2022 12:45,1397,1397,n/e,1156,1156,1156,2361,2361,2361
24.12.2022 12:45 - 24.12.2022 13:00,1433,1433,n/e,1141,1141,1141,2369,2369,2369
24.12.2022 13:00 - 24.12.2022 13:15,1464,1464,n/e,1127,1127,1127,2375,2375,2375
24.12.2022 13:15 - 24.12.2022 13:30,1558,1558,n/e,1103,1103,1103,2347,2347,2347
24.12.2022 13:30 - 24.12.2022 13:45,1651,1651,n/e,1071,1071,1071,2282,2282,2282
24.12.2022 13:45 - 24.12.2022 14:00,1744,1744,n/e,1038,1038,1038,2218,2218,2218
24.12.2022 14:00 - 24.12.2022 14:15,1836,1836,n/e,1005,1005,1005,2155,2155,2155
24.12.2022 14:15 - 24.12.2022 14:30,1762,1762,n/e,970,970,970,2093,2093,2093
24.12.2022 14:30 - 24.12.2022 14:45,1689,1689,n/e,932,932,932,2030,2030,2030
24.12.2022 14:45 - 24.12.2022 15:00,1614,1614,n/e,894,894,894,1967,1967,1967
24.12.2022 15:00 - 24.12.2022 15:15,1542,1542,n/e,856,856,856,1908,1908,1908
24.12.2022 15:15 - 24.12.2022 15:30,1408,1408,n/e,825,825,825,1849,1849,1849
24.12.2022 15:30 - 24.12.2022 15:45,1278,1278,n/e,801,801,801,1795,1795,1795
24.12.2022 15:45 - 24.12.2022 16:00,1146,1146,n/e,777,777,777,1742,1742,1742
24.12.2022 16:00 - 24.12.2022 16:15,1014,1014,n/e,753,753,753,1688,1688,1688
24.12.2022 16:15 - 24.12.2022 16:30,775,775,n/e,738,738,738,1657,1657,1657
24.12.2022 16:30 - 24.12.2022 16:45,539,539,n/e,733,733,733,1649,1649,1649
24.12.2022 16:45 - 24.12.2022 17:00,300,300,n/e,728,728,728,1644,1644,1644
24.12.2022 17:00 - 24.12.2022 17:15,63,63,n/e,723,723,723,1636,1636,1636
24.12.2022 17:15 - 24.12.2022 17:30,47,47,n/e,723,723,723,1628,1628,1628
24.12.2022 17:30 - 24.12.2022 17:45,29,29,n/e,730,730,730,1619,1619,1619
24.12.2022 17:45 - 24.12.2022 18:00,15,15,n/e,736,736,736,1609,1609,1609
24.12.2022 18:00 - 24.12.2022 18:15,0,0,n/e,742,742,742,1597,1597,1597
24.12.2022 18:15 - 24.12.2022 18:30,0,0,n/e,749,749,749,1595,1595,1595
24.12.2022 18:30 - 24.12.2022 18:45,0,0,n/e,758,758,758,1593,1593,1593
24.12.2022 18:45 - 24.12.2022 19:00,0,0,n/e,767,767,767,1591,1591,1591
24.12.2022 19:00 - 24.12.2022 19:15,0,0,n/e,777,777,777,1590,1590,1590
24.12.2022 19:15 - 24.12.2022 19:30,0,0,n/e,787,787,787,1609,1609,1609
24.12.2022 19:30 - 24.12.2022 19:45,0,0,n/e,799,799,799,1649,1649,1649
24.12.2022 19:45 - 24.12.2022 20:00,0,0,n/e,810,810,810,1689,1689,1689
24.12.2022 20:00 - 24.12.2022 20:15,0,0,n/e,822,822,822,1727,1727,1727
24.12.2022 20:15 - 24.12.2022 20:30,0,0,n/e,835,835,835,1770,1770,1770
24.12.2022 20:30 - 24.12.2022 20:45,0,0,n/e,850,850,850,1812,1812,1812
24.12.2022 20:45 - 24.12.2022 21:00,0,0,n/e,865,865,865,1853,1853,1853
24.12.2022 21:00 - 24.12.2022 21:15,0,0,n/e,880,880,880,1895,1895,1895
24.12.2022 21:15 - 24.12.2022 21:30,0,0,n/e,899,899,899,1931,1931,1931
24.12.2022 21:30 - 24.12.2022 21:45,0,0,n/e,922,922,922,1966,1966,1966
24.12.2022 21:45 - 24.12.2022 22:00,0,0,n/e,946,946,946,2002,2002,2002
24.12.2022 22:00 - 24.12.2022 22:15,0,0,n/e,969,969,969,2037,2037,2037
24.12.2022 22:15 - 24.12.2022 22:30,0,0,n/e,991,991,991,2056,2056,2056
24.12.2022 22:30 - 24.12.2022 22:45,0,0,n/e,1010,1010,1010,2063,2063,2063
24.12.2022 22:45 - 24.12.2022 23:00,0,0,n/e,1030,1030,1030,2073,2073,2073
24.12.2022 23:00 - 24.12.2022 23:15,0,0,n/e,1049,1049,1049,2080,2080,2080
24.12.2022 23:15 - 24.12.2022 23:30,0,0,n/e,1065,1065,1065,2088,2088,2088
24.12.2022 23:30 - 24.12.2022 23:45,0,0,n/e,1076,1076,1076,2095,2095,2095
24.12.2022 23:45 - 25.12.2022 00:00,0,0,n/e,1088,1088,1088,2101,2101,2101
25.12.2022 00:00 - 25.12.2022 00:15,0,0,n/e,847,847,847,2129,2129,2129
25.12.2022 00:15 - 25.12.2022 00:30,0,0,n/e,848,848,848,2125,2125,2125
25.12.2022 00:30 - 25.12.2022 00:45,0,0,n/e,859,859,859,2115,2115,2115
25.12.2022 00:45 - 25.12.2022 01:00,0,0,n/e,870,870,870,2107,2107,2107
25.12.2022 01:00 - 25.12.2022 01:15,0,0,n/e,881,881,881,2098,2098,2098
25.12.2022 01:15 - 25.12.2022 01:30,0,0,n/e,895,895,895,2101,2101,2101
25.12.2022 01:30 - 25.12.2022 01:45,0,0,n/e,912,912,912,2122,2122,2122
25.12.2022 01:45 - 25.12.2022 02:00,0,0,n/e,929,929,929,2142,2142,2142
25.12.2022 02:00 - 25.12.2022 02:15,0,0,n/e,946,946,946,2161,2161,2161
25.12.2022 02:15 - 25.12.2022 02:30,0,0,n/e,959,959,959,2180,2180,2180
25.12.2022 02:30 - 25.12.2022 02:45,0,0,n/e,969,969,969,2198,2198,2198
25.12.2022 02:45 - 25.12.2022 03:00,0,0,n/e,980,980,980,2215,2215,2215
25.12.2022 03:00 - 25.12.2022 03:15,0,0,n/e,990,990,990,2233,2233,2233
25.12.2022 03:15 - 25.12.2022 03:30,0,0,n/e,1000,1000,1000,2247,2247,2247
25.12.2022 03:30 - 25.12.2022 03:45,0,0,n/e,1012,1012,1012,2263,2263,2263
25.12.2022 03:45 - 25.12.2022 04:00,0,0,n/e,1023,1023,1023,2276,2276,2276
25.12.2022 04:00 - 25.12.2022 04:15,0,0,n/e,1034,1034,1034,2292,2292,2292
25.12.2022 04:15 - 25.12.2022 04:30,0,0,n/e,1036,1036,1036,2293,2293,2293
25.12.2022 04:30 - 25.12.2022 04:45,0,0,n/e,1029,1029,1029,2275,2275,2275
25.12.2022 04:45 - 25.12.2022 05:00,0,0,n/e,1022,1022,1022,2262,2262,2262
25.12.2022 05:00 - 25.12.2022 05:15,0,0,n/e,1015,1015,1015,2245,2245,2245
25.12.2022 05:15 - 25.12.2022 05:30,0,0,n/e,1008,1008,1008,2229,2229,2229
25.12.2022 05:30 - 25.12.2022 05:45,0,0,n/e,1001,1001,1001,2212,2212,2212
25.12.2022 05:45 - 25.12.2022 06:00,0,0,n/e,994,994,994,2197,2197,2197
25.12.2022 06:00 - 25.12.2022 06:15,0,0,n/e,988,988,988,2179,2179,2179
25.12.2022 06:15 - 25.12.2022 06:30,0,0,n/e,980,980,980,2161,2161,2161
25.12.2022 06:30 - 25.12.2022 06:45,0,0,n/e,971,971,971,2145,2145,2145
25.12.2022 06:45 - 25.12.2022 07:00,0,0,n/e,962,962,962,2127,2127,2127
25.12.2022 07:00 - 25.12.2022 07:15,0,0,n/e,952,952,952,2110,2110,2110
25.12.2022 07:15 - 25.12.2022 07:30,0,0,n/e,941,941,941,2073,2073,2073
25.12.2022 07:30 - 25.12.2022 07:45,0,0,n/e,926,926,926,2016,2016,2016
25.12.2022 07:45 - 25.12.2022 08:00,0,0,n/e,912,912,912,1956,1956,1956
25.12.2022 08:00 - 25.12.2022 08:15,0,0,n/e,898,898,898,1900,1900,1900
25.12.2022 08:15 - 25.12.2022 08:30,0,0,n/e,883,883,883,1846,1846,1846
25.12.2022 08:30 - 25.12.2022 08:45,0,0,n/e,867,867,867,1791,1791,1791
25.12.2022 08:45 - 25.12.2022 09:00,0,0,n/e,851,851,851,1741,1741,1741
25.12.2022 09:00 - 25.12.2022 09:15,0,0,n/e,835,835,835,1687,1687,1687
25.12.2022 09:15 - 25.12.2022 09:30,44,44,n/e,818,818,818,1639,1639,1639
25.12.2022 09:30 - 25.12.2022 09:45,90,90,n/e,799,799,799,1597,1597,1597
25.12.2022 09:45 - 25.12.2022 10:00,133,133,n/e,781,781,781,1551,1551,1551
25.12.2022 10:00 - 25.12.2022 10:15,178,178,n/e,762,762,762,1509,1509,1509
25.12.2022 10:15 - 25.12.2022 10:30,230,230,n/e,742,742,742,1467,1467,1467
25.12.2022 10:30 - 25.12.2022 10:45,283,283,n/e,719,719,719,1431,1431,1431
25.12.2022 10:45 - 25.12.2022 11:00,335,335,n/e,697,697,697,1393,1393,1393
25.12.2022 11:00 - 25.12.2022 11:15,390,390,n/e,674,674,674,1351,1351,1351
25.12.2022 11:15 - 25.12.2022 11:30,424,424,n/e,657,657,657,1316,1316,1316
25.12.2022 11:30 - 25.12.2022 11:45,460,460,n/e,644,644,644,1289,1289,1289
25.12.2022 11:45 - 25.12.2022 12:00,496,496,n/e,632,632,632,1261,1261,1261
25.12.2022 12:00 - 25.12.2022 12:15,531,531,n/e,619,619,619,1233,1233,1233
25.12.2022 12:15 - 25.12.2022 12:30,547,547,n/e,607,607,607,1205,1205,1205
25.12.2022 12:30 - 25.12.2022 12:45,564,564,n/e,597,597,597,1178,1178,1178
25.12.2022 12:45 - 25.12.2022 13:00,577,577,n/e,586,586,586,1152,1152,1152
25.12.2022 13:00 - 25.12.2022 13:15,594,594,n/e,575,575,575,1125,1125,1125
25.12.2022 13:15 - 25.12.2022 13:30,629,629,n/e,561,561,561,1094,1094,1094
25.12.2022 13:30 - 25.12.2022 13:45,666,666,n/e,545,545,545,1053,1053,1053
25.12.2022 13:45 - 25.12.2022 14:00,701,701,n/e,528,528,528,1015,1015,1015
25.12.2022 14:00 - 25.12.2022 14:15,738,738,n/e,511,511,511,976,976,976
25.12.2022 14:15 - 25.12.2022 14:30,704,704,n/e,491,491,491,941,941,941
25.12.2022 14:30 - 25.12.2022 14:45,670,670,n/e,466,466,466,911,911,911
25.12.2022 14:45 - 25.12.2022 15:00,634,634,n/e,442,442,442,878,878,878
25.12.2022 15:00 - 25.12.2022 15:15,602,602,n/e,418,418,418,846,846,846
25.12.2022 15:15 - 25.12.2022 15:30,543,543,n/e,401,401,401,814,814,814
25.12.2022 15:30 - 25.12.2022 15:45,489,489,n/e,393,393,393,780,780,780
25.12.2022 15:45 - 25.12.2022 16:00,432,432,n/e,385,385,385,746,746,746
25.12.2022 16:00 - 25.12.2022 16:15,373,373,n/e,377,377,377,715,715,715
25.12.2022 16:15 - 25.12.2022 16:30,287,287,n/e,382,382,382,695,695,695
25.12.2022 16:30 - 25.12.2022 16:45,200,200,n/e,400,400,400,689,689,689
25.12.2022 16:45 - 25.12.2022 17:00,114,114,n/e,418,418,418,684,684,684
25.12.2022 17:00 - 25.12.2022 17:15,28,28,n/e,437,437,437,678,678,678
25.12.2022 17:15 - 25.12.2022 17:30,21,21,n/e,449,449,449,680,680,680
25.12.2022 17:30 - 25.12.2022 17:45,13,13,n/e,457,457,457,686,686,686
25.12.2022 17:45 - 25.12.2022 18:00,6,6,n/e,464,464,464,694,694,694
25.12.2022 18:00 - 25.12.2022 18:15,0,0,n/e,472,472,472,699,699,699
25.12.2022 18:15 - 25.12.2022 18:30,0,0,n/e,475,475,475,709,709,709
25.12.2022 18:30 - 25.12.2022 18:45,0,0,n/e,473,473,473,720,720,720
25.12.2022 18:45 - 25.12.2022 19:00,0,0,n/e,471,471,471,732,732,732
25.12.2022 19:00 - 25.12.2022 19:15,0,0,n/e,470,470,470,741,741,741
25.12.2022 19:15 - 25.12.2022 19:30,0,0,n/e,476,476,476,759,759,759
25.12.2022 19:30 - 25.12.2022 19:45,0,0,n/e,490,490,490,786,786,786
25.12.2022 19:45 - 25.12.2022 20:00,0,0,n/e,504,504,504,811,811,811
25.12.2022 20:00 - 25.12.2022 20:15,0,0,n/e,518,518,518,837,837,837
25.12.2022 20:15 - 25.12.2022 20:30,0,0,n/e,527,527,527,868,868,868
25.12.2022 20:30 - 25.12.2022 20:45,0,0,n/e,532,532,532,899,899,899
25.12.2022 20:45 - 25.12.2022 21:00,0,0,n/e,537,537,537,932,932,932
25.12.2022 21:00 - 25.12.2022 21:15,0,0,n/e,542,542,542,964,964,964
25.12.2022 21:15 - 25.12.2022 21:30,0,0,n/e,569,569,569,997,997,997
25.12.2022 21:30 - 25.12.2022 21:45,0,0,n/e,618,618,618,1031,1031,1031
25.12.2022 21:45 - 25.12.2022 22:00,0,0,n/e,667,667,667,1065,1065,1065
25.12.2022 22:00 - 25.12.2022 22:15,0,0,n/e,717,717,717,1099,1099,1099
25.12.2022 22:15 - 25.12.2022 22:30,0,0,n/e,756,756,756,1129,1129,1129
25.12.2022 22:30 - 25.12.2022 22:45,0,0,n/e,785,785,785,1153,1153,1153
25.12.2022 22:45 - 25.12.2022 23:00,0,0,n/e,815,815,815,1177,1177,1177
25.12.2022 23:00 - 25.12.2022 23:15,0,0,n/e,844,844,844,1203,1203,1203
25.12.2022 23:15 - 25.12.2022 23:30,0,0,n/e,875,875,875,1227,1227,1227
25.12.2022 23:30 - 25.12.2022 23:45,0,0,n/e,907,907,907,1250,1250,1250
25.12.2022 23:45 - 26.12.2022 00:00,0,0,n/e,938,938,938,1273,1273,1273
26.12.2022 00:00 - 26.12.2022 00:15,0,0,n/e,835,835,835,1727,1727,1727
26.12.2022 00:15 - 26.12.2022 00:30,0,0,n/e,880,880,880,1803,1803,1803
26.12.2022 00:30 - 26.12.2022 00:45,0,0,n/e,933,933,933,1874,1874,1874
26.12.2022 00:45 - 26.12.2022 01:00,0,0,n/e,986,986,986,1946,1946,1946
26.12.2022 01:00 - 26.12.2022 01:15,0,0,n/e,1039,1039,1039,2017,2017,2017
26.12.2022 01:15 - 26.12.2022 01:30,0,0,n/e,1093,1093,1093,2122,2122,2122
26.12.2022 01:30 - 26.12.2022 01:45,0,0,n/e,1148,1148,1148,2263,2263,2263
26.12.2022 01:45 - 26.12.2022 02:00,0,0,n/e,1202,1202,1202,2403,2403,2403
26.12.2022 02:00 - 26.12.2022 02:15,0,0,n/e,1257,1257,1257,2544,2544,2544
26.12.2022 02:15 - 26.12.2022 02:30,0,0,n/e,1305,1305,1305,2679,2679,2679
26.12.2022 02:30 - 26.12.2022 02:45,0,0,n/e,1346,1346,1346,2805,2805,2805
26.12.2022 02:45 - 26.12.2022 03:00,0,0,n/e,1387,1387,1387,2937,2937,2937
26.12.2022 03:00 - 26.12.2022 03:15,0,0,n/e,1428,1428,1428,3065,3065,3065
26.12.2022 03:15 - 26.12.2022 03:30,0,0,n/e,1462,1462,1462,3187,3187,3187
26.12.2022 03:30 - 26.12.2022 03:45,0,0,n/e,1489,1489,1489,3300,3300,3300
26.12.2022 03:45 - 26.12.2022 04:00,0,0,n/e,1517,1517,1517,3417,3417,3417
26.12.2022 04:00 - 26.12.2022 04:15,0,0,n/e,1545,1545,1545,3530,3530,3530
26.12.2022 04:15 - 26.12.2022 04:30,0,0,n/e,1561,1561,1561,3618,3618,3618
26.12.2022 04:30 - 26.12.2022 04:45,0,0,n/e,1565,1565,1565,3682,3682,3682
26.12.2022 04:45 - 26.12.2022 05:00,0,0,n/e,1570,1570,1570,3745,3745,3745
26.12.2022 05:00 - 26.12.2022 05:15,0,0,n/e,1575,1575,1575,3809,3809,3809
26.12.2022 05:15 - 26.12.2022 05:30,0,0,n/e,1578,1578,1578,3865,3865,3865
26.12.2022 05:30 - 26.12.2022 05:45,0,0,n/e,1580,1580,1580,3913,3913,3913
26.12.2022 05:45 - 26.12.2022 06:00,0,0,n/e,1582,1582,1582,3962,3962,3962
26.12.2022 06:00 - 26.12.2022 06:15,0,0,n/e,1584,1584,1584,4012,4012,4012
26.12.2022 06:15 - 26.12.2022 06:30,0,0,n/e,1585,1585,1585,4057,4057,4057
26.12.2022 06:30 - 26.12.2022 06:45,0,0,n/e,1585,1585,1585,4099,4099,4099
26.12.2022 06:45 - 26.12.2022 07:00,0,0,n/e,1585,1585,1585,4141,4141,4141
26.12.2022 07:00 - 26.12.2022 07:15,0,0,n/e,1585,1585,1585,4183,4183,4183
26.12.2022 07:15 - 26.12.2022 07:30,0,0,n/e,1584,1584,1584,4248,4248,4248
26.12.2022 07:30 - 26.12.2022 07:45,0,0,n/e,1582,1582,1582,4335,4335,4335
26.12.2022 07:45 - 26.12.2022 08:00,0,0,n/e,1579,1579,1579,4420,4420,4420
26.12.2022 08:00 - 26.12.2022 08:15,0,0,n/e,1577,1577,1577,4510,4510,4510
26.12.2022 08:15 - 26.12.2022 08:30,0,0,n/e,1578,1578,1578,4587,4587,4587
26.12.2022 08:30 - 26.12.2022 08:45,0,0,n/e,1583,1583,1583,4655,4655,4655
26.12.2022 08:45 - 26.12.2022 09:00,0,0,n/e,1588,1588,1588,4725,4725,4725
26.12.2022 09:00 - 26.12.2022 09:15,1,1,n/e,1593,1593,1593,4793,4793,4793
26.12.2022 09:15 - 26.12.2022 09:30,43,43,n/e,1598,1598,1598,4850,4850,4850
26.12.2022 09:30 - 26.12.2022 09:45,82,82,n/e,1604,1604,1604,4896,4896,4896
26.12.2022 09:45 - 26.12.2022 10:00,124,124,n/e,1610,1610,1610,4940,4940,4940
26.12.2022 10:00 - 26.12.2022 10:15,163,163,n/e,1617,1617,1617,4986,4986,4986
26.12.2022 10:15 - 26.12.2022 10:30,284,284,n/e,1613,1613,1613,4985,4985,4985
26.12.2022 10:30 - 26.12.2022 10:45,401,401,n/e,1601,1601,1601,4945,4945,4945
26.12.2022 10:45 - 26.12.2022 11:00,519,519,n/e,1589,1589,1589,4904,4904,4904
26.12.2022 11:00 - 26.12.2022 11:15,638,638,n/e,1576,1576,1576,4864,4864,4864
26.12.2022 11:15 - 26.12.2022 11:30,690,690,n/e,1570,1570,1570,4810,4810,4810
26.12.2022 11:30 - 26.12.2022 11:45,741,741,n/e,1570,1570,1570,4741,4741,4741
26.12.2022 11:45 - 26.12.2022 12:00,791,791,n/e,1569,1569,1569,4672,4672,4672
26.12.2022 12:00 - 26.12.2022 12:15,843,843,n/e,1569,1569,1569,4603,4603,4603
26.12.2022 12:15 - 26.12.2022 12:30,865,865,n/e,1565,1565,1565,4521,4521,4521
26.12.2022 12:30 - 26.12.2022 12:45,887,887,n/e,1557,1557,1557,4428,4428,4428
26.12.2022 12:45 - 26.12.2022 13:00,912,912,n/e,1549,1549,1549,4338,4338,4338
26.12.2022 13:00 - 26.12.2022 13:15,932,932,n/e,1541,1541,1541,4246,4246,4246
26.12.2022 13:15 - 26.12.2022 13:30,1177,1177,n/e,1535,1535,1535,4167,4167,4167
26.12.2022 13:30 - 26.12.2022 13:45,1424,1424,n/e,1530,1530,1530,4098,4098,4098
26.12.2022 13:45 - 26.12.2022 14:00,1669,1669,n/e,1526,1526,1526,4029,4029,4029
26.12.2022 14:00 - 26.12.2022 14:15,1913,1913,n/e,1522,1522,1522,3961,3961,3961
26.12.2022 14:15 - 26.12.2022 14:30,1840,1840,n/e,1516,1516,1516,3891,3891,3891
26.12.2022 14:30 - 26.12.2022 14:45,1767,1767,n/e,1507,1507,1507,3814,3814,3814
26.12.2022 14:45 - 26.12.2022 15:00,1692,1692,n/e,1498,1498,1498,3740,3740,3740
26.12.2022 15:00 - 26.12.2022 15:15,1619,1619,n/e,1489,1489,1489,3661,3661,3661
