MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Netherlands (NL),Generation - Solar  [MW] Intraday / Netherlands (NL),Generation - Solar  [MW] Current / Netherlands (NL),Generation - Wind Offshore  [MW] Day Ahead/ Netherlands (NL),Generation - Wind Offshore  [MW] Intraday / Netherlands (NL),Generation - Wind Offshore  [MW] Current / Netherlands (NL),Generation - Wind Onshore  [MW] Day Ahead/ Netherlands (NL),Generation - Wind Onshore  [MW] Intraday / Netherlands (NL),Generation - Wind Onshore  [MW] Current / Netherlands (NL)
02.01.2022 07:30 - 02.01.2022 07:45,0,0,n/e,1404,1404,1404,3103,3103,3103
02.01.2022 07:45 - 02.01.2022 08:00,0,0,n/e,1404,1404,1404,3132,3132,3132
02.01.2022 08:00 - 02.01.2022 08:15,0,0,n/e,1404,1404,1404,3165,3165,3165
02.01.2022 08:15 - 02.01.2022 08:30,0,0,n/e,1404,1404,1404,3207,3207,3207
02.01.2022 08:30 - 02.01.2022 08:45,0,0,n/e,1403,1403,1403,3268,3268,3268
02.01.2022 08:45 - 02.01.2022 09:00,0,0,n/e,1403,1403,1403,3325,3325,3325
02.01.2022 09:00 - 02.01.2022 09:15,0,0,n/e,1402,1402,1402,3388,3388,3388
02.01.2022 09:15 - 02.01.2022 09:30,37,37,n/e,1401,1401,1401,3444,3444,3444
02.01.2022 09:30 - 02.01.2022 09:45,75,75,n/e,1400,1400,1400,3502,3502,3502
02.01.2022 09:45 - 02.01.2022 10:00,108,108,n/e,1399,1399,1399,3558,3558,3558
02.01.2022 10:00 - 02.01.2022 10:15,146,146,n/e,1398,1398,1398,3617,3617,3617
02.01.2022 10:15 - 02.01.2022 10:30,271,271,n/e,1400,1400,1400,3681,3681,3681
02.01.2022 10:30 - 02.01.2022 10:45,392,392,n/e,1404,1404,1404,3755,3755,3755
02.01.2022 10:45 - 02.01.2022 11:00,512,512,n/e,1409,1409,1409,3828,3828,3828
02.01.2022 11:00 - 02.01.2022 11:15,636,636,n/e,1413,1413,1413,3900,3900,3900
02.01.2022 11:15 - 02.01.2022 11:30,694,694,n/e,1418,1418,1418,3982,3982,3982
02.01.2022 11:30 - 02.01.2022 11:45,752,752,n/e,1423,1423,1423,4076,4076,4076
02.01.2022 11:45 - 02.01.2022 12:00,808,808,n/e,1428,1428,1428,4167,4167,4167
02.01.2022 12:00 - 02.01.2022 12:15,868,868,n/e,1432,1432,1432,4261,4261,4261
02.01.2022 12:15 - 02.01.2022 12:30,905,905,n/e,1435,1435,1435,4329,4329,4329
02.01.2022 12:30 - 02.01.2022 12:45,943,943,n/e,1436,1436,1436,4372,4372,4372
02.01.2022 12:45 - 02.01.2022 13:00,981,981,n/e,1437,1437,1437,4414,4414,4414
02.01.2022 13:00 - 02.01.2022 13:15,1021,1021,n/e,1438,1438,1438,4456,4456,4456
02.01.2022 13:15 - 02.01.2022 13:30,1156,1156,n/e,1438,1438,1438,4483,4483,4483
02.01.2022 13:30 - 02.01.2022 13:45,1293,1293,n/e,1437,1437,1437,4495,4495,4495
02.01.2022 13:45 - 02.01.2022 14:00,1428,1428,n/e,1436,1436,1436,4505,4505,4505
02.01.2022 14:00 - 02.01.2022 14:15,1564,1564,n/e,1435,1435,1435,4516,4516,4516
02.01.2022 14:15 - 02.01.2022 14:30,1504,1504,n/e,1433,1433,1433,4510,4510,4510
