MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Czech Republic (CZ),Generation - Solar  [MW] Intraday / Czech Republic (CZ),Generation - Solar  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Offshore  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Offshore  [MW] Intraday / Czech Republic (CZ),Generation - Wind Offshore  [MW] Current / Czech Republic (CZ),Generation - Wind Onshore  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Onshore  [MW] Intraday / Czech Republic (CZ),Generation - Wind Onshore  [MW] Current / Czech Republic (CZ)
06.01.2022 21:00 - 06.01.2022 22:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 22:00 - 06.01.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.01.2022 23:00 - 07.01.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 00:00 - 07.01.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 01:00 - 07.01.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 02:00 - 07.01.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 03:00 - 07.01.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 04:00 - 07.01.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 05:00 - 07.01.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 06:00 - 07.01.2022 07:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 07:00 - 07.01.2022 08:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 08:00 - 07.01.2022 09:00,87,87,87,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 09:00 - 07.01.2022 10:00,314,314,314,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 10:00 - 07.01.2022 11:00,546,546,546,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 11:00 - 07.01.2022 12:00,669,669,669,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 12:00 - 07.01.2022 13:00,631,631,631,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 13:00 - 07.01.2022 14:00,538,538,538,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 14:00 - 07.01.2022 15:00,318,318,318,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 15:00 - 07.01.2022 16:00,90,90,90,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 16:00 - 07.01.2022 17:00,8,8,8,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 17:00 - 07.01.2022 18:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 18:00 - 07.01.2022 19:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 19:00 - 07.01.2022 20:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 20:00 - 07.01.2022 21:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 21:00 - 07.01.2022 22:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 22:00 - 07.01.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.01.2022 23:00 - 08.01.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 00:00 - 08.01.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 01:00 - 08.01.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 02:00 - 08.01.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 03:00 - 08.01.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 04:00 - 08.01.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 05:00 - 08.01.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 06:00 - 08.01.2022 07:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 07:00 - 08.01.2022 08:00,1,1,1,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 08:00 - 08.01.2022 09:00,34,34,34,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 09:00 - 08.01.2022 10:00,124,124,124,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 10:00 - 08.01.2022 11:00,212,212,212,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 11:00 - 08.01.2022 12:00,255,255,255,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 12:00 - 08.01.2022 13:00,239,239,239,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 13:00 - 08.01.2022 14:00,183,183,183,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 14:00 - 08.01.2022 15:00,105,105,105,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 15:00 - 08.01.2022 16:00,32,32,32,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 16:00 - 08.01.2022 17:00,5,5,5,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 17:00 - 08.01.2022 18:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 18:00 - 08.01.2022 19:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 19:00 - 08.01.2022 20:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 20:00 - 08.01.2022 21:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 21:00 - 08.01.2022 22:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 22:00 - 08.01.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.01.2022 23:00 - 09.01.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 00:00 - 09.01.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 01:00 - 09.01.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 02:00 - 09.01.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 03:00 - 09.01.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
