MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Slovakia (SK),Generation - Solar  [MW] Intraday / Slovakia (SK),Generation - Solar  [MW] Day Ahead/ Slovakia (SK),Generation - Wind Offshore  [MW] Day Ahead/ Slovakia (SK),Generation - Wind Offshore  [MW] Intraday / Slovakia (SK),Generation - Wind Offshore  [MW] Current / Slovakia (SK),Generation - Wind Onshore  [MW] Day Ahead/ Slovakia (SK),Generation - Wind Onshore  [MW] Intraday / Slovakia (SK),Generation - Wind Onshore  [MW] Day Ahead/ Slovakia (SK)
08.01.2022 20:00 - 08.01.2022 21:00,0,0,0,n/e,n/e,n/e,1,1,1
08.01.2022 21:00 - 08.01.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
08.01.2022 22:00 - 08.01.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
08.01.2022 23:00 - 09.01.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
09.01.2022 00:00 - 09.01.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
09.01.2022 01:00 - 09.01.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
09.01.2022 02:00 - 09.01.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
09.01.2022 03:00 - 09.01.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
09.01.2022 04:00 - 09.01.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
09.01.2022 05:00 - 09.01.2022 06:00,0,0,0,n/e,n/e,n/e,1,1,1
09.01.2022 06:00 - 09.01.2022 07:00,0,0,0,n/e,n/e,n/e,1,1,1
09.01.2022 07:00 - 09.01.2022 08:00,10,10,10,n/e,n/e,n/e,1,1,1
09.01.2022 08:00 - 09.01.2022 09:00,40,40,40,n/e,n/e,n/e,1,1,1
09.01.2022 09:00 - 09.01.2022 10:00,100,100,100,n/e,n/e,n/e,1,1,1
09.01.2022 10:00 - 09.01.2022 11:00,130,130,130,n/e,n/e,n/e,1,1,1
09.01.2022 11:00 - 09.01.2022 12:00,165,165,165,n/e,n/e,n/e,1,1,1
09.01.2022 12:00 - 09.01.2022 13:00,140,140,140,n/e,n/e,n/e,1,1,1
09.01.2022 13:00 - 09.01.2022 14:00,85,85,85,n/e,n/e,n/e,1,1,1
09.01.2022 14:00 - 09.01.2022 15:00,30,30,30,n/e,n/e,n/e,1,1,1
09.01.2022 15:00 - 09.01.2022 16:00,1,1,1,n/e,n/e,n/e,1,1,1
09.01.2022 16:00 - 09.01.2022 17:00,0,0,0,n/e,n/e,n/e,1,1,1
09.01.2022 17:00 - 09.01.2022 18:00,0,0,0,n/e,n/e,n/e,1,1,1
09.01.2022 18:00 - 09.01.2022 19:00,0,0,0,n/e,n/e,n/e,1,1,1
09.01.2022 19:00 - 09.01.2022 20:00,0,0,0,n/e,n/e,n/e,1,1,1
09.01.2022 20:00 - 09.01.2022 21:00,0,0,0,n/e,n/e,n/e,1,1,1
09.01.2022 21:00 - 09.01.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
09.01.2022 22:00 - 09.01.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
09.01.2022 23:00 - 10.01.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
10.01.2022 00:00 - 10.01.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
10.01.2022 01:00 - 10.01.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
10.01.2022 02:00 - 10.01.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
10.01.2022 03:00 - 10.01.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
10.01.2022 04:00 - 10.01.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
10.01.2022 05:00 - 10.01.2022 06:00,0,0,0,n/e,n/e,n/e,1,1,1
10.01.2022 06:00 - 10.01.2022 07:00,2,2,2,n/e,n/e,n/e,1,1,1
10.01.2022 07:00 - 10.01.2022 08:00,35,35,35,n/e,n/e,n/e,1,1,1
10.01.2022 08:00 - 10.01.2022 09:00,90,90,90,n/e,n/e,n/e,1,1,1
10.01.2022 09:00 - 10.01.2022 10:00,125,125,125,n/e,n/e,n/e,1,1,1
10.01.2022 10:00 - 10.01.2022 11:00,140,140,140,n/e,n/e,n/e,1,1,1
10.01.2022 11:00 - 10.01.2022 12:00,150,150,150,n/e,n/e,n/e,1,1,1
10.01.2022 12:00 - 10.01.2022 13:00,130,130,130,n/e,n/e,n/e,1,1,1
10.01.2022 13:00 - 10.01.2022 14:00,95,95,95,n/e,n/e,n/e,1,1,1
10.01.2022 14:00 - 10.01.2022 15:00,50,50,50,n/e,n/e,n/e,1,1,1
10.01.2022 15:00 - 10.01.2022 16:00,8,8,8,n/e,n/e,n/e,1,1,1
10.01.2022 16:00 - 10.01.2022 17:00,0,0,0,n/e,n/e,n/e,1,1,1
10.01.2022 17:00 - 10.01.2022 18:00,0,0,0,n/e,n/e,n/e,1,1,1
10.01.2022 18:00 - 10.01.2022 19:00,0,0,0,n/e,n/e,n/e,1,1,1
10.01.2022 19:00 - 10.01.2022 20:00,0,0,0,n/e,n/e,n/e,1,1,1
10.01.2022 20:00 - 10.01.2022 21:00,0,0,0,n/e,n/e,n/e,1,1,1
10.01.2022 21:00 - 10.01.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
10.01.2022 22:00 - 10.01.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
10.01.2022 23:00 - 11.01.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
11.01.2022 00:00 - 11.01.2022 01:00,0,0,0,n/e,n/e,n/e,2,2,2
11.01.2022 01:00 - 11.01.2022 02:00,0,0,0,n/e,n/e,n/e,2,2,2
11.01.2022 02:00 - 11.01.2022 03:00,0,0,0,n/e,n/e,n/e,2,2,2
11.01.2022 03:00 - 11.01.2022 04:00,0,0,0,n/e,n/e,n/e,2,2,2
11.01.2022 04:00 - 11.01.2022 05:00,0,0,0,n/e,n/e,n/e,2,2,2
11.01.2022 05:00 - 11.01.2022 06:00,0,0,0,n/e,n/e,n/e,2,2,2
11.01.2022 06:00 - 11.01.2022 07:00,0,0,0,n/e,n/e,n/e,2,2,2
11.01.2022 07:00 - 11.01.2022 08:00,8,8,8,n/e,n/e,n/e,2,2,2
11.01.2022 08:00 - 11.01.2022 09:00,75,75,75,n/e,n/e,n/e,2,2,2
11.01.2022 09:00 - 11.01.2022 10:00,160,160,160,n/e,n/e,n/e,2,2,2
11.01.2022 10:00 - 11.01.2022 11:00,225,225,225,n/e,n/e,n/e,2,2,2
11.01.2022 11:00 - 11.01.2022 12:00,240,240,240,n/e,n/e,n/e,2,2,2
11.01.2022 12:00 - 11.01.2022 13:00,220,220,220,n/e,n/e,n/e,2,2,2
11.01.2022 13:00 - 11.01.2022 14:00,145,145,145,n/e,n/e,n/e,2,2,2
11.01.2022 14:00 - 11.01.2022 15:00,60,60,60,n/e,n/e,n/e,2,2,2
11.01.2022 15:00 - 11.01.2022 16:00,3,3,3,n/e,n/e,n/e,2,2,2
11.01.2022 16:00 - 11.01.2022 17:00,0,0,0,n/e,n/e,n/e,2,2,2
11.01.2022 17:00 - 11.01.2022 18:00,0,0,0,n/e,n/e,n/e,2,2,2
11.01.2022 18:00 - 11.01.2022 19:00,0,0,0,n/e,n/e,n/e,2,2,2
11.01.2022 19:00 - 11.01.2022 20:00,0,0,0,n/e,n/e,n/e,2,2,2
11.01.2022 20:00 - 11.01.2022 21:00,0,0,0,n/e,n/e,n/e,2,2,2
11.01.2022 21:00 - 11.01.2022 22:00,0,0,0,n/e,n/e,n/e,2,2,2
11.01.2022 22:00 - 11.01.2022 23:00,0,0,0,n/e,n/e,n/e,2,2,2
11.01.2022 23:00 - 12.01.2022 00:00,0,0,0,n/e,n/e,n/e,2,2,2
12.01.2022 00:00 - 12.01.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
12.01.2022 01:00 - 12.01.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
12.01.2022 02:00 - 12.01.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
12.01.2022 03:00 - 12.01.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
