MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Denmark (DK),Generation - Solar  [MW] Day Ahead/ Denmark (DK),Generation - Solar  [MW] Day Ahead/ Denmark (DK),Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK)
07.01.2022 22:00 - 07.01.2022 23:00,0,0,0,762,762,762,972,972,972
07.01.2022 23:00 - 08.01.2022 00:00,0,0,0,713,713,713,923,923,923
08.01.2022 00:00 - 08.01.2022 01:00,0,0,0,686,686,686,878,878,878
08.01.2022 01:00 - 08.01.2022 02:00,0,0,0,648,648,648,861,861,861
08.01.2022 02:00 - 08.01.2022 03:00,0,0,0,608,608,608,865,865,865
08.01.2022 03:00 - 08.01.2022 04:00,0,0,0,698,698,698,877,877,877
08.01.2022 04:00 - 08.01.2022 05:00,0,0,0,810,810,810,973,973,973
08.01.2022 05:00 - 08.01.2022 06:00,0,0,0,948,948,948,1098,1098,1098
08.01.2022 06:00 - 08.01.2022 07:00,0,0,0,1086,1086,1086,1269,1269,1269
08.01.2022 07:00 - 08.01.2022 08:00,0,0,0,1108,1108,1108,1426,1426,1426
08.01.2022 08:00 - 08.01.2022 09:00,0,0,0,1142,1142,1142,1512,1512,1512
08.01.2022 09:00 - 08.01.2022 10:00,18,18,18,1157,1157,1157,1454,1454,1454
08.01.2022 10:00 - 08.01.2022 11:00,63,63,63,1111,1111,1111,1275,1275,1275
08.01.2022 11:00 - 08.01.2022 12:00,120,120,120,1003,1003,1003,1134,1134,1134
08.01.2022 12:00 - 08.01.2022 13:00,148,148,148,954,954,954,1017,1017,1017
08.01.2022 13:00 - 08.01.2022 14:00,120,120,120,1018,1018,1018,871,871,871
08.01.2022 14:00 - 08.01.2022 15:00,73,73,73,995,995,995,746,746,746
08.01.2022 15:00 - 08.01.2022 16:00,22,22,22,1033,1033,1033,701,701,701
08.01.2022 16:00 - 08.01.2022 17:00,0,0,0,1068,1068,1068,718,718,718
08.01.2022 17:00 - 08.01.2022 18:00,0,0,0,1042,1042,1042,792,792,792
08.01.2022 18:00 - 08.01.2022 19:00,0,0,0,1016,1016,1016,922,922,922
08.01.2022 19:00 - 08.01.2022 20:00,0,0,0,1023,1023,1023,1049,1049,1049
08.01.2022 20:00 - 08.01.2022 21:00,0,0,0,1059,1059,1059,1195,1195,1195
08.01.2022 21:00 - 08.01.2022 22:00,0,0,0,1103,1103,1103,1328,1328,1328
08.01.2022 22:00 - 08.01.2022 23:00,0,0,0,1131,1131,1131,1486,1486,1486
08.01.2022 23:00 - 09.01.2022 00:00,0,0,0,1191,1191,1191,1594,1594,1594
09.01.2022 00:00 - 09.01.2022 01:00,0,0,0,1313,1313,1313,2086,2086,2086
09.01.2022 01:00 - 09.01.2022 02:00,0,0,0,1364,1364,1364,2128,2128,2128
09.01.2022 02:00 - 09.01.2022 03:00,0,0,0,1407,1407,1407,2175,2175,2175
09.01.2022 03:00 - 09.01.2022 04:00,0,0,0,1396,1396,1396,2172,2172,2172
09.01.2022 04:00 - 09.01.2022 05:00,0,0,0,1359,1359,1359,2163,2163,2163
09.01.2022 05:00 - 09.01.2022 06:00,0,0,0,1312,1312,1312,2095,2095,2095
09.01.2022 06:00 - 09.01.2022 07:00,0,0,0,1280,1280,1280,2062,2062,2062
09.01.2022 07:00 - 09.01.2022 08:00,0,0,0,1246,1246,1246,2001,2001,2001
09.01.2022 08:00 - 09.01.2022 09:00,0,0,0,1115,1115,1115,1911,1911,1911
09.01.2022 09:00 - 09.01.2022 10:00,6,6,6,900,900,900,1723,1723,1723
09.01.2022 10:00 - 09.01.2022 11:00,21,21,21,792,792,792,1476,1476,1476
09.01.2022 11:00 - 09.01.2022 12:00,36,36,36,737,737,737,1393,1393,1393
09.01.2022 12:00 - 09.01.2022 13:00,45,45,45,709,709,709,1334,1334,1334
09.01.2022 13:00 - 09.01.2022 14:00,39,39,39,600,600,600,1193,1193,1193
09.01.2022 14:00 - 09.01.2022 15:00,24,24,24,651,651,651,1131,1131,1131
09.01.2022 15:00 - 09.01.2022 16:00,6,6,6,632,632,632,1142,1142,1142
09.01.2022 16:00 - 09.01.2022 17:00,0,0,0,572,572,572,1127,1127,1127
09.01.2022 17:00 - 09.01.2022 18:00,0,0,0,584,584,584,1153,1153,1153
09.01.2022 18:00 - 09.01.2022 19:00,0,0,0,563,563,563,1209,1209,1209
09.01.2022 19:00 - 09.01.2022 20:00,0,0,0,537,537,537,1201,1201,1201
09.01.2022 20:00 - 09.01.2022 21:00,0,0,0,561,561,561,1254,1254,1254
09.01.2022 21:00 - 09.01.2022 22:00,0,0,0,569,569,569,1275,1275,1275
09.01.2022 22:00 - 09.01.2022 23:00,0,0,0,549,549,549,1280,1280,1280
09.01.2022 23:00 - 10.01.2022 00:00,0,0,0,538,538,538,1256,1256,1256
10.01.2022 00:00 - 10.01.2022 01:00,0,0,0,515,515,515,1184,1184,1184
10.01.2022 01:00 - 10.01.2022 02:00,0,0,0,498,498,498,1171,1171,1171
10.01.2022 02:00 - 10.01.2022 03:00,0,0,0,461,461,461,1159,1159,1159
10.01.2022 03:00 - 10.01.2022 04:00,0,0,0,429,429,429,1138,1138,1138
10.01.2022 04:00 - 10.01.2022 05:00,0,0,0,411,411,411,1158,1158,1158
10.01.2022 05:00 - 10.01.2022 06:00,0,0,0,450,450,450,1164,1164,1164
10.01.2022 06:00 - 10.01.2022 07:00,0,0,0,497,497,497,1163,1163,1163
10.01.2022 07:00 - 10.01.2022 08:00,0,0,0,524,524,524,1134,1134,1134
10.01.2022 08:00 - 10.01.2022 09:00,1,1,1,551,551,551,1080,1080,1080
10.01.2022 09:00 - 10.01.2022 10:00,24,24,24,504,504,504,1009,1009,1009
10.01.2022 10:00 - 10.01.2022 11:00,76,76,76,553,553,553,908,908,908
10.01.2022 11:00 - 10.01.2022 12:00,119,119,119,599,599,599,902,902,902
10.01.2022 12:00 - 10.01.2022 13:00,133,133,133,595,595,595,898,898,898
10.01.2022 13:00 - 10.01.2022 14:00,111,111,111,559,559,559,810,810,810
10.01.2022 14:00 - 10.01.2022 15:00,68,68,68,571,571,571,731,731,731
10.01.2022 15:00 - 10.01.2022 16:00,18,18,18,547,547,547,659,659,659
10.01.2022 16:00 - 10.01.2022 17:00,0,0,0,566,566,566,635,635,635
10.01.2022 17:00 - 10.01.2022 18:00,0,0,0,665,665,665,673,673,673
10.01.2022 18:00 - 10.01.2022 19:00,0,0,0,754,754,754,749,749,749
10.01.2022 19:00 - 10.01.2022 20:00,0,0,0,787,787,787,812,812,812
10.01.2022 20:00 - 10.01.2022 21:00,0,0,0,783,783,783,854,854,854
10.01.2022 21:00 - 10.01.2022 22:00,0,0,0,781,781,781,898,898,898
10.01.2022 22:00 - 10.01.2022 23:00,0,0,0,802,802,802,946,946,946
10.01.2022 23:00 - 11.01.2022 00:00,0,0,0,814,814,814,1002,1002,1002
11.01.2022 00:00 - 11.01.2022 01:00,0,0,0,743,743,743,721,721,721
11.01.2022 01:00 - 11.01.2022 02:00,0,0,0,753,753,753,708,708,708
11.01.2022 02:00 - 11.01.2022 03:00,0,0,0,762,762,762,722,722,722
11.01.2022 03:00 - 11.01.2022 04:00,0,0,0,813,813,813,749,749,749
11.01.2022 04:00 - 11.01.2022 05:00,0,0,0,852,852,852,831,831,831
11.01.2022 05:00 - 11.01.2022 06:00,0,0,0,892,892,892,935,935,935
11.01.2022 06:00 - 11.01.2022 07:00,0,0,0,939,939,939,1059,1059,1059
11.01.2022 07:00 - 11.01.2022 08:00,0,0,0,988,988,988,1202,1202,1202
11.01.2022 08:00 - 11.01.2022 09:00,0,0,0,1021,1021,1021,1365,1365,1365
11.01.2022 09:00 - 11.01.2022 10:00,12,12,12,1027,1027,1027,1445,1445,1445
11.01.2022 10:00 - 11.01.2022 11:00,36,36,36,1036,1036,1036,1416,1416,1416
11.01.2022 11:00 - 11.01.2022 12:00,59,59,59,1062,1062,1062,1492,1492,1492
11.01.2022 12:00 - 11.01.2022 13:00,64,64,64,1085,1085,1085,1564,1564,1564
11.01.2022 13:00 - 11.01.2022 14:00,49,49,49,1093,1093,1093,1520,1520,1520
11.01.2022 14:00 - 11.01.2022 15:00,30,30,30,1108,1108,1108,1536,1536,1536
11.01.2022 15:00 - 11.01.2022 16:00,8,8,8,1128,1128,1128,1624,1624,1624
11.01.2022 16:00 - 11.01.2022 17:00,0,0,0,1070,1070,1070,1521,1521,1521
11.01.2022 17:00 - 11.01.2022 18:00,0,0,0,933,933,933,1314,1314,1314
11.01.2022 18:00 - 11.01.2022 19:00,0,0,0,740,740,740,1111,1111,1111
