MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Denmark (DK),Generation - Solar  [MW] Day Ahead/ Denmark (DK),Generation - Solar  [MW] Day Ahead/ Denmark (DK),Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK)
21.10.2022 04:00 - 21.10.2022 05:00,0,0,0,749,749,749,861,861,861
21.10.2022 05:00 - 21.10.2022 06:00,0,0,0,746,746,746,816,816,816
21.10.2022 06:00 - 21.10.2022 07:00,0,0,0,769,769,769,749,749,749
21.10.2022 07:00 - 21.10.2022 08:00,1,1,1,723,723,723,646,646,646
21.10.2022 08:00 - 21.10.2022 09:00,23,23,23,647,647,647,542,542,542
21.10.2022 09:00 - 21.10.2022 10:00,97,97,97,524,524,524,569,569,569
21.10.2022 10:00 - 21.10.2022 11:00,179,179,179,443,443,443,570,570,570
21.10.2022 11:00 - 21.10.2022 12:00,254,254,254,402,402,402,526,526,526
21.10.2022 12:00 - 21.10.2022 13:00,274,274,274,352,352,352,485,485,485
21.10.2022 13:00 - 21.10.2022 14:00,242,242,242,293,293,293,478,478,478
21.10.2022 14:00 - 21.10.2022 15:00,198,198,198,243,243,243,454,454,454
21.10.2022 15:00 - 21.10.2022 16:00,151,151,151,227,227,227,416,416,416
21.10.2022 16:00 - 21.10.2022 17:00,90,90,90,240,240,240,410,410,410
21.10.2022 17:00 - 21.10.2022 18:00,22,22,22,261,261,261,419,419,419
21.10.2022 18:00 - 21.10.2022 19:00,1,1,1,212,212,212,388,388,388
21.10.2022 19:00 - 21.10.2022 20:00,0,0,0,205,205,205,320,320,320
21.10.2022 20:00 - 21.10.2022 21:00,0,0,0,221,221,221,286,286,286
21.10.2022 21:00 - 21.10.2022 22:00,0,0,0,206,206,206,258,258,258
21.10.2022 22:00 - 21.10.2022 23:00,0,0,0,178,178,178,218,218,218
21.10.2022 23:00 - 22.10.2022 00:00,0,0,0,172,172,172,190,190,190
22.10.2022 00:00 - 22.10.2022 01:00,0,0,0,137,137,137,267,267,267
22.10.2022 01:00 - 22.10.2022 02:00,0,0,0,112,112,112,218,218,218
22.10.2022 02:00 - 22.10.2022 03:00,0,0,0,106,106,106,184,184,184
22.10.2022 03:00 - 22.10.2022 04:00,0,0,0,123,123,123,164,164,164
22.10.2022 04:00 - 22.10.2022 05:00,0,0,0,121,121,121,154,154,154
22.10.2022 05:00 - 22.10.2022 06:00,0,0,0,112,112,112,151,151,151
22.10.2022 06:00 - 22.10.2022 07:00,0,0,0,138,138,138,157,157,157
22.10.2022 07:00 - 22.10.2022 08:00,1,1,1,149,149,149,151,151,151
22.10.2022 08:00 - 22.10.2022 09:00,20,20,20,164,164,164,132,132,132
22.10.2022 09:00 - 22.10.2022 10:00,100,100,100,203,203,203,148,148,148
22.10.2022 10:00 - 22.10.2022 11:00,191,191,191,226,226,226,170,170,170
22.10.2022 11:00 - 22.10.2022 12:00,265,265,265,266,266,266,196,196,196
22.10.2022 12:00 - 22.10.2022 13:00,314,314,314,267,267,267,233,233,233
22.10.2022 13:00 - 22.10.2022 14:00,306,306,306,331,331,331,294,294,294
22.10.2022 14:00 - 22.10.2022 15:00,242,242,242,413,413,413,332,332,332
22.10.2022 15:00 - 22.10.2022 16:00,180,180,180,440,440,440,347,347,347
22.10.2022 16:00 - 22.10.2022 17:00,104,104,104,439,439,439,359,359,359
22.10.2022 17:00 - 22.10.2022 18:00,25,25,25,428,428,428,418,418,418
22.10.2022 18:00 - 22.10.2022 19:00,1,1,1,433,433,433,509,509,509
22.10.2022 19:00 - 22.10.2022 20:00,0,0,0,445,445,445,543,543,543
22.10.2022 20:00 - 22.10.2022 21:00,0,0,0,477,477,477,592,592,592
22.10.2022 21:00 - 22.10.2022 22:00,0,0,0,494,494,494,659,659,659
22.10.2022 22:00 - 22.10.2022 23:00,0,0,0,524,524,524,709,709,709
22.10.2022 23:00 - 23.10.2022 00:00,0,0,0,538,538,538,717,717,717
23.10.2022 00:00 - 23.10.2022 01:00,0,0,0,363,363,363,627,627,627
23.10.2022 01:00 - 23.10.2022 02:00,0,0,0,348,348,348,654,654,654
23.10.2022 02:00 - 23.10.2022 03:00,0,0,0,327,327,327,633,633,633
23.10.2022 03:00 - 23.10.2022 04:00,0,0,0,381,381,381,573,573,573
23.10.2022 04:00 - 23.10.2022 05:00,0,0,0,369,369,369,520,520,520
23.10.2022 05:00 - 23.10.2022 06:00,0,0,0,342,342,342,456,456,456
23.10.2022 06:00 - 23.10.2022 07:00,0,0,0,270,270,270,389,389,389
23.10.2022 07:00 - 23.10.2022 08:00,1,1,1,224,224,224,329,329,329
23.10.2022 08:00 - 23.10.2022 09:00,33,33,33,225,225,225,267,267,267
23.10.2022 09:00 - 23.10.2022 10:00,172,172,172,187,187,187,263,263,263
23.10.2022 10:00 - 23.10.2022 11:00,352,352,352,140,140,140,241,241,241
23.10.2022 11:00 - 23.10.2022 12:00,510,510,510,141,141,141,217,217,217
23.10.2022 12:00 - 23.10.2022 13:00,599,599,599,131,131,131,192,192,192
23.10.2022 13:00 - 23.10.2022 14:00,622,622,622,142,142,142,201,201,201
23.10.2022 14:00 - 23.10.2022 15:00,563,563,563,197,197,197,181,181,181
23.10.2022 15:00 - 23.10.2022 16:00,435,435,435,233,233,233,138,138,138
23.10.2022 16:00 - 23.10.2022 17:00,246,246,246,276,276,276,130,130,130
23.10.2022 17:00 - 23.10.2022 18:00,62,62,62,367,367,367,187,187,187
23.10.2022 18:00 - 23.10.2022 19:00,3,3,3,616,616,616,359,359,359
23.10.2022 19:00 - 23.10.2022 20:00,0,0,0,853,853,853,545,545,545
23.10.2022 20:00 - 23.10.2022 21:00,0,0,0,979,979,979,777,777,777
23.10.2022 21:00 - 23.10.2022 22:00,0,0,0,1034,1034,1034,1062,1062,1062
23.10.2022 22:00 - 23.10.2022 23:00,0,0,0,1094,1094,1094,1257,1257,1257
23.10.2022 23:00 - 24.10.2022 00:00,0,0,0,1109,1109,1109,1318,1318,1318
24.10.2022 00:00 - 24.10.2022 01:00,0,0,0,1099,1099,1099,1540,1540,1540
24.10.2022 01:00 - 24.10.2022 02:00,0,0,0,1094,1094,1094,1598,1598,1598
24.10.2022 02:00 - 24.10.2022 03:00,0,0,0,1134,1134,1134,1647,1647,1647
24.10.2022 03:00 - 24.10.2022 04:00,0,0,0,1139,1139,1139,1630,1630,1630
24.10.2022 04:00 - 24.10.2022 05:00,0,0,0,1092,1092,1092,1572,1572,1572
24.10.2022 05:00 - 24.10.2022 06:00,0,0,0,1137,1137,1137,1488,1488,1488
24.10.2022 06:00 - 24.10.2022 07:00,0,0,0,1136,1136,1136,1362,1362,1362
24.10.2022 07:00 - 24.10.2022 08:00,1,1,1,1157,1157,1157,1168,1168,1168
24.10.2022 08:00 - 24.10.2022 09:00,19,19,19,1225,1225,1225,959,959,959
24.10.2022 09:00 - 24.10.2022 10:00,91,91,91,1235,1235,1235,1044,1044,1044
24.10.2022 10:00 - 24.10.2022 11:00,182,182,182,1234,1234,1234,1153,1153,1153
24.10.2022 11:00 - 24.10.2022 12:00,286,286,286,1267,1267,1267,1211,1211,1211
24.10.2022 12:00 - 24.10.2022 13:00,378,378,378,1259,1259,1259,1447,1447,1447
24.10.2022 13:00 - 24.10.2022 14:00,380,380,380,1246,1246,1246,1590,1590,1590
24.10.2022 14:00 - 24.10.2022 15:00,314,314,314,1236,1236,1236,1762,1762,1762
24.10.2022 15:00 - 24.10.2022 16:00,209,209,209,1280,1280,1280,1871,1871,1871
24.10.2022 16:00 - 24.10.2022 17:00,108,108,108,1269,1269,1269,1961,1961,1961
24.10.2022 17:00 - 24.10.2022 18:00,21,21,21,1287,1287,1287,2056,2056,2056
24.10.2022 18:00 - 24.10.2022 19:00,1,1,1,1319,1319,1319,2004,2004,2004
24.10.2022 19:00 - 24.10.2022 20:00,0,0,0,1335,1335,1335,1744,1744,1744
24.10.2022 20:00 - 24.10.2022 21:00,0,0,0,1350,1350,1350,1648,1648,1648
24.10.2022 21:00 - 24.10.2022 22:00,0,0,0,1348,1348,1348,1685,1685,1685
24.10.2022 22:00 - 24.10.2022 23:00,0,0,0,1307,1307,1307,1654,1654,1654
24.10.2022 23:00 - 25.10.2022 00:00,0,0,0,1249,1249,1249,1528,1528,1528
25.10.2022 00:00 - 25.10.2022 01:00,0,0,0,1259,1259,1259,2552,2552,2552
25.10.2022 01:00 - 25.10.2022 02:00,0,0,0,1189,1189,1189,2341,2341,2341
25.10.2022 02:00 - 25.10.2022 03:00,0,0,0,1144,1144,1144,2156,2156,2156
25.10.2022 03:00 - 25.10.2022 04:00,0,0,0,1105,1105,1105,1934,1934,1934
25.10.2022 04:00 - 25.10.2022 05:00,0,0,0,1111,1111,1111,1739,1739,1739
25.10.2022 05:00 - 25.10.2022 06:00,0,0,0,1137,1137,1137,1608,1608,1608
25.10.2022 06:00 - 25.10.2022 07:00,0,0,0,1192,1192,1192,1497,1497,1497
25.10.2022 07:00 - 25.10.2022 08:00,0,0,0,1196,1196,1196,1368,1368,1368
25.10.2022 08:00 - 25.10.2022 09:00,18,18,18,1210,1210,1210,1233,1233,1233
25.10.2022 09:00 - 25.10.2022 10:00,110,110,110,1101,1101,1101,1426,1426,1426
25.10.2022 10:00 - 25.10.2022 11:00,242,242,242,1040,1040,1040,1619,1619,1619
25.10.2022 11:00 - 25.10.2022 12:00,343,343,343,1011,1011,1011,1683,1683,1683
25.10.2022 12:00 - 25.10.2022 13:00,406,406,406,1030,1030,1030,1818,1818,1818
25.10.2022 13:00 - 25.10.2022 14:00,410,410,410,1054,1054,1054,1782,1782,1782
25.10.2022 14:00 - 25.10.2022 15:00,353,353,353,1020,1020,1020,1738,1738,1738
25.10.2022 15:00 - 25.10.2022 16:00,267,267,267,957,957,957,1585,1585,1585
25.10.2022 16:00 - 25.10.2022 17:00,140,140,140,915,915,915,1407,1407,1407
25.10.2022 17:00 - 25.10.2022 18:00,27,27,27,845,845,845,1248,1248,1248
25.10.2022 18:00 - 25.10.2022 19:00,1,1,1,830,830,830,1070,1070,1070
25.10.2022 19:00 - 25.10.2022 20:00,0,0,0,797,797,797,878,878,878
25.10.2022 20:00 - 25.10.2022 21:00,0,0,0,734,734,734,824,824,824
25.10.2022 21:00 - 25.10.2022 22:00,0,0,0,659,659,659,838,838,838
25.10.2022 22:00 - 25.10.2022 23:00,0,0,0,558,558,558,804,804,804
25.10.2022 23:00 - 26.10.2022 00:00,0,0,0,520,520,520,732,732,732
26.10.2022 00:00 - 26.10.2022 01:00,0,0,0,405,405,405,726,726,726
26.10.2022 01:00 - 26.10.2022 02:00,0,0,0,288,288,288,639,639,639
26.10.2022 02:00 - 26.10.2022 03:00,0,0,0,251,251,251,573,573,573
26.10.2022 03:00 - 26.10.2022 04:00,0,0,0,237,237,237,500,500,500
26.10.2022 04:00 - 26.10.2022 05:00,0,0,0,212,212,212,414,414,414
26.10.2022 05:00 - 26.10.2022 06:00,0,0,0,169,169,169,323,323,323
26.10.2022 06:00 - 26.10.2022 07:00,0,0,0,157,157,157,268,268,268
26.10.2022 07:00 - 26.10.2022 08:00,0,0,0,206,206,206,248,248,248
26.10.2022 08:00 - 26.10.2022 09:00,21,21,21,302,302,302,239,239,239
26.10.2022 09:00 - 26.10.2022 10:00,125,125,125,375,375,375,299,299,299
26.10.2022 10:00 - 26.10.2022 11:00,256,256,256,379,379,379,349,349,349
26.10.2022 11:00 - 26.10.2022 12:00,367,367,367,425,425,425,355,355,355
26.10.2022 12:00 - 26.10.2022 13:00,453,453,453,469,469,469,368,368,368
26.10.2022 13:00 - 26.10.2022 14:00,454,454,454,501,501,501,415,415,415
26.10.2022 14:00 - 26.10.2022 15:00,368,368,368,528,528,528,445,445,445
26.10.2022 15:00 - 26.10.2022 16:00,236,236,236,543,543,543,438,438,438
26.10.2022 16:00 - 26.10.2022 17:00,109,109,109,608,608,608,444,444,444
26.10.2022 17:00 - 26.10.2022 18:00,20,20,20,704,704,704,531,531,531
26.10.2022 18:00 - 26.10.2022 19:00,1,1,1,864,864,864,667,667,667
26.10.2022 19:00 - 26.10.2022 20:00,0,0,0,906,906,906,734,734,734
26.10.2022 20:00 - 26.10.2022 21:00,0,0,0,937,937,937,797,797,797
26.10.2022 21:00 - 26.10.2022 22:00,0,0,0,847,847,847,879,879,879
26.10.2022 22:00 - 26.10.2022 23:00,0,0,0,810,810,810,955,955,955
26.10.2022 23:00 - 27.10.2022 00:00,0,0,0,856,856,856,952,952,952
27.10.2022 00:00 - 27.10.2022 01:00,0,0,0,946,946,946,1381,1381,1381
27.10.2022 01:00 - 27.10.2022 02:00,0,0,0,836,836,836,1331,1331,1331
27.10.2022 02:00 - 27.10.2022 03:00,0,0,0,716,716,716,1265,1265,1265
27.10.2022 03:00 - 27.10.2022 04:00,0,0,0,691,691,691,1141,1141,1141
27.10.2022 04:00 - 27.10.2022 05:00,0,0,0,600,600,600,989,989,989
27.10.2022 05:00 - 27.10.2022 06:00,0,0,0,577,577,577,899,899,899
27.10.2022 06:00 - 27.10.2022 07:00,0,0,0,603,603,603,829,829,829
27.10.2022 07:00 - 27.10.2022 08:00,1,1,1,597,597,597,748,748,748
27.10.2022 08:00 - 27.10.2022 09:00,24,24,24,641,641,641,662,662,662
27.10.2022 09:00 - 27.10.2022 10:00,143,143,143,672,672,672,729,729,729
27.10.2022 10:00 - 27.10.2022 11:00,279,279,279,667,667,667,725,725,725
27.10.2022 11:00 - 27.10.2022 12:00,374,374,374,643,643,643,628,628,628
27.10.2022 12:00 - 27.10.2022 13:00,426,426,426,507,507,507,601,601,601
27.10.2022 13:00 - 27.10.2022 14:00,420,420,420,419,419,419,585,585,585
27.10.2022 14:00 - 27.10.2022 15:00,354,354,354,414,414,414,562,562,562
27.10.2022 15:00 - 27.10.2022 16:00,251,251,251,488,488,488,479,479,479
27.10.2022 16:00 - 27.10.2022 17:00,130,130,130,579,579,579,418,418,418
27.10.2022 17:00 - 27.10.2022 18:00,28,28,28,702,702,702,468,468,468
27.10.2022 18:00 - 27.10.2022 19:00,1,1,1,935,935,935,591,591,591
27.10.2022 19:00 - 27.10.2022 20:00,0,0,0,1096,1096,1096,665,665,665
27.10.2022 20:00 - 27.10.2022 21:00,0,0,0,1161,1161,1161,788,788,788
27.10.2022 21:00 - 27.10.2022 22:00,0,0,0,1063,1063,1063,973,973,973
27.10.2022 22:00 - 27.10.2022 23:00,0,0,0,1040,1040,1040,1123,1123,1123
27.10.2022 23:00 - 28.10.2022 00:00,0,0,0,1090,1090,1090,1139,1139,1139
28.10.2022 00:00 - 28.10.2022 01:00,0,0,0,978,978,978,1302,1302,1302
28.10.2022 01:00 - 28.10.2022 02:00,0,0,0,817,817,817,1280,1280,1280
28.10.2022 02:00 - 28.10.2022 03:00,0,0,0,702,702,702,1224,1224,1224
28.10.2022 03:00 - 28.10.2022 04:00,0,0,0,679,679,679,1140,1140,1140
28.10.2022 04:00 - 28.10.2022 05:00,0,0,0,582,582,582,1042,1042,1042
28.10.2022 05:00 - 28.10.2022 06:00,0,0,0,475,475,475,889,889,889
28.10.2022 06:00 - 28.10.2022 07:00,0,0,0,411,411,411,696,696,696
28.10.2022 07:00 - 28.10.2022 08:00,0,0,0,415,415,415,551,551,551
28.10.2022 08:00 - 28.10.2022 09:00,19,19,19,425,425,425,451,451,451
28.10.2022 09:00 - 28.10.2022 10:00,124,124,124,427,427,427,464,464,464
28.10.2022 10:00 - 28.10.2022 11:00,272,272,272,454,454,454,458,458,458
28.10.2022 11:00 - 28.10.2022 12:00,426,426,426,522,522,522,426,426,426
28.10.2022 12:00 - 28.10.2022 13:00,536,536,536,447,447,447,425,425,425
28.10.2022 13:00 - 28.10.2022 14:00,550,550,550,437,437,437,433,433,433
28.10.2022 14:00 - 28.10.2022 15:00,478,478,478,518,518,518,430,430,430
28.10.2022 15:00 - 28.10.2022 16:00,333,333,333,562,562,562,398,398,398
28.10.2022 16:00 - 28.10.2022 17:00,160,160,160,571,571,571,392,392,392
28.10.2022 17:00 - 28.10.2022 18:00,31,31,31,595,595,595,481,481,481
28.10.2022 18:00 - 28.10.2022 19:00,1,1,1,790,790,790,636,636,636
28.10.2022 19:00 - 28.10.2022 20:00,0,0,0,956,956,956,755,755,755
28.10.2022 20:00 - 28.10.2022 21:00,0,0,0,1070,1070,1070,943,943,943
28.10.2022 21:00 - 28.10.2022 22:00,0,0,0,1149,1149,1149,1240,1240,1240
28.10.2022 22:00 - 28.10.2022 23:00,0,0,0,1171,1171,1171,1540,1540,1540
28.10.2022 23:00 - 29.10.2022 00:00,0,0,0,1172,1172,1172,1751,1751,1751
29.10.2022 00:00 - 29.10.2022 01:00,0,0,0,1124,1124,1124,2159,2159,2159
29.10.2022 01:00 - 29.10.2022 02:00,0,0,0,1046,1046,1046,2064,2064,2064
29.10.2022 02:00 - 29.10.2022 03:00,0,0,0,1001,1001,1001,1927,1927,1927
29.10.2022 03:00 - 29.10.2022 04:00,0,0,0,949,949,949,1684,1684,1684
29.10.2022 04:00 - 29.10.2022 05:00,0,0,0,867,867,867,1473,1473,1473
29.10.2022 05:00 - 29.10.2022 06:00,0,0,0,833,833,833,1358,1358,1358
29.10.2022 06:00 - 29.10.2022 07:00,0,0,0,798,798,798,1251,1251,1251
29.10.2022 07:00 - 29.10.2022 08:00,1,1,1,760,760,760,1115,1115,1115
29.10.2022 08:00 - 29.10.2022 09:00,28,28,28,765,765,765,978,978,978
29.10.2022 09:00 - 29.10.2022 10:00,193,193,193,704,704,704,1081,1081,1081
29.10.2022 10:00 - 29.10.2022 11:00,402,402,402,604,604,604,1148,1148,1148
29.10.2022 11:00 - 29.10.2022 12:00,530,530,530,581,581,581,1166,1166,1166
29.10.2022 12:00 - 29.10.2022 13:00,519,519,519,516,516,516,1227,1227,1227
29.10.2022 13:00 - 29.10.2022 14:00,446,446,446,488,488,488,1192,1192,1192
29.10.2022 14:00 - 29.10.2022 15:00,327,327,327,445,445,445,1082,1082,1082
29.10.2022 15:00 - 29.10.2022 16:00,199,199,199,375,375,375,814,814,814
29.10.2022 16:00 - 29.10.2022 17:00,98,98,98,354,354,354,597,597,597
29.10.2022 17:00 - 29.10.2022 18:00,19,19,19,328,328,328,488,488,488
29.10.2022 18:00 - 29.10.2022 19:00,1,1,1,288,288,288,407,407,407
29.10.2022 19:00 - 29.10.2022 20:00,0,0,0,268,268,268,327,327,327
29.10.2022 20:00 - 29.10.2022 21:00,0,0,0,245,245,245,283,283,283
29.10.2022 21:00 - 29.10.2022 22:00,0,0,0,268,268,268,248,248,248
29.10.2022 22:00 - 29.10.2022 23:00,0,0,0,299,299,299,207,207,207
29.10.2022 23:00 - 30.10.2022 00:00,0,0,0,292,292,292,171,171,171
30.10.2022 00:00 - 30.10.2022 01:00,0,0,0,348,348,348,262,262,262
30.10.2022 01:00 - 30.10.2022 02:00,0,0,0,388,388,388,241,241,241
30.10.2022 02:00 - 30.10.2022 03:00,0,0,0,391,391,391,265,265,265
30.10.2022 02:00 - 30.10.2022 03:00,0,0,0,407,407,407,332,332,332
30.10.2022 03:00 - 30.10.2022 04:00,0,0,0,400,400,400,411,411,411
30.10.2022 04:00 - 30.10.2022 05:00,0,0,0,420,420,420,477,477,477
30.10.2022 05:00 - 30.10.2022 06:00,0,0,0,372,372,372,528,528,528
30.10.2022 06:00 - 30.10.2022 07:00,0,0,0,304,304,304,542,542,542
30.10.2022 07:00 - 30.10.2022 08:00,23,23,23,270,270,270,540,540,540
30.10.2022 08:00 - 30.10.2022 09:00,173,173,173,255,255,255,643,643,643
30.10.2022 09:00 - 30.10.2022 10:00,373,373,373,245,245,245,652,652,652
30.10.2022 10:00 - 30.10.2022 11:00,525,525,525,218,218,218,545,545,545
30.10.2022 11:00 - 30.10.2022 12:00,592,592,592,220,220,220,508,508,508
30.10.2022 12:00 - 30.10.2022 13:00,572,572,572,222,222,222,434,434,434
30.10.2022 13:00 - 30.10.2022 14:00,468,468,468,207,207,207,402,402,402
30.10.2022 14:00 - 30.10.2022 15:00,314,314,314,176,176,176,320,320,320
30.10.2022 15:00 - 30.10.2022 16:00,140,140,140,127,127,127,228,228,228
30.10.2022 16:00 - 30.10.2022 17:00,20,20,20,118,118,118,177,177,177
30.10.2022 17:00 - 30.10.2022 18:00,1,1,1,109,109,109,159,159,159
30.10.2022 18:00 - 30.10.2022 19:00,0,0,0,182,182,182,160,160,160
30.10.2022 19:00 - 30.10.2022 20:00,0,0,0,275,275,275,193,193,193
30.10.2022 20:00 - 30.10.2022 21:00,0,0,0,282,282,282,265,265,265
30.10.2022 21:00 - 30.10.2022 22:00,0,0,0,279,279,279,380,380,380
30.10.2022 22:00 - 30.10.2022 23:00,0,0,0,276,276,276,451,451,451
30.10.2022 23:00 - 31.10.2022 00:00,0,0,0,267,267,267,452,452,452
31.10.2022 00:00 - 31.10.2022 01:00,0,0,0,312,312,312,346,346,346
31.10.2022 01:00 - 31.10.2022 02:00,0,0,0,324,324,324,385,385,385
31.10.2022 02:00 - 31.10.2022 03:00,0,0,0,326,326,326,452,452,452
31.10.2022 03:00 - 31.10.2022 04:00,0,0,0,289,289,289,499,499,499
31.10.2022 04:00 - 31.10.2022 05:00,0,0,0,308,308,308,501,501,501
31.10.2022 05:00 - 31.10.2022 06:00,0,0,0,308,308,308,484,484,484
31.10.2022 06:00 - 31.10.2022 07:00,0,0,0,325,325,325,437,437,437
31.10.2022 07:00 - 31.10.2022 08:00,10,10,10,342,342,342,394,394,394
31.10.2022 08:00 - 31.10.2022 09:00,105,105,105,341,341,341,428,428,428
31.10.2022 09:00 - 31.10.2022 10:00,257,257,257,296,296,296,439,439,439
31.10.2022 10:00 - 31.10.2022 11:00,380,380,380,259,259,259,420,420,420
31.10.2022 11:00 - 31.10.2022 12:00,453,453,453,221,221,221,420,420,420
31.10.2022 12:00 - 31.10.2022 13:00,458,458,458,225,225,225,427,427,427
31.10.2022 13:00 - 31.10.2022 14:00,393,393,393,242,242,242,409,409,409
31.10.2022 14:00 - 31.10.2022 15:00,271,271,271,231,231,231,310,310,310
31.10.2022 15:00 - 31.10.2022 16:00,125,125,125,208,208,208,230,230,230
31.10.2022 16:00 - 31.10.2022 17:00,19,19,19,221,221,221,209,209,209
31.10.2022 17:00 - 31.10.2022 18:00,1,1,1,276,276,276,221,221,221
31.10.2022 18:00 - 31.10.2022 19:00,0,0,0,324,324,324,218,218,218
31.10.2022 19:00 - 31.10.2022 20:00,0,0,0,329,329,329,236,236,236
31.10.2022 20:00 - 31.10.2022 21:00,0,0,0,341,341,341,266,266,266
31.10.2022 21:00 - 31.10.2022 22:00,0,0,0,374,374,374,318,318,318
31.10.2022 22:00 - 31.10.2022 23:00,0,0,0,452,452,452,411,411,411
31.10.2022 23:00 - 01.11.2022 00:00,0,0,0,592,592,592,557,557,557
01.11.2022 00:00 - 01.11.2022 01:00,0,0,0,819,819,819,997,997,997
01.11.2022 01:00 - 01.11.2022 02:00,0,0,0,885,885,885,1309,1309,1309
01.11.2022 02:00 - 01.11.2022 03:00,0,0,0,1000,1000,1000,1624,1624,1624
01.11.2022 03:00 - 01.11.2022 04:00,0,0,0,1101,1101,1101,1968,1968,1968
01.11.2022 04:00 - 01.11.2022 05:00,0,0,0,1209,1209,1209,2274,2274,2274
01.11.2022 05:00 - 01.11.2022 06:00,0,0,0,1322,1322,1322,2482,2482,2482
01.11.2022 06:00 - 01.11.2022 07:00,0,0,0,1360,1360,1360,2389,2389,2389
01.11.2022 07:00 - 01.11.2022 08:00,5,5,5,1366,1366,1366,2210,2210,2210
01.11.2022 08:00 - 01.11.2022 09:00,42,42,42,1385,1385,1385,2491,2491,2491
01.11.2022 09:00 - 01.11.2022 10:00,80,80,80,1355,1355,1355,2639,2639,2639
01.11.2022 10:00 - 01.11.2022 11:00,96,96,96,1353,1353,1353,2507,2507,2507
01.11.2022 11:00 - 01.11.2022 12:00,108,108,108,1310,1310,1310,2568,2568,2568
01.11.2022 12:00 - 01.11.2022 13:00,114,114,114,1276,1276,1276,2471,2471,2471
01.11.2022 13:00 - 01.11.2022 14:00,114,114,114,1286,1286,1286,2441,2441,2441
01.11.2022 14:00 - 01.11.2022 15:00,91,91,91,1331,1331,1331,2478,2478,2478
01.11.2022 15:00 - 01.11.2022 16:00,46,46,46,1367,1367,1367,2493,2493,2493
01.11.2022 16:00 - 01.11.2022 17:00,7,7,7,1367,1367,1367,2517,2517,2517
01.11.2022 17:00 - 01.11.2022 18:00,0,0,0,1370,1370,1370,2342,2342,2342
01.11.2022 18:00 - 01.11.2022 19:00,0,0,0,1327,1327,1327,1857,1857,1857
01.11.2022 19:00 - 01.11.2022 20:00,0,0,0,1338,1338,1338,1710,1710,1710
01.11.2022 20:00 - 01.11.2022 21:00,0,0,0,1341,1341,1341,2014,2014,2014
01.11.2022 21:00 - 01.11.2022 22:00,0,0,0,1332,1332,1332,2239,2239,2239
01.11.2022 22:00 - 01.11.2022 23:00,0,0,0,1313,1313,1313,2318,2318,2318
01.11.2022 23:00 - 02.11.2022 00:00,0,0,0,1277,1277,1277,2371,2371,2371
02.11.2022 00:00 - 02.11.2022 01:00,0,0,0,1186,1186,1186,2379,2379,2379
02.11.2022 01:00 - 02.11.2022 02:00,0,0,0,1193,1193,1193,2313,2313,2313
02.11.2022 02:00 - 02.11.2022 03:00,0,0,0,1224,1224,1224,2300,2300,2300
02.11.2022 03:00 - 02.11.2022 04:00,0,0,0,1239,1239,1239,2323,2323,2323
02.11.2022 04:00 - 02.11.2022 05:00,0,0,0,1242,1242,1242,2359,2359,2359
02.11.2022 05:00 - 02.11.2022 06:00,0,0,0,1324,1324,1324,2342,2342,2342
02.11.2022 06:00 - 02.11.2022 07:00,0,0,0,1380,1380,1380,2164,2164,2164
02.11.2022 07:00 - 02.11.2022 08:00,13,13,13,1395,1395,1395,1998,1998,1998
02.11.2022 08:00 - 02.11.2022 09:00,116,116,116,1410,1410,1410,2242,2242,2242
02.11.2022 09:00 - 02.11.2022 10:00,239,239,239,1285,1285,1285,2342,2342,2342
02.11.2022 10:00 - 02.11.2022 11:00,323,323,323,1240,1240,1240,2246,2246,2246
02.11.2022 11:00 - 02.11.2022 12:00,353,353,353,1333,1333,1333,2260,2260,2260
02.11.2022 12:00 - 02.11.2022 13:00,340,340,340,1384,1384,1384,2184,2184,2184
02.11.2022 13:00 - 02.11.2022 14:00,263,263,263,1400,1400,1400,2122,2122,2122
02.11.2022 14:00 - 02.11.2022 15:00,184,184,184,1366,1366,1366,2102,2102,2102
02.11.2022 15:00 - 02.11.2022 16:00,86,86,86,1352,1352,1352,2015,2015,2015
02.11.2022 16:00 - 02.11.2022 17:00,14,14,14,1371,1371,1371,1955,1955,1955
02.11.2022 17:00 - 02.11.2022 18:00,0,0,0,1396,1396,1396,1886,1886,1886
02.11.2022 18:00 - 02.11.2022 19:00,0,0,0,1351,1351,1351,1611,1611,1611
02.11.2022 19:00 - 02.11.2022 20:00,0,0,0,1334,1334,1334,1427,1427,1427
02.11.2022 20:00 - 02.11.2022 21:00,0,0,0,1310,1310,1310,1378,1378,1378
02.11.2022 21:00 - 02.11.2022 22:00,0,0,0,1290,1290,1290,1297,1297,1297
02.11.2022 22:00 - 02.11.2022 23:00,0,0,0,1210,1210,1210,1271,1271,1271
02.11.2022 23:00 - 03.11.2022 00:00,0,0,0,1101,1101,1101,1389,1389,1389
03.11.2022 00:00 - 03.11.2022 01:00,0,0,0,1112,1112,1112,2058,2058,2058
