"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Spain (ES)","Actual Total Load [MW] - Spain (ES)"
"17.11.2022 22:30 - 17.11.2022 22:45","26667","27008"
"17.11.2022 22:45 - 17.11.2022 23:00","26066","26280"
"17.11.2022 23:00 - 17.11.2022 23:15","25415","25708"
"17.11.2022 23:15 - 17.11.2022 23:30","24961","25136"
"17.11.2022 23:30 - 17.11.2022 23:45","24577","24616"
"17.11.2022 23:45 - 18.11.2022 00:00","24246","24144"
"18.11.2022 00:00 - 18.11.2022 00:15","24129","24076"
"18.11.2022 00:15 - 18.11.2022 00:30","23809","23988"
"18.11.2022 00:30 - 18.11.2022 00:45","23497","23688"
"18.11.2022 00:45 - 18.11.2022 01:00","23195","23128"
"18.11.2022 01:00 - 18.11.2022 01:15","22878","22892"
"18.11.2022 01:15 - 18.11.2022 01:30","22604","22664"
"18.11.2022 01:30 - 18.11.2022 01:45","22349","22300"
"18.11.2022 01:45 - 18.11.2022 02:00","22117","22080"
"18.11.2022 02:00 - 18.11.2022 02:15","21852","21944"
"18.11.2022 02:15 - 18.11.2022 02:30","21678","21800"
"18.11.2022 02:30 - 18.11.2022 02:45","21539","21488"
"18.11.2022 02:45 - 18.11.2022 03:00","21432","21644"
"18.11.2022 03:00 - 18.11.2022 03:15","21307","21572"
"18.11.2022 03:15 - 18.11.2022 03:30","21252","21388"
"18.11.2022 03:30 - 18.11.2022 03:45","21218","21200"
"18.11.2022 03:45 - 18.11.2022 04:00","21205","21132"
"18.11.2022 04:00 - 18.11.2022 04:15","21160","21244"
"18.11.2022 04:15 - 18.11.2022 04:30","21189","21276"
"18.11.2022 04:30 - 18.11.2022 04:45","21243","21232"
"18.11.2022 04:45 - 18.11.2022 05:00","21346","21260"
"18.11.2022 05:00 - 18.11.2022 05:15","21310","21588"
"18.11.2022 05:15 - 18.11.2022 05:30","21589","21624"
"18.11.2022 05:30 - 18.11.2022 05:45","21991","21828"
"18.11.2022 05:45 - 18.11.2022 06:00","22521","22200"
"18.11.2022 06:00 - 18.11.2022 06:15","23001","23000"
"18.11.2022 06:15 - 18.11.2022 06:30","23772","23712"
"18.11.2022 06:30 - 18.11.2022 06:45","24648","24448"
"18.11.2022 06:45 - 18.11.2022 07:00","25557","25020"
"18.11.2022 07:00 - 18.11.2022 07:15","26776","26288"
"18.11.2022 07:15 - 18.11.2022 07:30","27507","27160"
"18.11.2022 07:30 - 18.11.2022 07:45","28034","27620"
"18.11.2022 07:45 - 18.11.2022 08:00","28384","28108"
"18.11.2022 08:00 - 18.11.2022 08:15","28743","28276"
"18.11.2022 08:15 - 18.11.2022 08:30","28889","28356"
"18.11.2022 08:30 - 18.11.2022 08:45","28998","28640"
"18.11.2022 08:45 - 18.11.2022 09:00","29082","28892"
"18.11.2022 09:00 - 18.11.2022 09:15","29175","29092"
"18.11.2022 09:15 - 18.11.2022 09:30","29221","29372"
"18.11.2022 09:30 - 18.11.2022 09:45","29253","29456"
"18.11.2022 09:45 - 18.11.2022 10:00","29276","29480"
"18.11.2022 10:00 - 18.11.2022 10:15","29292","29520"
"18.11.2022 10:15 - 18.11.2022 10:30","29309","29600"
"18.11.2022 10:30 - 18.11.2022 10:45","29328","29668"
"18.11.2022 10:45 - 18.11.2022 11:00","29354","29572"
"18.11.2022 11:00 - 18.11.2022 11:15","29361","29612"
"18.11.2022 11:15 - 18.11.2022 11:30","29414","29592"
"18.11.2022 11:30 - 18.11.2022 11:45","29484","29644"
"18.11.2022 11:45 - 18.11.2022 12:00","29565","29684"
"18.11.2022 12:00 - 18.11.2022 12:15","29667","29632"
"18.11.2022 12:15 - 18.11.2022 12:30","29746","29956"
"18.11.2022 12:30 - 18.11.2022 12:45","29813","30040"
"18.11.2022 12:45 - 18.11.2022 13:00","29860","30072"
"18.11.2022 13:00 - 18.11.2022 13:15","29950","29944"
"18.11.2022 13:15 - 18.11.2022 13:30","29938","29956"
"18.11.2022 13:30 - 18.11.2022 13:45","29888","29924"
"18.11.2022 13:45 - 18.11.2022 14:00","29802","29688"
"18.11.2022 14:00 - 18.11.2022 14:15","29734","29256"
"18.11.2022 14:15 - 18.11.2022 14:30","29584","29236"
"18.11.2022 14:30 - 18.11.2022 14:45","29411","29040"
"18.11.2022 14:45 - 18.11.2022 15:00","29230","28760"
"18.11.2022 15:00 - 18.11.2022 15:15","28995","28552"
"18.11.2022 15:15 - 18.11.2022 15:30","28855","28424"
"18.11.2022 15:30 - 18.11.2022 15:45","28759","28272"
"18.11.2022 15:45 - 18.11.2022 16:00","28701","28212"
"18.11.2022 16:00 - 18.11.2022 16:15","28628","28072"
"18.11.2022 16:15 - 18.11.2022 16:30","28617","27932"
"18.11.2022 16:30 - 18.11.2022 16:45","28621","27824"
"18.11.2022 16:45 - 18.11.2022 17:00","28665","27956"
"18.11.2022 17:00 - 18.11.2022 17:15","28588","28076"
"18.11.2022 17:15 - 18.11.2022 17:30","28803","28160"
"18.11.2022 17:30 - 18.11.2022 17:45","29135","28328"
"18.11.2022 17:45 - 18.11.2022 18:00","29529","28692"
"18.11.2022 18:00 - 18.11.2022 18:15","30101","29084"
"18.11.2022 18:15 - 18.11.2022 18:30","30414","29540"
"18.11.2022 18:30 - 18.11.2022 18:45","30597","29768"
"18.11.2022 18:45 - 18.11.2022 19:00","30675","29888"
"18.11.2022 19:00 - 18.11.2022 19:15","30721","29824"
"18.11.2022 19:15 - 18.11.2022 19:30","30712","29992"
"18.11.2022 19:30 - 18.11.2022 19:45","30711","30000"
"18.11.2022 19:45 - 18.11.2022 20:00","30707","30044"
"18.11.2022 20:00 - 18.11.2022 20:15","30787","29968"
"18.11.2022 20:15 - 18.11.2022 20:30","30714","30020"
"18.11.2022 20:30 - 18.11.2022 20:45","30575","29964"
"18.11.2022 20:45 - 18.11.2022 21:00","30351","29916"
"18.11.2022 21:00 - 18.11.2022 21:15","30268","29592"
"18.11.2022 21:15 - 18.11.2022 21:30","29819","29368"
"18.11.2022 21:30 - 18.11.2022 21:45","29241","28852"
"18.11.2022 21:45 - 18.11.2022 22:00","28574","28080"
"18.11.2022 22:00 - 18.11.2022 22:15","27847","27272"
"18.11.2022 22:15 - 18.11.2022 22:30","27150","26780"
"18.11.2022 22:30 - 18.11.2022 22:45","26505","26264"
"18.11.2022 22:45 - 18.11.2022 23:00","25926","25676"
"18.11.2022 23:00 - 18.11.2022 23:15","25286","25040"
"18.11.2022 23:15 - 18.11.2022 23:30","24861","24652"
"18.11.2022 23:30 - 18.11.2022 23:45","24517","24220"
"18.11.2022 23:45 - 19.11.2022 00:00","24229","23832"
"19.11.2022 00:00 - 19.11.2022 00:15","23828","23816"
"19.11.2022 00:15 - 19.11.2022 00:30","23595","23732"
"19.11.2022 00:30 - 19.11.2022 00:45","23309","23360"
"19.11.2022 00:45 - 19.11.2022 01:00","22983","22968"
"19.11.2022 01:00 - 19.11.2022 01:15","22621","22644"
"19.11.2022 01:15 - 19.11.2022 01:30","22287","22380"
"19.11.2022 01:30 - 19.11.2022 01:45","21981","22128"
"19.11.2022 01:45 - 19.11.2022 02:00","21705","21848"
"19.11.2022 02:00 - 19.11.2022 02:15","21409","21428"
"19.11.2022 02:15 - 19.11.2022 02:30","21192","21292"
"19.11.2022 02:30 - 19.11.2022 02:45","21001","21164"
"19.11.2022 02:45 - 19.11.2022 03:00","20837","20852"
"19.11.2022 03:00 - 19.11.2022 03:15","20653","20676"
"19.11.2022 03:15 - 19.11.2022 03:30","20540","20656"
"19.11.2022 03:30 - 19.11.2022 03:45","20450","20384"
"19.11.2022 03:45 - 19.11.2022 04:00","20379","20352"
"19.11.2022 04:00 - 19.11.2022 04:15","20303","20240"
"19.11.2022 04:15 - 19.11.2022 04:30","20255","20196"
"19.11.2022 04:30 - 19.11.2022 04:45","20214","20176"
"19.11.2022 04:45 - 19.11.2022 05:00","20189","20148"
"19.11.2022 05:00 - 19.11.2022 05:15","20109","20264"
"19.11.2022 05:15 - 19.11.2022 05:30","20148","20196"
"19.11.2022 05:30 - 19.11.2022 05:45","20233","20096"
"19.11.2022 05:45 - 19.11.2022 06:00","20365","20200"
"19.11.2022 06:00 - 19.11.2022 06:15","20472","20432"
"19.11.2022 06:15 - 19.11.2022 06:30","20688","20732"
"19.11.2022 06:30 - 19.11.2022 06:45","20939","20936"
"19.11.2022 06:45 - 19.11.2022 07:00","21206","21056"
"19.11.2022 07:00 - 19.11.2022 07:15","21526","21600"
"19.11.2022 07:15 - 19.11.2022 07:30","21757","21904"
"19.11.2022 07:30 - 19.11.2022 07:45","21946","21956"
"19.11.2022 07:45 - 19.11.2022 08:00","22129","22052"
"19.11.2022 08:00 - 19.11.2022 08:15","22183","22444"
"19.11.2022 08:15 - 19.11.2022 08:30","22489","22680"
"19.11.2022 08:30 - 19.11.2022 08:45","22910","23016"
"19.11.2022 08:45 - 19.11.2022 09:00","23405","23420"
"19.11.2022 09:00 - 19.11.2022 09:15","24038","24008"
"19.11.2022 09:15 - 19.11.2022 09:30","24522","24484"
"19.11.2022 09:30 - 19.11.2022 09:45","24925","24844"
"19.11.2022 09:45 - 19.11.2022 10:00","25242","25148"
"19.11.2022 10:00 - 19.11.2022 10:15","25633","25504"
"19.11.2022 10:15 - 19.11.2022 10:30","25788","25648"
"19.11.2022 10:30 - 19.11.2022 10:45","25869","25444"
"19.11.2022 10:45 - 19.11.2022 11:00","25894","25648"
"19.11.2022 11:00 - 19.11.2022 11:15","25900","25568"
"19.11.2022 11:15 - 19.11.2022 11:30","25873","25524"
"19.11.2022 11:30 - 19.11.2022 11:45","25848","25580"
"19.11.2022 11:45 - 19.11.2022 12:00","25837","25508"
"19.11.2022 12:00 - 19.11.2022 12:15","25785","25340"
"19.11.2022 12:15 - 19.11.2022 12:30","25834","25396"
"19.11.2022 12:30 - 19.11.2022 12:45","25922","25516"
"19.11.2022 12:45 - 19.11.2022 13:00","26028","25580"
"19.11.2022 13:00 - 19.11.2022 13:15","26215","25756"
"19.11.2022 13:15 - 19.11.2022 13:30","26274","25964"
"19.11.2022 13:30 - 19.11.2022 13:45","26272","26020"
"19.11.2022 13:45 - 19.11.2022 14:00","26207","26088"
"19.11.2022 14:00 - 19.11.2022 14:15","26192","26124"
"19.11.2022 14:15 - 19.11.2022 14:30","26003","26008"
"19.11.2022 14:30 - 19.11.2022 14:45","25760","25736"
"19.11.2022 14:45 - 19.11.2022 15:00","25488","25376"
"19.11.2022 15:00 - 19.11.2022 15:15","25148","25120"
"19.11.2022 15:15 - 19.11.2022 15:30","24904","25052"
"19.11.2022 15:30 - 19.11.2022 15:45","24711","24812"
"19.11.2022 15:45 - 19.11.2022 16:00","24567","24608"
"19.11.2022 16:00 - 19.11.2022 16:15","24394","24584"
"19.11.2022 16:15 - 19.11.2022 16:30","24321","24536"
"19.11.2022 16:30 - 19.11.2022 16:45","24276","24472"
"19.11.2022 16:45 - 19.11.2022 17:00","24284","24364"
"19.11.2022 17:00 - 19.11.2022 17:15","24158","24448"
"19.11.2022 17:15 - 19.11.2022 17:30","24362","24608"
"19.11.2022 17:30 - 19.11.2022 17:45","24694","24776"
"19.11.2022 17:45 - 19.11.2022 18:00","25104","25364"
"19.11.2022 18:00 - 19.11.2022 18:15","25668","25936"
"19.11.2022 18:15 - 19.11.2022 18:30","26042","26364"
"19.11.2022 18:30 - 19.11.2022 18:45","26315","26500"
"19.11.2022 18:45 - 19.11.2022 19:00","26497","26736"
"19.11.2022 19:00 - 19.11.2022 19:15","26678","26760"
"19.11.2022 19:15 - 19.11.2022 19:30","26760","26880"
"19.11.2022 19:30 - 19.11.2022 19:45","26828","26912"
"19.11.2022 19:45 - 19.11.2022 20:00","26886","27084"
"19.11.2022 20:00 - 19.11.2022 20:15","26963","27088"
"19.11.2022 20:15 - 19.11.2022 20:30","27006","27140"
"19.11.2022 20:30 - 19.11.2022 20:45","27036","27144"
"19.11.2022 20:45 - 19.11.2022 21:00","27024","27192"
"19.11.2022 21:00 - 19.11.2022 21:15","27172","27180"
"19.11.2022 21:15 - 19.11.2022 21:30","26966","26996"
"19.11.2022 21:30 - 19.11.2022 21:45","26621","26652"
"19.11.2022 21:45 - 19.11.2022 22:00","26167","26168"
"19.11.2022 22:00 - 19.11.2022 22:15","25688","25660"
"19.11.2022 22:15 - 19.11.2022 22:30","25135","25060"
"19.11.2022 22:30 - 19.11.2022 22:45","24593","24748"
"19.11.2022 22:45 - 19.11.2022 23:00","24080","24132"
"19.11.2022 23:00 - 19.11.2022 23:15","23505","23320"
"19.11.2022 23:15 - 19.11.2022 23:30","23107","23388"
"19.11.2022 23:30 - 19.11.2022 23:45","22783","22932"
"19.11.2022 23:45 - 20.11.2022 00:00","22507","22536"
"20.11.2022 00:00 - 20.11.2022 00:15","22248","22128"
"20.11.2022 00:15 - 20.11.2022 00:30","21915","21876"
"20.11.2022 00:30 - 20.11.2022 00:45","21582","21524"
"20.11.2022 00:45 - 20.11.2022 01:00","21255","21176"
"20.11.2022 01:00 - 20.11.2022 01:15","20913","20796"
"20.11.2022 01:15 - 20.11.2022 01:30","20610","20536"
"20.11.2022 01:30 - 20.11.2022 01:45","20326","20188"
"20.11.2022 01:45 - 20.11.2022 02:00","20064","19916"
"20.11.2022 02:00 - 20.11.2022 02:15","19778","19696"
"20.11.2022 02:15 - 20.11.2022 02:30","19567","19372"
"20.11.2022 02:30 - 20.11.2022 02:45","19384","19208"
"20.11.2022 02:45 - 20.11.2022 03:00","19227","19060"
"20.11.2022 03:00 - 20.11.2022 03:15","19056","19036"
"20.11.2022 03:15 - 20.11.2022 03:30","18942","18740"
"20.11.2022 03:30 - 20.11.2022 03:45","18846","18576"
"20.11.2022 03:45 - 20.11.2022 04:00","18768","18648"
"20.11.2022 04:00 - 20.11.2022 04:15","18669","18584"
"20.11.2022 04:15 - 20.11.2022 04:30","18629","18604"
"20.11.2022 04:30 - 20.11.2022 04:45","18610","18444"
"20.11.2022 04:45 - 20.11.2022 05:00","18614","18496"
"20.11.2022 05:00 - 20.11.2022 05:15","18586","18424"
"20.11.2022 05:15 - 20.11.2022 05:30","18646","18600"
"20.11.2022 05:30 - 20.11.2022 05:45","18737","18416"
"20.11.2022 05:45 - 20.11.2022 06:00","18857","18356"
"20.11.2022 06:00 - 20.11.2022 06:15","18971","18768"
"20.11.2022 06:15 - 20.11.2022 06:30","19135","18832"
"20.11.2022 06:30 - 20.11.2022 06:45","19312","18988"
"20.11.2022 06:45 - 20.11.2022 07:00","19488","19124"
"20.11.2022 07:00 - 20.11.2022 07:15","19718","19292"
"20.11.2022 07:15 - 20.11.2022 07:30","19835","19532"
"20.11.2022 07:30 - 20.11.2022 07:45","19905","19648"
"20.11.2022 07:45 - 20.11.2022 08:00","19962","19560"
"20.11.2022 08:00 - 20.11.2022 08:15","19890","19512"
"20.11.2022 08:15 - 20.11.2022 08:30","20054","19728"
"20.11.2022 08:30 - 20.11.2022 08:45","20324","20124"
"20.11.2022 08:45 - 20.11.2022 09:00","20676","20512"
"20.11.2022 09:00 - 20.11.2022 09:15","21097","20972"
"20.11.2022 09:15 - 20.11.2022 09:30","21496","21368"
"20.11.2022 09:30 - 20.11.2022 09:45","21867","21672"
"20.11.2022 09:45 - 20.11.2022 10:00","22194","22104"
"20.11.2022 10:00 - 20.11.2022 10:15","22601","22388"
"20.11.2022 10:15 - 20.11.2022 10:30","22816","22612"
"20.11.2022 10:30 - 20.11.2022 10:45","22963","22924"
"20.11.2022 10:45 - 20.11.2022 11:00","23053","22800"
"20.11.2022 11:00 - 20.11.2022 11:15","23142","22872"
"20.11.2022 11:15 - 20.11.2022 11:30","23162","23024"
"20.11.2022 11:30 - 20.11.2022 11:45","23168","22980"
"20.11.2022 11:45 - 20.11.2022 12:00","23180","23048"
"20.11.2022 12:00 - 20.11.2022 12:15","23128","22988"
"20.11.2022 12:15 - 20.11.2022 12:30","23207","23108"
"20.11.2022 12:30 - 20.11.2022 12:45","23340","23236"
"20.11.2022 12:45 - 20.11.2022 13:00","23510","23316"
"20.11.2022 13:00 - 20.11.2022 13:15","23741","23456"
"20.11.2022 13:15 - 20.11.2022 13:30","23909","23720"
"20.11.2022 13:30 - 20.11.2022 13:45","24040","23988"
"20.11.2022 13:45 - 20.11.2022 14:00","24116","24036"
"20.11.2022 14:00 - 20.11.2022 14:15","24294","24236"
"20.11.2022 14:15 - 20.11.2022 14:30","24206","24132"
"20.11.2022 14:30 - 20.11.2022 14:45","24022","23732"
"20.11.2022 14:45 - 20.11.2022 15:00","23772","23424"
"20.11.2022 15:00 - 20.11.2022 15:15","23442","23188"
"20.11.2022 15:15 - 20.11.2022 15:30","23194","22876"
"20.11.2022 15:30 - 20.11.2022 15:45","23001","22648"
"20.11.2022 15:45 - 20.11.2022 16:00","22864","22688"
"20.11.2022 16:00 - 20.11.2022 16:15","22692","22480"
"20.11.2022 16:15 - 20.11.2022 16:30","22639","22504"
"20.11.2022 16:30 - 20.11.2022 16:45","22622","22340"
"20.11.2022 16:45 - 20.11.2022 17:00","22665","22348"
"20.11.2022 17:00 - 20.11.2022 17:15","22569","22452"
"20.11.2022 17:15 - 20.11.2022 17:30","22819","22528"
"20.11.2022 17:30 - 20.11.2022 17:45","23202","22720"
"20.11.2022 17:45 - 20.11.2022 18:00","23666","23596"
"20.11.2022 18:00 - 20.11.2022 18:15","24292","24368"
"20.11.2022 18:15 - 20.11.2022 18:30","24716","24772"
"20.11.2022 18:30 - 20.11.2022 18:45","25034","25140"
"20.11.2022 18:45 - 20.11.2022 19:00","25268","25388"
"20.11.2022 19:00 - 20.11.2022 19:15","25455","25552"
"20.11.2022 19:15 - 20.11.2022 19:30","25650","25776"
"20.11.2022 19:30 - 20.11.2022 19:45","25876","26164"
"20.11.2022 19:45 - 20.11.2022 20:00","26114","26284"
"20.11.2022 20:00 - 20.11.2022 20:15","26453","26504"
"20.11.2022 20:15 - 20.11.2022 20:30","26624","26720"
"20.11.2022 20:30 - 20.11.2022 20:45","26719","26992"
"20.11.2022 20:45 - 20.11.2022 21:00","26729","27152"
"20.11.2022 21:00 - 20.11.2022 21:15","26838","26992"
"20.11.2022 21:15 - 20.11.2022 21:30","26662","26796"
"20.11.2022 21:30 - 20.11.2022 21:45","26391","26464"
"20.11.2022 21:45 - 20.11.2022 22:00","26038","26112"
"20.11.2022 22:00 - 20.11.2022 22:15","25708","25580"
"20.11.2022 22:15 - 20.11.2022 22:30","25243","25256"
"20.11.2022 22:30 - 20.11.2022 22:45","24750","24752"
"20.11.2022 22:45 - 20.11.2022 23:00","24247","24180"
"20.11.2022 23:00 - 20.11.2022 23:15","23709","23684"
"20.11.2022 23:15 - 20.11.2022 23:30","23241","23284"
"20.11.2022 23:30 - 20.11.2022 23:45","22814","22772"
"20.11.2022 23:45 - 21.11.2022 00:00","22425","22272"
"21.11.2022 00:00 - 21.11.2022 00:15","21971","22112"
"21.11.2022 00:15 - 21.11.2022 00:30","21634","21828"
"21.11.2022 00:30 - 21.11.2022 00:45","21317","21328"
"21.11.2022 00:45 - 21.11.2022 01:00","21021","21008"
"21.11.2022 01:00 - 21.11.2022 01:15","20713","20816"
"21.11.2022 01:15 - 21.11.2022 01:30","20455","20516"
"21.11.2022 01:30 - 21.11.2022 01:45","20217","20312"
"21.11.2022 01:45 - 21.11.2022 02:00","20002","20092"
"21.11.2022 02:00 - 21.11.2022 02:15","19753","19908"
"21.11.2022 02:15 - 21.11.2022 02:30","19597","19776"
"21.11.2022 02:30 - 21.11.2022 02:45","19475","19516"
"21.11.2022 02:45 - 21.11.2022 03:00","19387","19600"
"21.11.2022 03:00 - 21.11.2022 03:15","19277","19484"
"21.11.2022 03:15 - 21.11.2022 03:30","19245","19616"
"21.11.2022 03:30 - 21.11.2022 03:45","19238","19496"
"21.11.2022 03:45 - 21.11.2022 04:00","19253","19488"
"21.11.2022 04:00 - 21.11.2022 04:15","19239","19532"
"21.11.2022 04:15 - 21.11.2022 04:30","19294","19568"
"21.11.2022 04:30 - 21.11.2022 04:45","19374","19500"
"21.11.2022 04:45 - 21.11.2022 05:00","19506","19592"
"21.11.2022 05:00 - 21.11.2022 05:15","19478","19956"
"21.11.2022 05:15 - 21.11.2022 05:30","19814","20128"
"21.11.2022 05:30 - 21.11.2022 05:45","20297","20432"
"21.11.2022 05:45 - 21.11.2022 06:00","20919","20972"
"21.11.2022 06:00 - 21.11.2022 06:15","21527","22100"
"21.11.2022 06:15 - 21.11.2022 06:30","22382","22992"
"21.11.2022 06:30 - 21.11.2022 06:45","23325","23912"
"21.11.2022 06:45 - 21.11.2022 07:00","24297","24668"
"21.11.2022 07:00 - 21.11.2022 07:15","25549","25988"
"21.11.2022 07:15 - 21.11.2022 07:30","26376","26912"
"21.11.2022 07:30 - 21.11.2022 07:45","27035","27716"
"21.11.2022 07:45 - 21.11.2022 08:00","27538","28296"
"21.11.2022 08:00 - 21.11.2022 08:15","28104","28588"
"21.11.2022 08:15 - 21.11.2022 08:30","28387","28868"
"21.11.2022 08:30 - 21.11.2022 08:45","28600","29120"
"21.11.2022 08:45 - 21.11.2022 09:00","28758","29224"
"21.11.2022 09:00 - 21.11.2022 09:15","28927","29468"
"21.11.2022 09:15 - 21.11.2022 09:30","29013","29660"
"21.11.2022 09:30 - 21.11.2022 09:45","29080","29880"
"21.11.2022 09:45 - 21.11.2022 10:00","29126","29964"
"21.11.2022 10:00 - 21.11.2022 10:15","29194","30008"
"21.11.2022 10:15 - 21.11.2022 10:30","29194","30136"
"21.11.2022 10:30 - 21.11.2022 10:45","29170","30256"
"21.11.2022 10:45 - 21.11.2022 11:00","29136","30312"
"21.11.2022 11:00 - 21.11.2022 11:15","29057","30296"
"21.11.2022 11:15 - 21.11.2022 11:30","29053","30480"
"21.11.2022 11:30 - 21.11.2022 11:45","29083","30420"
"21.11.2022 11:45 - 21.11.2022 12:00","29139","30604"
"21.11.2022 12:00 - 21.11.2022 12:15","29220","30520"
"21.11.2022 12:15 - 21.11.2022 12:30","29283","30792"
"21.11.2022 12:30 - 21.11.2022 12:45","29329","30976"
"21.11.2022 12:45 - 21.11.2022 13:00","29358","31252"
"21.11.2022 13:00 - 21.11.2022 13:15","29404","31332"
"21.11.2022 13:15 - 21.11.2022 13:30","29400","31540"
"21.11.2022 13:30 - 21.11.2022 13:45","29381","31536"
"21.11.2022 13:45 - 21.11.2022 14:00","29339","31408"
"21.11.2022 14:00 - 21.11.2022 14:15","29336","31128"
"21.11.2022 14:15 - 21.11.2022 14:30","29230","31340"
"21.11.2022 14:30 - 21.11.2022 14:45","29087","31164"
"21.11.2022 14:45 - 21.11.2022 15:00","28925","30772"
"21.11.2022 15:00 - 21.11.2022 15:15","28699","30400"
"21.11.2022 15:15 - 21.11.2022 15:30","28577","30224"
"21.11.2022 15:30 - 21.11.2022 15:45","28505","30144"
"21.11.2022 15:45 - 21.11.2022 16:00","28476","30048"
"21.11.2022 16:00 - 21.11.2022 16:15","28439","29924"
"21.11.2022 16:15 - 21.11.2022 16:30","28455","29708"
"21.11.2022 16:30 - 21.11.2022 16:45","28480","29788"
"21.11.2022 16:45 - 21.11.2022 17:00","28541","29944"
"21.11.2022 17:00 - 21.11.2022 17:15","28476","30024"
"21.11.2022 17:15 - 21.11.2022 17:30","28704","30152"
"21.11.2022 17:30 - 21.11.2022 17:45","29048","30328"
"21.11.2022 17:45 - 21.11.2022 18:00","29461","30772"
"21.11.2022 18:00 - 21.11.2022 18:15","30026","31200"
"21.11.2022 18:15 - 21.11.2022 18:30","30391","31556"
"21.11.2022 18:30 - 21.11.2022 18:45","30652","31744"
"21.11.2022 18:45 - 21.11.2022 19:00","30828","31760"
"21.11.2022 19:00 - 21.11.2022 19:15","30980","31804"
"21.11.2022 19:15 - 21.11.2022 19:30","31089","32048"
"21.11.2022 19:30 - 21.11.2022 19:45","31206","32056"
"21.11.2022 19:45 - 21.11.2022 20:00","31313","32196"
"21.11.2022 20:00 - 21.11.2022 20:15","31538","32224"
"21.11.2022 20:15 - 21.11.2022 20:30","31540","32380"
"21.11.2022 20:30 - 21.11.2022 20:45","31449","32332"
"21.11.2022 20:45 - 21.11.2022 21:00","31244","32332"
"21.11.2022 21:00 - 21.11.2022 21:15","31206","32164"
"21.11.2022 21:15 - 21.11.2022 21:30","30720","31856"
"21.11.2022 21:30 - 21.11.2022 21:45","30082","30944"
"21.11.2022 21:45 - 21.11.2022 22:00","29332","30116"
"21.11.2022 22:00 - 21.11.2022 22:15","28534","29252"
"21.11.2022 22:15 - 21.11.2022 22:30","27722","28616"
"21.11.2022 22:30 - 21.11.2022 22:45","26953","27944"
"21.11.2022 22:45 - 21.11.2022 23:00","26252","27200"
"21.11.2022 23:00 - 21.11.2022 23:15","25461","26408"
"21.11.2022 23:15 - 21.11.2022 23:30","24951","25900"
"21.11.2022 23:30 - 21.11.2022 23:45","24551","25204"
"21.11.2022 23:45 - 22.11.2022 00:00","24232","24616"
"22.11.2022 00:00 - 22.11.2022 00:15","24252","24340"
"22.11.2022 00:15 - 22.11.2022 00:30","23873","24172"
"22.11.2022 00:30 - 22.11.2022 00:45","23526","23832"
"22.11.2022 00:45 - 22.11.2022 01:00","23208","23324"
"22.11.2022 01:00 - 22.11.2022 01:15","22876","23068"
"22.11.2022 01:15 - 22.11.2022 01:30","22610","22668"
"22.11.2022 01:30 - 22.11.2022 01:45","22368","22464"
"22.11.2022 01:45 - 22.11.2022 02:00","22151","22220"
"22.11.2022 02:00 - 22.11.2022 02:15","21899","21932"
"22.11.2022 02:15 - 22.11.2022 02:30","21750","21872"
"22.11.2022 02:30 - 22.11.2022 02:45","21638","21696"
"22.11.2022 02:45 - 22.11.2022 03:00","21558","21568"
"22.11.2022 03:00 - 22.11.2022 03:15","21475","21612"
"22.11.2022 03:15 - 22.11.2022 03:30","21434","21368"
"22.11.2022 03:30 - 22.11.2022 03:45","21403","21424"
"22.11.2022 03:45 - 22.11.2022 04:00","21383","21356"
"22.11.2022 04:00 - 22.11.2022 04:15","21324","21264"
"22.11.2022 04:15 - 22.11.2022 04:30","21342","21268"
"22.11.2022 04:30 - 22.11.2022 04:45","21388","21332"
"22.11.2022 04:45 - 22.11.2022 05:00","21491","21356"
"22.11.2022 05:00 - 22.11.2022 05:15","21441","21728"
"22.11.2022 05:15 - 22.11.2022 05:30","21742","21844"
"22.11.2022 05:30 - 22.11.2022 05:45","22182","22088"
"22.11.2022 05:45 - 22.11.2022 06:00","22759","22464"
"22.11.2022 06:00 - 22.11.2022 06:15","23302","23420"
"22.11.2022 06:15 - 22.11.2022 06:30","24118","24084"
"22.11.2022 06:30 - 22.11.2022 06:45","25030","24776"
"22.11.2022 06:45 - 22.11.2022 07:00","25972","25684"
"22.11.2022 07:00 - 22.11.2022 07:15","27209","27100"
"22.11.2022 07:15 - 22.11.2022 07:30","27982","28088"
"22.11.2022 07:30 - 22.11.2022 07:45","28566","28920"
"22.11.2022 07:45 - 22.11.2022 08:00","28986","29020"
"22.11.2022 08:00 - 22.11.2022 08:15","29418","29884"
"22.11.2022 08:15 - 22.11.2022 08:30","29648","30264"
"22.11.2022 08:30 - 22.11.2022 08:45","29845","30692"
"22.11.2022 08:45 - 22.11.2022 09:00","30014","30492"
"22.11.2022 09:00 - 22.11.2022 09:15","30211","30672"
"22.11.2022 09:15 - 22.11.2022 09:30","30325","30800"
"22.11.2022 09:30 - 22.11.2022 09:45","30411","30964"
"22.11.2022 09:45 - 22.11.2022 10:00","30472","31140"
"22.11.2022 10:00 - 22.11.2022 10:15","30541","31068"
"22.11.2022 10:15 - 22.11.2022 10:30","30563","30904"
"22.11.2022 10:30 - 22.11.2022 10:45","30572","31056"
"22.11.2022 10:45 - 22.11.2022 11:00","30576","31236"
"22.11.2022 11:00 - 22.11.2022 11:15","30553","31268"
