"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Germany (DE)","Generation - Solar  [MW] Intraday / Germany (DE)","Generation - Solar  [MW] Current / Germany (DE)","Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Offshore  [MW] Intraday / Germany (DE)","Generation - Wind Offshore  [MW] Current / Germany (DE)","Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Onshore  [MW] Intraday / Germany (DE)","Generation - Wind Onshore  [MW] Current / Germany (DE)"
"03.01.2022 07:30 - 03.01.2022 07:45","0","0","n/e","6195","5928","n/e","34688","36815","n/e"
"03.01.2022 07:45 - 03.01.2022 08:00","0","0","n/e","6198","5984","n/e","34712","36392","n/e"
"03.01.2022 08:00 - 03.01.2022 08:15","6","8","n/e","6178","6035","n/e","34720","35441","n/e"
"03.01.2022 08:15 - 03.01.2022 08:30","46","56","n/e","6182","6077","n/e","34686","35653","n/e"
"03.01.2022 08:30 - 03.01.2022 08:45","317","275","n/e","6183","6116","n/e","34646","35536","n/e"
"03.01.2022 08:45 - 03.01.2022 09:00","561","511","n/e","6185","6155","n/e","34610","35607","n/e"
"03.01.2022 09:00 - 03.01.2022 09:15","890","851","n/e","6189","6187","n/e","34580","35913","n/e"
"03.01.2022 09:15 - 03.01.2022 09:30","1296","1266","n/e","6194","6217","n/e","34564","35860","n/e"
"03.01.2022 09:30 - 03.01.2022 09:45","1745","1727","n/e","6193","6243","n/e","34557","35729","n/e"
"03.01.2022 09:45 - 03.01.2022 10:00","2220","2214","n/e","6198","6263","n/e","34565","35611","n/e"
"03.01.2022 10:00 - 03.01.2022 10:15","2694","2700","n/e","6198","6322","n/e","34572","35511","n/e"
"03.01.2022 10:15 - 03.01.2022 10:30","3167","3218","n/e","6199","6335","n/e","34645","35487","n/e"
"03.01.2022 10:30 - 03.01.2022 10:45","3624","3689","n/e","6199","6343","n/e","34723","35463","n/e"
"03.01.2022 10:45 - 03.01.2022 11:00","4051","4118","n/e","6199","6356","n/e","34797","35469","n/e"
"03.01.2022 11:00 - 03.01.2022 11:15","4490","4501","n/e","6200","5995","n/e","34861","35483","n/e"
