MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Offshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Offshore  [MW] Intraday / Bulgaria (BG),Generation - Wind Offshore  [MW] Current / Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG)
07.01.2022 21:00 - 07.01.2022 22:00,0,0,0,N/A,n/e,n/e,295,295,295
07.01.2022 22:00 - 07.01.2022 23:00,0,0,0,N/A,n/e,n/e,270,270,270
07.01.2022 23:00 - 08.01.2022 00:00,0,0,0,N/A,n/e,n/e,237,237,237
08.01.2022 00:00 - 08.01.2022 01:00,0,0,0,N/A,n/e,n/e,204,204,204
08.01.2022 01:00 - 08.01.2022 02:00,0,0,0,N/A,n/e,n/e,242,242,242
08.01.2022 02:00 - 08.01.2022 03:00,0,0,0,N/A,n/e,n/e,240,240,240
08.01.2022 03:00 - 08.01.2022 04:00,0,0,0,N/A,n/e,n/e,225,225,225
08.01.2022 04:00 - 08.01.2022 05:00,0,0,0,N/A,n/e,n/e,223,223,223
08.01.2022 05:00 - 08.01.2022 06:00,0,0,0,N/A,n/e,n/e,218,218,218
08.01.2022 06:00 - 08.01.2022 07:00,0,0,0,N/A,n/e,n/e,197,197,197
08.01.2022 07:00 - 08.01.2022 08:00,3,3,3,N/A,n/e,n/e,210,210,210
08.01.2022 08:00 - 08.01.2022 09:00,21,21,21,N/A,n/e,n/e,188,188,188
08.01.2022 09:00 - 08.01.2022 10:00,47,47,47,N/A,n/e,n/e,203,203,203
08.01.2022 10:00 - 08.01.2022 11:00,71,71,71,N/A,n/e,n/e,190,190,190
08.01.2022 11:00 - 08.01.2022 12:00,78,78,78,N/A,n/e,n/e,171,171,171
08.01.2022 12:00 - 08.01.2022 13:00,75,75,75,N/A,n/e,n/e,148,148,148
08.01.2022 13:00 - 08.01.2022 14:00,60,60,60,N/A,n/e,n/e,136,136,136
08.01.2022 14:00 - 08.01.2022 15:00,33,33,33,N/A,n/e,n/e,134,134,134
08.01.2022 15:00 - 08.01.2022 16:00,6,6,6,N/A,n/e,n/e,135,135,135
08.01.2022 16:00 - 08.01.2022 17:00,0,0,0,N/A,n/e,n/e,130,130,130
08.01.2022 17:00 - 08.01.2022 18:00,0,0,0,N/A,n/e,n/e,119,119,119
08.01.2022 18:00 - 08.01.2022 19:00,0,0,0,N/A,n/e,n/e,107,107,107
08.01.2022 19:00 - 08.01.2022 20:00,0,0,0,N/A,n/e,n/e,84,84,84
08.01.2022 20:00 - 08.01.2022 21:00,0,0,0,N/A,n/e,n/e,68,68,68
08.01.2022 21:00 - 08.01.2022 22:00,0,0,0,N/A,n/e,n/e,42,42,42
08.01.2022 22:00 - 08.01.2022 23:00,0,0,0,N/A,n/e,n/e,29,29,29
08.01.2022 23:00 - 09.01.2022 00:00,0,0,0,N/A,n/e,n/e,65,65,65
09.01.2022 00:00 - 09.01.2022 01:00,0,0,0,N/A,n/e,n/e,82,82,82
09.01.2022 01:00 - 09.01.2022 02:00,0,0,0,N/A,n/e,n/e,79,79,79
09.01.2022 02:00 - 09.01.2022 03:00,0,0,0,N/A,n/e,n/e,71,71,71
09.01.2022 03:00 - 09.01.2022 04:00,0,0,0,N/A,n/e,n/e,67,67,67
09.01.2022 04:00 - 09.01.2022 05:00,0,0,0,N/A,n/e,n/e,60,60,60
09.01.2022 05:00 - 09.01.2022 06:00,0,0,0,N/A,n/e,n/e,55,55,55
09.01.2022 06:00 - 09.01.2022 07:00,0,0,0,N/A,n/e,n/e,56,56,56
09.01.2022 07:00 - 09.01.2022 08:00,7,7,7,N/A,n/e,n/e,56,56,56
09.01.2022 08:00 - 09.01.2022 09:00,38,38,38,N/A,n/e,n/e,56,56,56
09.01.2022 09:00 - 09.01.2022 10:00,77,77,77,N/A,n/e,n/e,45,45,45
