MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Ireland (IE),Generation - Solar  [MW] Intraday / Ireland (IE),Generation - Solar  [MW] Current / Ireland (IE),Generation - Wind Offshore  [MW] Day Ahead/ Ireland (IE),Generation - Wind Offshore  [MW] Intraday / Ireland (IE),Generation - Wind Offshore  [MW] Current / Ireland (IE),Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE),Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE),Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE)
06.01.2022 10:00 - 06.01.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,3687,3687,3687
06.01.2022 11:00 - 06.01.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,3564,3564,3564
06.01.2022 12:00 - 06.01.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,3390,3390,3390
06.01.2022 13:00 - 06.01.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,3265,3265,3265
06.01.2022 14:00 - 06.01.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,3147,3147,3147
06.01.2022 15:00 - 06.01.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,3012,3012,3012
06.01.2022 16:00 - 06.01.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,2870,2870,2870
06.01.2022 17:00 - 06.01.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,2740,2740,2740
06.01.2022 18:00 - 06.01.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,2683,2683,2683
06.01.2022 19:00 - 06.01.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,2651,2651,2651
06.01.2022 20:00 - 06.01.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,2613,2613,2613
06.01.2022 21:00 - 06.01.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,2576,2576,2576
06.01.2022 22:00 - 06.01.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,2573,2573,2573
06.01.2022 23:00 - 07.01.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,2584,2584,2584
07.01.2022 00:00 - 07.01.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,2573,2573,2573
07.01.2022 01:00 - 07.01.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 02:00 - 07.01.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 03:00 - 07.01.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 04:00 - 07.01.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 05:00 - 07.01.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 06:00 - 07.01.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 07:00 - 07.01.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 08:00 - 07.01.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 09:00 - 07.01.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 10:00 - 07.01.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 11:00 - 07.01.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 12:00 - 07.01.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 13:00 - 07.01.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 14:00 - 07.01.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 15:00 - 07.01.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 16:00 - 07.01.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 17:00 - 07.01.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 18:00 - 07.01.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 19:00 - 07.01.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 20:00 - 07.01.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 21:00 - 07.01.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 22:00 - 07.01.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.01.2022 23:00 - 08.01.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
08.01.2022 00:00 - 08.01.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
08.01.2022 01:00 - 08.01.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,2932,2932,2932
08.01.2022 02:00 - 08.01.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,3138,3138,3138
