MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Germany (DE),Generation - Solar  [MW] Intraday / Germany (DE),Generation - Solar  [MW] Day Ahead/ Germany (DE),Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Offshore  [MW] Intraday / Germany (DE),Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Onshore  [MW] Intraday / Germany (DE),Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)
02.01.2022 05:45 - 02.01.2022 06:00,0,0,0,5520,5853,5520,18157,17878,18157
02.01.2022 06:00 - 02.01.2022 06:15,0,0,0,5478,6054,5478,18442,18015,18442
02.01.2022 06:15 - 02.01.2022 06:30,0,0,0,5424,6010,5424,18552,17733,18552
02.01.2022 06:30 - 02.01.2022 06:45,0,0,0,5371,6079,5371,18663,17736,18663
02.01.2022 06:45 - 02.01.2022 07:00,0,0,0,5309,5928,5309,18772,18199,18772
02.01.2022 07:00 - 02.01.2022 07:15,0,0,0,5256,5949,5256,18892,18473,18892
02.01.2022 07:15 - 02.01.2022 07:30,0,0,0,5250,5858,5250,19057,18699,19057
02.01.2022 07:30 - 02.01.2022 07:45,0,0,0,5244,5724,5244,19230,19587,19230
02.01.2022 07:45 - 02.01.2022 08:00,0,0,0,5235,5673,5235,19412,19866,19412
02.01.2022 08:00 - 02.01.2022 08:15,14,15,14,5212,5627,5212,19614,20280,19614
02.01.2022 08:15 - 02.01.2022 08:30,84,88,84,5175,5612,5175,19860,20951,19860
02.01.2022 08:30 - 02.01.2022 08:45,376,329,376,5136,5591,5136,20118,21689,20118
02.01.2022 08:45 - 02.01.2022 09:00,660,618,660,5098,5580,5098,20374,21747,20374
02.01.2022 09:00 - 02.01.2022 09:15,1023,972,1023,5060,5571,5060,20668,22062,20668
02.01.2022 09:15 - 02.01.2022 09:30,1443,1416,1443,5066,5572,5066,20958,22412,20958
02.01.2022 09:30 - 02.01.2022 09:45,1901,1871,1901,5069,5571,5069,21291,22930,21291
02.01.2022 09:45 - 02.01.2022 10:00,2390,2332,2390,5059,5563,5059,21620,23315,21620
02.01.2022 10:00 - 02.01.2022 10:15,2816,2760,2816,5060,5566,5060,21928,23682,21928
02.01.2022 10:15 - 02.01.2022 10:30,3230,3206,3230,5125,5606,5125,22206,24214,22206
02.01.2022 10:30 - 02.01.2022 10:45,3621,3671,3621,5176,5642,5176,22448,24730,22448
02.01.2022 10:45 - 02.01.2022 11:00,3976,4107,3976,5219,5685,5219,22668,25243,22668
02.01.2022 11:00 - 02.01.2022 11:15,4294,4529,4294,5248,5415,5248,22886,25739,22886
02.01.2022 11:15 - 02.01.2022 11:30,4588,4879,4588,5310,5440,5310,23396,26371,23396
02.01.2022 11:30 - 02.01.2022 11:45,4788,5130,4788,5362,5474,5362,23908,27011,23908
02.01.2022 11:45 - 02.01.2022 12:00,4899,5256,4899,5413,5502,5413,24391,27631,24391
02.01.2022 12:00 - 02.01.2022 12:15,4970,5352,4970,5453,5534,5453,24815,28199,24815
02.01.2022 12:15 - 02.01.2022 12:30,5004,5372,5004,5481,5490,5481,25351,28791,25351
02.01.2022 12:30 - 02.01.2022 12:45,4940,5281,4940,5507,5536,5507,25883,29342,25883
02.01.2022 12:45 - 02.01.2022 13:00,4789,5090,4789,5531,5587,5531,26429,29879,26429
02.01.2022 13:00 - 02.01.2022 13:15,4620,4851,4620,5557,5636,5557,27033,30436,27033
02.01.2022 13:15 - 02.01.2022 13:30,4432,4620,4432,5583,5720,5583,27646,30991,27646
