Time (CET/CEST),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Offshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Offshore  [MW] Intraday / United Kindom (UK),Generation - Wind Offshore  [MW] Current / United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK)
05.01.2022 04:30 - 05.01.2022 05:00,0,0,0,0,0,0,3410,3410,3410
05.01.2022 05:00 - 05.01.2022 05:30,0,0,0,0,0,0,3278,3278,3278
05.01.2022 05:30 - 05.01.2022 06:00,0,0,0,0,0,0,3142,3142,3142
05.01.2022 06:00 - 05.01.2022 06:30,0,0,0,0,0,0,3150,3150,3150
05.01.2022 06:30 - 05.01.2022 07:00,0,0,0,0,0,0,3150,3150,3150
05.01.2022 07:00 - 05.01.2022 07:30,0,0,0,0,0,0,3032,3032,3032
05.01.2022 07:30 - 05.01.2022 08:00,0,0,0,0,0,0,2929,2929,2929
05.01.2022 08:00 - 05.01.2022 08:30,9,9,9,0,0,0,2795,2795,2795
05.01.2022 08:30 - 05.01.2022 09:00,326,326,326,0,0,0,2670,2670,2670
05.01.2022 09:00 - 05.01.2022 09:30,1235,1235,1235,0,0,0,2606,2606,2606
05.01.2022 09:30 - 05.01.2022 10:00,2295,2295,2295,0,0,0,2547,2547,2547
05.01.2022 10:00 - 05.01.2022 10:30,3124,3124,3124,0,0,0,2537,2537,2537
05.01.2022 10:30 - 05.01.2022 11:00,3808,3808,3808,0,0,0,2529,2529,2529
05.01.2022 11:00 - 05.01.2022 11:30,4141,4141,4141,0,0,0,2534,2534,2534
05.01.2022 11:30 - 05.01.2022 12:00,4483,4483,4483,0,0,0,2552,2552,2552
05.01.2022 12:00 - 05.01.2022 12:30,4632,4632,4632,0,0,0,2406,2406,2406
05.01.2022 12:30 - 05.01.2022 13:00,4501,4501,4501,0,0,0,2284,2284,2284
05.01.2022 13:00 - 05.01.2022 13:30,4031,4031,4031,0,0,0,2153,2153,2153
05.01.2022 13:30 - 05.01.2022 14:00,3239,3239,3239,0,0,0,2040,2040,2040
05.01.2022 14:00 - 05.01.2022 14:30,2492,2492,2492,0,0,0,1848,1848,1848
05.01.2022 14:30 - 05.01.2022 15:00,1613,1613,1613,0,0,0,1685,1685,1685
05.01.2022 15:00 - 05.01.2022 15:30,715,715,715,0,0,0,1465,1465,1465
05.01.2022 15:30 - 05.01.2022 16:00,133,133,133,0,0,0,1297,1297,1297
