MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Italy (IT),Generation - Solar  [MW] Intraday / Italy (IT),Generation - Solar  [MW] Current / Italy (IT),Generation - Wind Offshore  [MW] Day Ahead/ Italy (IT),Generation - Wind Offshore  [MW] Intraday / Italy (IT),Generation - Wind Offshore  [MW] Current / Italy (IT),Generation - Wind Onshore  [MW] Day Ahead/ Italy (IT),Generation - Wind Onshore  [MW] Intraday / Italy (IT),Generation - Wind Onshore  [MW] Current / Italy (IT)
08.01.2022 02:00 - 08.01.2022 03:00,0,0,0,N/A,n/e,n/e,2382,2382,2382
08.01.2022 03:00 - 08.01.2022 04:00,0,0,0,N/A,n/e,n/e,2369,2369,2369
08.01.2022 04:00 - 08.01.2022 05:00,0,0,0,N/A,n/e,n/e,2473,2473,2473
08.01.2022 05:00 - 08.01.2022 06:00,0,0,0,N/A,n/e,n/e,2601,2601,2601
08.01.2022 06:00 - 08.01.2022 07:00,0,0,0,N/A,n/e,n/e,2736,2736,2736
08.01.2022 07:00 - 08.01.2022 08:00,0,0,0,N/A,n/e,n/e,2785,2785,2785
08.01.2022 08:00 - 08.01.2022 09:00,745,745,743,N/A,n/e,n/e,2718,2715,2718
08.01.2022 09:00 - 08.01.2022 10:00,2561,2561,2559,N/A,n/e,n/e,2681,2676,2681
08.01.2022 10:00 - 08.01.2022 11:00,4371,4371,4369,N/A,n/e,n/e,2654,2608,2654
08.01.2022 11:00 - 08.01.2022 12:00,5534,5534,5531,N/A,n/e,n/e,2781,2722,2781
08.01.2022 12:00 - 08.01.2022 13:00,5878,5878,5876,N/A,n/e,n/e,2964,2914,2964
08.01.2022 13:00 - 08.01.2022 14:00,5472,5472,5470,N/A,n/e,n/e,3297,3234,3297
08.01.2022 14:00 - 08.01.2022 15:00,4277,4277,4275,N/A,n/e,n/e,3453,3395,3453
08.01.2022 15:00 - 08.01.2022 16:00,2353,2353,2353,N/A,n/e,n/e,3607,3560,3607
08.01.2022 16:00 - 08.01.2022 17:00,515,515,512,N/A,n/e,n/e,3580,3506,3580
08.01.2022 17:00 - 08.01.2022 18:00,0,0,0,N/A,n/e,n/e,3536,3387,3536
08.01.2022 18:00 - 08.01.2022 19:00,0,0,0,N/A,n/e,n/e,3391,3258,3391
08.01.2022 19:00 - 08.01.2022 20:00,0,0,0,N/A,n/e,n/e,3378,3343,3378
08.01.2022 20:00 - 08.01.2022 21:00,0,0,0,N/A,n/e,n/e,3379,3270,3379
08.01.2022 21:00 - 08.01.2022 22:00,0,0,0,N/A,n/e,n/e,3204,3080,3204
08.01.2022 22:00 - 08.01.2022 23:00,0,0,0,N/A,n/e,n/e,3039,2945,3039
08.01.2022 23:00 - 09.01.2022 00:00,0,0,0,N/A,n/e,n/e,2959,2848,2959
09.01.2022 00:00 - 09.01.2022 01:00,0,0,0,N/A,n/e,n/e,2577,2577,2577
09.01.2022 01:00 - 09.01.2022 02:00,0,0,0,N/A,n/e,n/e,2597,2597,2597
09.01.2022 02:00 - 09.01.2022 03:00,0,0,0,N/A,n/e,n/e,2566,2566,2566
09.01.2022 03:00 - 09.01.2022 04:00,0,0,0,N/A,n/e,n/e,2534,2534,2534
09.01.2022 04:00 - 09.01.2022 05:00,0,0,0,N/A,n/e,n/e,2577,2577,2577
09.01.2022 05:00 - 09.01.2022 06:00,0,0,0,N/A,n/e,n/e,2620,2620,2620
09.01.2022 06:00 - 09.01.2022 07:00,0,0,0,N/A,n/e,n/e,2794,2794,2794
09.01.2022 07:00 - 09.01.2022 08:00,46,46,46,N/A,n/e,n/e,3167,3167,3167
09.01.2022 08:00 - 09.01.2022 09:00,772,772,772,N/A,n/e,n/e,3444,3464,3444
09.01.2022 09:00 - 09.01.2022 10:00,1992,1992,1992,N/A,n/e,n/e,3694,3709,3694
09.01.2022 10:00 - 09.01.2022 11:00,2959,2959,2959,N/A,n/e,n/e,3971,3992,3971
09.01.2022 11:00 - 09.01.2022 12:00,3433,3433,3433,N/A,n/e,n/e,4111,4126,4111
09.01.2022 12:00 - 09.01.2022 13:00,3458,3458,3458,N/A,n/e,n/e,4079,4084,4079
09.01.2022 13:00 - 09.01.2022 14:00,3075,3075,3075,N/A,n/e,n/e,4028,4018,4028
09.01.2022 14:00 - 09.01.2022 15:00,2289,2289,2289,N/A,n/e,n/e,3977,3950,3977
09.01.2022 15:00 - 09.01.2022 16:00,1189,1189,1189,N/A,n/e,n/e,3937,3931,3937
09.01.2022 16:00 - 09.01.2022 17:00,184,184,184,N/A,n/e,n/e,3954,3947,3954
09.01.2022 17:00 - 09.01.2022 18:00,0,0,0,N/A,n/e,n/e,3947,3949,3947
09.01.2022 18:00 - 09.01.2022 19:00,0,0,0,N/A,n/e,n/e,3855,3851,3855
09.01.2022 19:00 - 09.01.2022 20:00,0,0,0,N/A,n/e,n/e,3728,3702,3728
09.01.2022 20:00 - 09.01.2022 21:00,0,0,0,N/A,n/e,n/e,3973,3907,3973
09.01.2022 21:00 - 09.01.2022 22:00,0,0,0,N/A,n/e,n/e,4455,4375,4455
09.01.2022 22:00 - 09.01.2022 23:00,0,0,0,N/A,n/e,n/e,4859,4789,4859
09.01.2022 23:00 - 10.01.2022 00:00,0,0,0,N/A,n/e,n/e,5036,4995,5036
10.01.2022 00:00 - 10.01.2022 01:00,0,0,0,N/A,n/e,n/e,4341,4341,4341
10.01.2022 01:00 - 10.01.2022 02:00,0,0,0,N/A,n/e,n/e,4341,4341,4341
10.01.2022 02:00 - 10.01.2022 03:00,0,0,0,N/A,n/e,n/e,4237,4237,4237
10.01.2022 03:00 - 10.01.2022 04:00,0,0,0,N/A,n/e,n/e,4163,4163,4163
10.01.2022 04:00 - 10.01.2022 05:00,0,0,0,N/A,n/e,n/e,4131,4131,4131
10.01.2022 05:00 - 10.01.2022 06:00,0,0,0,N/A,n/e,n/e,4079,4079,4079
10.01.2022 06:00 - 10.01.2022 07:00,0,0,0,N/A,n/e,n/e,4068,4068,4068
10.01.2022 07:00 - 10.01.2022 08:00,21,21,21,N/A,n/e,n/e,4258,4258,4258
10.01.2022 08:00 - 10.01.2022 09:00,663,663,596,N/A,n/e,n/e,4361,4272,4361
10.01.2022 09:00 - 10.01.2022 10:00,2089,2089,1967,N/A,n/e,n/e,4642,4622,4642
10.01.2022 10:00 - 10.01.2022 11:00,3467,3467,3324,N/A,n/e,n/e,4868,4911,4868
10.01.2022 11:00 - 10.01.2022 12:00,4379,4379,4248,N/A,n/e,n/e,5332,5350,5332
10.01.2022 12:00 - 10.01.2022 13:00,4686,4686,4583,N/A,n/e,n/e,5766,5768,5766
10.01.2022 13:00 - 10.01.2022 14:00,4381,4381,4274,N/A,n/e,n/e,6042,6026,6042
10.01.2022 14:00 - 10.01.2022 15:00,3430,3430,3330,N/A,n/e,n/e,6173,6137,6173
10.01.2022 15:00 - 10.01.2022 16:00,1924,1924,1868,N/A,n/e,n/e,6190,6206,6190
10.01.2022 16:00 - 10.01.2022 17:00,461,461,456,N/A,n/e,n/e,6129,6192,6129
10.01.2022 17:00 - 10.01.2022 18:00,0,0,0,N/A,n/e,n/e,6107,6176,6107
10.01.2022 18:00 - 10.01.2022 19:00,0,0,0,N/A,n/e,n/e,6077,6121,6077
10.01.2022 19:00 - 10.01.2022 20:00,0,0,0,N/A,n/e,n/e,5980,6102,5980
10.01.2022 20:00 - 10.01.2022 21:00,0,0,0,N/A,n/e,n/e,6003,6070,6003
10.01.2022 21:00 - 10.01.2022 22:00,0,0,0,N/A,n/e,n/e,5977,5971,5977
10.01.2022 22:00 - 10.01.2022 23:00,0,0,0,N/A,n/e,n/e,5915,6048,5915
10.01.2022 23:00 - 11.01.2022 00:00,0,0,0,N/A,n/e,n/e,6139,6227,6139
11.01.2022 00:00 - 11.01.2022 01:00,0,0,0,N/A,n/e,n/e,5860,5860,5860
11.01.2022 01:00 - 11.01.2022 02:00,0,0,0,N/A,n/e,n/e,6015,6015,6015
11.01.2022 02:00 - 11.01.2022 03:00,0,0,0,N/A,n/e,n/e,6108,6108,6108
11.01.2022 03:00 - 11.01.2022 04:00,0,0,0,N/A,n/e,n/e,6087,6087,6087
11.01.2022 04:00 - 11.01.2022 05:00,0,0,0,N/A,n/e,n/e,6233,6233,6233
11.01.2022 05:00 - 11.01.2022 06:00,0,0,0,N/A,n/e,n/e,6349,6349,6349
11.01.2022 06:00 - 11.01.2022 07:00,0,0,0,N/A,n/e,n/e,6427,6427,6427
11.01.2022 07:00 - 11.01.2022 08:00,9,9,7,N/A,n/e,n/e,6499,6499,6499
11.01.2022 08:00 - 11.01.2022 09:00,802,802,784,N/A,n/e,n/e,6518,6502,6518
11.01.2022 09:00 - 11.01.2022 10:00,2750,2750,2733,N/A,n/e,n/e,6480,6492,6480
