Time (CET/CEST),Day-ahead Total Load Forecast [MW] - United Kindom (UK),Actual Total Load [MW] - United Kindom (UK)
13.09.2022 14:30 - 13.09.2022 15:00,27944,27944
13.09.2022 15:00 - 13.09.2022 15:30,28336,28336
13.09.2022 15:30 - 13.09.2022 16:00,29133,29133
13.09.2022 16:00 - 13.09.2022 16:30,29807,29807
13.09.2022 16:30 - 13.09.2022 17:00,30364,30364
13.09.2022 17:00 - 13.09.2022 17:30,30753,30753
13.09.2022 17:30 - 13.09.2022 18:00,30655,30655
13.09.2022 18:00 - 13.09.2022 18:30,30812,30812
13.09.2022 18:30 - 13.09.2022 19:00,31045,31045
13.09.2022 19:00 - 13.09.2022 19:30,30836,30836
13.09.2022 19:30 - 13.09.2022 20:00,29941,29941
13.09.2022 20:00 - 13.09.2022 20:30,28576,28576
13.09.2022 20:30 - 13.09.2022 21:00,27050,27050
13.09.2022 21:00 - 13.09.2022 21:30,25645,25645
13.09.2022 21:30 - 13.09.2022 22:00,24084,24084
13.09.2022 22:00 - 13.09.2022 22:30,22732,22732
13.09.2022 22:30 - 13.09.2022 23:00,21618,21618
13.09.2022 23:00 - 13.09.2022 23:30,20513,20513
13.09.2022 23:30 - 14.09.2022 00:00,20156,20156
14.09.2022 00:00 - 14.09.2022 00:30,19775,19775
14.09.2022 00:30 - 14.09.2022 01:00,19577,19577
14.09.2022 01:00 - 14.09.2022 01:30,19293,19293
14.09.2022 01:30 - 14.09.2022 02:00,19052,19052
14.09.2022 02:00 - 14.09.2022 02:30,18849,18849
14.09.2022 02:30 - 14.09.2022 03:00,18795,18795
14.09.2022 03:00 - 14.09.2022 03:30,18765,18765
14.09.2022 03:30 - 14.09.2022 04:00,18908,18908
14.09.2022 04:00 - 14.09.2022 04:30,19539,19539
14.09.2022 04:30 - 14.09.2022 05:00,20548,20548
14.09.2022 05:00 - 14.09.2022 05:30,22446,22446
14.09.2022 05:30 - 14.09.2022 06:00,24164,24164
14.09.2022 06:00 - 14.09.2022 06:30,26298,26298
14.09.2022 06:30 - 14.09.2022 07:00,27484,27484
14.09.2022 07:00 - 14.09.2022 07:30,28025,28025
14.09.2022 07:30 - 14.09.2022 08:00,27982,27982
14.09.2022 08:00 - 14.09.2022 08:30,27948,27948
14.09.2022 08:30 - 14.09.2022 09:00,27468,27468
14.09.2022 09:00 - 14.09.2022 09:30,26757,26757
14.09.2022 09:30 - 14.09.2022 10:00,26355,26355
14.09.2022 10:00 - 14.09.2022 10:30,25840,25840
14.09.2022 10:30 - 14.09.2022 11:00,25888,25888
14.09.2022 11:00 - 14.09.2022 11:30,25569,25569
14.09.2022 11:30 - 14.09.2022 12:00,24943,24943
14.09.2022 12:00 - 14.09.2022 12:30,24835,24835
14.09.2022 12:30 - 14.09.2022 13:00,24672,24672
14.09.2022 13:00 - 14.09.2022 13:30,24500,24500
14.09.2022 13:30 - 14.09.2022 14:00,24112,24112
14.09.2022 14:00 - 14.09.2022 14:30,24529,24529
14.09.2022 14:30 - 14.09.2022 15:00,25375,25375
14.09.2022 15:00 - 14.09.2022 15:30,26479,26479
14.09.2022 15:30 - 14.09.2022 16:00,27254,27254
14.09.2022 16:00 - 14.09.2022 16:30,28286,28286
14.09.2022 16:30 - 14.09.2022 17:00,29353,29353
14.09.2022 17:00 - 14.09.2022 17:30,29658,29658
14.09.2022 17:30 - 14.09.2022 18:00,29851,29851
14.09.2022 18:00 - 14.09.2022 18:30,30386,30386
14.09.2022 18:30 - 14.09.2022 19:00,30772,30772
14.09.2022 19:00 - 14.09.2022 19:30,30499,30499
14.09.2022 19:30 - 14.09.2022 20:00,29822,29822
14.09.2022 20:00 - 14.09.2022 20:30,28465,28465
14.09.2022 20:30 - 14.09.2022 21:00,26980,26980
14.09.2022 21:00 - 14.09.2022 21:30,25788,25788
14.09.2022 21:30 - 14.09.2022 22:00,24202,24202
14.09.2022 22:00 - 14.09.2022 22:30,22927,22927
14.09.2022 22:30 - 14.09.2022 23:00,21560,21560
14.09.2022 23:00 - 14.09.2022 23:30,20669,20669
14.09.2022 23:30 - 15.09.2022 00:00,20071,20071
15.09.2022 00:00 - 15.09.2022 00:30,19664,19664
15.09.2022 00:30 - 15.09.2022 01:00,19640,19640
15.09.2022 01:00 - 15.09.2022 01:30,19236,19236
15.09.2022 01:30 - 15.09.2022 02:00,18938,18938
15.09.2022 02:00 - 15.09.2022 02:30,18860,18860
15.09.2022 02:30 - 15.09.2022 03:00,18542,18542
15.09.2022 03:00 - 15.09.2022 03:30,18570,18570
15.09.2022 03:30 - 15.09.2022 04:00,18632,18632
15.09.2022 04:00 - 15.09.2022 04:30,19156,19156
15.09.2022 04:30 - 15.09.2022 05:00,20022,20022
15.09.2022 05:00 - 15.09.2022 05:30,22357,22357
15.09.2022 05:30 - 15.09.2022 06:00,24298,24298
15.09.2022 06:00 - 15.09.2022 06:30,26730,26730
15.09.2022 06:30 - 15.09.2022 07:00,27755,27755
15.09.2022 07:00 - 15.09.2022 07:30,28285,28285
15.09.2022 07:30 - 15.09.2022 08:00,28276,28276
15.09.2022 08:00 - 15.09.2022 08:30,28407,28407
15.09.2022 08:30 - 15.09.2022 09:00,28169,28169
15.09.2022 09:00 - 15.09.2022 09:30,27907,27907
15.09.2022 09:30 - 15.09.2022 10:00,27238,27238
15.09.2022 10:00 - 15.09.2022 10:30,26919,26919
15.09.2022 10:30 - 15.09.2022 11:00,26755,26755
15.09.2022 11:00 - 15.09.2022 11:30,26755,26755
15.09.2022 11:30 - 15.09.2022 12:00,27030,27030
15.09.2022 12:00 - 15.09.2022 12:30,26352,26352
15.09.2022 12:30 - 15.09.2022 13:00,26031,26031
15.09.2022 13:00 - 15.09.2022 13:30,26020,26020
15.09.2022 13:30 - 15.09.2022 14:00,26024,26024
15.09.2022 14:00 - 15.09.2022 14:30,26006,26006
15.09.2022 14:30 - 15.09.2022 15:00,26746,26746
15.09.2022 15:00 - 15.09.2022 15:30,27639,27639
15.09.2022 15:30 - 15.09.2022 16:00,28820,28820
15.09.2022 16:00 - 15.09.2022 16:30,29707,29707
15.09.2022 16:30 - 15.09.2022 17:00,30080,30080
15.09.2022 17:00 - 15.09.2022 17:30,30519,30519
15.09.2022 17:30 - 15.09.2022 18:00,30858,30858
15.09.2022 18:00 - 15.09.2022 18:30,31196,31196
15.09.2022 18:30 - 15.09.2022 19:00,31564,31564
15.09.2022 19:00 - 15.09.2022 19:30,31017,31017
15.09.2022 19:30 - 15.09.2022 20:00,29979,29979
15.09.2022 20:00 - 15.09.2022 20:30,28661,28661
15.09.2022 20:30 - 15.09.2022 21:00,27166,27166
15.09.2022 21:00 - 15.09.2022 21:30,25704,25704
15.09.2022 21:30 - 15.09.2022 22:00,23983,23983
15.09.2022 22:00 - 15.09.2022 22:30,22579,22579
15.09.2022 22:30 - 15.09.2022 23:00,21468,21468
15.09.2022 23:00 - 15.09.2022 23:30,20661,20661
15.09.2022 23:30 - 16.09.2022 00:00,20086,20086
16.09.2022 00:00 - 16.09.2022 00:30,19717,19717
16.09.2022 00:30 - 16.09.2022 01:00,19492,19492
16.09.2022 01:00 - 16.09.2022 01:30,19007,19007
16.09.2022 01:30 - 16.09.2022 02:00,18620,18620
16.09.2022 02:00 - 16.09.2022 02:30,18377,18377
16.09.2022 02:30 - 16.09.2022 03:00,18282,18282
16.09.2022 03:00 - 16.09.2022 03:30,18193,18193
16.09.2022 03:30 - 16.09.2022 04:00,18281,18281
16.09.2022 04:00 - 16.09.2022 04:30,18845,18845
16.09.2022 04:30 - 16.09.2022 05:00,19922,19922
16.09.2022 05:00 - 16.09.2022 05:30,22057,22057
16.09.2022 05:30 - 16.09.2022 06:00,23591,23591
16.09.2022 06:00 - 16.09.2022 06:30,25725,25725
16.09.2022 06:30 - 16.09.2022 07:00,26709,26709
16.09.2022 07:00 - 16.09.2022 07:30,27325,27325
16.09.2022 07:30 - 16.09.2022 08:00,26861,26861
16.09.2022 08:00 - 16.09.2022 08:30,26398,26398
16.09.2022 08:30 - 16.09.2022 09:00,25386,25386
16.09.2022 09:00 - 16.09.2022 09:30,24387,24387
16.09.2022 09:30 - 16.09.2022 10:00,23834,23834
16.09.2022 10:00 - 16.09.2022 10:30,23651,23651
16.09.2022 10:30 - 16.09.2022 11:00,23529,23529
16.09.2022 11:00 - 16.09.2022 11:30,23713,23713
16.09.2022 11:30 - 16.09.2022 12:00,23511,23511
16.09.2022 12:00 - 16.09.2022 12:30,23136,23136
16.09.2022 12:30 - 16.09.2022 13:00,22624,22624
16.09.2022 13:00 - 16.09.2022 13:30,22539,22539
16.09.2022 13:30 - 16.09.2022 14:00,22283,22283
16.09.2022 14:00 - 16.09.2022 14:30,22119,22119
16.09.2022 14:30 - 16.09.2022 15:00,22627,22627
16.09.2022 15:00 - 16.09.2022 15:30,23789,23789
16.09.2022 15:30 - 16.09.2022 16:00,24989,24989
16.09.2022 16:00 - 16.09.2022 16:30,25582,25582
16.09.2022 16:30 - 16.09.2022 17:00,26576,26576
16.09.2022 17:00 - 16.09.2022 17:30,28071,28071
16.09.2022 17:30 - 16.09.2022 18:00,28574,28574
16.09.2022 18:00 - 16.09.2022 18:30,29230,29230
16.09.2022 18:30 - 16.09.2022 19:00,29425,29425
16.09.2022 19:00 - 16.09.2022 19:30,28938,28938
16.09.2022 19:30 - 16.09.2022 20:00,28133,28133
16.09.2022 20:00 - 16.09.2022 20:30,27054,27054
16.09.2022 20:30 - 16.09.2022 21:00,26034,26034
16.09.2022 21:00 - 16.09.2022 21:30,24589,24589
16.09.2022 21:30 - 16.09.2022 22:00,23386,23386
16.09.2022 22:00 - 16.09.2022 22:30,22188,22188
16.09.2022 22:30 - 16.09.2022 23:00,21013,21013
16.09.2022 23:00 - 16.09.2022 23:30,20193,20193
16.09.2022 23:30 - 17.09.2022 00:00,19647,19647
17.09.2022 00:00 - 17.09.2022 00:30,19126,19126
17.09.2022 00:30 - 17.09.2022 01:00,18874,18874
17.09.2022 01:00 - 17.09.2022 01:30,18633,18633
17.09.2022 01:30 - 17.09.2022 02:00,18138,18138
17.09.2022 02:00 - 17.09.2022 02:30,17775,17775
17.09.2022 02:30 - 17.09.2022 03:00,17562,17562
17.09.2022 03:00 - 17.09.2022 03:30,17496,17496
17.09.2022 03:30 - 17.09.2022 04:00,17459,17459
17.09.2022 04:00 - 17.09.2022 04:30,17891,17891
17.09.2022 04:30 - 17.09.2022 05:00,18297,18297
17.09.2022 05:00 - 17.09.2022 05:30,19413,19413
17.09.2022 05:30 - 17.09.2022 06:00,20038,20038
17.09.2022 06:00 - 17.09.2022 06:30,21295,21295
17.09.2022 06:30 - 17.09.2022 07:00,22179,22179
17.09.2022 07:00 - 17.09.2022 07:30,22891,22891
17.09.2022 07:30 - 17.09.2022 08:00,22778,22778
17.09.2022 08:00 - 17.09.2022 08:30,22638,22638
17.09.2022 08:30 - 17.09.2022 09:00,21961,21961
17.09.2022 09:00 - 17.09.2022 09:30,21211,21211
17.09.2022 09:30 - 17.09.2022 10:00,20509,20509
17.09.2022 10:00 - 17.09.2022 10:30,19915,19915
17.09.2022 10:30 - 17.09.2022 11:00,19580,19580
17.09.2022 11:00 - 17.09.2022 11:30,19477,19477
17.09.2022 11:30 - 17.09.2022 12:00,19319,19319
17.09.2022 12:00 - 17.09.2022 12:30,19107,19107
17.09.2022 12:30 - 17.09.2022 13:00,18628,18628
17.09.2022 13:00 - 17.09.2022 13:30,18373,18373
17.09.2022 13:30 - 17.09.2022 14:00,18668,18668
17.09.2022 14:00 - 17.09.2022 14:30,18938,18938
17.09.2022 14:30 - 17.09.2022 15:00,19678,19678
17.09.2022 15:00 - 17.09.2022 15:30,20787,20787
17.09.2022 15:30 - 17.09.2022 16:00,22379,22379
17.09.2022 16:00 - 17.09.2022 16:30,24322,24322
17.09.2022 16:30 - 17.09.2022 17:00,25946,25946
17.09.2022 17:00 - 17.09.2022 17:30,26778,26778
17.09.2022 17:30 - 17.09.2022 18:00,27592,27592
17.09.2022 18:00 - 17.09.2022 18:30,27897,27897
17.09.2022 18:30 - 17.09.2022 19:00,28446,28446
17.09.2022 19:00 - 17.09.2022 19:30,27635,27635
17.09.2022 19:30 - 17.09.2022 20:00,26652,26652
17.09.2022 20:00 - 17.09.2022 20:30,25689,25689
17.09.2022 20:30 - 17.09.2022 21:00,24627,24627
17.09.2022 21:00 - 17.09.2022 21:30,23397,23397
17.09.2022 21:30 - 17.09.2022 22:00,22109,22109
17.09.2022 22:00 - 17.09.2022 22:30,21211,21211
17.09.2022 22:30 - 17.09.2022 23:00,20169,20169
17.09.2022 23:00 - 17.09.2022 23:30,19349,19349
17.09.2022 23:30 - 18.09.2022 00:00,18817,18817
18.09.2022 00:00 - 18.09.2022 00:30,18270,18270
18.09.2022 00:30 - 18.09.2022 01:00,18073,18073
18.09.2022 01:00 - 18.09.2022 01:30,17753,17753
18.09.2022 01:30 - 18.09.2022 02:00,17404,17404
18.09.2022 02:00 - 18.09.2022 02:30,17107,17107
18.09.2022 02:30 - 18.09.2022 03:00,16962,16962
18.09.2022 03:00 - 18.09.2022 03:30,16867,16867
18.09.2022 03:30 - 18.09.2022 04:00,16860,16860
18.09.2022 04:00 - 18.09.2022 04:30,16951,16951
18.09.2022 04:30 - 18.09.2022 05:00,17256,17256
18.09.2022 05:00 - 18.09.2022 05:30,18035,18035
18.09.2022 05:30 - 18.09.2022 06:00,18415,18415
18.09.2022 06:00 - 18.09.2022 06:30,19155,19155
18.09.2022 06:30 - 18.09.2022 07:00,19916,19916
18.09.2022 07:00 - 18.09.2022 07:30,20986,20986
18.09.2022 07:30 - 18.09.2022 08:00,21432,21432
18.09.2022 08:00 - 18.09.2022 08:30,21780,21780
18.09.2022 08:30 - 18.09.2022 09:00,21723,21723
18.09.2022 09:00 - 18.09.2022 09:30,21521,21521
18.09.2022 09:30 - 18.09.2022 10:00,21173,21173
18.09.2022 10:00 - 18.09.2022 10:30,21097,21097
18.09.2022 10:30 - 18.09.2022 11:00,21463,21463
18.09.2022 11:00 - 18.09.2022 11:30,22079,22079
18.09.2022 11:30 - 18.09.2022 12:00,22264,22264
18.09.2022 12:00 - 18.09.2022 12:30,22122,22122
18.09.2022 12:30 - 18.09.2022 13:00,22005,22005
18.09.2022 13:00 - 18.09.2022 13:30,22088,22088
18.09.2022 13:30 - 18.09.2022 14:00,21814,21814
18.09.2022 14:00 - 18.09.2022 14:30,22203,22203
18.09.2022 14:30 - 18.09.2022 15:00,23003,23003
18.09.2022 15:00 - 18.09.2022 15:30,23994,23994
18.09.2022 15:30 - 18.09.2022 16:00,25361,25361
18.09.2022 16:00 - 18.09.2022 16:30,26580,26580
18.09.2022 16:30 - 18.09.2022 17:00,27398,27398
18.09.2022 17:00 - 18.09.2022 17:30,27779,27779
18.09.2022 17:30 - 18.09.2022 18:00,28123,28123
18.09.2022 18:00 - 18.09.2022 18:30,28302,28302
18.09.2022 18:30 - 18.09.2022 19:00,28162,28162
18.09.2022 19:00 - 18.09.2022 19:30,27543,27543
18.09.2022 19:30 - 18.09.2022 20:00,26888,26888
18.09.2022 20:00 - 18.09.2022 20:30,26001,26001
18.09.2022 20:30 - 18.09.2022 21:00,24959,24959
18.09.2022 21:00 - 18.09.2022 21:30,23764,23764
18.09.2022 21:30 - 18.09.2022 22:00,22455,22455
18.09.2022 22:00 - 18.09.2022 22:30,21546,21546
18.09.2022 22:30 - 18.09.2022 23:00,20457,20457
18.09.2022 23:00 - 18.09.2022 23:30,19739,19739
18.09.2022 23:30 - 19.09.2022 00:00,19232,19232
19.09.2022 00:00 - 19.09.2022 00:30,18930,18930
19.09.2022 00:30 - 19.09.2022 01:00,18742,18742
19.09.2022 01:00 - 19.09.2022 01:30,18436,18436
19.09.2022 01:30 - 19.09.2022 02:00,18118,18118
19.09.2022 02:00 - 19.09.2022 02:30,17936,17936
19.09.2022 02:30 - 19.09.2022 03:00,17711,17711
19.09.2022 03:00 - 19.09.2022 03:30,17567,17567
19.09.2022 03:30 - 19.09.2022 04:00,17374,17374
19.09.2022 04:00 - 19.09.2022 04:30,17389,17389
19.09.2022 04:30 - 19.09.2022 05:00,18057,18057
19.09.2022 05:00 - 19.09.2022 05:30,19040,19040
19.09.2022 05:30 - 19.09.2022 06:00,19691,19691
19.09.2022 06:00 - 19.09.2022 06:30,20747,20747
19.09.2022 06:30 - 19.09.2022 07:00,21543,21543
19.09.2022 07:00 - 19.09.2022 07:30,22683,22683
19.09.2022 07:30 - 19.09.2022 08:00,23270,23270
19.09.2022 08:00 - 19.09.2022 08:30,23872,23872
19.09.2022 08:30 - 19.09.2022 09:00,24138,24138
19.09.2022 09:00 - 19.09.2022 09:30,24079,24079
19.09.2022 09:30 - 19.09.2022 10:00,22883,22883
19.09.2022 10:00 - 19.09.2022 10:30,22171,22171
19.09.2022 10:30 - 19.09.2022 11:00,22460,22460
19.09.2022 11:00 - 19.09.2022 11:30,22232,22232
19.09.2022 11:30 - 19.09.2022 12:00,22942,22942
19.09.2022 12:00 - 19.09.2022 12:30,23140,23140
19.09.2022 12:30 - 19.09.2022 13:00,22778,22778
19.09.2022 13:00 - 19.09.2022 13:30,23785,23785
19.09.2022 13:30 - 19.09.2022 14:00,23834,23834
19.09.2022 14:00 - 19.09.2022 14:30,23996,23996
19.09.2022 14:30 - 19.09.2022 15:00,24216,24216
19.09.2022 15:00 - 19.09.2022 15:30,24786,24786
19.09.2022 15:30 - 19.09.2022 16:00,26047,26047
19.09.2022 16:00 - 19.09.2022 16:30,27876,27876
19.09.2022 16:30 - 19.09.2022 17:00,28906,28906
19.09.2022 17:00 - 19.09.2022 17:30,29031,29031
19.09.2022 17:30 - 19.09.2022 18:00,28968,28968
19.09.2022 18:00 - 19.09.2022 18:30,29111,29111
19.09.2022 18:30 - 19.09.2022 19:00,29169,29169
19.09.2022 19:00 - 19.09.2022 19:30,28210,28210
19.09.2022 19:30 - 19.09.2022 20:00,27251,27251
19.09.2022 20:00 - 19.09.2022 20:30,26119,26119
19.09.2022 20:30 - 19.09.2022 21:00,25064,25064
19.09.2022 21:00 - 19.09.2022 21:30,23885,23885
19.09.2022 21:30 - 19.09.2022 22:00,22541,22541
19.09.2022 22:00 - 19.09.2022 22:30,21153,21153
19.09.2022 22:30 - 19.09.2022 23:00,20285,20285
19.09.2022 23:00 - 19.09.2022 23:30,19542,19542
19.09.2022 23:30 - 20.09.2022 00:00,19038,19038
20.09.2022 00:00 - 20.09.2022 00:30,18825,18825
20.09.2022 00:30 - 20.09.2022 01:00,18784,18784
20.09.2022 01:00 - 20.09.2022 01:30,18509,18509
20.09.2022 01:30 - 20.09.2022 02:00,18115,18115
20.09.2022 02:00 - 20.09.2022 02:30,17959,17959
20.09.2022 02:30 - 20.09.2022 03:00,17950,17950
20.09.2022 03:00 - 20.09.2022 03:30,18023,18023
20.09.2022 03:30 - 20.09.2022 04:00,18195,18195
20.09.2022 04:00 - 20.09.2022 04:30,18852,18852
20.09.2022 04:30 - 20.09.2022 05:00,20028,20028
20.09.2022 05:00 - 20.09.2022 05:30,22694,22694
20.09.2022 05:30 - 20.09.2022 06:00,24583,24583
20.09.2022 06:00 - 20.09.2022 06:30,26851,26851
20.09.2022 06:30 - 20.09.2022 07:00,28058,28058
20.09.2022 07:00 - 20.09.2022 07:30,28500,28500
20.09.2022 07:30 - 20.09.2022 08:00,28469,28469
20.09.2022 08:00 - 20.09.2022 08:30,28627,28627
20.09.2022 08:30 - 20.09.2022 09:00,28227,28227
20.09.2022 09:00 - 20.09.2022 09:30,27759,27759
20.09.2022 09:30 - 20.09.2022 10:00,27511,27511
20.09.2022 10:00 - 20.09.2022 10:30,27496,27496
20.09.2022 10:30 - 20.09.2022 11:00,27256,27256
20.09.2022 11:00 - 20.09.2022 11:30,27216,27216
20.09.2022 11:30 - 20.09.2022 12:00,26965,26965
20.09.2022 12:00 - 20.09.2022 12:30,26985,26985
20.09.2022 12:30 - 20.09.2022 13:00,27062,27062
20.09.2022 13:00 - 20.09.2022 13:30,27099,27099
20.09.2022 13:30 - 20.09.2022 14:00,27250,27250
20.09.2022 14:00 - 20.09.2022 14:30,27363,27363
20.09.2022 14:30 - 20.09.2022 15:00,27534,27534
20.09.2022 15:00 - 20.09.2022 15:30,28395,28395
20.09.2022 15:30 - 20.09.2022 16:00,29482,29482
20.09.2022 16:00 - 20.09.2022 16:30,30229,30229
20.09.2022 16:30 - 20.09.2022 17:00,30548,30548
20.09.2022 17:00 - 20.09.2022 17:30,30857,30857
20.09.2022 17:30 - 20.09.2022 18:00,31223,31223
20.09.2022 18:00 - 20.09.2022 18:30,31583,31583
20.09.2022 18:30 - 20.09.2022 19:00,31394,31394
20.09.2022 19:00 - 20.09.2022 19:30,30377,30377
20.09.2022 19:30 - 20.09.2022 20:00,29688,29688
20.09.2022 20:00 - 20.09.2022 20:30,28311,28311
20.09.2022 20:30 - 20.09.2022 21:00,27296,27296
20.09.2022 21:00 - 20.09.2022 21:30,25787,25787
20.09.2022 21:30 - 20.09.2022 22:00,24294,24294
20.09.2022 22:00 - 20.09.2022 22:30,22706,22706
20.09.2022 22:30 - 20.09.2022 23:00,21554,21554
20.09.2022 23:00 - 20.09.2022 23:30,20632,20632
20.09.2022 23:30 - 21.09.2022 00:00,20173,20173
21.09.2022 00:00 - 21.09.2022 00:30,19735,19735
21.09.2022 00:30 - 21.09.2022 01:00,19562,19562
21.09.2022 01:00 - 21.09.2022 01:30,19217,19217
21.09.2022 01:30 - 21.09.2022 02:00,18912,18912
21.09.2022 02:00 - 21.09.2022 02:30,18707,18707
21.09.2022 02:30 - 21.09.2022 03:00,18561,18561
21.09.2022 03:00 - 21.09.2022 03:30,18585,18585
21.09.2022 03:30 - 21.09.2022 04:00,18654,18654
21.09.2022 04:00 - 21.09.2022 04:30,19234,19234
21.09.2022 04:30 - 21.09.2022 05:00,20185,20185
21.09.2022 05:00 - 21.09.2022 05:30,22561,22561
21.09.2022 05:30 - 21.09.2022 06:00,24629,24629
21.09.2022 06:00 - 21.09.2022 06:30,26944,26944
21.09.2022 06:30 - 21.09.2022 07:00,28151,28151
21.09.2022 07:00 - 21.09.2022 07:30,28501,28501
21.09.2022 07:30 - 21.09.2022 08:00,28318,28318
21.09.2022 08:00 - 21.09.2022 08:30,28458,28458
21.09.2022 08:30 - 21.09.2022 09:00,27940,27940
21.09.2022 09:00 - 21.09.2022 09:30,27297,27297
21.09.2022 09:30 - 21.09.2022 10:00,27012,27012
21.09.2022 10:00 - 21.09.2022 10:30,26960,26960
21.09.2022 10:30 - 21.09.2022 11:00,26720,26720
21.09.2022 11:00 - 21.09.2022 11:30,26922,26922
21.09.2022 11:30 - 21.09.2022 12:00,26669,26669
21.09.2022 12:00 - 21.09.2022 12:30,26637,26637
21.09.2022 12:30 - 21.09.2022 13:00,26358,26358
21.09.2022 13:00 - 21.09.2022 13:30,26299,26299
21.09.2022 13:30 - 21.09.2022 14:00,26129,26129
21.09.2022 14:00 - 21.09.2022 14:30,26195,26195
21.09.2022 14:30 - 21.09.2022 15:00,27012,27012
21.09.2022 15:00 - 21.09.2022 15:30,27914,27914
21.09.2022 15:30 - 21.09.2022 16:00,28820,28820
21.09.2022 16:00 - 21.09.2022 16:30,29883,29883
21.09.2022 16:30 - 21.09.2022 17:00,30445,30445
21.09.2022 17:00 - 21.09.2022 17:30,31086,31086
21.09.2022 17:30 - 21.09.2022 18:00,31095,31095
21.09.2022 18:00 - 21.09.2022 18:30,31417,31417
21.09.2022 18:30 - 21.09.2022 19:00,31459,31459
21.09.2022 19:00 - 21.09.2022 19:30,30427,30427
21.09.2022 19:30 - 21.09.2022 20:00,29228,29228
21.09.2022 20:00 - 21.09.2022 20:30,28003,28003
21.09.2022 20:30 - 21.09.2022 21:00,26166,26166
21.09.2022 21:00 - 21.09.2022 21:30,24720,24720
21.09.2022 21:30 - 21.09.2022 22:00,22805,22805
21.09.2022 22:00 - 21.09.2022 22:30,21216,21216
21.09.2022 22:30 - 21.09.2022 23:00,20262,20262
21.09.2022 23:00 - 21.09.2022 23:30,19401,19401
21.09.2022 23:30 - 22.09.2022 00:00,18715,18715
22.09.2022 00:00 - 22.09.2022 00:30,18435,18435
22.09.2022 00:30 - 22.09.2022 01:00,18417,18417
22.09.2022 01:00 - 22.09.2022 01:30,18015,18015
22.09.2022 01:30 - 22.09.2022 02:00,17683,17683
22.09.2022 02:00 - 22.09.2022 02:30,17549,17549
22.09.2022 02:30 - 22.09.2022 03:00,17433,17433
22.09.2022 03:00 - 22.09.2022 03:30,17358,17358
22.09.2022 03:30 - 22.09.2022 04:00,17427,17427
22.09.2022 04:00 - 22.09.2022 04:30,18166,18166
22.09.2022 04:30 - 22.09.2022 05:00,19252,19252
22.09.2022 05:00 - 22.09.2022 05:30,21657,21657
22.09.2022 05:30 - 22.09.2022 06:00,23474,23474
22.09.2022 06:00 - 22.09.2022 06:30,26080,26080
22.09.2022 06:30 - 22.09.2022 07:00,27162,27162
22.09.2022 07:00 - 22.09.2022 07:30,27514,27514
22.09.2022 07:30 - 22.09.2022 08:00,27398,27398
22.09.2022 08:00 - 22.09.2022 08:30,27164,27164
22.09.2022 08:30 - 22.09.2022 09:00,26690,26690
22.09.2022 09:00 - 22.09.2022 09:30,26308,26308
22.09.2022 09:30 - 22.09.2022 10:00,26010,26010
22.09.2022 10:00 - 22.09.2022 10:30,25684,25684
22.09.2022 10:30 - 22.09.2022 11:00,25776,25776
22.09.2022 11:00 - 22.09.2022 11:30,25841,25841
22.09.2022 11:30 - 22.09.2022 12:00,25697,25697
22.09.2022 12:00 - 22.09.2022 12:30,25688,25688
22.09.2022 12:30 - 22.09.2022 13:00,26053,26053
22.09.2022 13:00 - 22.09.2022 13:30,26191,26191
22.09.2022 13:30 - 22.09.2022 14:00,26214,26214
22.09.2022 14:00 - 22.09.2022 14:30,26517,26517
22.09.2022 14:30 - 22.09.2022 15:00,27663,27663
22.09.2022 15:00 - 22.09.2022 15:30,28544,28544
22.09.2022 15:30 - 22.09.2022 16:00,29568,29568
22.09.2022 16:00 - 22.09.2022 16:30,30532,30532
22.09.2022 16:30 - 22.09.2022 17:00,30931,30931
22.09.2022 17:00 - 22.09.2022 17:30,31238,31238
22.09.2022 17:30 - 22.09.2022 18:00,31160,31160
22.09.2022 18:00 - 22.09.2022 18:30,31433,31433
22.09.2022 18:30 - 22.09.2022 19:00,31153,31153
22.09.2022 19:00 - 22.09.2022 19:30,30136,30136
22.09.2022 19:30 - 22.09.2022 20:00,29609,29609
22.09.2022 20:00 - 22.09.2022 20:30,28871,28871
22.09.2022 20:30 - 22.09.2022 21:00,27175,27175
22.09.2022 21:00 - 22.09.2022 21:30,26103,26103
22.09.2022 21:30 - 22.09.2022 22:00,24586,24586
22.09.2022 22:00 - 22.09.2022 22:30,22951,22951
22.09.2022 22:30 - 22.09.2022 23:00,21747,21747
22.09.2022 23:00 - 22.09.2022 23:30,20529,20529
22.09.2022 23:30 - 23.09.2022 00:00,19812,19812
23.09.2022 00:00 - 23.09.2022 00:30,19432,19432
23.09.2022 00:30 - 23.09.2022 01:00,19206,19206
23.09.2022 01:00 - 23.09.2022 01:30,19268,19268
23.09.2022 01:30 - 23.09.2022 02:00,18965,18965
23.09.2022 02:00 - 23.09.2022 02:30,18632,18632
23.09.2022 02:30 - 23.09.2022 03:00,18288,18288
23.09.2022 03:00 - 23.09.2022 03:30,18585,18585
23.09.2022 03:30 - 23.09.2022 04:00,18767,18767
23.09.2022 04:00 - 23.09.2022 04:30,19665,19665
23.09.2022 04:30 - 23.09.2022 05:00,20593,20593
23.09.2022 05:00 - 23.09.2022 05:30,22363,22363
23.09.2022 05:30 - 23.09.2022 06:00,24333,24333
23.09.2022 06:00 - 23.09.2022 06:30,26598,26598
