Time (CET/CEST),Day-ahead Total Load Forecast [MW] - United Kindom (UK),Actual Total Load [MW] - United Kindom (UK)
05.01.2022 03:30 - 05.01.2022 04:00,22714,22714
05.01.2022 04:00 - 05.01.2022 04:30,22613,22613
05.01.2022 04:30 - 05.01.2022 05:00,22665,22665
05.01.2022 05:00 - 05.01.2022 05:30,23579,23579
05.01.2022 05:30 - 05.01.2022 06:00,24861,24861
05.01.2022 06:00 - 05.01.2022 06:30,27451,27451
05.01.2022 06:30 - 05.01.2022 07:00,29889,29889
05.01.2022 07:00 - 05.01.2022 07:30,33041,33041
05.01.2022 07:30 - 05.01.2022 08:00,35387,35387
05.01.2022 08:00 - 05.01.2022 08:30,37138,37138
05.01.2022 08:30 - 05.01.2022 09:00,37893,37893
05.01.2022 09:00 - 05.01.2022 09:30,38813,38813
05.01.2022 09:30 - 05.01.2022 10:00,38814,38814
05.01.2022 10:00 - 05.01.2022 10:30,38293,38293
05.01.2022 10:30 - 05.01.2022 11:00,38003,38003
05.01.2022 11:00 - 05.01.2022 11:30,37716,37716
05.01.2022 11:30 - 05.01.2022 12:00,37605,37605
05.01.2022 12:00 - 05.01.2022 12:30,37848,37848
05.01.2022 12:30 - 05.01.2022 13:00,37798,37798
05.01.2022 13:00 - 05.01.2022 13:30,37817,37817
05.01.2022 13:30 - 05.01.2022 14:00,37932,37932
05.01.2022 14:00 - 05.01.2022 14:30,38422,38422
05.01.2022 14:30 - 05.01.2022 15:00,39035,39035
05.01.2022 15:00 - 05.01.2022 15:30,39780,39780
05.01.2022 15:30 - 05.01.2022 16:00,41008,41008
05.01.2022 16:00 - 05.01.2022 16:30,42264,42264
05.01.2022 16:30 - 05.01.2022 17:00,43481,43481
05.01.2022 17:00 - 05.01.2022 17:30,44173,44173
05.01.2022 17:30 - 05.01.2022 18:00,44245,44245
05.01.2022 18:00 - 05.01.2022 18:30,43719,43719
05.01.2022 18:30 - 05.01.2022 19:00,43246,43246
05.01.2022 19:00 - 05.01.2022 19:30,42343,42343
05.01.2022 19:30 - 05.01.2022 20:00,41492,41492
05.01.2022 20:00 - 05.01.2022 20:30,40370,40370
05.01.2022 20:30 - 05.01.2022 21:00,38899,38899
05.01.2022 21:00 - 05.01.2022 21:30,37252,37252
05.01.2022 21:30 - 05.01.2022 22:00,35572,35572
05.01.2022 22:00 - 05.01.2022 22:30,33884,33884
05.01.2022 22:30 - 05.01.2022 23:00,31931,31931
05.01.2022 23:00 - 05.01.2022 23:30,29911,29911
05.01.2022 23:30 - 06.01.2022 00:00,28528,28528
06.01.2022 00:00 - 06.01.2022 00:30,28289,28289
06.01.2022 00:30 - 06.01.2022 01:00,28745,28745
06.01.2022 01:00 - 06.01.2022 01:30,28557,28557
06.01.2022 01:30 - 06.01.2022 02:00,27844,27844
06.01.2022 02:00 - 06.01.2022 02:30,27288,27288
06.01.2022 02:30 - 06.01.2022 03:00,27174,27174
06.01.2022 03:00 - 06.01.2022 03:30,26702,26702
06.01.2022 03:30 - 06.01.2022 04:00,26260,26260
06.01.2022 04:00 - 06.01.2022 04:30,26243,26243
06.01.2022 04:30 - 06.01.2022 05:00,26212,26212
06.01.2022 05:00 - 06.01.2022 05:30,26567,26567
06.01.2022 05:30 - 06.01.2022 06:00,27434,27434
06.01.2022 06:00 - 06.01.2022 06:30,29845,29845
06.01.2022 06:30 - 06.01.2022 07:00,32418,32418
06.01.2022 07:00 - 06.01.2022 07:30,35429,35429
06.01.2022 07:30 - 06.01.2022 08:00,37058,37058
06.01.2022 08:00 - 06.01.2022 08:30,38151,38151
06.01.2022 08:30 - 06.01.2022 09:00,38854,38854
06.01.2022 09:00 - 06.01.2022 09:30,39682,39682
06.01.2022 09:30 - 06.01.2022 10:00,39916,39916
06.01.2022 10:00 - 06.01.2022 10:30,40083,40083
06.01.2022 10:30 - 06.01.2022 11:00,40078,40078
06.01.2022 11:00 - 06.01.2022 11:30,40442,40442
06.01.2022 11:30 - 06.01.2022 12:00,41076,41076
06.01.2022 12:00 - 06.01.2022 12:30,41628,41628
06.01.2022 12:30 - 06.01.2022 13:00,41677,41677
06.01.2022 13:00 - 06.01.2022 13:30,41516,41516
06.01.2022 13:30 - 06.01.2022 14:00,41128,41128
06.01.2022 14:00 - 06.01.2022 14:30,40679,40679
06.01.2022 14:30 - 06.01.2022 15:00,40302,40302
06.01.2022 15:00 - 06.01.2022 15:30,40239,40239
06.01.2022 15:30 - 06.01.2022 16:00,41022,41022
06.01.2022 16:00 - 06.01.2022 16:30,42312,42312
06.01.2022 16:30 - 06.01.2022 17:00,43267,43267
06.01.2022 17:00 - 06.01.2022 17:30,43425,43425
06.01.2022 17:30 - 06.01.2022 18:00,43002,43002
06.01.2022 18:00 - 06.01.2022 18:30,42346,42346
06.01.2022 18:30 - 06.01.2022 19:00,41598,41598
06.01.2022 19:00 - 06.01.2022 19:30,40623,40623
06.01.2022 19:30 - 06.01.2022 20:00,39086,39086
06.01.2022 20:00 - 06.01.2022 20:30,37531,37531
06.01.2022 20:30 - 06.01.2022 21:00,35825,35825
06.01.2022 21:00 - 06.01.2022 21:30,33885,33885
06.01.2022 21:30 - 06.01.2022 22:00,32010,32010
06.01.2022 22:00 - 06.01.2022 22:30,30041,30041
06.01.2022 22:30 - 06.01.2022 23:00,28033,28033
06.01.2022 23:00 - 06.01.2022 23:30,26199,26199
06.01.2022 23:30 - 07.01.2022 00:00,25076,25076
07.01.2022 00:00 - 07.01.2022 00:30,24747,24747
07.01.2022 00:30 - 07.01.2022 01:00,25327,25327
07.01.2022 01:00 - 07.01.2022 01:30,25273,25273
07.01.2022 01:30 - 07.01.2022 02:00,24756,24756
07.01.2022 02:00 - 07.01.2022 02:30,24348,24348
07.01.2022 02:30 - 07.01.2022 03:00,24095,24095
07.01.2022 03:00 - 07.01.2022 03:30,24070,24070
07.01.2022 03:30 - 07.01.2022 04:00,23566,23566
07.01.2022 04:00 - 07.01.2022 04:30,23443,23443
07.01.2022 04:30 - 07.01.2022 05:00,23535,23535
07.01.2022 05:00 - 07.01.2022 05:30,24229,24229
07.01.2022 05:30 - 07.01.2022 06:00,25076,25076
07.01.2022 06:00 - 07.01.2022 06:30,27693,27693
07.01.2022 06:30 - 07.01.2022 07:00,30235,30235
07.01.2022 07:00 - 07.01.2022 07:30,33609,33609
07.01.2022 07:30 - 07.01.2022 08:00,35853,35853
07.01.2022 08:00 - 07.01.2022 08:30,37411,37411
07.01.2022 08:30 - 07.01.2022 09:00,38234,38234
07.01.2022 09:00 - 07.01.2022 09:30,39318,39318
07.01.2022 09:30 - 07.01.2022 10:00,39233,39233
07.01.2022 10:00 - 07.01.2022 10:30,39190,39190
07.01.2022 10:30 - 07.01.2022 11:00,39080,39080
07.01.2022 11:00 - 07.01.2022 11:30,38965,38965
07.01.2022 11:30 - 07.01.2022 12:00,38962,38962
07.01.2022 12:00 - 07.01.2022 12:30,39473,39473
07.01.2022 12:30 - 07.01.2022 13:00,39581,39581
07.01.2022 13:00 - 07.01.2022 13:30,39731,39731
07.01.2022 13:30 - 07.01.2022 14:00,39629,39629
07.01.2022 14:00 - 07.01.2022 14:30,39931,39931
07.01.2022 14:30 - 07.01.2022 15:00,39835,39835
07.01.2022 15:00 - 07.01.2022 15:30,40235,40235
07.01.2022 15:30 - 07.01.2022 16:00,41067,41067
07.01.2022 16:00 - 07.01.2022 16:30,42322,42322
07.01.2022 16:30 - 07.01.2022 17:00,43334,43334
07.01.2022 17:00 - 07.01.2022 17:30,43562,43562
07.01.2022 17:30 - 07.01.2022 18:00,43275,43275
07.01.2022 18:00 - 07.01.2022 18:30,42911,42911
07.01.2022 18:30 - 07.01.2022 19:00,42382,42382
07.01.2022 19:00 - 07.01.2022 19:30,41064,41064
07.01.2022 19:30 - 07.01.2022 20:00,40007,40007
07.01.2022 20:00 - 07.01.2022 20:30,38756,38756
07.01.2022 20:30 - 07.01.2022 21:00,37310,37310
07.01.2022 21:00 - 07.01.2022 21:30,35805,35805
07.01.2022 21:30 - 07.01.2022 22:00,34312,34312
07.01.2022 22:00 - 07.01.2022 22:30,32223,32223
