Time (CET/CEST),Day-ahead Total Load Forecast [MW] - Ireland (IE),Actual Total Load [MW] - Ireland (IE)
03.02.2022 18:30 - 03.02.2022 19:00,5286,4895
03.02.2022 19:00 - 03.02.2022 19:30,5376,4943
03.02.2022 19:30 - 03.02.2022 20:00,5338,4899
03.02.2022 20:00 - 03.02.2022 20:30,5229,4787
03.02.2022 20:30 - 03.02.2022 21:00,5130,4654
03.02.2022 21:00 - 03.02.2022 21:30,4996,4523
03.02.2022 21:30 - 03.02.2022 22:00,4888,4429
03.02.2022 22:00 - 03.02.2022 22:30,4739,4280
03.02.2022 22:30 - 03.02.2022 23:00,4521,4117
03.02.2022 23:00 - 03.02.2022 23:30,4287,3910
03.02.2022 23:30 - 04.02.2022 00:00,4092,3730
04.02.2022 00:00 - 04.02.2022 00:30,4021,3623
04.02.2022 00:30 - 04.02.2022 01:00,3924,3542
04.02.2022 01:00 - 04.02.2022 01:30,3763,3429
04.02.2022 01:30 - 04.02.2022 02:00,3613,3330
04.02.2022 02:00 - 04.02.2022 02:30,3500,3232
04.02.2022 02:30 - 04.02.2022 03:00,3391,3176
04.02.2022 03:00 - 04.02.2022 03:30,3312,3122
04.02.2022 03:30 - 04.02.2022 04:00,3254,3063
04.02.2022 04:00 - 04.02.2022 04:30,3208,3020
04.02.2022 04:30 - 04.02.2022 05:00,3193,3027
04.02.2022 05:00 - 04.02.2022 05:30,3199,2971
04.02.2022 05:30 - 04.02.2022 06:00,3190,2963
04.02.2022 06:00 - 04.02.2022 06:30,3228,3005
04.02.2022 06:30 - 04.02.2022 07:00,3292,3110
04.02.2022 07:00 - 04.02.2022 07:30,3489,3212
04.02.2022 07:30 - 04.02.2022 08:00,3734,3440
04.02.2022 08:00 - 04.02.2022 08:30,4146,3727
04.02.2022 08:30 - 04.02.2022 09:00,4499,4103
04.02.2022 09:00 - 04.02.2022 09:30,4636,4224
04.02.2022 09:30 - 04.02.2022 10:00,4633,4258
04.02.2022 10:00 - 04.02.2022 10:30,4716,4334
04.02.2022 10:30 - 04.02.2022 11:00,4793,4442
04.02.2022 11:00 - 04.02.2022 11:30,4777,4442
04.02.2022 11:30 - 04.02.2022 12:00,4772,4442
04.02.2022 12:00 - 04.02.2022 12:30,4779,4447
04.02.2022 12:30 - 04.02.2022 13:00,4776,4431
04.02.2022 13:00 - 04.02.2022 13:30,4776,4406
04.02.2022 13:30 - 04.02.2022 14:00,4778,4425
04.02.2022 14:00 - 04.02.2022 14:30,4748,4423
04.02.2022 14:30 - 04.02.2022 15:00,4669,4324
04.02.2022 15:00 - 04.02.2022 15:30,4672,4348
04.02.2022 15:30 - 04.02.2022 16:00,4659,4345
04.02.2022 16:00 - 04.02.2022 16:30,4689,4346
04.02.2022 16:30 - 04.02.2022 17:00,4720,4361
04.02.2022 17:00 - 04.02.2022 17:30,4740,4372
04.02.2022 17:30 - 04.02.2022 18:00,4823,4442
04.02.2022 18:00 - 04.02.2022 18:30,4945,4531
04.02.2022 18:30 - 04.02.2022 19:00,5155,4684
04.02.2022 19:00 - 04.02.2022 19:30,5294,4850
04.02.2022 19:30 - 04.02.2022 20:00,5249,4822
04.02.2022 20:00 - 04.02.2022 20:30,5147,4731
04.02.2022 20:30 - 04.02.2022 21:00,5029,4621
04.02.2022 21:00 - 04.02.2022 21:30,4877,4458
04.02.2022 21:30 - 04.02.2022 22:00,4714,4317
04.02.2022 22:00 - 04.02.2022 22:30,4567,4232
04.02.2022 22:30 - 04.02.2022 23:00,4372,4047
04.02.2022 23:00 - 04.02.2022 23:30,4187,3897
04.02.2022 23:30 - 05.02.2022 00:00,4038,3749
05.02.2022 00:00 - 05.02.2022 00:30,4049,3675
05.02.2022 00:30 - 05.02.2022 01:00,3997,3653
05.02.2022 01:00 - 05.02.2022 01:30,3852,3515
05.02.2022 01:30 - 05.02.2022 02:00,3684,3406
05.02.2022 02:00 - 05.02.2022 02:30,3546,3295
05.02.2022 02:30 - 05.02.2022 03:00,3426,3234
05.02.2022 03:00 - 05.02.2022 03:30,3327,3133
05.02.2022 03:30 - 05.02.2022 04:00,3251,3099
05.02.2022 04:00 - 05.02.2022 04:30,3205,3069
05.02.2022 04:30 - 05.02.2022 05:00,3157,3043
05.02.2022 05:00 - 05.02.2022 05:30,3144,3026
05.02.2022 05:30 - 05.02.2022 06:00,3126,3002
05.02.2022 06:00 - 05.02.2022 06:30,3121,2990
05.02.2022 06:30 - 05.02.2022 07:00,3133,3012
05.02.2022 07:00 - 05.02.2022 07:30,3211,3062
05.02.2022 07:30 - 05.02.2022 08:00,3307,3142
05.02.2022 08:00 - 05.02.2022 08:30,3459,3237
05.02.2022 08:30 - 05.02.2022 09:00,3608,3403
05.02.2022 09:00 - 05.02.2022 09:30,3672,3521
05.02.2022 09:30 - 05.02.2022 10:00,3827,3648
05.02.2022 10:00 - 05.02.2022 10:30,4020,3856
05.02.2022 10:30 - 05.02.2022 11:00,4176,4008
05.02.2022 11:00 - 05.02.2022 11:30,4276,4101
05.02.2022 11:30 - 05.02.2022 12:00,4341,4205
05.02.2022 12:00 - 05.02.2022 12:30,4370,4237
05.02.2022 12:30 - 05.02.2022 13:00,4391,4282
05.02.2022 13:00 - 05.02.2022 13:30,4404,4279
05.02.2022 13:30 - 05.02.2022 14:00,4421,4330
05.02.2022 14:00 - 05.02.2022 14:30,4390,4320
05.02.2022 14:30 - 05.02.2022 15:00,4319,4312
05.02.2022 15:00 - 05.02.2022 15:30,4271,4262
05.02.2022 15:30 - 05.02.2022 16:00,4231,4213
05.02.2022 16:00 - 05.02.2022 16:30,4233,4157
05.02.2022 16:30 - 05.02.2022 17:00,4228,4183
05.02.2022 17:00 - 05.02.2022 17:30,4254,4144
05.02.2022 17:30 - 05.02.2022 18:00,4381,4293
05.02.2022 18:00 - 05.02.2022 18:30,4505,4411
05.02.2022 18:30 - 05.02.2022 19:00,4732,4582
05.02.2022 19:00 - 05.02.2022 19:30,4870,4639
05.02.2022 19:30 - 05.02.2022 20:00,4841,4574
05.02.2022 20:00 - 05.02.2022 20:30,4754,4493
05.02.2022 20:30 - 05.02.2022 21:00,4608,4341
05.02.2022 21:00 - 05.02.2022 21:30,4478,4199
05.02.2022 21:30 - 05.02.2022 22:00,4346,4048
05.02.2022 22:00 - 05.02.2022 22:30,4218,3961
05.02.2022 22:30 - 05.02.2022 23:00,4082,3833
05.02.2022 23:00 - 05.02.2022 23:30,3935,3694
05.02.2022 23:30 - 06.02.2022 00:00,3826,3584
06.02.2022 00:00 - 06.02.2022 00:30,3850,3525
06.02.2022 00:30 - 06.02.2022 01:00,3805,3512
06.02.2022 01:00 - 06.02.2022 01:30,3682,3424
06.02.2022 01:30 - 06.02.2022 02:00,3544,3344
06.02.2022 02:00 - 06.02.2022 02:30,3421,3238
06.02.2022 02:30 - 06.02.2022 03:00,3318,3152
06.02.2022 03:00 - 06.02.2022 03:30,3217,3076
06.02.2022 03:30 - 06.02.2022 04:00,3144,2992
06.02.2022 04:00 - 06.02.2022 04:30,3105,2963
06.02.2022 04:30 - 06.02.2022 05:00,3082,2902
06.02.2022 05:00 - 06.02.2022 05:30,3053,2873
06.02.2022 05:30 - 06.02.2022 06:00,3033,2874
06.02.2022 06:00 - 06.02.2022 06:30,3028,2856
06.02.2022 06:30 - 06.02.2022 07:00,3033,2881
06.02.2022 07:00 - 06.02.2022 07:30,3052,2923
06.02.2022 07:30 - 06.02.2022 08:00,3093,2987
06.02.2022 08:00 - 06.02.2022 08:30,3161,3042
06.02.2022 08:30 - 06.02.2022 09:00,3242,3138
06.02.2022 09:00 - 06.02.2022 09:30,3274,3186
06.02.2022 09:30 - 06.02.2022 10:00,3371,3258
06.02.2022 10:00 - 06.02.2022 10:30,3559,3425
06.02.2022 10:30 - 06.02.2022 11:00,3741,3599
06.02.2022 11:00 - 06.02.2022 11:30,3902,N/A
06.02.2022 11:30 - 06.02.2022 12:00,4029,N/A
06.02.2022 12:00 - 06.02.2022 12:30,4141,3888
06.02.2022 12:30 - 06.02.2022 13:00,4186,3957
06.02.2022 13:00 - 06.02.2022 13:30,4279,4025
06.02.2022 13:30 - 06.02.2022 14:00,4349,4080
06.02.2022 14:00 - 06.02.2022 14:30,4365,4106
06.02.2022 14:30 - 06.02.2022 15:00,4328,4049
06.02.2022 15:00 - 06.02.2022 15:30,4275,4014
06.02.2022 15:30 - 06.02.2022 16:00,4228,3957
06.02.2022 16:00 - 06.02.2022 16:30,4184,3921
06.02.2022 16:30 - 06.02.2022 17:00,4170,3903
06.02.2022 17:00 - 06.02.2022 17:30,4222,3924
06.02.2022 17:30 - 06.02.2022 18:00,4288,4014
06.02.2022 18:00 - 06.02.2022 18:30,4445,4122
06.02.2022 18:30 - 06.02.2022 19:00,4688,4310
06.02.2022 19:00 - 06.02.2022 19:30,4841,4469
06.02.2022 19:30 - 06.02.2022 20:00,4845,4445
06.02.2022 20:00 - 06.02.2022 20:30,4778,4367
06.02.2022 20:30 - 06.02.2022 21:00,4656,4285
06.02.2022 21:00 - 06.02.2022 21:30,4529,4186
06.02.2022 21:30 - 06.02.2022 22:00,4419,4055
06.02.2022 22:00 - 06.02.2022 22:30,4293,3960
06.02.2022 22:30 - 06.02.2022 23:00,4116,3812
06.02.2022 23:00 - 06.02.2022 23:30,3917,3649
06.02.2022 23:30 - 07.02.2022 00:00,3775,3494
07.02.2022 00:00 - 07.02.2022 00:30,3758,3413
07.02.2022 00:30 - 07.02.2022 01:00,3687,3389
07.02.2022 01:00 - 07.02.2022 01:30,3569,3278
07.02.2022 01:30 - 07.02.2022 02:00,3440,3190
07.02.2022 02:00 - 07.02.2022 02:30,3326,3103
07.02.2022 02:30 - 07.02.2022 03:00,3250,3037
07.02.2022 03:00 - 07.02.2022 03:30,3187,2973
07.02.2022 03:30 - 07.02.2022 04:00,3137,2939
07.02.2022 04:00 - 07.02.2022 04:30,3094,2895
07.02.2022 04:30 - 07.02.2022 05:00,3071,2884
07.02.2022 05:00 - 07.02.2022 05:30,3066,2877
07.02.2022 05:30 - 07.02.2022 06:00,3059,2895
07.02.2022 06:00 - 07.02.2022 06:30,3091,2902
07.02.2022 06:30 - 07.02.2022 07:00,3153,2979
07.02.2022 07:00 - 07.02.2022 07:30,3355,3092
07.02.2022 07:30 - 07.02.2022 08:00,3620,3299
07.02.2022 08:00 - 07.02.2022 08:30,4011,3576
07.02.2022 08:30 - 07.02.2022 09:00,4349,3976
07.02.2022 09:00 - 07.02.2022 09:30,4483,4161
07.02.2022 09:30 - 07.02.2022 10:00,4546,4190
07.02.2022 10:00 - 07.02.2022 10:30,4662,4284
07.02.2022 10:30 - 07.02.2022 11:00,4758,4378
07.02.2022 11:00 - 07.02.2022 11:30,4778,4424
07.02.2022 11:30 - 07.02.2022 12:00,4792,4419
07.02.2022 12:00 - 07.02.2022 12:30,4799,4419
07.02.2022 12:30 - 07.02.2022 13:00,4798,4410
07.02.2022 13:00 - 07.02.2022 13:30,4802,4419
07.02.2022 13:30 - 07.02.2022 14:00,4833,4453
07.02.2022 14:00 - 07.02.2022 14:30,4803,4451
07.02.2022 14:30 - 07.02.2022 15:00,4725,4411
07.02.2022 15:00 - 07.02.2022 15:30,4726,4397
07.02.2022 15:30 - 07.02.2022 16:00,4728,4403
07.02.2022 16:00 - 07.02.2022 16:30,4758,4401
07.02.2022 16:30 - 07.02.2022 17:00,4796,4427
07.02.2022 17:00 - 07.02.2022 17:30,4857,4465
07.02.2022 17:30 - 07.02.2022 18:00,4968,4588
07.02.2022 18:00 - 07.02.2022 18:30,5091,N/A
07.02.2022 18:30 - 07.02.2022 19:00,5311,N/A
07.02.2022 19:00 - 07.02.2022 19:30,5484,4960
07.02.2022 19:30 - 07.02.2022 20:00,5433,4880
07.02.2022 20:00 - 07.02.2022 20:30,5324,N/A
07.02.2022 20:30 - 07.02.2022 21:00,5186,N/A
07.02.2022 21:00 - 07.02.2022 21:30,5042,4515
07.02.2022 21:30 - 07.02.2022 22:00,4899,4390
07.02.2022 22:00 - 07.02.2022 22:30,4753,4273
07.02.2022 22:30 - 07.02.2022 23:00,4528,4061
07.02.2022 23:00 - 07.02.2022 23:30,4296,3839
07.02.2022 23:30 - 08.02.2022 00:00,4082,3609
08.02.2022 00:00 - 08.02.2022 00:30,4036,3488
08.02.2022 00:30 - 08.02.2022 01:00,3943,3424
08.02.2022 01:00 - 08.02.2022 01:30,3774,3332
08.02.2022 01:30 - 08.02.2022 02:00,3624,3278
08.02.2022 02:00 - 08.02.2022 02:30,3506,3202
08.02.2022 02:30 - 08.02.2022 03:00,3430,3136
08.02.2022 03:00 - 08.02.2022 03:30,3372,3059
08.02.2022 03:30 - 08.02.2022 04:00,3303,3040
08.02.2022 04:00 - 08.02.2022 04:30,3275,3013
08.02.2022 04:30 - 08.02.2022 05:00,3254,2977
08.02.2022 05:00 - 08.02.2022 05:30,3241,2953
08.02.2022 05:30 - 08.02.2022 06:00,3228,2963
08.02.2022 06:00 - 08.02.2022 06:30,3261,2978
08.02.2022 06:30 - 08.02.2022 07:00,3322,3030
08.02.2022 07:00 - 08.02.2022 07:30,3517,3180
08.02.2022 07:30 - 08.02.2022 08:00,3781,3421
08.02.2022 08:00 - 08.02.2022 08:30,4158,3722
08.02.2022 08:30 - 08.02.2022 09:00,4509,4087
08.02.2022 09:00 - 08.02.2022 09:30,4624,4265
08.02.2022 09:30 - 08.02.2022 10:00,4649,4331
08.02.2022 10:00 - 08.02.2022 10:30,4715,4341
08.02.2022 10:30 - 08.02.2022 11:00,4803,4418
08.02.2022 11:00 - 08.02.2022 11:30,4818,4423
08.02.2022 11:30 - 08.02.2022 12:00,4821,4402
08.02.2022 12:00 - 08.02.2022 12:30,4831,4407
08.02.2022 12:30 - 08.02.2022 13:00,4835,4402
08.02.2022 13:00 - 08.02.2022 13:30,4859,4434
08.02.2022 13:30 - 08.02.2022 14:00,4865,4486
08.02.2022 14:00 - 08.02.2022 14:30,4837,4496
08.02.2022 14:30 - 08.02.2022 15:00,4765,4416
08.02.2022 15:00 - 08.02.2022 15:30,4757,4379
08.02.2022 15:30 - 08.02.2022 16:00,4758,4400
08.02.2022 16:00 - 08.02.2022 16:30,4765,4396
08.02.2022 16:30 - 08.02.2022 17:00,4802,4433
08.02.2022 17:00 - 08.02.2022 17:30,4878,4503
08.02.2022 17:30 - 08.02.2022 18:00,4984,4610
08.02.2022 18:00 - 08.02.2022 18:30,5090,4736
08.02.2022 18:30 - 08.02.2022 19:00,5294,4913
08.02.2022 19:00 - 08.02.2022 19:30,5460,4997
08.02.2022 19:30 - 08.02.2022 20:00,5442,4918
08.02.2022 20:00 - 08.02.2022 20:30,5339,4815
08.02.2022 20:30 - 08.02.2022 21:00,5205,4672
08.02.2022 21:00 - 08.02.2022 21:30,5056,4527
08.02.2022 21:30 - 08.02.2022 22:00,4899,4387
08.02.2022 22:00 - 08.02.2022 22:30,4753,4232
08.02.2022 22:30 - 08.02.2022 23:00,4545,4043
08.02.2022 23:00 - 08.02.2022 23:30,4322,3883
08.02.2022 23:30 - 09.02.2022 00:00,4125,3691
09.02.2022 00:00 - 09.02.2022 00:30,4041,3555
09.02.2022 00:30 - 09.02.2022 01:00,3924,3502
09.02.2022 01:00 - 09.02.2022 01:30,3780,3374
09.02.2022 01:30 - 09.02.2022 02:00,3648,3284
09.02.2022 02:00 - 09.02.2022 02:30,3528,3170
09.02.2022 02:30 - 09.02.2022 03:00,3421,3114
09.02.2022 03:00 - 09.02.2022 03:30,3331,3039
09.02.2022 03:30 - 09.02.2022 04:00,3273,3006
09.02.2022 04:00 - 09.02.2022 04:30,3225,2955
09.02.2022 04:30 - 09.02.2022 05:00,3196,2944
09.02.2022 05:00 - 09.02.2022 05:30,3192,2973
09.02.2022 05:30 - 09.02.2022 06:00,3185,2961
09.02.2022 06:00 - 09.02.2022 06:30,3231,2969
09.02.2022 06:30 - 09.02.2022 07:00,3300,3023
09.02.2022 07:00 - 09.02.2022 07:30,3484,3162
09.02.2022 07:30 - 09.02.2022 08:00,3757,3388
09.02.2022 08:00 - 09.02.2022 08:30,4151,3700
09.02.2022 08:30 - 09.02.2022 09:00,4480,4078
09.02.2022 09:00 - 09.02.2022 09:30,4587,4213
09.02.2022 09:30 - 09.02.2022 10:00,4608,4273
09.02.2022 10:00 - 09.02.2022 10:30,4677,4343
09.02.2022 10:30 - 09.02.2022 11:00,4754,4390
09.02.2022 11:00 - 09.02.2022 11:30,4751,4396
09.02.2022 11:30 - 09.02.2022 12:00,4740,4376
09.02.2022 12:00 - 09.02.2022 12:30,4736,4395
09.02.2022 12:30 - 09.02.2022 13:00,4737,4383
09.02.2022 13:00 - 09.02.2022 13:30,4751,4342
09.02.2022 13:30 - 09.02.2022 14:00,4762,4399
09.02.2022 14:00 - 09.02.2022 14:30,4703,4409
09.02.2022 14:30 - 09.02.2022 15:00,4637,4345
09.02.2022 15:00 - 09.02.2022 15:30,4642,4346
09.02.2022 15:30 - 09.02.2022 16:00,4644,4305
09.02.2022 16:00 - 09.02.2022 16:30,4655,4327
09.02.2022 16:30 - 09.02.2022 17:00,4689,4395
09.02.2022 17:00 - 09.02.2022 17:30,4741,4439
09.02.2022 17:30 - 09.02.2022 18:00,4833,4547
09.02.2022 18:00 - 09.02.2022 18:30,4956,4621
09.02.2022 18:30 - 09.02.2022 19:00,5157,4793
09.02.2022 19:00 - 09.02.2022 19:30,5355,4953
09.02.2022 19:30 - 09.02.2022 20:00,5367,4936
09.02.2022 20:00 - 09.02.2022 20:30,5263,4849
09.02.2022 20:30 - 09.02.2022 21:00,5143,4707
09.02.2022 21:00 - 09.02.2022 21:30,5008,4615
09.02.2022 21:30 - 09.02.2022 22:00,4885,4488
09.02.2022 22:00 - 09.02.2022 22:30,4721,4347
09.02.2022 22:30 - 09.02.2022 23:00,4507,4195
09.02.2022 23:00 - 09.02.2022 23:30,4279,3969
09.02.2022 23:30 - 10.02.2022 00:00,4060,3791
10.02.2022 00:00 - 10.02.2022 00:30,3995,3688
10.02.2022 00:30 - 10.02.2022 01:00,3901,3572
10.02.2022 01:00 - 10.02.2022 01:30,3753,3439
10.02.2022 01:30 - 10.02.2022 02:00,3621,3349
10.02.2022 02:00 - 10.02.2022 02:30,3512,3276
10.02.2022 02:30 - 10.02.2022 03:00,3414,3193
10.02.2022 03:00 - 10.02.2022 03:30,3330,3150
10.02.2022 03:30 - 10.02.2022 04:00,3270,3119
10.02.2022 04:00 - 10.02.2022 04:30,3239,3094
10.02.2022 04:30 - 10.02.2022 05:00,3215,3060
10.02.2022 05:00 - 10.02.2022 05:30,3204,3052
10.02.2022 05:30 - 10.02.2022 06:00,3191,3047
10.02.2022 06:00 - 10.02.2022 06:30,3236,3083
10.02.2022 06:30 - 10.02.2022 07:00,3307,3135
10.02.2022 07:00 - 10.02.2022 07:30,3487,3279
10.02.2022 07:30 - 10.02.2022 08:00,3744,3469
10.02.2022 08:00 - 10.02.2022 08:30,4107,3774
10.02.2022 08:30 - 10.02.2022 09:00,4406,4168
10.02.2022 09:00 - 10.02.2022 09:30,4515,4311
10.02.2022 09:30 - 10.02.2022 10:00,4565,4389
10.02.2022 10:00 - 10.02.2022 10:30,4637,4460
10.02.2022 10:30 - 10.02.2022 11:00,4717,4519
10.02.2022 11:00 - 10.02.2022 11:30,4724,4521
10.02.2022 11:30 - 10.02.2022 12:00,4720,4495
10.02.2022 12:00 - 10.02.2022 12:30,4721,4428
10.02.2022 12:30 - 10.02.2022 13:00,4714,4455
10.02.2022 13:00 - 10.02.2022 13:30,4725,4449
10.02.2022 13:30 - 10.02.2022 14:00,4738,4446
10.02.2022 14:00 - 10.02.2022 14:30,4698,4379
10.02.2022 14:30 - 10.02.2022 15:00,4620,4377
10.02.2022 15:00 - 10.02.2022 15:30,4624,4354
10.02.2022 15:30 - 10.02.2022 16:00,4602,4367
10.02.2022 16:00 - 10.02.2022 16:30,4626,4384
10.02.2022 16:30 - 10.02.2022 17:00,4670,4420
10.02.2022 17:00 - 10.02.2022 17:30,4724,4388
10.02.2022 17:30 - 10.02.2022 18:00,4815,4500
10.02.2022 18:00 - 10.02.2022 18:30,4920,4603
10.02.2022 18:30 - 10.02.2022 19:00,5123,4715
10.02.2022 19:00 - 10.02.2022 19:30,5334,4923
10.02.2022 19:30 - 10.02.2022 20:00,5340,4954
10.02.2022 20:00 - 10.02.2022 20:30,5246,4873
10.02.2022 20:30 - 10.02.2022 21:00,5133,4777
10.02.2022 21:00 - 10.02.2022 21:30,4991,4643
10.02.2022 21:30 - 10.02.2022 22:00,4853,4555
10.02.2022 22:00 - 10.02.2022 22:30,4681,4428
10.02.2022 22:30 - 10.02.2022 23:00,4470,4256
10.02.2022 23:00 - 10.02.2022 23:30,4260,4065
10.02.2022 23:30 - 11.02.2022 00:00,4064,3884
11.02.2022 00:00 - 11.02.2022 00:30,4006,N/A
11.02.2022 00:30 - 11.02.2022 01:00,3912,N/A
11.02.2022 01:00 - 11.02.2022 01:30,3745,3568
11.02.2022 01:30 - 11.02.2022 02:00,3616,3474
11.02.2022 02:00 - 11.02.2022 02:30,3492,3374
11.02.2022 02:30 - 11.02.2022 03:00,3394,3303
11.02.2022 03:00 - 11.02.2022 03:30,3317,3223
11.02.2022 03:30 - 11.02.2022 04:00,3259,3187
11.02.2022 04:00 - 11.02.2022 04:30,3215,3159
11.02.2022 04:30 - 11.02.2022 05:00,3195,3142
11.02.2022 05:00 - 11.02.2022 05:30,3189,3132
11.02.2022 05:30 - 11.02.2022 06:00,3182,3127
11.02.2022 06:00 - 11.02.2022 06:30,3210,3139
11.02.2022 06:30 - 11.02.2022 07:00,3278,3197
11.02.2022 07:00 - 11.02.2022 07:30,3466,3316
11.02.2022 07:30 - 11.02.2022 08:00,3708,3544
11.02.2022 08:00 - 11.02.2022 08:30,4075,3811
11.02.2022 08:30 - 11.02.2022 09:00,4372,4186
11.02.2022 09:00 - 11.02.2022 09:30,4488,4354
11.02.2022 09:30 - 11.02.2022 10:00,4532,4440
11.02.2022 10:00 - 11.02.2022 10:30,4623,4517
11.02.2022 10:30 - 11.02.2022 11:00,4694,4602
11.02.2022 11:00 - 11.02.2022 11:30,4689,4608
11.02.2022 11:30 - 11.02.2022 12:00,4704,4580
11.02.2022 12:00 - 11.02.2022 12:30,4704,4572
11.02.2022 12:30 - 11.02.2022 13:00,4692,4577
11.02.2022 13:00 - 11.02.2022 13:30,4692,4518
11.02.2022 13:30 - 11.02.2022 14:00,4706,4540
11.02.2022 14:00 - 11.02.2022 14:30,4656,4514
11.02.2022 14:30 - 11.02.2022 15:00,4597,4486
11.02.2022 15:00 - 11.02.2022 15:30,4588,4436
11.02.2022 15:30 - 11.02.2022 16:00,4566,4442
11.02.2022 16:00 - 11.02.2022 16:30,4579,4463
11.02.2022 16:30 - 11.02.2022 17:00,4584,4498
11.02.2022 17:00 - 11.02.2022 17:30,4613,4516
11.02.2022 17:30 - 11.02.2022 18:00,4706,4576
11.02.2022 18:00 - 11.02.2022 18:30,4810,4666
11.02.2022 18:30 - 11.02.2022 19:00,4980,4832
11.02.2022 19:00 - 11.02.2022 19:30,5157,4979
11.02.2022 19:30 - 11.02.2022 20:00,5155,4943
11.02.2022 20:00 - 11.02.2022 20:30,5052,4834
11.02.2022 20:30 - 11.02.2022 21:00,4918,4711
11.02.2022 21:00 - 11.02.2022 21:30,4763,4595
11.02.2022 21:30 - 11.02.2022 22:00,4609,4446
11.02.2022 22:00 - 11.02.2022 22:30,4467,4331
11.02.2022 22:30 - 11.02.2022 23:00,4286,4160
11.02.2022 23:00 - 11.02.2022 23:30,4095,3998
11.02.2022 23:30 - 12.02.2022 00:00,3942,3830
12.02.2022 00:00 - 12.02.2022 00:30,3943,3757
12.02.2022 00:30 - 12.02.2022 01:00,3911,3701
12.02.2022 01:00 - 12.02.2022 01:30,3775,3572
12.02.2022 01:30 - 12.02.2022 02:00,3617,3470
12.02.2022 02:00 - 12.02.2022 02:30,3477,3341
12.02.2022 02:30 - 12.02.2022 03:00,3359,3247
12.02.2022 03:00 - 12.02.2022 03:30,3246,3172
12.02.2022 03:30 - 12.02.2022 04:00,3165,3117
12.02.2022 04:00 - 12.02.2022 04:30,3113,3060
12.02.2022 04:30 - 12.02.2022 05:00,3092,3047
12.02.2022 05:00 - 12.02.2022 05:30,3065,3036
12.02.2022 05:30 - 12.02.2022 06:00,3040,3022
12.02.2022 06:00 - 12.02.2022 06:30,3038,3006
12.02.2022 06:30 - 12.02.2022 07:00,3046,3003
12.02.2022 07:00 - 12.02.2022 07:30,3137,3024
12.02.2022 07:30 - 12.02.2022 08:00,3227,3109
12.02.2022 08:00 - 12.02.2022 08:30,3363,3227
12.02.2022 08:30 - 12.02.2022 09:00,3467,3406
12.02.2022 09:00 - 12.02.2022 09:30,3572,3516
12.02.2022 09:30 - 12.02.2022 10:00,3732,3641
12.02.2022 10:00 - 12.02.2022 10:30,3946,3807
12.02.2022 10:30 - 12.02.2022 11:00,4099,3924
12.02.2022 11:00 - 12.02.2022 11:30,4187,4011
12.02.2022 11:30 - 12.02.2022 12:00,4249,4063
12.02.2022 12:00 - 12.02.2022 12:30,4292,N/A
12.02.2022 12:30 - 12.02.2022 13:00,4321,N/A
12.02.2022 13:00 - 12.02.2022 13:30,4334,4124
12.02.2022 13:30 - 12.02.2022 14:00,4353,4136
12.02.2022 14:00 - 12.02.2022 14:30,4317,4136
12.02.2022 14:30 - 12.02.2022 15:00,4259,4067
12.02.2022 15:00 - 12.02.2022 15:30,4213,3967
12.02.2022 15:30 - 12.02.2022 16:00,4166,3944
12.02.2022 16:00 - 12.02.2022 16:30,4143,3906
12.02.2022 16:30 - 12.02.2022 17:00,4151,3916
12.02.2022 17:00 - 12.02.2022 17:30,4167,3912
12.02.2022 17:30 - 12.02.2022 18:00,4256,3988
12.02.2022 18:00 - 12.02.2022 18:30,4396,4043
12.02.2022 18:30 - 12.02.2022 19:00,4584,4213
12.02.2022 19:00 - 12.02.2022 19:30,4776,4334
12.02.2022 19:30 - 12.02.2022 20:00,4778,4319
12.02.2022 20:00 - 12.02.2022 20:30,4692,4316
12.02.2022 20:30 - 12.02.2022 21:00,4560,4195
12.02.2022 21:00 - 12.02.2022 21:30,4413,4077
12.02.2022 21:30 - 12.02.2022 22:00,4263,3930
12.02.2022 22:00 - 12.02.2022 22:30,4140,3818
12.02.2022 22:30 - 12.02.2022 23:00,3994,3701
12.02.2022 23:00 - 12.02.2022 23:30,3847,3591
12.02.2022 23:30 - 13.02.2022 00:00,3727,3473
13.02.2022 00:00 - 13.02.2022 00:30,3747,3421
13.02.2022 00:30 - 13.02.2022 01:00,3721,3406
13.02.2022 01:00 - 13.02.2022 01:30,3604,3284
13.02.2022 01:30 - 13.02.2022 02:00,3473,3195
13.02.2022 02:00 - 13.02.2022 02:30,3348,3100
13.02.2022 02:30 - 13.02.2022 03:00,3238,3022
13.02.2022 03:00 - 13.02.2022 03:30,3149,N/A
13.02.2022 03:30 - 13.02.2022 04:00,3078,N/A
13.02.2022 04:00 - 13.02.2022 04:30,3011,2853
13.02.2022 04:30 - 13.02.2022 05:00,2973,2867
13.02.2022 05:00 - 13.02.2022 05:30,2944,2870
13.02.2022 05:30 - 13.02.2022 06:00,2916,2856
13.02.2022 06:00 - 13.02.2022 06:30,2908,2869
13.02.2022 06:30 - 13.02.2022 07:00,2912,2901
13.02.2022 07:00 - 13.02.2022 07:30,2958,2951
13.02.2022 07:30 - 13.02.2022 08:00,3005,2986
13.02.2022 08:00 - 13.02.2022 08:30,3078,3035
13.02.2022 08:30 - 13.02.2022 09:00,3129,3116
13.02.2022 09:00 - 13.02.2022 09:30,3161,3178
13.02.2022 09:30 - 13.02.2022 10:00,3288,3251
13.02.2022 10:00 - 13.02.2022 10:30,3466,N/A
