MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ France (FR),Generation - Solar  [MW] Day Ahead/ France (FR),Generation - Solar  [MW] Current / France (FR),Generation - Wind Offshore  [MW] Day Ahead/ France (FR),Generation - Wind Offshore  [MW] Intraday / France (FR),Generation - Wind Offshore  [MW] Current / France (FR),Generation - Wind Onshore  [MW] Day Ahead/ France (FR),Generation - Wind Onshore  [MW] Day Ahead/ France (FR),Generation - Wind Onshore  [MW] Current / France (FR)
06.01.2022 19:00 - 06.01.2022 20:00,0,0,0,n/e,n/e,n/e,4749,4749,5403
06.01.2022 20:00 - 06.01.2022 21:00,0,0,0,n/e,n/e,n/e,5015,5015,5711
06.01.2022 21:00 - 06.01.2022 22:00,0,0,0,n/e,n/e,n/e,5282,5282,6019
06.01.2022 22:00 - 06.01.2022 23:00,0,0,0,n/e,n/e,n/e,5548,5548,6327
06.01.2022 23:00 - 07.01.2022 00:00,0,0,0,n/e,n/e,n/e,5804,5804,6600
07.01.2022 00:00 - 07.01.2022 01:00,0,0,0,n/e,n/e,n/e,7118,7118,7167
07.01.2022 01:00 - 07.01.2022 02:00,0,0,0,n/e,n/e,n/e,7443,7443,7497
07.01.2022 02:00 - 07.01.2022 03:00,0,0,0,n/e,n/e,n/e,7378,7378,7458
07.01.2022 03:00 - 07.01.2022 04:00,0,0,0,n/e,n/e,n/e,7314,7314,7418
07.01.2022 04:00 - 07.01.2022 05:00,0,0,0,n/e,n/e,n/e,7250,7250,7373
07.01.2022 05:00 - 07.01.2022 06:00,0,0,0,n/e,n/e,n/e,7242,7242,7264
07.01.2022 06:00 - 07.01.2022 07:00,0,0,0,n/e,n/e,n/e,7233,7233,7153
07.01.2022 07:00 - 07.01.2022 08:00,0,0,0,n/e,n/e,n/e,7225,7225,8114
07.01.2022 08:00 - 07.01.2022 09:00,0,0,0,n/e,n/e,n/e,7202,7202,8010
07.01.2022 09:00 - 07.01.2022 10:00,252,252,241,n/e,n/e,n/e,7179,7179,7924
07.01.2022 10:00 - 07.01.2022 11:00,1282,1282,1588,n/e,n/e,n/e,7156,7156,7975
07.01.2022 11:00 - 07.01.2022 12:00,2378,2378,2839,n/e,n/e,n/e,7357,7357,8070
07.01.2022 12:00 - 07.01.2022 13:00,3051,3051,3394,n/e,n/e,n/e,7559,7559,8184
07.01.2022 13:00 - 07.01.2022 14:00,3178,3178,3404,n/e,n/e,n/e,7760,7760,8306
07.01.2022 14:00 - 07.01.2022 15:00,2765,2765,2838,n/e,n/e,n/e,7577,7577,8079
07.01.2022 15:00 - 07.01.2022 16:00,1992,1992,1968,n/e,n/e,n/e,7393,7393,7858
07.01.2022 16:00 - 07.01.2022 17:00,848,848,809,n/e,n/e,n/e,7209,7209,7641
07.01.2022 17:00 - 07.01.2022 18:00,55,55,58,n/e,n/e,n/e,7285,7285,7853
07.01.2022 18:00 - 07.01.2022 19:00,0,0,0,n/e,n/e,n/e,7359,7359,8067
07.01.2022 19:00 - 07.01.2022 20:00,0,0,0,n/e,n/e,n/e,7434,7434,8282
07.01.2022 20:00 - 07.01.2022 21:00,0,0,0,n/e,n/e,n/e,7443,7443,8205
07.01.2022 21:00 - 07.01.2022 22:00,0,0,0,n/e,n/e,n/e,7453,7453,8128
07.01.2022 22:00 - 07.01.2022 23:00,0,0,0,n/e,n/e,n/e,7462,7462,8052
07.01.2022 23:00 - 08.01.2022 00:00,0,0,0,n/e,n/e,n/e,7392,7392,7600
08.01.2022 00:00 - 08.01.2022 01:00,0,0,0,n/e,n/e,n/e,8312,8312,8519
08.01.2022 01:00 - 08.01.2022 02:00,0,0,0,n/e,n/e,n/e,7973,7973,7936
08.01.2022 02:00 - 08.01.2022 03:00,0,0,0,n/e,n/e,n/e,7424,7424,7245
08.01.2022 03:00 - 08.01.2022 04:00,0,0,0,n/e,n/e,n/e,6877,6877,6550
08.01.2022 04:00 - 08.01.2022 05:00,0,0,0,n/e,n/e,n/e,6331,6331,5849
08.01.2022 05:00 - 08.01.2022 06:00,0,0,0,n/e,n/e,n/e,6114,6114,5532
08.01.2022 06:00 - 08.01.2022 07:00,0,0,0,n/e,n/e,n/e,5898,5898,5215
08.01.2022 07:00 - 08.01.2022 08:00,0,0,0,n/e,n/e,n/e,5683,5683,4951
08.01.2022 08:00 - 08.01.2022 09:00,0,0,0,n/e,n/e,n/e,6494,6494,5858
08.01.2022 09:00 - 08.01.2022 10:00,221,221,213,n/e,n/e,n/e,7304,7304,6750
08.01.2022 10:00 - 08.01.2022 11:00,1161,1161,1371,n/e,n/e,n/e,8114,8114,7803
08.01.2022 11:00 - 08.01.2022 12:00,2108,2108,2498,n/e,n/e,n/e,9904,9904,9379
08.01.2022 12:00 - 08.01.2022 13:00,2670,2670,2972,n/e,n/e,n/e,11695,11695,10957
08.01.2022 13:00 - 08.01.2022 14:00,2769,2769,3007,n/e,n/e,n/e,13486,13486,12528
08.01.2022 14:00 - 08.01.2022 15:00,2409,2409,2522,n/e,n/e,n/e,14072,14072,13154
08.01.2022 15:00 - 08.01.2022 16:00,1742,1742,1730,n/e,n/e,n/e,14657,14657,13775
08.01.2022 16:00 - 08.01.2022 17:00,744,744,716,n/e,n/e,n/e,15239,15239,14391
08.01.2022 17:00 - 08.01.2022 18:00,57,57,55,n/e,n/e,n/e,15326,15326,14329
08.01.2022 18:00 - 08.01.2022 19:00,0,0,0,n/e,n/e,n/e,15408,15408,14260
08.01.2022 19:00 - 08.01.2022 20:00,0,0,0,n/e,n/e,n/e,15490,15490,14188
08.01.2022 20:00 - 08.01.2022 21:00,0,0,0,n/e,n/e,n/e,15280,15280,14314
08.01.2022 21:00 - 08.01.2022 22:00,0,0,0,n/e,n/e,n/e,15068,15068,14442
08.01.2022 22:00 - 08.01.2022 23:00,0,0,0,n/e,n/e,n/e,14860,14860,14568
08.01.2022 23:00 - 09.01.2022 00:00,0,0,0,n/e,n/e,n/e,14378,14378,14368
09.01.2022 00:00 - 09.01.2022 01:00,0,0,0,n/e,n/e,n/e,14186,14186,14533
09.01.2022 01:00 - 09.01.2022 02:00,0,0,0,n/e,n/e,n/e,14084,14084,14244
09.01.2022 02:00 - 09.01.2022 03:00,0,0,0,n/e,n/e,n/e,13174,13174,13310
09.01.2022 03:00 - 09.01.2022 04:00,0,0,0,n/e,n/e,n/e,12262,12262,12369
09.01.2022 04:00 - 09.01.2022 05:00,0,0,0,n/e,n/e,n/e,11351,11351,11419
09.01.2022 05:00 - 09.01.2022 06:00,0,0,0,n/e,n/e,n/e,10660,10660,10610
09.01.2022 06:00 - 09.01.2022 07:00,0,0,0,n/e,n/e,n/e,9967,9967,9798
09.01.2022 07:00 - 09.01.2022 08:00,0,0,0,n/e,n/e,n/e,9272,9272,9270
09.01.2022 08:00 - 09.01.2022 09:00,0,0,0,n/e,n/e,n/e,8744,8744,8459
09.01.2022 09:00 - 09.01.2022 10:00,203,203,198,n/e,n/e,n/e,8217,8217,7638
09.01.2022 10:00 - 09.01.2022 11:00,1113,1113,1138,n/e,n/e,n/e,7691,7691,6781
09.01.2022 11:00 - 09.01.2022 12:00,2074,2074,2087,n/e,n/e,n/e,7457,7457,6610
09.01.2022 12:00 - 09.01.2022 13:00,2673,2673,2514,n/e,n/e,n/e,7223,7223,6434
09.01.2022 13:00 - 09.01.2022 14:00,2764,2764,2757,n/e,n/e,n/e,6988,6988,6256
09.01.2022 14:00 - 09.01.2022 15:00,2446,2446,2324,n/e,n/e,n/e,6542,6542,5624
09.01.2022 15:00 - 09.01.2022 16:00,1686,1686,1588,n/e,n/e,n/e,6095,6095,4989
09.01.2022 16:00 - 09.01.2022 17:00,662,662,653,n/e,n/e,n/e,5650,5650,4353
09.01.2022 17:00 - 09.01.2022 18:00,46,46,44,n/e,n/e,n/e,5401,5401,4079
09.01.2022 18:00 - 09.01.2022 19:00,0,0,0,n/e,n/e,n/e,5152,5152,3806
09.01.2022 19:00 - 09.01.2022 20:00,0,0,0,n/e,n/e,n/e,4902,4902,3533
09.01.2022 20:00 - 09.01.2022 21:00,0,0,0,n/e,n/e,n/e,4520,4520,3326
09.01.2022 21:00 - 09.01.2022 22:00,0,0,0,n/e,n/e,n/e,4137,4137,3120
09.01.2022 22:00 - 09.01.2022 23:00,0,0,0,n/e,n/e,n/e,3762,3762,2917
09.01.2022 23:00 - 10.01.2022 00:00,0,0,0,n/e,n/e,n/e,3675,3675,2513
10.01.2022 00:00 - 10.01.2022 01:00,0,0,0,n/e,n/e,n/e,1616,1616,1316
10.01.2022 01:00 - 10.01.2022 02:00,0,0,0,n/e,n/e,n/e,1397,1397,1110
10.01.2022 02:00 - 10.01.2022 03:00,0,0,0,n/e,n/e,n/e,1311,1311,1121
10.01.2022 03:00 - 10.01.2022 04:00,0,0,0,n/e,n/e,n/e,1228,1228,1140
10.01.2022 04:00 - 10.01.2022 05:00,0,0,0,n/e,n/e,n/e,1157,1157,1164
10.01.2022 05:00 - 10.01.2022 06:00,0,0,0,n/e,n/e,n/e,1193,1193,1212
10.01.2022 06:00 - 10.01.2022 07:00,0,0,0,n/e,n/e,n/e,1237,1237,1268
10.01.2022 07:00 - 10.01.2022 08:00,0,0,0,n/e,n/e,n/e,1288,1288,1423
10.01.2022 08:00 - 10.01.2022 09:00,0,0,0,n/e,n/e,n/e,1376,1376,1582
10.01.2022 09:00 - 10.01.2022 10:00,218,218,204,n/e,n/e,n/e,1471,1471,1741
10.01.2022 10:00 - 10.01.2022 11:00,1114,1114,1123,n/e,n/e,n/e,1569,1569,1849
10.01.2022 11:00 - 10.01.2022 12:00,2048,2048,2137,n/e,n/e,n/e,1596,1596,1875
10.01.2022 12:00 - 10.01.2022 13:00,2656,2656,2720,n/e,n/e,n/e,1626,1626,1897
10.01.2022 13:00 - 10.01.2022 14:00,2842,2842,3029,n/e,n/e,n/e,1658,1658,1919
10.01.2022 14:00 - 10.01.2022 15:00,2496,2496,2769,n/e,n/e,n/e,1749,1749,1942
10.01.2022 15:00 - 10.01.2022 16:00,1822,1822,2007,n/e,n/e,n/e,1843,1843,1964
10.01.2022 16:00 - 10.01.2022 17:00,773,773,858,n/e,n/e,n/e,1938,1938,1983
10.01.2022 17:00 - 10.01.2022 18:00,55,55,55,n/e,n/e,n/e,2145,2145,2138
10.01.2022 18:00 - 10.01.2022 19:00,0,0,0,n/e,n/e,n/e,2352,2352,2293
10.01.2022 19:00 - 10.01.2022 20:00,0,0,0,n/e,n/e,n/e,2556,2556,2447
10.01.2022 20:00 - 10.01.2022 21:00,0,0,0,n/e,n/e,n/e,2655,2655,2640
10.01.2022 21:00 - 10.01.2022 22:00,0,0,0,n/e,n/e,n/e,2754,2754,2832
10.01.2022 22:00 - 10.01.2022 23:00,0,0,0,n/e,n/e,n/e,2852,2852,3024
10.01.2022 23:00 - 11.01.2022 00:00,0,0,0,n/e,n/e,n/e,2912,2912,3005
11.01.2022 00:00 - 11.01.2022 01:00,0,0,0,n/e,n/e,n/e,2663,2663,2610
11.01.2022 01:00 - 11.01.2022 02:00,0,0,0,n/e,n/e,n/e,2687,2687,2610
11.01.2022 02:00 - 11.01.2022 03:00,0,0,0,n/e,n/e,n/e,2581,2581,2559
11.01.2022 03:00 - 11.01.2022 04:00,0,0,0,n/e,n/e,n/e,2474,2474,2508
11.01.2022 04:00 - 11.01.2022 05:00,0,0,0,n/e,n/e,n/e,2367,2367,2456
11.01.2022 05:00 - 11.01.2022 06:00,0,0,0,n/e,n/e,n/e,2498,2498,2600
11.01.2022 06:00 - 11.01.2022 07:00,0,0,0,n/e,n/e,n/e,2627,2627,2744
11.01.2022 07:00 - 11.01.2022 08:00,0,0,0,n/e,n/e,n/e,2757,2757,3000
11.01.2022 08:00 - 11.01.2022 09:00,0,0,0,n/e,n/e,n/e,2822,2822,3116
11.01.2022 09:00 - 11.01.2022 10:00,338,338,328,n/e,n/e,n/e,2887,2887,3212
11.01.2022 10:00 - 11.01.2022 11:00,1781,1781,1891,n/e,n/e,n/e,2953,2953,3120
