"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Denmark (DK)","Generation - Solar  [MW] Intraday / Denmark (DK)","Generation - Solar  [MW] Current / Denmark (DK)","Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Offshore  [MW] Intraday / Denmark (DK)","Generation - Wind Offshore  [MW] Current / Denmark (DK)","Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Onshore  [MW] Intraday / Denmark (DK)","Generation - Wind Onshore  [MW] Current / Denmark (DK)"
"05.07.2022 06:00 - 05.07.2022 07:00","126","n/e","n/e","750","n/e","n/e","1118","n/e","n/e"
"05.07.2022 07:00 - 05.07.2022 08:00","265","n/e","n/e","662","n/e","n/e","1127","n/e","n/e"
"05.07.2022 08:00 - 05.07.2022 09:00","438","n/e","n/e","589","n/e","n/e","1214","n/e","n/e"
"05.07.2022 09:00 - 05.07.2022 10:00","605","n/e","n/e","546","n/e","n/e","1304","n/e","n/e"
"05.07.2022 10:00 - 05.07.2022 11:00","746","n/e","n/e","472","n/e","n/e","1338","n/e","n/e"
"05.07.2022 11:00 - 05.07.2022 12:00","839","n/e","n/e","409","n/e","n/e","1425","n/e","n/e"
"05.07.2022 12:00 - 05.07.2022 13:00","893","n/e","n/e","420","n/e","n/e","1544","n/e","n/e"
"05.07.2022 13:00 - 05.07.2022 14:00","882","n/e","n/e","405","n/e","n/e","1662","n/e","n/e"
"05.07.2022 14:00 - 05.07.2022 15:00","859","n/e","n/e","474","n/e","n/e","1754","n/e","n/e"
"05.07.2022 15:00 - 05.07.2022 16:00","812","n/e","n/e","620","n/e","n/e","1853","n/e","n/e"
"05.07.2022 16:00 - 05.07.2022 17:00","731","n/e","n/e","770","n/e","n/e","1923","n/e","n/e"
"05.07.2022 17:00 - 05.07.2022 18:00","612","n/e","n/e","774","n/e","n/e","1948","n/e","n/e"
"05.07.2022 18:00 - 05.07.2022 19:00","444","n/e","n/e","884","n/e","n/e","1928","n/e","n/e"
"05.07.2022 19:00 - 05.07.2022 20:00","259","n/e","n/e","937","n/e","n/e","1862","n/e","n/e"
"05.07.2022 20:00 - 05.07.2022 21:00","104","n/e","n/e","912","n/e","n/e","1708","n/e","n/e"
"05.07.2022 21:00 - 05.07.2022 22:00","22","n/e","n/e","899","n/e","n/e","1599","n/e","n/e"
"05.07.2022 22:00 - 05.07.2022 23:00","1","n/e","n/e","876","n/e","n/e","1567","n/e","n/e"
"05.07.2022 23:00 - 06.07.2022 00:00","0","n/e","n/e","895","n/e","n/e","1544","n/e","n/e"
"06.07.2022 00:00 - 06.07.2022 01:00","0","n/e","n/e","876","n/e","n/e","1438","n/e","n/e"
"06.07.2022 01:00 - 06.07.2022 02:00","0","n/e","n/e","877","n/e","n/e","1403","n/e","n/e"
"06.07.2022 02:00 - 06.07.2022 03:00","0","n/e","n/e","859","n/e","n/e","1435","n/e","n/e"
"06.07.2022 03:00 - 06.07.2022 04:00","0","n/e","n/e","841","n/e","n/e","1445","n/e","n/e"
"06.07.2022 04:00 - 06.07.2022 05:00","2","n/e","n/e","821","n/e","n/e","1458","n/e","n/e"
"06.07.2022 05:00 - 06.07.2022 06:00","39","n/e","n/e","796","n/e","n/e","1466","n/e","n/e"
"06.07.2022 06:00 - 06.07.2022 07:00","153","n/e","n/e","741","n/e","n/e","1453","n/e","n/e"
"06.07.2022 07:00 - 06.07.2022 08:00","342","n/e","n/e","700","n/e","n/e","1437","n/e","n/e"
"06.07.2022 08:00 - 06.07.2022 09:00","577","n/e","n/e","628","n/e","n/e","1472","n/e","n/e"
"06.07.2022 09:00 - 06.07.2022 10:00","820","n/e","n/e","620","n/e","n/e","1470","n/e","n/e"
"06.07.2022 10:00 - 06.07.2022 11:00","1025","n/e","n/e","600","n/e","n/e","1399","n/e","n/e"
"06.07.2022 11:00 - 06.07.2022 12:00","1159","n/e","n/e","567","n/e","n/e","1388","n/e","n/e"
"06.07.2022 12:00 - 06.07.2022 13:00","1176","n/e","n/e","593","n/e","n/e","1523","n/e","n/e"
"06.07.2022 13:00 - 06.07.2022 14:00","1105","n/e","n/e","627","n/e","n/e","1653","n/e","n/e"
"06.07.2022 14:00 - 06.07.2022 15:00","958","n/e","n/e","746","n/e","n/e","1768","n/e","n/e"
"06.07.2022 15:00 - 06.07.2022 16:00","761","n/e","n/e","809","n/e","n/e","1887","n/e","n/e"
"06.07.2022 16:00 - 06.07.2022 17:00","569","n/e","n/e","916","n/e","n/e","2099","n/e","n/e"
"06.07.2022 17:00 - 06.07.2022 18:00","401","n/e","n/e","1036","n/e","n/e","2195","n/e","n/e"
"06.07.2022 18:00 - 06.07.2022 19:00","255","n/e","n/e","1128","n/e","n/e","2088","n/e","n/e"
"06.07.2022 19:00 - 06.07.2022 20:00","131","n/e","n/e","1126","n/e","n/e","1862","n/e","n/e"
"06.07.2022 20:00 - 06.07.2022 21:00","42","n/e","n/e","1017","n/e","n/e","1559","n/e","n/e"
"06.07.2022 21:00 - 06.07.2022 22:00","8","n/e","n/e","982","n/e","n/e","1368","n/e","n/e"
"06.07.2022 22:00 - 06.07.2022 23:00","0","n/e","n/e","1010","n/e","n/e","1279","n/e","n/e"
"06.07.2022 23:00 - 07.07.2022 00:00","0","n/e","n/e","1060","n/e","n/e","1207","n/e","n/e"
"07.07.2022 00:00 - 07.07.2022 01:00","0","n/e","n/e","1053","n/e","n/e","1386","n/e","n/e"
"07.07.2022 01:00 - 07.07.2022 02:00","0","n/e","n/e","1009","n/e","n/e","1250","n/e","n/e"
"07.07.2022 02:00 - 07.07.2022 03:00","0","n/e","n/e","944","n/e","n/e","1217","n/e","n/e"
"07.07.2022 03:00 - 07.07.2022 04:00","0","n/e","n/e","959","n/e","n/e","1248","n/e","n/e"
"07.07.2022 04:00 - 07.07.2022 05:00","1","n/e","n/e","988","n/e","n/e","1304","n/e","n/e"
"07.07.2022 05:00 - 07.07.2022 06:00","14","n/e","n/e","971","n/e","n/e","1323","n/e","n/e"
"07.07.2022 06:00 - 07.07.2022 07:00","53","n/e","n/e","989","n/e","n/e","1365","n/e","n/e"
"07.07.2022 07:00 - 07.07.2022 08:00","119","n/e","n/e","1017","n/e","n/e","1452","n/e","n/e"
"07.07.2022 08:00 - 07.07.2022 09:00","239","n/e","n/e","1015","n/e","n/e","1634","n/e","n/e"
"07.07.2022 09:00 - 07.07.2022 10:00","425","n/e","n/e","1049","n/e","n/e","1809","n/e","n/e"
"07.07.2022 10:00 - 07.07.2022 11:00","654","n/e","n/e","990","n/e","n/e","1905","n/e","n/e"
"07.07.2022 11:00 - 07.07.2022 12:00","852","n/e","n/e","904","n/e","n/e","1922","n/e","n/e"
"07.07.2022 12:00 - 07.07.2022 13:00","979","n/e","n/e","938","n/e","n/e","1980","n/e","n/e"
"07.07.2022 13:00 - 07.07.2022 14:00","1029","n/e","n/e","1008","n/e","n/e","1951","n/e","n/e"
"07.07.2022 14:00 - 07.07.2022 15:00","993","n/e","n/e","1021","n/e","n/e","1857","n/e","n/e"
"07.07.2022 15:00 - 07.07.2022 16:00","951","n/e","n/e","1006","n/e","n/e","1791","n/e","n/e"
"07.07.2022 16:00 - 07.07.2022 17:00","906","n/e","n/e","1008","n/e","n/e","1818","n/e","n/e"
"07.07.2022 17:00 - 07.07.2022 18:00","779","n/e","n/e","1069","n/e","n/e","1827","n/e","n/e"
"07.07.2022 18:00 - 07.07.2022 19:00","569","n/e","n/e","1115","n/e","n/e","1787","n/e","n/e"
"07.07.2022 19:00 - 07.07.2022 20:00","326","n/e","n/e","1080","n/e","n/e","1684","n/e","n/e"
"07.07.2022 20:00 - 07.07.2022 21:00","124","n/e","n/e","1020","n/e","n/e","1539","n/e","n/e"
"07.07.2022 21:00 - 07.07.2022 22:00","24","n/e","n/e","931","n/e","n/e","1476","n/e","n/e"
"07.07.2022 22:00 - 07.07.2022 23:00","1","n/e","n/e","911","n/e","n/e","1543","n/e","n/e"
"07.07.2022 23:00 - 08.07.2022 00:00","0","n/e","n/e","955","n/e","n/e","1618","n/e","n/e"
"08.07.2022 00:00 - 08.07.2022 01:00","0","n/e","n/e","980","n/e","n/e","1625","n/e","n/e"
"08.07.2022 01:00 - 08.07.2022 02:00","0","n/e","n/e","1082","n/e","n/e","1613","n/e","n/e"
"08.07.2022 02:00 - 08.07.2022 03:00","0","n/e","n/e","1046","n/e","n/e","1700","n/e","n/e"
"08.07.2022 03:00 - 08.07.2022 04:00","0","n/e","n/e","1053","n/e","n/e","1752","n/e","n/e"
"08.07.2022 04:00 - 08.07.2022 05:00","2","n/e","n/e","1056","n/e","n/e","1802","n/e","n/e"
"08.07.2022 05:00 - 08.07.2022 06:00","36","n/e","n/e","1072","n/e","n/e","1837","n/e","n/e"
"08.07.2022 06:00 - 08.07.2022 07:00","143","n/e","n/e","1065","n/e","n/e","1904","n/e","n/e"
"08.07.2022 07:00 - 08.07.2022 08:00","295","n/e","n/e","1081","n/e","n/e","1967","n/e","n/e"
"08.07.2022 08:00 - 08.07.2022 09:00","471","n/e","n/e","1002","n/e","n/e","2000","n/e","n/e"
"08.07.2022 09:00 - 08.07.2022 10:00","649","n/e","n/e","1003","n/e","n/e","2043","n/e","n/e"
"08.07.2022 10:00 - 08.07.2022 11:00","815","n/e","n/e","953","n/e","n/e","2053","n/e","n/e"
"08.07.2022 11:00 - 08.07.2022 12:00","988","n/e","n/e","831","n/e","n/e","2052","n/e","n/e"
"08.07.2022 12:00 - 08.07.2022 13:00","1116","n/e","n/e","799","n/e","n/e","2152","n/e","n/e"
"08.07.2022 13:00 - 08.07.2022 14:00","1172","n/e","n/e","812","n/e","n/e","2246","n/e","n/e"
"08.07.2022 14:00 - 08.07.2022 15:00","1141","n/e","n/e","856","n/e","n/e","2278","n/e","n/e"
"08.07.2022 15:00 - 08.07.2022 16:00","1059","n/e","n/e","853","n/e","n/e","2325","n/e","n/e"
"08.07.2022 16:00 - 08.07.2022 17:00","944","n/e","n/e","924","n/e","n/e","2464","n/e","n/e"
"08.07.2022 17:00 - 08.07.2022 18:00","769","n/e","n/e","994","n/e","n/e","2528","n/e","n/e"
"08.07.2022 18:00 - 08.07.2022 19:00","539","n/e","n/e","1045","n/e","n/e","2511","n/e","n/e"
"08.07.2022 19:00 - 08.07.2022 20:00","302","n/e","n/e","1051","n/e","n/e","2374","n/e","n/e"
"08.07.2022 20:00 - 08.07.2022 21:00","116","n/e","n/e","1018","n/e","n/e","2173","n/e","n/e"
"08.07.2022 21:00 - 08.07.2022 22:00","24","n/e","n/e","1008","n/e","n/e","2076","n/e","n/e"
"08.07.2022 22:00 - 08.07.2022 23:00","1","n/e","n/e","991","n/e","n/e","2088","n/e","n/e"
"08.07.2022 23:00 - 09.07.2022 00:00","0","n/e","n/e","997","n/e","n/e","2090","n/e","n/e"
"09.07.2022 00:00 - 09.07.2022 01:00","0","n/e","n/e","1042","n/e","n/e","2005","n/e","n/e"
"09.07.2022 01:00 - 09.07.2022 02:00","0","n/e","n/e","1041","n/e","n/e","1878","n/e","n/e"
"09.07.2022 02:00 - 09.07.2022 03:00","0","n/e","n/e","980","n/e","n/e","1818","n/e","n/e"
"09.07.2022 03:00 - 09.07.2022 04:00","0","n/e","n/e","1020","n/e","n/e","1814","n/e","n/e"
"09.07.2022 04:00 - 09.07.2022 05:00","1","n/e","n/e","986","n/e","n/e","1850","n/e","n/e"
"09.07.2022 05:00 - 09.07.2022 06:00","29","n/e","n/e","966","n/e","n/e","1881","n/e","n/e"
"09.07.2022 06:00 - 09.07.2022 07:00","122","n/e","n/e","1020","n/e","n/e","1958","n/e","n/e"
"09.07.2022 07:00 - 09.07.2022 08:00","272","n/e","n/e","1091","n/e","n/e","2067","n/e","n/e"
"09.07.2022 08:00 - 09.07.2022 09:00","460","n/e","n/e","1073","n/e","n/e","2255","n/e","n/e"
"09.07.2022 09:00 - 09.07.2022 10:00","672","n/e","n/e","1117","n/e","n/e","2455","n/e","n/e"
"09.07.2022 10:00 - 09.07.2022 11:00","868","n/e","n/e","1138","n/e","n/e","2617","n/e","n/e"
"09.07.2022 11:00 - 09.07.2022 12:00","1023","n/e","n/e","1133","n/e","n/e","2687","n/e","n/e"
"09.07.2022 12:00 - 09.07.2022 13:00","1099","n/e","n/e","1119","n/e","n/e","2896","n/e","n/e"
"09.07.2022 13:00 - 09.07.2022 14:00","1105","n/e","n/e","1091","n/e","n/e","3005","n/e","n/e"
"09.07.2022 14:00 - 09.07.2022 15:00","1040","n/e","n/e","1098","n/e","n/e","2966","n/e","n/e"
"09.07.2022 15:00 - 09.07.2022 16:00","948","n/e","n/e","1120","n/e","n/e","3015","n/e","n/e"
"09.07.2022 16:00 - 09.07.2022 17:00","827","n/e","n/e","1157","n/e","n/e","3171","n/e","n/e"
"09.07.2022 17:00 - 09.07.2022 18:00","666","n/e","n/e","1205","n/e","n/e","3268","n/e","n/e"
"09.07.2022 18:00 - 09.07.2022 19:00","475","n/e","n/e","1237","n/e","n/e","3243","n/e","n/e"
"09.07.2022 19:00 - 09.07.2022 20:00","277","n/e","n/e","1238","n/e","n/e","3140","n/e","n/e"
"09.07.2022 20:00 - 09.07.2022 21:00","109","n/e","n/e","1235","n/e","n/e","2982","n/e","n/e"
"09.07.2022 21:00 - 09.07.2022 22:00","22","n/e","n/e","1229","n/e","n/e","2922","n/e","n/e"
"09.07.2022 22:00 - 09.07.2022 23:00","1","n/e","n/e","1249","n/e","n/e","2939","n/e","n/e"
"09.07.2022 23:00 - 10.07.2022 00:00","0","n/e","n/e","1307","n/e","n/e","2868","n/e","n/e"
"10.07.2022 00:00 - 10.07.2022 01:00","0","n/e","n/e","1227","n/e","n/e","2711","n/e","n/e"
"10.07.2022 01:00 - 10.07.2022 02:00","0","n/e","n/e","1249","n/e","n/e","2496","n/e","n/e"
"10.07.2022 02:00 - 10.07.2022 03:00","0","n/e","n/e","1231","n/e","n/e","2387","n/e","n/e"
"10.07.2022 03:00 - 10.07.2022 04:00","0","n/e","n/e","1226","n/e","n/e","2243","n/e","n/e"
"10.07.2022 04:00 - 10.07.2022 05:00","1","n/e","n/e","1196","n/e","n/e","2104","n/e","n/e"
"10.07.2022 05:00 - 10.07.2022 06:00","35","n/e","n/e","1180","n/e","n/e","1934","n/e","n/e"
"10.07.2022 06:00 - 10.07.2022 07:00","157","n/e","n/e","1219","n/e","n/e","1831","n/e","n/e"
"10.07.2022 07:00 - 10.07.2022 08:00","356","n/e","n/e","1245","n/e","n/e","1795","n/e","n/e"
"10.07.2022 08:00 - 10.07.2022 09:00","599","n/e","n/e","1164","n/e","n/e","1777","n/e","n/e"
"10.07.2022 09:00 - 10.07.2022 10:00","847","n/e","n/e","1137","n/e","n/e","1714","n/e","n/e"
"10.07.2022 10:00 - 10.07.2022 11:00","1051","n/e","n/e","1054","n/e","n/e","1633","n/e","n/e"
"10.07.2022 11:00 - 10.07.2022 12:00","1193","n/e","n/e","1003","n/e","n/e","1601","n/e","n/e"
"10.07.2022 12:00 - 10.07.2022 13:00","1273","n/e","n/e","971","n/e","n/e","1613","n/e","n/e"
"10.07.2022 13:00 - 10.07.2022 14:00","1304","n/e","n/e","932","n/e","n/e","1600","n/e","n/e"
"10.07.2022 14:00 - 10.07.2022 15:00","1267","n/e","n/e","895","n/e","n/e","1543","n/e","n/e"
"10.07.2022 15:00 - 10.07.2022 16:00","1177","n/e","n/e","846","n/e","n/e","1466","n/e","n/e"
"10.07.2022 16:00 - 10.07.2022 17:00","1029","n/e","n/e","842","n/e","n/e","1484","n/e","n/e"
"10.07.2022 17:00 - 10.07.2022 18:00","828","n/e","n/e","806","n/e","n/e","1435","n/e","n/e"
"10.07.2022 18:00 - 10.07.2022 19:00","582","n/e","n/e","781","n/e","n/e","1317","n/e","n/e"
"10.07.2022 19:00 - 10.07.2022 20:00","327","n/e","n/e","739","n/e","n/e","1150","n/e","n/e"
"10.07.2022 20:00 - 10.07.2022 21:00","123","n/e","n/e","687","n/e","n/e","952","n/e","n/e"
"10.07.2022 21:00 - 10.07.2022 22:00","23","n/e","n/e","706","n/e","n/e","796","n/e","n/e"
"10.07.2022 22:00 - 10.07.2022 23:00","1","n/e","n/e","708","n/e","n/e","705","n/e","n/e"
"10.07.2022 23:00 - 11.07.2022 00:00","0","n/e","n/e","646","n/e","n/e","652","n/e","n/e"
"11.07.2022 00:00 - 11.07.2022 01:00","0","n/e","n/e","515","n/e","n/e","610","n/e","n/e"
"11.07.2022 01:00 - 11.07.2022 02:00","0","n/e","n/e","498","n/e","n/e","544","n/e","n/e"
"11.07.2022 02:00 - 11.07.2022 03:00","0","n/e","n/e","496","n/e","n/e","536","n/e","n/e"
"11.07.2022 03:00 - 11.07.2022 04:00","0","n/e","n/e","479","n/e","n/e","514","n/e","n/e"
"11.07.2022 04:00 - 11.07.2022 05:00","1","n/e","n/e","448","n/e","n/e","467","n/e","n/e"
"11.07.2022 05:00 - 11.07.2022 06:00","32","n/e","n/e","413","n/e","n/e","413","n/e","n/e"
"11.07.2022 06:00 - 11.07.2022 07:00","144","n/e","n/e","416","n/e","n/e","379","n/e","n/e"
"11.07.2022 07:00 - 11.07.2022 08:00","324","n/e","n/e","414","n/e","n/e","371","n/e","n/e"
"11.07.2022 08:00 - 11.07.2022 09:00","537","n/e","n/e","383","n/e","n/e","369","n/e","n/e"
"11.07.2022 09:00 - 11.07.2022 10:00","768","n/e","n/e","331","n/e","n/e","327","n/e","n/e"
"11.07.2022 10:00 - 11.07.2022 11:00","987","n/e","n/e","315","n/e","n/e","311","n/e","n/e"
"11.07.2022 11:00 - 11.07.2022 12:00","1137","n/e","n/e","304","n/e","n/e","340","n/e","n/e"
"11.07.2022 12:00 - 11.07.2022 13:00","1206","n/e","n/e","308","n/e","n/e","353","n/e","n/e"
"11.07.2022 13:00 - 11.07.2022 14:00","1215","n/e","n/e","297","n/e","n/e","399","n/e","n/e"
"11.07.2022 14:00 - 11.07.2022 15:00","1175","n/e","n/e","263","n/e","n/e","462","n/e","n/e"
"11.07.2022 15:00 - 11.07.2022 16:00","1106","n/e","n/e","241","n/e","n/e","511","n/e","n/e"
"11.07.2022 16:00 - 11.07.2022 17:00","982","n/e","n/e","239","n/e","n/e","577","n/e","n/e"
"11.07.2022 17:00 - 11.07.2022 18:00","795","n/e","n/e","203","n/e","n/e","604","n/e","n/e"
"11.07.2022 18:00 - 11.07.2022 19:00","563","n/e","n/e","196","n/e","n/e","565","n/e","n/e"
"11.07.2022 19:00 - 11.07.2022 20:00","316","n/e","n/e","184","n/e","n/e","509","n/e","n/e"
"11.07.2022 20:00 - 11.07.2022 21:00","116","n/e","n/e","175","n/e","n/e","466","n/e","n/e"
"11.07.2022 21:00 - 11.07.2022 22:00","21","n/e","n/e","135","n/e","n/e","426","n/e","n/e"
"11.07.2022 22:00 - 11.07.2022 23:00","1","n/e","n/e","150","n/e","n/e","416","n/e","n/e"
"11.07.2022 23:00 - 12.07.2022 00:00","0","n/e","n/e","195","n/e","n/e","396","n/e","n/e"
"12.07.2022 00:00 - 12.07.2022 01:00","0","n/e","n/e","126","n/e","n/e","311","n/e","n/e"
"12.07.2022 01:00 - 12.07.2022 02:00","0","n/e","n/e","154","n/e","n/e","302","n/e","n/e"
"12.07.2022 02:00 - 12.07.2022 03:00","0","n/e","n/e","157","n/e","n/e","296","n/e","n/e"
"12.07.2022 03:00 - 12.07.2022 04:00","0","n/e","n/e","141","n/e","n/e","289","n/e","n/e"
"12.07.2022 04:00 - 12.07.2022 05:00","1","n/e","n/e","138","n/e","n/e","297","n/e","n/e"
"12.07.2022 05:00 - 12.07.2022 06:00","32","n/e","n/e","176","n/e","n/e","312","n/e","n/e"
"12.07.2022 06:00 - 12.07.2022 07:00","142","n/e","n/e","218","n/e","n/e","308","n/e","n/e"
"12.07.2022 07:00 - 12.07.2022 08:00","327","n/e","n/e","243","n/e","n/e","294","n/e","n/e"
"12.07.2022 08:00 - 12.07.2022 09:00","567","n/e","n/e","254","n/e","n/e","302","n/e","n/e"
"12.07.2022 09:00 - 12.07.2022 10:00","807","n/e","n/e","271","n/e","n/e","350","n/e","n/e"
"12.07.2022 10:00 - 12.07.2022 11:00","998","n/e","n/e","334","n/e","n/e","411","n/e","n/e"
"12.07.2022 11:00 - 12.07.2022 12:00","1113","n/e","n/e","371","n/e","n/e","516","n/e","n/e"
"12.07.2022 12:00 - 12.07.2022 13:00","1157","n/e","n/e","455","n/e","n/e","645","n/e","n/e"
"12.07.2022 13:00 - 12.07.2022 14:00","1156","n/e","n/e","527","n/e","n/e","798","n/e","n/e"
"12.07.2022 14:00 - 12.07.2022 15:00","1100","n/e","n/e","526","n/e","n/e","899","n/e","n/e"
"12.07.2022 15:00 - 12.07.2022 16:00","994","n/e","n/e","536","n/e","n/e","938","n/e","n/e"
"12.07.2022 16:00 - 12.07.2022 17:00","844","n/e","n/e","500","n/e","n/e","1001","n/e","n/e"
"12.07.2022 17:00 - 12.07.2022 18:00","664","n/e","n/e","478","n/e","n/e","987","n/e","n/e"
"12.07.2022 18:00 - 12.07.2022 19:00","458","n/e","n/e","500","n/e","n/e","889","n/e","n/e"
"12.07.2022 19:00 - 12.07.2022 20:00","252","n/e","n/e","492","n/e","n/e","775","n/e","n/e"
"12.07.2022 20:00 - 12.07.2022 21:00","93","n/e","n/e","456","n/e","n/e","685","n/e","n/e"
"12.07.2022 21:00 - 12.07.2022 22:00","17","n/e","n/e","475","n/e","n/e","643","n/e","n/e"
"12.07.2022 22:00 - 12.07.2022 23:00","0","n/e","n/e","485","n/e","n/e","672","n/e","n/e"
"12.07.2022 23:00 - 13.07.2022 00:00","0","n/e","n/e","465","n/e","n/e","683","n/e","n/e"
"13.07.2022 00:00 - 13.07.2022 01:00","0","n/e","n/e","360","n/e","n/e","556","n/e","n/e"
"13.07.2022 01:00 - 13.07.2022 02:00","0","n/e","n/e","371","n/e","n/e","574","n/e","n/e"
"13.07.2022 02:00 - 13.07.2022 03:00","0","n/e","n/e","392","n/e","n/e","613","n/e","n/e"
"13.07.2022 03:00 - 13.07.2022 04:00","0","n/e","n/e","416","n/e","n/e","642","n/e","n/e"
"13.07.2022 04:00 - 13.07.2022 05:00","1","n/e","n/e","392","n/e","n/e","660","n/e","n/e"
"13.07.2022 05:00 - 13.07.2022 06:00","25","n/e","n/e","381","n/e","n/e","621","n/e","n/e"
"13.07.2022 06:00 - 13.07.2022 07:00","115","n/e","n/e","396","n/e","n/e","587","n/e","n/e"
"13.07.2022 07:00 - 13.07.2022 08:00","259","n/e","n/e","364","n/e","n/e","584","n/e","n/e"
"13.07.2022 08:00 - 13.07.2022 09:00","409","n/e","n/e","368","n/e","n/e","650","n/e","n/e"
"13.07.2022 09:00 - 13.07.2022 10:00","587","n/e","n/e","413","n/e","n/e","858","n/e","n/e"
"13.07.2022 10:00 - 13.07.2022 11:00","794","n/e","n/e","509","n/e","n/e","1117","n/e","n/e"
"13.07.2022 11:00 - 13.07.2022 12:00","979","n/e","n/e","531","n/e","n/e","1459","n/e","n/e"
"13.07.2022 12:00 - 13.07.2022 13:00","1154","n/e","n/e","579","n/e","n/e","1924","n/e","n/e"
"13.07.2022 13:00 - 13.07.2022 14:00","1249","n/e","n/e","751","n/e","n/e","2306","n/e","n/e"
"13.07.2022 14:00 - 13.07.2022 15:00","1237","n/e","n/e","922","n/e","n/e","2547","n/e","n/e"
"13.07.2022 15:00 - 13.07.2022 16:00","1176","n/e","n/e","1009","n/e","n/e","2720","n/e","n/e"
"13.07.2022 16:00 - 13.07.2022 17:00","1057","n/e","n/e","1017","n/e","n/e","2963","n/e","n/e"
"13.07.2022 17:00 - 13.07.2022 18:00","857","n/e","n/e","1041","n/e","n/e","3016","n/e","n/e"
"13.07.2022 18:00 - 13.07.2022 19:00","600","n/e","n/e","1118","n/e","n/e","2890","n/e","n/e"
"13.07.2022 19:00 - 13.07.2022 20:00","333","n/e","n/e","1102","n/e","n/e","2614","n/e","n/e"
"13.07.2022 20:00 - 13.07.2022 21:00","122","n/e","n/e","1063","n/e","n/e","2328","n/e","n/e"
"13.07.2022 21:00 - 13.07.2022 22:00","20","n/e","n/e","1048","n/e","n/e","2165","n/e","n/e"
"13.07.2022 22:00 - 13.07.2022 23:00","0","n/e","n/e","1031","n/e","n/e","2132","n/e","n/e"
"13.07.2022 23:00 - 14.07.2022 00:00","0","n/e","n/e","1031","n/e","n/e","2090","n/e","n/e"
"14.07.2022 00:00 - 14.07.2022 01:00","0","n/e","n/e","940","n/e","n/e","1895","n/e","n/e"
"14.07.2022 01:00 - 14.07.2022 02:00","0","n/e","n/e","981","n/e","n/e","1917","n/e","n/e"
"14.07.2022 02:00 - 14.07.2022 03:00","0","n/e","n/e","989","n/e","n/e","1930","n/e","n/e"
"14.07.2022 03:00 - 14.07.2022 04:00","0","n/e","n/e","944","n/e","n/e","1818","n/e","n/e"
"14.07.2022 04:00 - 14.07.2022 05:00","1","n/e","n/e","859","n/e","n/e","1688","n/e","n/e"
"14.07.2022 05:00 - 14.07.2022 06:00","29","n/e","n/e","837","n/e","n/e","1600","n/e","n/e"
"14.07.2022 06:00 - 14.07.2022 07:00","139","n/e","n/e","849","n/e","n/e","1637","n/e","n/e"
"14.07.2022 07:00 - 14.07.2022 08:00","309","n/e","n/e","810","n/e","n/e","1769","n/e","n/e"
"14.07.2022 08:00 - 14.07.2022 09:00","498","n/e","n/e","780","n/e","n/e","1969","n/e","n/e"
"14.07.2022 09:00 - 14.07.2022 10:00","677","n/e","n/e","733","n/e","n/e","2139","n/e","n/e"
"14.07.2022 10:00 - 14.07.2022 11:00","828","n/e","n/e","662","n/e","n/e","2263","n/e","n/e"
"14.07.2022 11:00 - 14.07.2022 12:00","941","n/e","n/e","655","n/e","n/e","2385","n/e","n/e"
"14.07.2022 12:00 - 14.07.2022 13:00","996","n/e","n/e","701","n/e","n/e","2598","n/e","n/e"
"14.07.2022 13:00 - 14.07.2022 14:00","1030","n/e","n/e","817","n/e","n/e","2757","n/e","n/e"
"14.07.2022 14:00 - 14.07.2022 15:00","1022","n/e","n/e","959","n/e","n/e","2841","n/e","n/e"
"14.07.2022 15:00 - 14.07.2022 16:00","992","n/e","n/e","1049","n/e","n/e","2914","n/e","n/e"
"14.07.2022 16:00 - 14.07.2022 17:00","920","n/e","n/e","1116","n/e","n/e","3067","n/e","n/e"
"14.07.2022 17:00 - 14.07.2022 18:00","763","n/e","n/e","1103","n/e","n/e","3086","n/e","n/e"
"14.07.2022 18:00 - 14.07.2022 19:00","535","n/e","n/e","1158","n/e","n/e","3001","n/e","n/e"
"14.07.2022 19:00 - 14.07.2022 20:00","301","n/e","n/e","1172","n/e","n/e","2814","n/e","n/e"
"14.07.2022 20:00 - 14.07.2022 21:00","115","n/e","n/e","1191","n/e","n/e","2632","n/e","n/e"
"14.07.2022 21:00 - 14.07.2022 22:00","20","n/e","n/e","1170","n/e","n/e","2497","n/e","n/e"
"14.07.2022 22:00 - 14.07.2022 23:00","0","n/e","n/e","1182","n/e","n/e","2536","n/e","n/e"
"14.07.2022 23:00 - 15.07.2022 00:00","0","n/e","n/e","1229","n/e","n/e","2546","n/e","n/e"
"15.07.2022 00:00 - 15.07.2022 01:00","0","n/e","n/e","1239","n/e","n/e","2664","n/e","n/e"
"15.07.2022 01:00 - 15.07.2022 02:00","0","n/e","n/e","1256","n/e","n/e","2505","n/e","n/e"
"15.07.2022 02:00 - 15.07.2022 03:00","0","n/e","n/e","1269","n/e","n/e","2386","n/e","n/e"
"15.07.2022 03:00 - 15.07.2022 04:00","0","n/e","n/e","1251","n/e","n/e","2316","n/e","n/e"
"15.07.2022 04:00 - 15.07.2022 05:00","1","n/e","n/e","1201","n/e","n/e","2221","n/e","n/e"
