"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Denmark (DK)","Generation - Solar  [MW] Intraday / Denmark (DK)","Generation - Solar  [MW] Current / Denmark (DK)","Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Offshore  [MW] Intraday / Denmark (DK)","Generation - Wind Offshore  [MW] Current / Denmark (DK)","Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Onshore  [MW] Intraday / Denmark (DK)","Generation - Wind Onshore  [MW] Current / Denmark (DK)"
"07.01.2022 00:00 - 07.01.2022 01:00","0","n/e","n/e","1155","n/e","n/e","1789","n/e","n/e"
"07.01.2022 01:00 - 07.01.2022 02:00","0","n/e","n/e","1206","n/e","n/e","1908","n/e","n/e"
"07.01.2022 02:00 - 07.01.2022 03:00","0","n/e","n/e","1242","n/e","n/e","2149","n/e","n/e"
"07.01.2022 03:00 - 07.01.2022 04:00","0","n/e","n/e","1245","n/e","n/e","2356","n/e","n/e"
"07.01.2022 04:00 - 07.01.2022 05:00","0","n/e","n/e","1303","n/e","n/e","2533","n/e","n/e"
"07.01.2022 05:00 - 07.01.2022 06:00","0","n/e","n/e","1325","n/e","n/e","2642","n/e","n/e"
"07.01.2022 06:00 - 07.01.2022 07:00","0","n/e","n/e","1312","n/e","n/e","2700","n/e","n/e"
"07.01.2022 07:00 - 07.01.2022 08:00","0","n/e","n/e","1335","n/e","n/e","2617","n/e","n/e"
"07.01.2022 08:00 - 07.01.2022 09:00","0","n/e","n/e","1354","n/e","n/e","2343","n/e","n/e"
"07.01.2022 09:00 - 07.01.2022 10:00","12","n/e","n/e","1306","n/e","n/e","1983","n/e","n/e"
"07.01.2022 10:00 - 07.01.2022 11:00","44","n/e","n/e","1291","n/e","n/e","1666","n/e","n/e"
"07.01.2022 11:00 - 07.01.2022 12:00","76","n/e","n/e","1268","n/e","n/e","1547","n/e","n/e"
"07.01.2022 12:00 - 07.01.2022 13:00","84","n/e","n/e","1230","n/e","n/e","1446","n/e","n/e"
"07.01.2022 13:00 - 07.01.2022 14:00","62","n/e","n/e","1141","n/e","n/e","1277","n/e","n/e"
"07.01.2022 14:00 - 07.01.2022 15:00","37","n/e","n/e","1172","n/e","n/e","1166","n/e","n/e"
"07.01.2022 15:00 - 07.01.2022 16:00","13","n/e","n/e","1075","n/e","n/e","1114","n/e","n/e"
"07.01.2022 16:00 - 07.01.2022 17:00","0","n/e","n/e","1020","n/e","n/e","1062","n/e","n/e"
"07.01.2022 17:00 - 07.01.2022 18:00","0","n/e","n/e","984","n/e","n/e","1033","n/e","n/e"
"07.01.2022 18:00 - 07.01.2022 19:00","0","n/e","n/e","915","n/e","n/e","1022","n/e","n/e"
"07.01.2022 19:00 - 07.01.2022 20:00","0","n/e","n/e","839","n/e","n/e","968","n/e","n/e"
"07.01.2022 20:00 - 07.01.2022 21:00","0","n/e","n/e","740","n/e","n/e","971","n/e","n/e"
"07.01.2022 21:00 - 07.01.2022 22:00","0","n/e","n/e","688","n/e","n/e","969","n/e","n/e"
"07.01.2022 22:00 - 07.01.2022 23:00","0","n/e","n/e","762","n/e","n/e","972","n/e","n/e"
"07.01.2022 23:00 - 08.01.2022 00:00","0","n/e","n/e","713","n/e","n/e","923","n/e","n/e"
"08.01.2022 00:00 - 08.01.2022 01:00","0","n/e","n/e","686","n/e","n/e","878","n/e","n/e"
"08.01.2022 01:00 - 08.01.2022 02:00","0","n/e","n/e","648","n/e","n/e","861","n/e","n/e"
