"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Poland (PL)","Generation - Solar  [MW] Intraday / Poland (PL)","Generation - Solar  [MW] Current / Poland (PL)","Generation - Wind Offshore  [MW] Day Ahead/ Poland (PL)","Generation - Wind Offshore  [MW] Intraday / Poland (PL)","Generation - Wind Offshore  [MW] Current / Poland (PL)","Generation - Wind Onshore  [MW] Day Ahead/ Poland (PL)","Generation - Wind Onshore  [MW] Intraday / Poland (PL)","Generation - Wind Onshore  [MW] Current / Poland (PL)"
"12.04.2022 02:00 - 12.04.2022 03:00","0","0","0","n/e","n/e","n/e","545","434","434"
"12.04.2022 03:00 - 12.04.2022 04:00","0","0","0","n/e","n/e","n/e","494","379","379"
"12.04.2022 04:00 - 12.04.2022 05:00","0","0","0","n/e","n/e","n/e","440","355","355"
"12.04.2022 05:00 - 12.04.2022 06:00","0","0","0","n/e","n/e","n/e","386","313","313"
"12.04.2022 06:00 - 12.04.2022 07:00","185","180","180","n/e","n/e","n/e","329","266","266"
"12.04.2022 07:00 - 12.04.2022 08:00","925","971","971","n/e","n/e","n/e","271","229","227"
"12.04.2022 08:00 - 12.04.2022 09:00","2115","2168","2150","n/e","n/e","n/e","191","189","165"
"12.04.2022 09:00 - 12.04.2022 10:00","3306","3356","3318","n/e","n/e","n/e","125","129","90"
"12.04.2022 10:00 - 12.04.2022 11:00","3983","4078","3985","n/e","n/e","n/e","114","103","81"
"12.04.2022 11:00 - 12.04.2022 12:00","4081","4340","4647","n/e","n/e","n/e","123","115","113"
"12.04.2022 12:00 - 12.04.2022 13:00","4033","4409","4883","n/e","n/e","n/e","125","119","111"
"12.04.2022 13:00 - 12.04.2022 14:00","3977","4340","4983","n/e","n/e","n/e","130","121","114"
"12.04.2022 14:00 - 12.04.2022 15:00","3744","4037","5077","n/e","n/e","n/e","145","136","136"
"12.04.2022 15:00 - 12.04.2022 16:00","3273","3474","4362","n/e","n/e","n/e","167","165","193"
"12.04.2022 16:00 - 12.04.2022 17:00","2480","2595","3268","n/e","n/e","n/e","198","204","268"
"12.04.2022 17:00 - 12.04.2022 18:00","1424","1470","1858","n/e","n/e","n/e","254","261","349"
"12.04.2022 18:00 - 12.04.2022 19:00","481","488","525","n/e","n/e","n/e","391","398","469"
"12.04.2022 19:00 - 12.04.2022 20:00","45","44","87","n/e","n/e","n/e","717","722","787"
"12.04.2022 20:00 - 12.04.2022 21:00","0","0","0","n/e","n/e","n/e","1150","1138","1296"
"12.04.2022 21:00 - 12.04.2022 22:00","0","0","0","n/e","n/e","n/e","1494","1474","1689"
"12.04.2022 22:00 - 12.04.2022 23:00","0","0","0","n/e","n/e","n/e","1735","1727","2236"
"12.04.2022 23:00 - 13.04.2022 00:00","0","0","0","n/e","n/e","n/e","1895","1900","2571"
"13.04.2022 00:00 - 13.04.2022 01:00","0","0","0","n/e","n/e","n/e","1961","2962","2962"
"13.04.2022 01:00 - 13.04.2022 02:00","0","0","0","n/e","n/e","n/e","1993","3191","3191"
"13.04.2022 02:00 - 13.04.2022 03:00","0","0","0","n/e","n/e","n/e","2008","3135","3135"
"13.04.2022 03:00 - 13.04.2022 04:00","0","0","0","n/e","n/e","n/e","2002","3094","3094"
"13.04.2022 04:00 - 13.04.2022 05:00","0","0","0","n/e","n/e","n/e","2040","2899","2899"
"13.04.2022 05:00 - 13.04.2022 06:00","1","0","0","n/e","n/e","n/e","2100","2876","2876"
"13.04.2022 06:00 - 13.04.2022 07:00","211","206","206","n/e","n/e","n/e","2110","2875","2875"
"13.04.2022 07:00 - 13.04.2022 08:00","996","1032","1032","n/e","n/e","n/e","2150","2837","2839"
"13.04.2022 08:00 - 13.04.2022 09:00","2200","2236","2251","n/e","n/e","n/e","1760","2365","1886"
"13.04.2022 09:00 - 13.04.2022 10:00","3399","3452","3449","n/e","n/e","n/e","1232","1740","1180"
"13.04.2022 10:00 - 13.04.2022 11:00","4248","4307","4277","n/e","n/e","n/e","1310","1188","1108"
"13.04.2022 11:00 - 13.04.2022 12:00","4690","4745","4725","n/e","n/e","n/e","1565","1351","1915"
"13.04.2022 12:00 - 13.04.2022 13:00","4856","4906","4893","n/e","n/e","n/e","1651","1408","2210"
"13.04.2022 13:00 - 13.04.2022 14:00","4801","4855","4846","n/e","n/e","n/e","1618","1350","2157"
"13.04.2022 14:00 - 13.04.2022 15:00","4483","4549","4535","n/e","n/e","n/e","1547","1272","1804"
"13.04.2022 15:00 - 13.04.2022 16:00","3820","3892","3877","n/e","n/e","n/e","1468","1206","1429"
"13.04.2022 16:00 - 13.04.2022 17:00","2793","2859","2833","n/e","n/e","n/e","1387","1165","1383"
"13.04.2022 17:00 - 13.04.2022 18:00","1552","1596","1563","n/e","n/e","n/e","1306","1147","1338"
"13.04.2022 18:00 - 13.04.2022 19:00","511","527","514","n/e","n/e","n/e","1399","1284","1449"
"13.04.2022 19:00 - 13.04.2022 20:00","49","50","76","n/e","n/e","n/e","1848","1783","1821"
"13.04.2022 20:00 - 13.04.2022 21:00","0","0","0","n/e","n/e","n/e","2463","2464","2378"
"13.04.2022 21:00 - 13.04.2022 22:00","0","0","0","n/e","n/e","n/e","2937","2958","3136"
"13.04.2022 22:00 - 13.04.2022 23:00","0","0","0","n/e","n/e","n/e","3181","3205","3882"
"13.04.2022 23:00 - 14.04.2022 00:00","0","0","0","n/e","n/e","n/e","3234","3281","4071"
"14.04.2022 00:00 - 14.04.2022 01:00","0","0","0","n/e","n/e","n/e","3247","4009","4009"
"14.04.2022 01:00 - 14.04.2022 02:00","0","0","0","n/e","n/e","n/e","3075","3915","3915"
"14.04.2022 02:00 - 14.04.2022 03:00","0","0","0","n/e","n/e","n/e","2937","3738","3738"
"14.04.2022 03:00 - 14.04.2022 04:00","0","0","0","n/e","n/e","n/e","2828","3494","3494"
"14.04.2022 04:00 - 14.04.2022 05:00","0","0","0","n/e","n/e","n/e","2712","3328","3328"
"14.04.2022 05:00 - 14.04.2022 06:00","1","0","0","n/e","n/e","n/e","2551","3079","3079"
"14.04.2022 06:00 - 14.04.2022 07:00","200","180","180","n/e","n/e","n/e","2308","2679","2679"
"14.04.2022 07:00 - 14.04.2022 08:00","921","878","878","n/e","n/e","n/e","2126","2329","2330"
"14.04.2022 08:00 - 14.04.2022 09:00","2027","1939","1943","n/e","n/e","n/e","1568","1721","1414"
"14.04.2022 09:00 - 14.04.2022 10:00","3136","3045","3008","n/e","n/e","n/e","902","987","551"
"14.04.2022 10:00 - 14.04.2022 11:00","3917","3817","3712","n/e","n/e","n/e","745","570","373"
"14.04.2022 11:00 - 14.04.2022 12:00","4270","4218","4154","n/e","n/e","n/e","729","532","419"
"14.04.2022 12:00 - 14.04.2022 13:00","4353","4376","4547","n/e","n/e","n/e","705","535","441"
"14.04.2022 13:00 - 14.04.2022 14:00","4264","4327","4463","n/e","n/e","n/e","694","559","458"
"14.04.2022 14:00 - 14.04.2022 15:00","3890","4019","3925","n/e","n/e","n/e","704","595","460"
"14.04.2022 15:00 - 14.04.2022 16:00","3231","3356","3288","n/e","n/e","n/e","714","602","432"
"14.04.2022 16:00 - 14.04.2022 17:00","2301","2369","2423","n/e","n/e","n/e","691","573","450"
"14.04.2022 17:00 - 14.04.2022 18:00","1227","1269","1306","n/e","n/e","n/e","641","541","413"
"14.04.2022 18:00 - 14.04.2022 19:00","382","400","425","n/e","n/e","n/e","699","605","547"
"14.04.2022 19:00 - 14.04.2022 20:00","33","33","61","n/e","n/e","n/e","927","856","1180"
"14.04.2022 20:00 - 14.04.2022 21:00","0","0","0","n/e","n/e","n/e","1194","1165","1361"
"14.04.2022 21:00 - 14.04.2022 22:00","0","0","0","n/e","n/e","n/e","1334","1345","1456"
"14.04.2022 22:00 - 14.04.2022 23:00","0","0","0","n/e","n/e","n/e","1361","1399","1506"
"14.04.2022 23:00 - 15.04.2022 00:00","0","0","0","n/e","n/e","n/e","1344","1367","1329"
"15.04.2022 00:00 - 15.04.2022 01:00","0","0","0","n/e","n/e","n/e","1141","1391","1391"
"15.04.2022 01:00 - 15.04.2022 02:00","0","0","0","n/e","n/e","n/e","1085","1339","1339"
"15.04.2022 02:00 - 15.04.2022 03:00","0","0","0","n/e","n/e","n/e","1021","1281","1281"
"15.04.2022 03:00 - 15.04.2022 04:00","0","0","0","n/e","n/e","n/e","945","1164","1164"
"15.04.2022 04:00 - 15.04.2022 05:00","0","0","0","n/e","n/e","n/e","876","1030","1030"
"15.04.2022 05:00 - 15.04.2022 06:00","1","0","0","n/e","n/e","n/e","823","917","917"
"15.04.2022 06:00 - 15.04.2022 07:00","61","65","65","n/e","n/e","n/e","783","718","718"
"15.04.2022 07:00 - 15.04.2022 08:00","249","259","259","n/e","n/e","n/e","761","683","694"
"15.04.2022 08:00 - 15.04.2022 09:00","479","473","545","n/e","n/e","n/e","802","669","648"
"15.04.2022 09:00 - 15.04.2022 10:00","673","667","727","n/e","n/e","n/e","957","755","774"
"15.04.2022 10:00 - 15.04.2022 11:00","861","853","921","n/e","n/e","n/e","1234","970","1043"
"15.04.2022 11:00 - 15.04.2022 12:00","1008","1023","1154","n/e","n/e","n/e","1637","1367","1464"
"15.04.2022 12:00 - 15.04.2022 13:00","1062","1115","1284","n/e","n/e","n/e","2128","1878","2091"
"15.04.2022 13:00 - 15.04.2022 14:00","1089","1148","1333","n/e","n/e","n/e","2651","2396","2746"
"15.04.2022 14:00 - 15.04.2022 15:00","1147","1182","1645","n/e","n/e","n/e","3178","2963","3239"
"15.04.2022 15:00 - 15.04.2022 16:00","1115","1120","1667","n/e","n/e","n/e","3644","3520","3628"
"15.04.2022 16:00 - 15.04.2022 17:00","877","873","1072","n/e","n/e","n/e","3982","3903","3668"
"15.04.2022 17:00 - 15.04.2022 18:00","515","508","581","n/e","n/e","n/e","4190","4106","3964"
"15.04.2022 18:00 - 15.04.2022 19:00","183","172","195","n/e","n/e","n/e","4297","4210","4518"
"15.04.2022 19:00 - 15.04.2022 20:00","17","13","31","n/e","n/e","n/e","4340","4222","4556"
"15.04.2022 20:00 - 15.04.2022 21:00","0","0","0","n/e","n/e","n/e","4351","4215","4372"
"15.04.2022 21:00 - 15.04.2022 22:00","0","0","0","n/e","n/e","n/e","4334","4235","4320"
"15.04.2022 22:00 - 15.04.2022 23:00","0","0","0","n/e","n/e","n/e","4267","4214","4555"
"15.04.2022 23:00 - 16.04.2022 00:00","0","0","0","n/e","n/e","n/e","4130","4143","4428"
"16.04.2022 00:00 - 16.04.2022 01:00","0","0","0","n/e","n/e","n/e","4046","4299","4299"
"16.04.2022 01:00 - 16.04.2022 02:00","0","0","0","n/e","n/e","n/e","3887","4217","4217"
"16.04.2022 02:00 - 16.04.2022 03:00","0","0","0","n/e","n/e","n/e","3743","4000","4000"
"16.04.2022 03:00 - 16.04.2022 04:00","0","0","0","n/e","n/e","n/e","3628","3836","3836"
"16.04.2022 04:00 - 16.04.2022 05:00","0","0","0","n/e","n/e","n/e","3536","3734","3734"
"16.04.2022 05:00 - 16.04.2022 06:00","1","0","0","n/e","n/e","n/e","3431","3697","3697"
"16.04.2022 06:00 - 16.04.2022 07:00","102","105","105","n/e","n/e","n/e","3269","3706","3706"
"16.04.2022 07:00 - 16.04.2022 08:00","447","487","487","n/e","n/e","n/e","3160","3359","3334"
"16.04.2022 08:00 - 16.04.2022 09:00","1032","1079","1211","n/e","n/e","n/e","3247","3421","3065"
"16.04.2022 09:00 - 16.04.2022 10:00","1772","1783","2330","n/e","n/e","n/e","3345","3280","3468"
"16.04.2022 10:00 - 16.04.2022 11:00","2491","2451","3012","n/e","n/e","n/e","3311","3248","3985"
"16.04.2022 11:00 - 16.04.2022 12:00","3062","2978","3511","n/e","n/e","n/e","3246","3208","3952"
"16.04.2022 12:00 - 16.04.2022 13:00","3350","3241","3583","n/e","n/e","n/e","3231","3267","3519"
"16.04.2022 13:00 - 16.04.2022 14:00","3411","3295","3582","n/e","n/e","n/e","3285","3354","3471"
"16.04.2022 14:00 - 16.04.2022 15:00","3401","3259","3359","n/e","n/e","n/e","3383","3454","3504"
"16.04.2022 15:00 - 16.04.2022 16:00","3045","2943","2846","n/e","n/e","n/e","3447","3497","3461"
"16.04.2022 16:00 - 16.04.2022 17:00","2263","2220","2193","n/e","n/e","n/e","3394","3416","3337"
"16.04.2022 17:00 - 16.04.2022 18:00","1287","1282","1493","n/e","n/e","n/e","3168","3133","3040"
"16.04.2022 18:00 - 16.04.2022 19:00","467","474","660","n/e","n/e","n/e","2713","2586","2525"
"16.04.2022 19:00 - 16.04.2022 20:00","61","63","187","n/e","n/e","n/e","2312","2131","2102"
"16.04.2022 20:00 - 16.04.2022 21:00","0","0","0","n/e","n/e","n/e","2124","1957","1760"
"16.04.2022 21:00 - 16.04.2022 22:00","0","0","0","n/e","n/e","n/e","1972","1843","1671"
"16.04.2022 22:00 - 16.04.2022 23:00","0","0","0","n/e","n/e","n/e","1796","1683","1726"
"16.04.2022 23:00 - 17.04.2022 00:00","0","0","0","n/e","n/e","n/e","1599","1480","1713"
"17.04.2022 00:00 - 17.04.2022 01:00","0","0","0","n/e","n/e","n/e","1297","1629","1629"
"17.04.2022 01:00 - 17.04.2022 02:00","0","0","0","n/e","n/e","n/e","1144","1514","1514"
"17.04.2022 02:00 - 17.04.2022 03:00","0","0","0","n/e","n/e","n/e","1029","1425","1425"
"17.04.2022 03:00 - 17.04.2022 04:00","0","0","0","n/e","n/e","n/e","945","1227","1227"
"17.04.2022 04:00 - 17.04.2022 05:00","0","0","0","n/e","n/e","n/e","869","1048","1048"
"17.04.2022 05:00 - 17.04.2022 06:00","4","2","2","n/e","n/e","n/e","787","925","925"
"17.04.2022 06:00 - 17.04.2022 07:00","227","216","216","n/e","n/e","n/e","692","703","703"
"17.04.2022 07:00 - 17.04.2022 08:00","965","954","954","n/e","n/e","n/e","496","531","524"
"17.04.2022 08:00 - 17.04.2022 09:00","2110","1896","2105","n/e","n/e","n/e","288","395","330"
"17.04.2022 09:00 - 17.04.2022 10:00","3247","2913","3375","n/e","n/e","n/e","244","295","166"
"17.04.2022 10:00 - 17.04.2022 11:00","3828","3485","4196","n/e","n/e","n/e","306","336","231"
"17.04.2022 11:00 - 17.04.2022 12:00","3798","3559","4887","n/e","n/e","n/e","379","425","343"
"17.04.2022 12:00 - 17.04.2022 13:00","3691","3706","5024","n/e","n/e","n/e","425","365","378"
"17.04.2022 13:00 - 17.04.2022 14:00","3567","3574","4873","n/e","n/e","n/e","496","458","439"
"17.04.2022 14:00 - 17.04.2022 15:00","3191","3139","4331","n/e","n/e","n/e","635","612","617"
"17.04.2022 15:00 - 17.04.2022 16:00","2608","2491","3532","n/e","n/e","n/e","812","781","795"
"17.04.2022 16:00 - 17.04.2022 17:00","1887","1770","2562","n/e","n/e","n/e","977","925","942"
"17.04.2022 17:00 - 17.04.2022 18:00","1082","1016","1479","n/e","n/e","n/e","1073","989","1238"
"17.04.2022 18:00 - 17.04.2022 19:00","397","381","550","n/e","n/e","n/e","1018","918","1148"
"17.04.2022 19:00 - 17.04.2022 20:00","54","53","91","n/e","n/e","n/e","977","890","1120"
"17.04.2022 20:00 - 17.04.2022 21:00","0","0","0","n/e","n/e","n/e","1039","972","1139"
"17.04.2022 21:00 - 17.04.2022 22:00","0","0","0","n/e","n/e","n/e","1043","1010","1194"
"17.04.2022 22:00 - 17.04.2022 23:00","0","0","0","n/e","n/e","n/e","985","965","1185"
"17.04.2022 23:00 - 18.04.2022 00:00","0","0","0","n/e","n/e","n/e","915","879","1178"
"18.04.2022 00:00 - 18.04.2022 01:00","0","0","0","n/e","n/e","n/e","844","1156","1156"
"18.04.2022 01:00 - 18.04.2022 02:00","0","0","0","n/e","n/e","n/e","753","1058","1058"
"18.04.2022 02:00 - 18.04.2022 03:00","0","0","0","n/e","n/e","n/e","683","845","845"
"18.04.2022 03:00 - 18.04.2022 04:00","0","0","0","n/e","n/e","n/e","620","849","849"
"18.04.2022 04:00 - 18.04.2022 05:00","0","0","0","n/e","n/e","n/e","572","844","844"
"18.04.2022 05:00 - 18.04.2022 06:00","5","3","3","n/e","n/e","n/e","551","892","892"
"18.04.2022 06:00 - 18.04.2022 07:00","241","246","246","n/e","n/e","n/e","532","1038","1038"
"18.04.2022 07:00 - 18.04.2022 08:00","987","1046","1046","n/e","n/e","n/e","433","861","850"
"18.04.2022 08:00 - 18.04.2022 09:00","2124","2189","2221","n/e","n/e","n/e","261","596","521"
"18.04.2022 09:00 - 18.04.2022 10:00","3228","3273","3322","n/e","n/e","n/e","247","315","282"
"18.04.2022 10:00 - 18.04.2022 11:00","3783","3853","3885","n/e","n/e","n/e","443","510","572"
"18.04.2022 11:00 - 18.04.2022 12:00","3726","3913","4475","n/e","n/e","n/e","640","730","953"
"18.04.2022 12:00 - 18.04.2022 13:00","3573","3843","4915","n/e","n/e","n/e","745","832","1061"
"18.04.2022 13:00 - 18.04.2022 14:00","3412","3707","4445","n/e","n/e","n/e","813","891","1051"
"18.04.2022 14:00 - 18.04.2022 15:00","2999","3312","4449","n/e","n/e","n/e","918","1005","1294"
"18.04.2022 15:00 - 18.04.2022 16:00","2402","2677","3776","n/e","n/e","n/e","1083","1190","1664"
"18.04.2022 16:00 - 18.04.2022 17:00","1676","1897","2698","n/e","n/e","n/e","1265","1386","1865"
"18.04.2022 17:00 - 18.04.2022 18:00","925","1089","1507","n/e","n/e","n/e","1349","1492","2131"
"18.04.2022 18:00 - 18.04.2022 19:00","337","408","553","n/e","n/e","n/e","1256","1477","2111"
"18.04.2022 19:00 - 18.04.2022 20:00","46","55","93","n/e","n/e","n/e","1207","1465","2038"
"18.04.2022 20:00 - 18.04.2022 21:00","0","0","0","n/e","n/e","n/e","1255","1495","2066"
"18.04.2022 21:00 - 18.04.2022 22:00","0","0","0","n/e","n/e","n/e","1234","1539","1846"
"18.04.2022 22:00 - 18.04.2022 23:00","0","0","0","n/e","n/e","n/e","1181","1575","1838"
"18.04.2022 23:00 - 19.04.2022 00:00","0","0","0","n/e","n/e","n/e","1146","1578","1604"
"19.04.2022 00:00 - 19.04.2022 01:00","0","0","0","n/e","n/e","n/e","1565","1759","1759"
"19.04.2022 01:00 - 19.04.2022 02:00","0","0","0","n/e","n/e","n/e","1505","1744","1744"
"19.04.2022 02:00 - 19.04.2022 03:00","0","0","0","n/e","n/e","n/e","1478","1727","1727"
"19.04.2022 03:00 - 19.04.2022 04:00","0","0","0","n/e","n/e","n/e","1499","1683","1683"
"19.04.2022 04:00 - 19.04.2022 05:00","0","0","0","n/e","n/e","n/e","1533","1543","1543"
"19.04.2022 05:00 - 19.04.2022 06:00","3","3","3","n/e","n/e","n/e","1559","1777","1777"
"19.04.2022 06:00 - 19.04.2022 07:00","148","172","172","n/e","n/e","n/e","1544","2087","2087"
"19.04.2022 07:00 - 19.04.2022 08:00","592","706","706","n/e","n/e","n/e","1451","1981","1972"
"19.04.2022 08:00 - 19.04.2022 09:00","1194","1472","1475","n/e","n/e","n/e","1418","1881","1809"
"19.04.2022 09:00 - 19.04.2022 10:00","1703","2241","2189","n/e","n/e","n/e","1486","1498","1566"
"19.04.2022 10:00 - 19.04.2022 11:00","2130","2752","2649","n/e","n/e","n/e","1547","1576","1649"
"19.04.2022 11:00 - 19.04.2022 12:00","2491","2964","2864","n/e","n/e","n/e","1665","1724","1815"
"19.04.2022 12:00 - 19.04.2022 13:00","2642","3013","2907","n/e","n/e","n/e","1716","1819","1911"
"19.04.2022 13:00 - 19.04.2022 14:00","2642","2972","2870","n/e","n/e","n/e","1578","1693","1806"
"19.04.2022 14:00 - 19.04.2022 15:00","2548","2808","2726","n/e","n/e","n/e","1392","1454","1624"
"19.04.2022 15:00 - 19.04.2022 16:00","2245","2469","2436","n/e","n/e","n/e","1234","1241","1462"
"19.04.2022 16:00 - 19.04.2022 17:00","1698","1897","1843","n/e","n/e","n/e","1134","1129","1368"
"19.04.2022 17:00 - 19.04.2022 18:00","1008","1162","1091","n/e","n/e","n/e","1085","1063","1326"
"19.04.2022 18:00 - 19.04.2022 19:00","376","454","419","n/e","n/e","n/e","1022","975","1223"
"19.04.2022 19:00 - 19.04.2022 20:00","50","64","75","n/e","n/e","n/e","995","960","1136"
"19.04.2022 20:00 - 19.04.2022 21:00","0","0","0","n/e","n/e","n/e","980","979","1071"
"19.04.2022 21:00 - 19.04.2022 22:00","0","0","0","n/e","n/e","n/e","891","901","738"
"19.04.2022 22:00 - 19.04.2022 23:00","0","0","0","n/e","n/e","n/e","804","766","641"
"19.04.2022 23:00 - 20.04.2022 00:00","0","0","0","n/e","n/e","n/e","748","644","554"
"20.04.2022 00:00 - 20.04.2022 01:00","0","0","0","n/e","n/e","n/e","632","557","557"
"20.04.2022 01:00 - 20.04.2022 02:00","0","0","0","n/e","n/e","n/e","668","666","666"
"20.04.2022 02:00 - 20.04.2022 03:00","0","0","0","n/e","n/e","n/e","800","838","838"
"20.04.2022 03:00 - 20.04.2022 04:00","0","0","0","n/e","n/e","n/e","971","1101","1101"
"20.04.2022 04:00 - 20.04.2022 05:00","0","0","0","n/e","n/e","n/e","1147","1290","1290"
"20.04.2022 05:00 - 20.04.2022 06:00","3","2","2","n/e","n/e","n/e","1338","1477","1477"
"20.04.2022 06:00 - 20.04.2022 07:00","123","100","100","n/e","n/e","n/e","1536","1870","1870"
"20.04.2022 07:00 - 20.04.2022 08:00","459","350","350","n/e","n/e","n/e","1651","2159","2204"
"20.04.2022 08:00 - 20.04.2022 09:00","888","671","675","n/e","n/e","n/e","1708","2141","2210"
"20.04.2022 09:00 - 20.04.2022 10:00","1212","931","861","n/e","n/e","n/e","1867","2234","1916"
"20.04.2022 10:00 - 20.04.2022 11:00","1308","1004","970","n/e","n/e","n/e","2105","1996","1933"
"20.04.2022 11:00 - 20.04.2022 12:00","1253","921","1212","n/e","n/e","n/e","2370","2182","2268"
"20.04.2022 12:00 - 20.04.2022 13:00","1220","847","1340","n/e","n/e","n/e","2618","2314","2372"
"20.04.2022 13:00 - 20.04.2022 14:00","1179","811","1312","n/e","n/e","n/e","2791","2374","2414"
"20.04.2022 14:00 - 20.04.2022 15:00","1046","742","1267","n/e","n/e","n/e","2853","2385","2342"
"20.04.2022 15:00 - 20.04.2022 16:00","825","606","1113","n/e","n/e","n/e","2785","2320","2131"
"20.04.2022 16:00 - 20.04.2022 17:00","565","415","799","n/e","n/e","n/e","2633","2144","1951"
"20.04.2022 17:00 - 20.04.2022 18:00","337","253","541","n/e","n/e","n/e","2408","1920","1875"
"20.04.2022 18:00 - 20.04.2022 19:00","142","111","210","n/e","n/e","n/e","2134","1699","1622"
"20.04.2022 19:00 - 20.04.2022 20:00","22","16","37","n/e","n/e","n/e","1996","1597","1476"
"20.04.2022 20:00 - 20.04.2022 21:00","0","0","0","n/e","n/e","n/e","1933","1575","1273"
"20.04.2022 21:00 - 20.04.2022 22:00","0","0","0","n/e","n/e","n/e","1785","1515","1011"
"20.04.2022 22:00 - 20.04.2022 23:00","0","0","0","n/e","n/e","n/e","1625","1432","893"
"20.04.2022 23:00 - 21.04.2022 00:00","0","0","0","n/e","n/e","n/e","1478","1330","892"
"21.04.2022 00:00 - 21.04.2022 01:00","0","0","0","n/e","n/e","n/e","1096","865","865"
"21.04.2022 01:00 - 21.04.2022 02:00","0","0","0","n/e","n/e","n/e","1079","811","811"
"21.04.2022 02:00 - 21.04.2022 03:00","0","0","0","n/e","n/e","n/e","1065","747","747"
"21.04.2022 03:00 - 21.04.2022 04:00","0","0","0","n/e","n/e","n/e","1048","660","660"
"21.04.2022 04:00 - 21.04.2022 05:00","0","0","0","n/e","n/e","n/e","1048","670","670"
"21.04.2022 05:00 - 21.04.2022 06:00","2","2","2","n/e","n/e","n/e","1064","697","697"
"21.04.2022 06:00 - 21.04.2022 07:00","95","100","100","n/e","n/e","n/e","1062","730","730"
"21.04.2022 07:00 - 21.04.2022 08:00","333","377","377","n/e","n/e","n/e","988","734","717"
"21.04.2022 08:00 - 21.04.2022 09:00","698","744","735","n/e","n/e","n/e","855","625","614"
"21.04.2022 09:00 - 21.04.2022 10:00","1105","1069","989","n/e","n/e","n/e","773","537","572"
"21.04.2022 10:00 - 21.04.2022 11:00","1386","1251","1305","n/e","n/e","n/e","784","559","578"
"21.04.2022 11:00 - 21.04.2022 12:00","1526","1376","1980","n/e","n/e","n/e","869","656","702"
"21.04.2022 12:00 - 21.04.2022 13:00","1582","1455","2263","n/e","n/e","n/e","1022","807","1094"
"21.04.2022 13:00 - 21.04.2022 14:00","1546","1449","2660","n/e","n/e","n/e","1198","990","1262"
"21.04.2022 14:00 - 21.04.2022 15:00","1394","1364","2565","n/e","n/e","n/e","1352","1151","1456"
"21.04.2022 15:00 - 21.04.2022 16:00","1120","1110","2116","n/e","n/e","n/e","1439","1279","1651"
"21.04.2022 16:00 - 21.04.2022 17:00","807","788","1562","n/e","n/e","n/e","1443","1331","1807"
"21.04.2022 17:00 - 21.04.2022 18:00","502","507","990","n/e","n/e","n/e","1351","1240","1603"
"21.04.2022 18:00 - 21.04.2022 19:00","207","221","421","n/e","n/e","n/e","1234","1122","1427"
"21.04.2022 19:00 - 21.04.2022 20:00","32","36","79","n/e","n/e","n/e","1220","1123","1305"
"21.04.2022 20:00 - 21.04.2022 21:00","0","0","0","n/e","n/e","n/e","1225","1132","1100"
"21.04.2022 21:00 - 21.04.2022 22:00","0","0","0","n/e","n/e","n/e","1159","1089","1079"
"21.04.2022 22:00 - 21.04.2022 23:00","0","0","0","n/e","n/e","n/e","1082","1053","1004"
"21.04.2022 23:00 - 22.04.2022 00:00","0","0","0","n/e","n/e","n/e","1004","1022","979"
"22.04.2022 00:00 - 22.04.2022 01:00","0","0","0","n/e","n/e","n/e","1139","822","822"
"22.04.2022 01:00 - 22.04.2022 02:00","0","0","0","n/e","n/e","n/e","1112","825","825"
"22.04.2022 02:00 - 22.04.2022 03:00","0","0","0","n/e","n/e","n/e","1135","872","872"
"22.04.2022 03:00 - 22.04.2022 04:00","0","0","0","n/e","n/e","n/e","1226","1007","1007"
"22.04.2022 04:00 - 22.04.2022 05:00","0","0","0","n/e","n/e","n/e","1356","1404","1404"
"22.04.2022 05:00 - 22.04.2022 06:00","3","3","3","n/e","n/e","n/e","1516","1665","1665"
"22.04.2022 06:00 - 22.04.2022 07:00","130","174","174","n/e","n/e","n/e","1648","1972","1972"
"22.04.2022 07:00 - 22.04.2022 08:00","495","660","660","n/e","n/e","n/e","1732","2105","2114"
"22.04.2022 08:00 - 22.04.2022 09:00","1045","1279","1299","n/e","n/e","n/e","1820","2179","2197"
"22.04.2022 09:00 - 22.04.2022 10:00","1622","1795","1844","n/e","n/e","n/e","1988","2180","2211"
"22.04.2022 10:00 - 22.04.2022 11:00","2059","2081","2311","n/e","n/e","n/e","2205","2208","2439"
"22.04.2022 11:00 - 22.04.2022 12:00","2299","2249","2848","n/e","n/e","n/e","2362","2355","2698"
"22.04.2022 12:00 - 22.04.2022 13:00","2386","2337","2968","n/e","n/e","n/e","2443","2486","2826"
"22.04.2022 13:00 - 22.04.2022 14:00","2428","2389","2988","n/e","n/e","n/e","2471","2558","2808"
"22.04.2022 14:00 - 22.04.2022 15:00","2468","2493","2944","n/e","n/e","n/e","2502","2554","2769"
"22.04.2022 15:00 - 22.04.2022 16:00","2317","2369","2613","n/e","n/e","n/e","2591","2556","2812"
"22.04.2022 16:00 - 22.04.2022 17:00","1851","1873","1979","n/e","n/e","n/e","2712","2593","2905"
"22.04.2022 17:00 - 22.04.2022 18:00","1145","1161","1206","n/e","n/e","n/e","2756","2548","2953"
"22.04.2022 18:00 - 22.04.2022 19:00","456","471","588","n/e","n/e","n/e","2594","2332","2738"
"22.04.2022 19:00 - 22.04.2022 20:00","74","77","119","n/e","n/e","n/e","2430","2201","2441"
