"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ France (FR)","Generation - Solar  [MW] Intraday / France (FR)","Generation - Solar  [MW] Current / France (FR)","Generation - Wind Offshore  [MW] Day Ahead/ France (FR)","Generation - Wind Offshore  [MW] Intraday / France (FR)","Generation - Wind Offshore  [MW] Current / France (FR)","Generation - Wind Onshore  [MW] Day Ahead/ France (FR)","Generation - Wind Onshore  [MW] Intraday / France (FR)","Generation - Wind Onshore  [MW] Current / France (FR)"
"05.01.2022 08:00 - 05.01.2022 09:00","0","n/e","0","n/e","n/e","n/e","6266","n/e","6156"
"05.01.2022 09:00 - 05.01.2022 10:00","252","n/e","242","n/e","n/e","n/e","6050","n/e","6111"
"05.01.2022 10:00 - 05.01.2022 11:00","1530","n/e","1613","n/e","n/e","n/e","5834","n/e","6042"
"05.01.2022 11:00 - 05.01.2022 12:00","3000","n/e","3172","n/e","n/e","n/e","5915","n/e","6093"
"05.01.2022 12:00 - 05.01.2022 13:00","3853","n/e","4128","n/e","n/e","n/e","5995","n/e","6158"
"05.01.2022 13:00 - 05.01.2022 14:00","4056","n/e","4304","n/e","n/e","n/e","6075","n/e","6228"
"05.01.2022 14:00 - 05.01.2022 15:00","3640","n/e","3717","n/e","n/e","n/e","5657","n/e","5787"
"05.01.2022 15:00 - 05.01.2022 16:00","2522","n/e","2619","n/e","n/e","n/e","5239","n/e","5351"
"05.01.2022 16:00 - 05.01.2022 17:00","1014","n/e","1057","n/e","n/e","n/e","4823","n/e","4920"
"05.01.2022 17:00 - 05.01.2022 18:00","69","n/e","72","n/e","n/e","n/e","4771","n/e","4688"
"05.01.2022 18:00 - 05.01.2022 19:00","0","n/e","0","n/e","n/e","n/e","4719","n/e","4457"
"05.01.2022 19:00 - 05.01.2022 20:00","0","n/e","0","n/e","n/e","n/e","4666","n/e","4227"
"05.01.2022 20:00 - 05.01.2022 21:00","0","n/e","0","n/e","n/e","n/e","4707","n/e","4286"
"05.01.2022 21:00 - 05.01.2022 22:00","0","n/e","0","n/e","n/e","n/e","4748","n/e","4346"
"05.01.2022 22:00 - 05.01.2022 23:00","0","n/e","0","n/e","n/e","n/e","4788","n/e","4405"
"05.01.2022 23:00 - 06.01.2022 00:00","0","n/e","0","n/e","n/e","n/e","4670","n/e","4231"
"06.01.2022 00:00 - 06.01.2022 01:00","0","n/e","0","n/e","n/e","n/e","3969","n/e","3873"
"06.01.2022 01:00 - 06.01.2022 02:00","0","n/e","0","n/e","n/e","n/e","3913","n/e","3814"
"06.01.2022 02:00 - 06.01.2022 03:00","0","n/e","0","n/e","n/e","n/e","3564","n/e","3499"
"06.01.2022 03:00 - 06.01.2022 04:00","0","n/e","0","n/e","n/e","n/e","3216","n/e","3185"
"06.01.2022 04:00 - 06.01.2022 05:00","0","n/e","0","n/e","n/e","n/e","2869","n/e","2865"
"06.01.2022 05:00 - 06.01.2022 06:00","0","n/e","0","n/e","n/e","n/e","2657","n/e","2593"
"06.01.2022 06:00 - 06.01.2022 07:00","0","n/e","0","n/e","n/e","n/e","2444","n/e","2321"
"06.01.2022 07:00 - 06.01.2022 08:00","0","n/e","0","n/e","n/e","n/e","2232","n/e","2032"
"06.01.2022 08:00 - 06.01.2022 09:00","0","n/e","0","n/e","n/e","n/e","2154","n/e","1996"
"06.01.2022 09:00 - 06.01.2022 10:00","277","n/e","279","n/e","n/e","n/e","2078","n/e","1959"
"06.01.2022 10:00 - 06.01.2022 11:00","1648","n/e","1673","n/e","n/e","n/e","2006","n/e","1909"
"06.01.2022 11:00 - 06.01.2022 12:00","3222","n/e","3241","n/e","n/e","n/e","2245","n/e","2089"
"06.01.2022 12:00 - 06.01.2022 13:00","4145","n/e","4195","n/e","n/e","n/e","2487","n/e","2281"
"06.01.2022 13:00 - 06.01.2022 14:00","4442","n/e","4503","n/e","n/e","n/e","2731","n/e","2474"
"06.01.2022 14:00 - 06.01.2022 15:00","3997","n/e","3971","n/e","n/e","n/e","2900","n/e","2687"
"06.01.2022 15:00 - 06.01.2022 16:00","2791","n/e","2795","n/e","n/e","n/e","3069","n/e","2898"
"06.01.2022 16:00 - 06.01.2022 17:00","1144","n/e","1147","n/e","n/e","n/e","3240","n/e","3110"
"06.01.2022 17:00 - 06.01.2022 18:00","79","n/e","78","n/e","n/e","n/e","3743","n/e","3875"
"06.01.2022 18:00 - 06.01.2022 19:00","0","n/e","0","n/e","n/e","n/e","4246","n/e","4640"
"06.01.2022 19:00 - 06.01.2022 20:00","0","n/e","0","n/e","n/e","n/e","4749","n/e","5403"
"06.01.2022 20:00 - 06.01.2022 21:00","0","n/e","0","n/e","n/e","n/e","5015","n/e","5711"
"06.01.2022 21:00 - 06.01.2022 22:00","0","n/e","0","n/e","n/e","n/e","5282","n/e","6019"
"06.01.2022 22:00 - 06.01.2022 23:00","0","n/e","0","n/e","n/e","n/e","5548","n/e","6327"
"06.01.2022 23:00 - 07.01.2022 00:00","0","n/e","0","n/e","n/e","n/e","5804","n/e","6600"
"07.01.2022 00:00 - 07.01.2022 01:00","0","n/e","0","n/e","n/e","n/e","7118","n/e","7167"
"07.01.2022 01:00 - 07.01.2022 02:00","0","n/e","0","n/e","n/e","n/e","7443","n/e","7497"
"07.01.2022 02:00 - 07.01.2022 03:00","0","n/e","0","n/e","n/e","n/e","7378","n/e","7458"
"07.01.2022 03:00 - 07.01.2022 04:00","0","n/e","0","n/e","n/e","n/e","7314","n/e","7418"
"07.01.2022 04:00 - 07.01.2022 05:00","0","n/e","0","n/e","n/e","n/e","7250","n/e","7373"
"07.01.2022 05:00 - 07.01.2022 06:00","0","n/e","0","n/e","n/e","n/e","7242","n/e","7264"
"07.01.2022 06:00 - 07.01.2022 07:00","0","n/e","0","n/e","n/e","n/e","7233","n/e","7153"
"07.01.2022 07:00 - 07.01.2022 08:00","0","n/e","0","n/e","n/e","n/e","7225","n/e","8114"
"07.01.2022 08:00 - 07.01.2022 09:00","0","n/e","0","n/e","n/e","n/e","7202","n/e","8010"
"07.01.2022 09:00 - 07.01.2022 10:00","252","n/e","241","n/e","n/e","n/e","7179","n/e","7924"
"07.01.2022 10:00 - 07.01.2022 11:00","1282","n/e","1588","n/e","n/e","n/e","7156","n/e","7975"
"07.01.2022 11:00 - 07.01.2022 12:00","2378","n/e","2839","n/e","n/e","n/e","7357","n/e","8070"
"07.01.2022 12:00 - 07.01.2022 13:00","3051","n/e","3394","n/e","n/e","n/e","7559","n/e","8184"
"07.01.2022 13:00 - 07.01.2022 14:00","3178","n/e","3404","n/e","n/e","n/e","7760","n/e","8306"
"07.01.2022 14:00 - 07.01.2022 15:00","2765","n/e","2838","n/e","n/e","n/e","7577","n/e","8079"
"07.01.2022 15:00 - 07.01.2022 16:00","1992","n/e","1968","n/e","n/e","n/e","7393","n/e","7858"
"07.01.2022 16:00 - 07.01.2022 17:00","848","n/e","809","n/e","n/e","n/e","7209","n/e","7641"
"07.01.2022 17:00 - 07.01.2022 18:00","55","n/e","58","n/e","n/e","n/e","7285","n/e","7853"
"07.01.2022 18:00 - 07.01.2022 19:00","0","n/e","0","n/e","n/e","n/e","7359","n/e","8067"
"07.01.2022 19:00 - 07.01.2022 20:00","0","n/e","0","n/e","n/e","n/e","7434","n/e","8282"
"07.01.2022 20:00 - 07.01.2022 21:00","0","n/e","0","n/e","n/e","n/e","7443","n/e","8205"
"07.01.2022 21:00 - 07.01.2022 22:00","0","n/e","0","n/e","n/e","n/e","7453","n/e","8128"
"07.01.2022 22:00 - 07.01.2022 23:00","0","n/e","0","n/e","n/e","n/e","7462","n/e","8052"
"07.01.2022 23:00 - 08.01.2022 00:00","0","n/e","0","n/e","n/e","n/e","7392","n/e","7600"
"08.01.2022 00:00 - 08.01.2022 01:00","0","n/e","0","n/e","n/e","n/e","8312","n/e","8519"
"08.01.2022 01:00 - 08.01.2022 02:00","0","n/e","0","n/e","n/e","n/e","7973","n/e","7936"
"08.01.2022 02:00 - 08.01.2022 03:00","0","n/e","0","n/e","n/e","n/e","7424","n/e","7245"
"08.01.2022 03:00 - 08.01.2022 04:00","0","n/e","0","n/e","n/e","n/e","6877","n/e","6550"
"08.01.2022 04:00 - 08.01.2022 05:00","0","n/e","0","n/e","n/e","n/e","6331","n/e","5849"
"08.01.2022 05:00 - 08.01.2022 06:00","0","n/e","0","n/e","n/e","n/e","6114","n/e","5532"
"08.01.2022 06:00 - 08.01.2022 07:00","0","n/e","0","n/e","n/e","n/e","5898","n/e","5215"
"08.01.2022 07:00 - 08.01.2022 08:00","0","n/e","0","n/e","n/e","n/e","5683","n/e","4951"
"08.01.2022 08:00 - 08.01.2022 09:00","0","n/e","0","n/e","n/e","n/e","6494","n/e","5858"
"08.01.2022 09:00 - 08.01.2022 10:00","221","n/e","213","n/e","n/e","n/e","7304","n/e","6750"
"08.01.2022 10:00 - 08.01.2022 11:00","1161","n/e","1371","n/e","n/e","n/e","8114","n/e","7803"
"08.01.2022 11:00 - 08.01.2022 12:00","2108","n/e","2498","n/e","n/e","n/e","9904","n/e","9379"
"08.01.2022 12:00 - 08.01.2022 13:00","2670","n/e","2972","n/e","n/e","n/e","11695","n/e","10957"
"08.01.2022 13:00 - 08.01.2022 14:00","2769","n/e","3007","n/e","n/e","n/e","13486","n/e","12528"
"08.01.2022 14:00 - 08.01.2022 15:00","2409","n/e","2522","n/e","n/e","n/e","14072","n/e","13154"
"08.01.2022 15:00 - 08.01.2022 16:00","1742","n/e","1730","n/e","n/e","n/e","14657","n/e","13775"
"08.01.2022 16:00 - 08.01.2022 17:00","744","n/e","716","n/e","n/e","n/e","15239","n/e","14391"
"08.01.2022 17:00 - 08.01.2022 18:00","57","n/e","55","n/e","n/e","n/e","15326","n/e","14329"
"08.01.2022 18:00 - 08.01.2022 19:00","0","n/e","0","n/e","n/e","n/e","15408","n/e","14260"
"08.01.2022 19:00 - 08.01.2022 20:00","0","n/e","0","n/e","n/e","n/e","15490","n/e","14188"
"08.01.2022 20:00 - 08.01.2022 21:00","0","n/e","0","n/e","n/e","n/e","15280","n/e","14314"
"08.01.2022 21:00 - 08.01.2022 22:00","0","n/e","0","n/e","n/e","n/e","15068","n/e","14442"
"08.01.2022 22:00 - 08.01.2022 23:00","0","n/e","0","n/e","n/e","n/e","14860","n/e","14568"
"08.01.2022 23:00 - 09.01.2022 00:00","0","n/e","0","n/e","n/e","n/e","14378","n/e","14368"
"09.01.2022 00:00 - 09.01.2022 01:00","0","n/e","0","n/e","n/e","n/e","14186","n/e","14533"
"09.01.2022 01:00 - 09.01.2022 02:00","0","n/e","0","n/e","n/e","n/e","14084","n/e","14244"
"09.01.2022 02:00 - 09.01.2022 03:00","0","n/e","0","n/e","n/e","n/e","13174","n/e","13310"
"09.01.2022 03:00 - 09.01.2022 04:00","0","n/e","0","n/e","n/e","n/e","12262","n/e","12369"
"09.01.2022 04:00 - 09.01.2022 05:00","0","n/e","0","n/e","n/e","n/e","11351","n/e","11419"
