"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Belgium (BE)","Actual Total Load [MW] - Belgium (BE)"
"04.03.2022 17:45 - 04.03.2022 18:00","11341","10598"
"04.03.2022 18:00 - 04.03.2022 18:15","11552","10776"
"04.03.2022 18:15 - 04.03.2022 18:30","11704","10966"
"04.03.2022 18:30 - 04.03.2022 18:45","11829","11146"
"04.03.2022 18:45 - 04.03.2022 19:00","11762","11233"
"04.03.2022 19:00 - 04.03.2022 19:15","11797","11299"
"04.03.2022 19:15 - 04.03.2022 19:30","11665","11205"
"04.03.2022 19:30 - 04.03.2022 19:45","11519","11124"
"04.03.2022 19:45 - 04.03.2022 20:00","11387","11042"
"04.03.2022 20:00 - 04.03.2022 20:15","11263","10925"
"04.03.2022 20:15 - 04.03.2022 20:30","11098","10847"
"04.03.2022 20:30 - 04.03.2022 20:45","10995","10644"
"04.03.2022 20:45 - 04.03.2022 21:00","10800","10560"
"04.03.2022 21:00 - 04.03.2022 21:15","10663","10442"
"04.03.2022 21:15 - 04.03.2022 21:30","10556","10299"
"04.03.2022 21:30 - 04.03.2022 21:45","10416","10128"
"04.03.2022 21:45 - 04.03.2022 22:00","10262","9975"
"04.03.2022 22:00 - 04.03.2022 22:15","10463","9926"
"04.03.2022 22:15 - 04.03.2022 22:30","10521","10089"
"04.03.2022 22:30 - 04.03.2022 22:45","10545","10110"
"04.03.2022 22:45 - 04.03.2022 23:00","10482","10108"
"04.03.2022 23:00 - 04.03.2022 23:15","10580","10081"
"04.03.2022 23:15 - 04.03.2022 23:30","10457","10042"
"04.03.2022 23:30 - 04.03.2022 23:45","10309","9886"
"04.03.2022 23:45 - 05.03.2022 00:00","10113","9708"
"05.03.2022 00:00 - 05.03.2022 00:15","9884","9686"
"05.03.2022 00:15 - 05.03.2022 00:30","9724","9492"
"05.03.2022 00:30 - 05.03.2022 00:45","9670","9394"
"05.03.2022 00:45 - 05.03.2022 01:00","9494","9261"
"05.03.2022 01:00 - 05.03.2022 01:15","9383","9210"
"05.03.2022 01:15 - 05.03.2022 01:30","9266","9084"
"05.03.2022 01:30 - 05.03.2022 01:45","9279","8974"
"05.03.2022 01:45 - 05.03.2022 02:00","9092","8952"
"05.03.2022 02:00 - 05.03.2022 02:15","9097","8901"
"05.03.2022 02:15 - 05.03.2022 02:30","9010","8949"
"05.03.2022 02:30 - 05.03.2022 02:45","8882","8868"
"05.03.2022 02:45 - 05.03.2022 03:00","8890","8867"
"05.03.2022 03:00 - 05.03.2022 03:15","8899","8870"
"05.03.2022 03:15 - 05.03.2022 03:30","8868","8700"
"05.03.2022 03:30 - 05.03.2022 03:45","8845","8783"
"05.03.2022 03:45 - 05.03.2022 04:00","8800","8764"
"05.03.2022 04:00 - 05.03.2022 04:15","8833","8862"
"05.03.2022 04:15 - 05.03.2022 04:30","8801","8808"
"05.03.2022 04:30 - 05.03.2022 04:45","8796","8755"
"05.03.2022 04:45 - 05.03.2022 05:00","8816","8772"
"05.03.2022 05:00 - 05.03.2022 05:15","8892","8793"
"05.03.2022 05:15 - 05.03.2022 05:30","8895","8882"
"05.03.2022 05:30 - 05.03.2022 05:45","8909","8894"
"05.03.2022 05:45 - 05.03.2022 06:00","8975","9047"
"05.03.2022 06:00 - 05.03.2022 06:15","9058","9191"
"05.03.2022 06:15 - 05.03.2022 06:30","9215","9138"
"05.03.2022 06:30 - 05.03.2022 06:45","9297","9373"
"05.03.2022 06:45 - 05.03.2022 07:00","9357","9496"
"05.03.2022 07:00 - 05.03.2022 07:15","9374","9524"
"05.03.2022 07:15 - 05.03.2022 07:30","9422","9418"
"05.03.2022 07:30 - 05.03.2022 07:45","9480","9326"
"05.03.2022 07:45 - 05.03.2022 08:00","9492","9536"
"05.03.2022 08:00 - 05.03.2022 08:15","9693","9681"
"05.03.2022 08:15 - 05.03.2022 08:30","9784","9790"
"05.03.2022 08:30 - 05.03.2022 08:45","9848","9804"
"05.03.2022 08:45 - 05.03.2022 09:00","9948","9679"
"05.03.2022 09:00 - 05.03.2022 09:15","10006","9925"
"05.03.2022 09:15 - 05.03.2022 09:30","9995","9968"
"05.03.2022 09:30 - 05.03.2022 09:45","10086","9983"
"05.03.2022 09:45 - 05.03.2022 10:00","10105","9956"
"05.03.2022 10:00 - 05.03.2022 10:15","10085","9878"
"05.03.2022 10:15 - 05.03.2022 10:30","10047","9774"
"05.03.2022 10:30 - 05.03.2022 10:45","10065","9676"
"05.03.2022 10:45 - 05.03.2022 11:00","10006","9694"
"05.03.2022 11:00 - 05.03.2022 11:15","9939","9600"
"05.03.2022 11:15 - 05.03.2022 11:30","9945","9491"
"05.03.2022 11:30 - 05.03.2022 11:45","10043","9596"
"05.03.2022 11:45 - 05.03.2022 12:00","9957","9586"
"05.03.2022 12:00 - 05.03.2022 12:15","9832","9609"
"05.03.2022 12:15 - 05.03.2022 12:30","9817","9407"
"05.03.2022 12:30 - 05.03.2022 12:45","9837","9350"
"05.03.2022 12:45 - 05.03.2022 13:00","9787","9308"
"05.03.2022 13:00 - 05.03.2022 13:15","9760","9276"
"05.03.2022 13:15 - 05.03.2022 13:30","9673","9074"
"05.03.2022 13:30 - 05.03.2022 13:45","9739","9076"
"05.03.2022 13:45 - 05.03.2022 14:00","9672","8945"
"05.03.2022 14:00 - 05.03.2022 14:15","9671","8933"
"05.03.2022 14:15 - 05.03.2022 14:30","9551","8939"
"05.03.2022 14:30 - 05.03.2022 14:45","9580","9001"
"05.03.2022 14:45 - 05.03.2022 15:00","9631","8908"
"05.03.2022 15:00 - 05.03.2022 15:15","9580","9109"
"05.03.2022 15:15 - 05.03.2022 15:30","9592","8966"
"05.03.2022 15:30 - 05.03.2022 15:45","9572","8839"
"05.03.2022 15:45 - 05.03.2022 16:00","9622","9063"
"05.03.2022 16:00 - 05.03.2022 16:15","9462","9014"
"05.03.2022 16:15 - 05.03.2022 16:30","9537","9162"
"05.03.2022 16:30 - 05.03.2022 16:45","9615","9212"
"05.03.2022 16:45 - 05.03.2022 17:00","9667","9274"
"05.03.2022 17:00 - 05.03.2022 17:15","9732","9373"
"05.03.2022 17:15 - 05.03.2022 17:30","9835","9493"
"05.03.2022 17:30 - 05.03.2022 17:45","10062","9576"
"05.03.2022 17:45 - 05.03.2022 18:00","10284","9783"
"05.03.2022 18:00 - 05.03.2022 18:15","10459","10024"
"05.03.2022 18:15 - 05.03.2022 18:30","10552","10297"
"05.03.2022 18:30 - 05.03.2022 18:45","10612","10357"
"05.03.2022 18:45 - 05.03.2022 19:00","10664","10417"
"05.03.2022 19:00 - 05.03.2022 19:15","10714","10570"
"05.03.2022 19:15 - 05.03.2022 19:30","10655","10330"
"05.03.2022 19:30 - 05.03.2022 19:45","10586","10332"
"05.03.2022 19:45 - 05.03.2022 20:00","10420","10268"
"05.03.2022 20:00 - 05.03.2022 20:15","10366","10281"
"05.03.2022 20:15 - 05.03.2022 20:30","10184","10121"
"05.03.2022 20:30 - 05.03.2022 20:45","10067","10004"
"05.03.2022 20:45 - 05.03.2022 21:00","9956","9975"
"05.03.2022 21:00 - 05.03.2022 21:15","9830","9871"
"05.03.2022 21:15 - 05.03.2022 21:30","9721","9664"
"05.03.2022 21:30 - 05.03.2022 21:45","9628","9605"
"05.03.2022 21:45 - 05.03.2022 22:00","9558","9527"
"05.03.2022 22:00 - 05.03.2022 22:15","9693","9597"
"05.03.2022 22:15 - 05.03.2022 22:30","9684","9626"
"05.03.2022 22:30 - 05.03.2022 22:45","9713","9675"
"05.03.2022 22:45 - 05.03.2022 23:00","9664","9646"
"05.03.2022 23:00 - 05.03.2022 23:15","9843","9484"
"05.03.2022 23:15 - 05.03.2022 23:30","9720","9619"
"05.03.2022 23:30 - 05.03.2022 23:45","9615","9566"
"05.03.2022 23:45 - 06.03.2022 00:00","9398","9401"
"06.03.2022 00:00 - 06.03.2022 00:15","9239","9274"
"06.03.2022 00:15 - 06.03.2022 00:30","9152","9145"
"06.03.2022 00:30 - 06.03.2022 00:45","9044","9041"
"06.03.2022 00:45 - 06.03.2022 01:00","8911","9128"
"06.03.2022 01:00 - 06.03.2022 01:15","8915","8975"
"06.03.2022 01:15 - 06.03.2022 01:30","8765","8904"
"06.03.2022 01:30 - 06.03.2022 01:45","8629","8881"
"06.03.2022 01:45 - 06.03.2022 02:00","8610","8739"
"06.03.2022 02:00 - 06.03.2022 02:15","8615","8675"
"06.03.2022 02:15 - 06.03.2022 02:30","8654","8708"
"06.03.2022 02:30 - 06.03.2022 02:45","8521","8682"
"06.03.2022 02:45 - 06.03.2022 03:00","8448","8602"
"06.03.2022 03:00 - 06.03.2022 03:15","8444","8521"
"06.03.2022 03:15 - 06.03.2022 03:30","8378","8486"
"06.03.2022 03:30 - 06.03.2022 03:45","8319","8560"
"06.03.2022 03:45 - 06.03.2022 04:00","8318","8441"
"06.03.2022 04:00 - 06.03.2022 04:15","8274","8539"
"06.03.2022 04:15 - 06.03.2022 04:30","8314","8463"
"06.03.2022 04:30 - 06.03.2022 04:45","8385","8433"
"06.03.2022 04:45 - 06.03.2022 05:00","8515","8364"
"06.03.2022 05:00 - 06.03.2022 05:15","8372","8568"
"06.03.2022 05:15 - 06.03.2022 05:30","8458","8449"
"06.03.2022 05:30 - 06.03.2022 05:45","8437","8459"
"06.03.2022 05:45 - 06.03.2022 06:00","8390","8568"
"06.03.2022 06:00 - 06.03.2022 06:15","8534","8593"
"06.03.2022 06:15 - 06.03.2022 06:30","8588","8680"
"06.03.2022 06:30 - 06.03.2022 06:45","8722","8653"
"06.03.2022 06:45 - 06.03.2022 07:00","8700","8746"
"06.03.2022 07:00 - 06.03.2022 07:15","8540","8635"
"06.03.2022 07:15 - 06.03.2022 07:30","8616","8666"
"06.03.2022 07:30 - 06.03.2022 07:45","8705","8740"
"06.03.2022 07:45 - 06.03.2022 08:00","8732","8993"
"06.03.2022 08:00 - 06.03.2022 08:15","8744","9039"
"06.03.2022 08:15 - 06.03.2022 08:30","8853","9186"
"06.03.2022 08:30 - 06.03.2022 08:45","9005","9147"
"06.03.2022 08:45 - 06.03.2022 09:00","9038","9162"
"06.03.2022 09:00 - 06.03.2022 09:15","9194","9079"
"06.03.2022 09:15 - 06.03.2022 09:30","9272","9091"
"06.03.2022 09:30 - 06.03.2022 09:45","9388","9143"
"06.03.2022 09:45 - 06.03.2022 10:00","9427","8999"
"06.03.2022 10:00 - 06.03.2022 10:15","9493","9141"
"06.03.2022 10:15 - 06.03.2022 10:30","9504","9200"
"06.03.2022 10:30 - 06.03.2022 10:45","9481","9536"
"06.03.2022 10:45 - 06.03.2022 11:00","9531","9515"
"06.03.2022 11:00 - 06.03.2022 11:15","9431","9451"
"06.03.2022 11:15 - 06.03.2022 11:30","9499","9554"
"06.03.2022 11:30 - 06.03.2022 11:45","9577","9739"
"06.03.2022 11:45 - 06.03.2022 12:00","9642","9663"
"06.03.2022 12:00 - 06.03.2022 12:15","9588","9547"
"06.03.2022 12:15 - 06.03.2022 12:30","9511","9613"
"06.03.2022 12:30 - 06.03.2022 12:45","9480","9578"
"06.03.2022 12:45 - 06.03.2022 13:00","9474","9665"
"06.03.2022 13:00 - 06.03.2022 13:15","9484","9366"
"06.03.2022 13:15 - 06.03.2022 13:30","9393","9256"
"06.03.2022 13:30 - 06.03.2022 13:45","9337","9159"
"06.03.2022 13:45 - 06.03.2022 14:00","9228","9130"
"06.03.2022 14:00 - 06.03.2022 14:15","9173","9083"
"06.03.2022 14:15 - 06.03.2022 14:30","9127","8770"
"06.03.2022 14:30 - 06.03.2022 14:45","9064","8910"
"06.03.2022 14:45 - 06.03.2022 15:00","8978","9192"
"06.03.2022 15:00 - 06.03.2022 15:15","9114","8934"
"06.03.2022 15:15 - 06.03.2022 15:30","9058","8997"
"06.03.2022 15:30 - 06.03.2022 15:45","9053","9052"
"06.03.2022 15:45 - 06.03.2022 16:00","9020","8860"
"06.03.2022 16:00 - 06.03.2022 16:15","9095","9158"
"06.03.2022 16:15 - 06.03.2022 16:30","9060","9122"
"06.03.2022 16:30 - 06.03.2022 16:45","9091","9169"
"06.03.2022 16:45 - 06.03.2022 17:00","9249","8892"
"06.03.2022 17:00 - 06.03.2022 17:15","9241","9118"
"06.03.2022 17:15 - 06.03.2022 17:30","9362","9179"
"06.03.2022 17:30 - 06.03.2022 17:45","9614","9304"
"06.03.2022 17:45 - 06.03.2022 18:00","9775","9578"
"06.03.2022 18:00 - 06.03.2022 18:15","9974","9874"
"06.03.2022 18:15 - 06.03.2022 18:30","10159","10142"
"06.03.2022 18:30 - 06.03.2022 18:45","10257","10175"
"06.03.2022 18:45 - 06.03.2022 19:00","10261","10460"
"06.03.2022 19:00 - 06.03.2022 19:15","10451","10540"
"06.03.2022 19:15 - 06.03.2022 19:30","10436","10695"
"06.03.2022 19:30 - 06.03.2022 19:45","10371","10478"
"06.03.2022 19:45 - 06.03.2022 20:00","10255","10466"
"06.03.2022 20:00 - 06.03.2022 20:15","10171","10294"
"06.03.2022 20:15 - 06.03.2022 20:30","10087","10227"
"06.03.2022 20:30 - 06.03.2022 20:45","10024","10040"
"06.03.2022 20:45 - 06.03.2022 21:00","9982","10009"
"06.03.2022 21:00 - 06.03.2022 21:15","9797","10181"
"06.03.2022 21:15 - 06.03.2022 21:30","9603","9848"
"06.03.2022 21:30 - 06.03.2022 21:45","9590","9762"
"06.03.2022 21:45 - 06.03.2022 22:00","9553","9547"
"06.03.2022 22:00 - 06.03.2022 22:15","9557","9706"
"06.03.2022 22:15 - 06.03.2022 22:30","9519","9608"
"06.03.2022 22:30 - 06.03.2022 22:45","9577","9707"
"06.03.2022 22:45 - 06.03.2022 23:00","9546","9699"
"06.03.2022 23:00 - 06.03.2022 23:15","9675","9773"
"06.03.2022 23:15 - 06.03.2022 23:30","9642","9515"
"06.03.2022 23:30 - 06.03.2022 23:45","9509","9512"
"06.03.2022 23:45 - 07.03.2022 00:00","9438","9262"
"07.03.2022 00:00 - 07.03.2022 00:15","9272","9216"
"07.03.2022 00:15 - 07.03.2022 00:30","9206","9085"
"07.03.2022 00:30 - 07.03.2022 00:45","9126","8940"
"07.03.2022 00:45 - 07.03.2022 01:00","9094","8872"
"07.03.2022 01:00 - 07.03.2022 01:15","9101","8928"
"07.03.2022 01:15 - 07.03.2022 01:30","8888","8733"
"07.03.2022 01:30 - 07.03.2022 01:45","8839","8600"
"07.03.2022 01:45 - 07.03.2022 02:00","8767","8589"
"07.03.2022 02:00 - 07.03.2022 02:15","8721","8563"
"07.03.2022 02:15 - 07.03.2022 02:30","8686","8536"
"07.03.2022 02:30 - 07.03.2022 02:45","8655","8607"
"07.03.2022 02:45 - 07.03.2022 03:00","8634","8461"
"07.03.2022 03:00 - 07.03.2022 03:15","8617","8544"
"07.03.2022 03:15 - 07.03.2022 03:30","8603","8495"
"07.03.2022 03:30 - 07.03.2022 03:45","8634","8465"
"07.03.2022 03:45 - 07.03.2022 04:00","8638","8570"
"07.03.2022 04:00 - 07.03.2022 04:15","8644","8681"
"07.03.2022 04:15 - 07.03.2022 04:30","8741","8702"
"07.03.2022 04:30 - 07.03.2022 04:45","8773","8816"
"07.03.2022 04:45 - 07.03.2022 05:00","8777","8785"
"07.03.2022 05:00 - 07.03.2022 05:15","9080","8971"
"07.03.2022 05:15 - 07.03.2022 05:30","9210","9154"
"07.03.2022 05:30 - 07.03.2022 05:45","9403","9319"
"07.03.2022 05:45 - 07.03.2022 06:00","9494","9570"
"07.03.2022 06:00 - 07.03.2022 06:15","10031","9930"
"07.03.2022 06:15 - 07.03.2022 06:30","10331","10190"
"07.03.2022 06:30 - 07.03.2022 06:45","10637","10574"
"07.03.2022 06:45 - 07.03.2022 07:00","10820","10841"
"07.03.2022 07:00 - 07.03.2022 07:15","10979","10884"
"07.03.2022 07:15 - 07.03.2022 07:30","11224","11046"
"07.03.2022 07:30 - 07.03.2022 07:45","11338","11198"
"07.03.2022 07:45 - 07.03.2022 08:00","11385","11014"
"07.03.2022 08:00 - 07.03.2022 08:15","11460","11098"
"07.03.2022 08:15 - 07.03.2022 08:30","11541","10974"
"07.03.2022 08:30 - 07.03.2022 08:45","11651","11023"
"07.03.2022 08:45 - 07.03.2022 09:00","11758","11002"
"07.03.2022 09:00 - 07.03.2022 09:15","11644","10881"
"07.03.2022 09:15 - 07.03.2022 09:30","11709","11088"
"07.03.2022 09:30 - 07.03.2022 09:45","11700","11020"
"07.03.2022 09:45 - 07.03.2022 10:00","11637","10978"
"07.03.2022 10:00 - 07.03.2022 10:15","11481","10912"
"07.03.2022 10:15 - 07.03.2022 10:30","11512","10740"
"07.03.2022 10:30 - 07.03.2022 10:45","11600","10641"
"07.03.2022 10:45 - 07.03.2022 11:00","11655","10595"
"07.03.2022 11:00 - 07.03.2022 11:15","11557","10597"
"07.03.2022 11:15 - 07.03.2022 11:30","11453","10793"
"07.03.2022 11:30 - 07.03.2022 11:45","11555","10825"
"07.03.2022 11:45 - 07.03.2022 12:00","11520","10937"
"07.03.2022 12:00 - 07.03.2022 12:15","11494","10821"
"07.03.2022 12:15 - 07.03.2022 12:30","11418","10658"
"07.03.2022 12:30 - 07.03.2022 12:45","11386","10459"
"07.03.2022 12:45 - 07.03.2022 13:00","11382","10628"
"07.03.2022 13:00 - 07.03.2022 13:15","11343","10502"
"07.03.2022 13:15 - 07.03.2022 13:30","11320","10347"
"07.03.2022 13:30 - 07.03.2022 13:45","11336","10270"
"07.03.2022 13:45 - 07.03.2022 14:00","11229","10278"
"07.03.2022 14:00 - 07.03.2022 14:15","11145","10075"
"07.03.2022 14:15 - 07.03.2022 14:30","11114","10060"
"07.03.2022 14:30 - 07.03.2022 14:45","11223","10161"
"07.03.2022 14:45 - 07.03.2022 15:00","11068","10163"
"07.03.2022 15:00 - 07.03.2022 15:15","11109","10126"
"07.03.2022 15:15 - 07.03.2022 15:30","11082","10067"
"07.03.2022 15:30 - 07.03.2022 15:45","11063","10125"
"07.03.2022 15:45 - 07.03.2022 16:00","11001","10502"
"07.03.2022 16:00 - 07.03.2022 16:15","11021","10123"
"07.03.2022 16:15 - 07.03.2022 16:30","11039","10023"
"07.03.2022 16:30 - 07.03.2022 16:45","10981","10174"
"07.03.2022 16:45 - 07.03.2022 17:00","11134","10326"
"07.03.2022 17:00 - 07.03.2022 17:15","11124","10331"
"07.03.2022 17:15 - 07.03.2022 17:30","11319","10539"
"07.03.2022 17:30 - 07.03.2022 17:45","11516","10831"
"07.03.2022 17:45 - 07.03.2022 18:00","11780","10997"
"07.03.2022 18:00 - 07.03.2022 18:15","11751","11282"
"07.03.2022 18:15 - 07.03.2022 18:30","11919","11493"
"07.03.2022 18:30 - 07.03.2022 18:45","12047","11604"
"07.03.2022 18:45 - 07.03.2022 19:00","12034","11893"
"07.03.2022 19:00 - 07.03.2022 19:15","12068","11744"
"07.03.2022 19:15 - 07.03.2022 19:30","11973","11798"
"07.03.2022 19:30 - 07.03.2022 19:45","11824","11777"
"07.03.2022 19:45 - 07.03.2022 20:00","11787","11572"
"07.03.2022 20:00 - 07.03.2022 20:15","11610","11453"
"07.03.2022 20:15 - 07.03.2022 20:30","11445","11244"
"07.03.2022 20:30 - 07.03.2022 20:45","11369","11163"
"07.03.2022 20:45 - 07.03.2022 21:00","11240","10993"
"07.03.2022 21:00 - 07.03.2022 21:15","11033","10887"
"07.03.2022 21:15 - 07.03.2022 21:30","10918","10633"
"07.03.2022 21:30 - 07.03.2022 21:45","10819","10499"
"07.03.2022 21:45 - 07.03.2022 22:00","10572","10363"
"07.03.2022 22:00 - 07.03.2022 22:15","10735","10450"
"07.03.2022 22:15 - 07.03.2022 22:30","10839","10401"
"07.03.2022 22:30 - 07.03.2022 22:45","10944","10377"
"07.03.2022 22:45 - 07.03.2022 23:00","10814","10150"
"07.03.2022 23:00 - 07.03.2022 23:15","10895","10259"
"07.03.2022 23:15 - 07.03.2022 23:30","10735","10391"
"07.03.2022 23:30 - 07.03.2022 23:45","10593","10239"
"07.03.2022 23:45 - 08.03.2022 00:00","10383","9889"
"08.03.2022 00:00 - 08.03.2022 00:15","9999","10033"
"08.03.2022 00:15 - 08.03.2022 00:30","9892","9743"
"08.03.2022 00:30 - 08.03.2022 00:45","9768","9593"
"08.03.2022 00:45 - 08.03.2022 01:00","9617","9475"
"08.03.2022 01:00 - 08.03.2022 01:15","9547","9453"
"08.03.2022 01:15 - 08.03.2022 01:30","9408","9269"
"08.03.2022 01:30 - 08.03.2022 01:45","9341","9141"
"08.03.2022 01:45 - 08.03.2022 02:00","9255","9090"
"08.03.2022 02:00 - 08.03.2022 02:15","9196","9193"
"08.03.2022 02:15 - 08.03.2022 02:30","9148","8986"
"08.03.2022 02:30 - 08.03.2022 02:45","9118","8891"
"08.03.2022 02:45 - 08.03.2022 03:00","9085","8804"
"08.03.2022 03:00 - 08.03.2022 03:15","9060","8865"
"08.03.2022 03:15 - 08.03.2022 03:30","9072","8838"
"08.03.2022 03:30 - 08.03.2022 03:45","9059","8746"
"08.03.2022 03:45 - 08.03.2022 04:00","9043","8773"
"08.03.2022 04:00 - 08.03.2022 04:15","9125","8972"
"08.03.2022 04:15 - 08.03.2022 04:30","9131","9020"
"08.03.2022 04:30 - 08.03.2022 04:45","9180","8982"
"08.03.2022 04:45 - 08.03.2022 05:00","9253","9101"
"08.03.2022 05:00 - 08.03.2022 05:15","9378","9318"
"08.03.2022 05:15 - 08.03.2022 05:30","9542","9453"
"08.03.2022 05:30 - 08.03.2022 05:45","9671","9760"
"08.03.2022 05:45 - 08.03.2022 06:00","9872","9828"
"08.03.2022 06:00 - 08.03.2022 06:15","10251","10122"
"08.03.2022 06:15 - 08.03.2022 06:30","10552","10356"
"08.03.2022 06:30 - 08.03.2022 06:45","10779","10603"
"08.03.2022 06:45 - 08.03.2022 07:00","11046","10793"
"08.03.2022 07:00 - 08.03.2022 07:15","11186","10869"
"08.03.2022 07:15 - 08.03.2022 07:30","11359","10908"
"08.03.2022 07:30 - 08.03.2022 07:45","11457","11119"
"08.03.2022 07:45 - 08.03.2022 08:00","11513","11124"
"08.03.2022 08:00 - 08.03.2022 08:15","11577","10989"
"08.03.2022 08:15 - 08.03.2022 08:30","11608","10895"
"08.03.2022 08:30 - 08.03.2022 08:45","11690","11033"
"08.03.2022 08:45 - 08.03.2022 09:00","11714","11101"
"08.03.2022 09:00 - 08.03.2022 09:15","11755","11142"
"08.03.2022 09:15 - 08.03.2022 09:30","11772","11154"
"08.03.2022 09:30 - 08.03.2022 09:45","11794","11091"
"08.03.2022 09:45 - 08.03.2022 10:00","11709","10926"
"08.03.2022 10:00 - 08.03.2022 10:15","11760","10983"
"08.03.2022 10:15 - 08.03.2022 10:30","11710","10837"
"08.03.2022 10:30 - 08.03.2022 10:45","11724","10799"
"08.03.2022 10:45 - 08.03.2022 11:00","11729","10809"
"08.03.2022 11:00 - 08.03.2022 11:15","11807","10637"
"08.03.2022 11:15 - 08.03.2022 11:30","11792","10528"
"08.03.2022 11:30 - 08.03.2022 11:45","11820","10449"
"08.03.2022 11:45 - 08.03.2022 12:00","11761","10429"
"08.03.2022 12:00 - 08.03.2022 12:15","11657","10377"
"08.03.2022 12:15 - 08.03.2022 12:30","11520","10178"
"08.03.2022 12:30 - 08.03.2022 12:45","11568","10113"
"08.03.2022 12:45 - 08.03.2022 13:00","11501","10101"
"08.03.2022 13:00 - 08.03.2022 13:15","11501","10069"
"08.03.2022 13:15 - 08.03.2022 13:30","11512","10052"
"08.03.2022 13:30 - 08.03.2022 13:45","11473","10032"
"08.03.2022 13:45 - 08.03.2022 14:00","11393","9813"
"08.03.2022 14:00 - 08.03.2022 14:15","11316","9773"
"08.03.2022 14:15 - 08.03.2022 14:30","11314","9858"
"08.03.2022 14:30 - 08.03.2022 14:45","11319","9845"
"08.03.2022 14:45 - 08.03.2022 15:00","11330","9779"
"08.03.2022 15:00 - 08.03.2022 15:15","11300","9780"
"08.03.2022 15:15 - 08.03.2022 15:30","11232","9855"
"08.03.2022 15:30 - 08.03.2022 15:45","11251","9813"
"08.03.2022 15:45 - 08.03.2022 16:00","11231","9810"
"08.03.2022 16:00 - 08.03.2022 16:15","11244","9843"
"08.03.2022 16:15 - 08.03.2022 16:30","11265","9921"
"08.03.2022 16:30 - 08.03.2022 16:45","11313","9895"
"08.03.2022 16:45 - 08.03.2022 17:00","11354","9983"
"08.03.2022 17:00 - 08.03.2022 17:15","11280","10072"
"08.03.2022 17:15 - 08.03.2022 17:30","11394","10240"
"08.03.2022 17:30 - 08.03.2022 17:45","11516","10383"
"08.03.2022 17:45 - 08.03.2022 18:00","11701","10614"
"08.03.2022 18:00 - 08.03.2022 18:15","11571","10702"
"08.03.2022 18:15 - 08.03.2022 18:30","11750","10806"
"08.03.2022 18:30 - 08.03.2022 18:45","11916","11107"
"08.03.2022 18:45 - 08.03.2022 19:00","11920","11350"
"08.03.2022 19:00 - 08.03.2022 19:15","11932","11359"
"08.03.2022 19:15 - 08.03.2022 19:30","11802","11248"
"08.03.2022 19:30 - 08.03.2022 19:45","11692","11130"
"08.03.2022 19:45 - 08.03.2022 20:00","11548","11127"
"08.03.2022 20:00 - 08.03.2022 20:15","11441","11113"
"08.03.2022 20:15 - 08.03.2022 20:30","11261","10860"
"08.03.2022 20:30 - 08.03.2022 20:45","11140","10851"
"08.03.2022 20:45 - 08.03.2022 21:00","10952","10641"
"08.03.2022 21:00 - 08.03.2022 21:15","10822","10466"
"08.03.2022 21:15 - 08.03.2022 21:30","10697","10221"
"08.03.2022 21:30 - 08.03.2022 21:45","10550","10165"
"08.03.2022 21:45 - 08.03.2022 22:00","10416","9908"
"08.03.2022 22:00 - 08.03.2022 22:15","10463","10155"
"08.03.2022 22:15 - 08.03.2022 22:30","10568","10099"
"08.03.2022 22:30 - 08.03.2022 22:45","10599","10065"
"08.03.2022 22:45 - 08.03.2022 23:00","10547","9991"
"08.03.2022 23:00 - 08.03.2022 23:15","10585","9990"
"08.03.2022 23:15 - 08.03.2022 23:30","10464","9852"
"08.03.2022 23:30 - 08.03.2022 23:45","10356","9726"
"08.03.2022 23:45 - 09.03.2022 00:00","10166","9679"
"09.03.2022 00:00 - 09.03.2022 00:15","9797","9686"
"09.03.2022 00:15 - 09.03.2022 00:30","9674","9652"
"09.03.2022 00:30 - 09.03.2022 00:45","9575","9587"
"09.03.2022 00:45 - 09.03.2022 01:00","9395","9500"
"09.03.2022 01:00 - 09.03.2022 01:15","9264","9386"
"09.03.2022 01:15 - 09.03.2022 01:30","9133","9218"
"09.03.2022 01:30 - 09.03.2022 01:45","9064","9158"
"09.03.2022 01:45 - 09.03.2022 02:00","8978","8949"
"09.03.2022 02:00 - 09.03.2022 02:15","8886","8964"
"09.03.2022 02:15 - 09.03.2022 02:30","8845","8888"
"09.03.2022 02:30 - 09.03.2022 02:45","8815","8820"
"09.03.2022 02:45 - 09.03.2022 03:00","8782","8750"
"09.03.2022 03:00 - 09.03.2022 03:15","8720","8748"
"09.03.2022 03:15 - 09.03.2022 03:30","8733","8683"
"09.03.2022 03:30 - 09.03.2022 03:45","8720","8757"
"09.03.2022 03:45 - 09.03.2022 04:00","8707","8766"
"09.03.2022 04:00 - 09.03.2022 04:15","8830","8747"
"09.03.2022 04:15 - 09.03.2022 04:30","8835","8812"
"09.03.2022 04:30 - 09.03.2022 04:45","8882","8887"
"09.03.2022 04:45 - 09.03.2022 05:00","8954","9033"
"09.03.2022 05:00 - 09.03.2022 05:15","9133","9097"
"09.03.2022 05:15 - 09.03.2022 05:30","9295","9193"
"09.03.2022 05:30 - 09.03.2022 05:45","9418","9253"
"09.03.2022 05:45 - 09.03.2022 06:00","9611","9444"
"09.03.2022 06:00 - 09.03.2022 06:15","9977","9996"
"09.03.2022 06:15 - 09.03.2022 06:30","10270","10248"
