"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Lithuania (LT)","Generation - Solar  [MW] Intraday / Lithuania (LT)","Generation - Solar  [MW] Current / Lithuania (LT)","Generation - Wind Offshore  [MW] Day Ahead/ Lithuania (LT)","Generation - Wind Offshore  [MW] Intraday / Lithuania (LT)","Generation - Wind Offshore  [MW] Current / Lithuania (LT)","Generation - Wind Onshore  [MW] Day Ahead/ Lithuania (LT)","Generation - Wind Onshore  [MW] Intraday / Lithuania (LT)","Generation - Wind Onshore  [MW] Current / Lithuania (LT)"
"08.01.2022 23:00 - 09.01.2022 00:00","0","0","0","n/e","n/e","n/e","201","222","166"
"09.01.2022 00:00 - 09.01.2022 01:00","0","0","0","n/e","n/e","n/e","175","186","168"
"09.01.2022 01:00 - 09.01.2022 02:00","0","0","0","n/e","n/e","n/e","163","176","150"
"09.01.2022 02:00 - 09.01.2022 03:00","0","0","0","n/e","n/e","n/e","159","162","139"
"09.01.2022 03:00 - 09.01.2022 04:00","0","0","0","n/e","n/e","n/e","154","143","131"
"09.01.2022 04:00 - 09.01.2022 05:00","0","0","0","n/e","n/e","n/e","135","132","104"
"09.01.2022 05:00 - 09.01.2022 06:00","0","0","0","n/e","n/e","n/e","119","113","86"
"09.01.2022 06:00 - 09.01.2022 07:00","0","0","0","n/e","n/e","n/e","110","94","82"
"09.01.2022 07:00 - 09.01.2022 08:00","0","0","0","n/e","n/e","n/e","100","96","76"
"09.01.2022 08:00 - 09.01.2022 09:00","4","6","9","n/e","n/e","n/e","88","94","81"
"09.01.2022 09:00 - 09.01.2022 10:00","12","18","25","n/e","n/e","n/e","73","83","93"
"09.01.2022 10:00 - 09.01.2022 11:00","17","27","37","n/e","n/e","n/e","56","58","70"
"09.01.2022 11:00 - 09.01.2022 12:00","20","33","43","n/e","n/e","n/e","38","36","47"
"09.01.2022 12:00 - 09.01.2022 13:00","18","41","51","n/e","n/e","n/e","30","21","32"
"09.01.2022 13:00 - 09.01.2022 14:00","12","30","37","n/e","n/e","n/e","26","16","26"
"09.01.2022 14:00 - 09.01.2022 15:00","4","9","12","n/e","n/e","n/e","26","20","28"
"09.01.2022 15:00 - 09.01.2022 16:00","0","0","0","n/e","n/e","n/e","30","30","36"
"09.01.2022 16:00 - 09.01.2022 17:00","0","0","0","n/e","n/e","n/e","35","41","47"
"09.01.2022 17:00 - 09.01.2022 18:00","0","0","0","n/e","n/e","n/e","42","48","53"
"09.01.2022 18:00 - 09.01.2022 19:00","0","0","0","n/e","n/e","n/e","51","49","52"
"09.01.2022 19:00 - 09.01.2022 20:00","0","0","0","n/e","n/e","n/e","54","43","45"
"09.01.2022 20:00 - 09.01.2022 21:00","0","0","0","n/e","n/e","n/e","52","34","37"
"09.01.2022 21:00 - 09.01.2022 22:00","0","0","0","n/e","n/e","n/e","52","30","32"
"09.01.2022 22:00 - 09.01.2022 23:00","0","0","0","n/e","n/e","n/e","50","29","30"
"09.01.2022 23:00 - 10.01.2022 00:00","0","0","0","n/e","n/e","n/e","44","45","25"
"10.01.2022 00:00 - 10.01.2022 01:00","0","0","0","n/e","n/e","n/e","24","39","32"
"10.01.2022 01:00 - 10.01.2022 02:00","0","0","0","n/e","n/e","n/e","19","27","28"
"10.01.2022 02:00 - 10.01.2022 03:00","0","0","0","n/e","n/e","n/e","13","21","23"
"10.01.2022 03:00 - 10.01.2022 04:00","0","0","0","n/e","n/e","n/e","11","17","13"
