"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Luxembourg (LU)","Actual Total Load [MW] - Luxembourg (LU)"
"02.01.2022 23:00 - 02.01.2022 23:15","271","473"
"02.01.2022 23:15 - 02.01.2022 23:30","262","463"
"02.01.2022 23:30 - 02.01.2022 23:45","257","457"
"02.01.2022 23:45 - 03.01.2022 00:00","249","452"
"03.01.2022 00:00 - 03.01.2022 00:15","242","443"
"03.01.2022 00:15 - 03.01.2022 00:30","236","439"
"03.01.2022 00:30 - 03.01.2022 00:45","239","430"
"03.01.2022 00:45 - 03.01.2022 01:00","234","425"
"03.01.2022 01:00 - 03.01.2022 01:15","236","425"
"03.01.2022 01:15 - 03.01.2022 01:30","234","421"
"03.01.2022 01:30 - 03.01.2022 01:45","234","417"
"03.01.2022 01:45 - 03.01.2022 02:00","234","416"
"03.01.2022 02:00 - 03.01.2022 02:15","234","416"
"03.01.2022 02:15 - 03.01.2022 02:30","236","411"
"03.01.2022 02:30 - 03.01.2022 02:45","236","409"
"03.01.2022 02:45 - 03.01.2022 03:00","238","407"
"03.01.2022 03:00 - 03.01.2022 03:15","240","410"
"03.01.2022 03:15 - 03.01.2022 03:30","244","408"
"03.01.2022 03:30 - 03.01.2022 03:45","252","412"
"03.01.2022 03:45 - 03.01.2022 04:00","261","414"
"03.01.2022 04:00 - 03.01.2022 04:15","281","414"
"03.01.2022 04:15 - 03.01.2022 04:30","291","415"
"03.01.2022 04:30 - 03.01.2022 04:45","307","420"
"03.01.2022 04:45 - 03.01.2022 05:00","316","428"
"03.01.2022 05:00 - 03.01.2022 05:15","321","440"
"03.01.2022 05:15 - 03.01.2022 05:30","324","452"
"03.01.2022 05:30 - 03.01.2022 05:45","338","461"
"03.01.2022 05:45 - 03.01.2022 06:00","357","478"
"03.01.2022 06:00 - 03.01.2022 06:15","383","498"
"03.01.2022 06:15 - 03.01.2022 06:30","405","520"
"03.01.2022 06:30 - 03.01.2022 06:45","413","537"
"03.01.2022 06:45 - 03.01.2022 07:00","432","561"
"03.01.2022 07:00 - 03.01.2022 07:15","447","577"
"03.01.2022 07:15 - 03.01.2022 07:30","456","594"
"03.01.2022 07:30 - 03.01.2022 07:45","461","605"
"03.01.2022 07:45 - 03.01.2022 08:00","466","617"
"03.01.2022 08:00 - 03.01.2022 08:15","467","636"
"03.01.2022 08:15 - 03.01.2022 08:30","468","644"
"03.01.2022 08:30 - 03.01.2022 08:45","464","644"
"03.01.2022 08:45 - 03.01.2022 09:00","469","647"
"03.01.2022 09:00 - 03.01.2022 09:15","473","654"
"03.01.2022 09:15 - 03.01.2022 09:30","476","654"
"03.01.2022 09:30 - 03.01.2022 09:45","477","655"
"03.01.2022 09:45 - 03.01.2022 10:00","481","660"
"03.01.2022 10:00 - 03.01.2022 10:15","479","665"
"03.01.2022 10:15 - 03.01.2022 10:30","480","668"
"03.01.2022 10:30 - 03.01.2022 10:45","499","670"
"03.01.2022 10:45 - 03.01.2022 11:00","509","672"
"03.01.2022 11:00 - 03.01.2022 11:15","507","672"
"03.01.2022 11:15 - 03.01.2022 11:30","499","679"
"03.01.2022 11:30 - 03.01.2022 11:45","488","689"
"03.01.2022 11:45 - 03.01.2022 12:00","483","691"
"03.01.2022 12:00 - 03.01.2022 12:15","485","693"
"03.01.2022 12:15 - 03.01.2022 12:30","486","684"
"03.01.2022 12:30 - 03.01.2022 12:45","484","676"
"03.01.2022 12:45 - 03.01.2022 13:00","484","672"
"03.01.2022 13:00 - 03.01.2022 13:15","484","675"
"03.01.2022 13:15 - 03.01.2022 13:30","483","669"
"03.01.2022 13:30 - 03.01.2022 13:45","480","664"
"03.01.2022 13:45 - 03.01.2022 14:00","483","661"
"03.01.2022 14:00 - 03.01.2022 14:15","484","661"
"03.01.2022 14:15 - 03.01.2022 14:30","484","661"
"03.01.2022 14:30 - 03.01.2022 14:45","479","655"
"03.01.2022 14:45 - 03.01.2022 15:00","477","653"
"03.01.2022 15:00 - 03.01.2022 15:15","479","653"
"03.01.2022 15:15 - 03.01.2022 15:30","482","649"
"03.01.2022 15:30 - 03.01.2022 15:45","486","647"
"03.01.2022 15:45 - 03.01.2022 16:00","487","645"
"03.01.2022 16:00 - 03.01.2022 16:15","485","645"
"03.01.2022 16:15 - 03.01.2022 16:30","490","649"
"03.01.2022 16:30 - 03.01.2022 16:45","492","652"
"03.01.2022 16:45 - 03.01.2022 17:00","496","664"
"03.01.2022 17:00 - 03.01.2022 17:15","498","675"
"03.01.2022 17:15 - 03.01.2022 17:30","497","676"
"03.01.2022 17:30 - 03.01.2022 17:45","495","685"
"03.01.2022 17:45 - 03.01.2022 18:00","486","688"
"03.01.2022 18:00 - 03.01.2022 18:15","484","688"
"03.01.2022 18:15 - 03.01.2022 18:30","478","695"
"03.01.2022 18:30 - 03.01.2022 18:45","467","690"
"03.01.2022 18:45 - 03.01.2022 19:00","464","686"
