"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Luxembourg (LU)","Actual Total Load [MW] - Luxembourg (LU)"
"19.12.2022 16:15 - 19.12.2022 16:30","720","669"
"19.12.2022 16:30 - 19.12.2022 16:45","725","673"
"19.12.2022 16:45 - 19.12.2022 17:00","735","686"
"19.12.2022 17:00 - 19.12.2022 17:15","743","694"
"19.12.2022 17:15 - 19.12.2022 17:30","749","699"
"19.12.2022 17:30 - 19.12.2022 17:45","756","704"
"19.12.2022 17:45 - 19.12.2022 18:00","757","710"
"19.12.2022 18:00 - 19.12.2022 18:15","761","708"
"19.12.2022 18:15 - 19.12.2022 18:30","767","709"
"19.12.2022 18:30 - 19.12.2022 18:45","769","709"
"19.12.2022 18:45 - 19.12.2022 19:00","772","708"
"19.12.2022 19:00 - 19.12.2022 19:15","761","700"
"19.12.2022 19:15 - 19.12.2022 19:30","755","689"
"19.12.2022 19:30 - 19.12.2022 19:45","746","680"
"19.12.2022 19:45 - 19.12.2022 20:00","738","670"
"19.12.2022 20:00 - 19.12.2022 20:15","720","655"
"19.12.2022 20:15 - 19.12.2022 20:30","708","644"
"19.12.2022 20:30 - 19.12.2022 20:45","696","627"
"19.12.2022 20:45 - 19.12.2022 21:00","685","619"
"19.12.2022 21:00 - 19.12.2022 21:15","671","603"
"19.12.2022 21:15 - 19.12.2022 21:30","664","592"
"19.12.2022 21:30 - 19.12.2022 21:45","653","578"
"19.12.2022 21:45 - 19.12.2022 22:00","642","568"
"19.12.2022 22:00 - 19.12.2022 22:15","647","574"
"19.12.2022 22:15 - 19.12.2022 22:30","645","572"
"19.12.2022 22:30 - 19.12.2022 22:45","635","560"
"19.12.2022 22:45 - 19.12.2022 23:00","628","553"
"19.12.2022 23:00 - 19.12.2022 23:15","614","544"
"19.12.2022 23:15 - 19.12.2022 23:30","607","533"
"19.12.2022 23:30 - 19.12.2022 23:45","596","521"
"19.12.2022 23:45 - 20.12.2022 00:00","590","514"
"20.12.2022 00:00 - 20.12.2022 00:15","520","508"
"20.12.2022 00:15 - 20.12.2022 00:30","512","500"
"20.12.2022 00:30 - 20.12.2022 00:45","503","488"
"20.12.2022 00:45 - 20.12.2022 01:00","495","487"
"20.12.2022 01:00 - 20.12.2022 01:15","489","482"
"20.12.2022 01:15 - 20.12.2022 01:30","483","476"
"20.12.2022 01:30 - 20.12.2022 01:45","478","472"
"20.12.2022 01:45 - 20.12.2022 02:00","475","467"
"20.12.2022 02:00 - 20.12.2022 02:15","472","464"
"20.12.2022 02:15 - 20.12.2022 02:30","472","458"
"20.12.2022 02:30 - 20.12.2022 02:45","471","459"
"20.12.2022 02:45 - 20.12.2022 03:00","469","455"
"20.12.2022 03:00 - 20.12.2022 03:15","469","457"
"20.12.2022 03:15 - 20.12.2022 03:30","467","454"
"20.12.2022 03:30 - 20.12.2022 03:45","468","456"
"20.12.2022 03:45 - 20.12.2022 04:00","468","458"
"20.12.2022 04:00 - 20.12.2022 04:15","471","466"
"20.12.2022 04:15 - 20.12.2022 04:30","473","465"
"20.12.2022 04:30 - 20.12.2022 04:45","476","467"
"20.12.2022 04:45 - 20.12.2022 05:00","484","471"
"20.12.2022 05:00 - 20.12.2022 05:15","496","486"
"20.12.2022 05:15 - 20.12.2022 05:30","503","493"
"20.12.2022 05:30 - 20.12.2022 05:45","511","501"
"20.12.2022 05:45 - 20.12.2022 06:00","527","515"
"20.12.2022 06:00 - 20.12.2022 06:15","555","537"
"20.12.2022 06:15 - 20.12.2022 06:30","570","555"
"20.12.2022 06:30 - 20.12.2022 06:45","590","574"
"20.12.2022 06:45 - 20.12.2022 07:00","612","596"
"20.12.2022 07:00 - 20.12.2022 07:15","638","616"
"20.12.2022 07:15 - 20.12.2022 07:30","654","635"
"20.12.2022 07:30 - 20.12.2022 07:45","667","650"
"20.12.2022 07:45 - 20.12.2022 08:00","678","666"
"20.12.2022 08:00 - 20.12.2022 08:15","693","678"
"20.12.2022 08:15 - 20.12.2022 08:30","692","687"
"20.12.2022 08:30 - 20.12.2022 08:45","699","685"
"20.12.2022 08:45 - 20.12.2022 09:00","705","688"
"20.12.2022 09:00 - 20.12.2022 09:15","711","694"
"20.12.2022 09:15 - 20.12.2022 09:30","714","696"
"20.12.2022 09:30 - 20.12.2022 09:45","714","697"
"20.12.2022 09:45 - 20.12.2022 10:00","718","702"
"20.12.2022 10:00 - 20.12.2022 10:15","720","704"
"20.12.2022 10:15 - 20.12.2022 10:30","720","706"
"20.12.2022 10:30 - 20.12.2022 10:45","724","709"
"20.12.2022 10:45 - 20.12.2022 11:00","726","708"
"20.12.2022 11:00 - 20.12.2022 11:15","725","710"
"20.12.2022 11:15 - 20.12.2022 11:30","729","714"
"20.12.2022 11:30 - 20.12.2022 11:45","732","716"
"20.12.2022 11:45 - 20.12.2022 12:00","736","717"
"20.12.2022 12:00 - 20.12.2022 12:15","732","715"
"20.12.2022 12:15 - 20.12.2022 12:30","729","709"
"20.12.2022 12:30 - 20.12.2022 12:45","724","699"
"20.12.2022 12:45 - 20.12.2022 13:00","724","704"
"20.12.2022 13:00 - 20.12.2022 13:15","719","696"
"20.12.2022 13:15 - 20.12.2022 13:30","719","686"
"20.12.2022 13:30 - 20.12.2022 13:45","712","683"
"20.12.2022 13:45 - 20.12.2022 14:00","708","677"
"20.12.2022 14:00 - 20.12.2022 14:15","704","678"
"20.12.2022 14:15 - 20.12.2022 14:30","703","679"
"20.12.2022 14:30 - 20.12.2022 14:45","699","674"
"20.12.2022 14:45 - 20.12.2022 15:00","693","671"
"20.12.2022 15:00 - 20.12.2022 15:15","690","664"
"20.12.2022 15:15 - 20.12.2022 15:30","688","666"
"20.12.2022 15:30 - 20.12.2022 15:45","689","660"
"20.12.2022 15:45 - 20.12.2022 16:00","686","663"
"20.12.2022 16:00 - 20.12.2022 16:15","683","663"
"20.12.2022 16:15 - 20.12.2022 16:30","685","665"
"20.12.2022 16:30 - 20.12.2022 16:45","688","668"
"20.12.2022 16:45 - 20.12.2022 17:00","702","680"
"20.12.2022 17:00 - 20.12.2022 17:15","706","684"
"20.12.2022 17:15 - 20.12.2022 17:30","708","682"
"20.12.2022 17:30 - 20.12.2022 17:45","712","684"
"20.12.2022 17:45 - 20.12.2022 18:00","718","689"
"20.12.2022 18:00 - 20.12.2022 18:15","717","691"
"20.12.2022 18:15 - 20.12.2022 18:30","719","691"
"20.12.2022 18:30 - 20.12.2022 18:45","717","691"
"20.12.2022 18:45 - 20.12.2022 19:00","715","686"
"20.12.2022 19:00 - 20.12.2022 19:15","700","680"
"20.12.2022 19:15 - 20.12.2022 19:30","696","672"
"20.12.2022 19:30 - 20.12.2022 19:45","689","663"
"20.12.2022 19:45 - 20.12.2022 20:00","680","653"
"20.12.2022 20:00 - 20.12.2022 20:15","663","637"
"20.12.2022 20:15 - 20.12.2022 20:30","651","626"
"20.12.2022 20:30 - 20.12.2022 20:45","638","613"
"20.12.2022 20:45 - 20.12.2022 21:00","629","605"
"20.12.2022 21:00 - 20.12.2022 21:15","614","589"
"20.12.2022 21:15 - 20.12.2022 21:30","604","582"
"20.12.2022 21:30 - 20.12.2022 21:45","590","565"
"20.12.2022 21:45 - 20.12.2022 22:00","580","555"
"20.12.2022 22:00 - 20.12.2022 22:15","584","560"
"20.12.2022 22:15 - 20.12.2022 22:30","582","560"
"20.12.2022 22:30 - 20.12.2022 22:45","573","551"
"20.12.2022 22:45 - 20.12.2022 23:00","565","541"
"20.12.2022 23:00 - 20.12.2022 23:15","552","532"
"20.12.2022 23:15 - 20.12.2022 23:30","544","524"
"20.12.2022 23:30 - 20.12.2022 23:45","536","516"
"20.12.2022 23:45 - 21.12.2022 00:00","528","509"
"21.12.2022 00:00 - 21.12.2022 00:15","517","500"
"21.12.2022 00:15 - 21.12.2022 00:30","507","489"
"21.12.2022 00:30 - 21.12.2022 00:45","498","475"
"21.12.2022 00:45 - 21.12.2022 01:00","491","467"
"21.12.2022 01:00 - 21.12.2022 01:15","485","466"
"21.12.2022 01:15 - 21.12.2022 01:30","480","460"
"21.12.2022 01:30 - 21.12.2022 01:45","476","458"
"21.12.2022 01:45 - 21.12.2022 02:00","473","458"
"21.12.2022 02:00 - 21.12.2022 02:15","470","452"
"21.12.2022 02:15 - 21.12.2022 02:30","468","448"
"21.12.2022 02:30 - 21.12.2022 02:45","467","446"
"21.12.2022 02:45 - 21.12.2022 03:00","467","448"
"21.12.2022 03:00 - 21.12.2022 03:15","467","445"
"21.12.2022 03:15 - 21.12.2022 03:30","465","444"
"21.12.2022 03:30 - 21.12.2022 03:45","465","444"
"21.12.2022 03:45 - 21.12.2022 04:00","466","443"
"21.12.2022 04:00 - 21.12.2022 04:15","470","442"
"21.12.2022 04:15 - 21.12.2022 04:30","472","444"
"21.12.2022 04:30 - 21.12.2022 04:45","474","447"
"21.12.2022 04:45 - 21.12.2022 05:00","483","459"
"21.12.2022 05:00 - 21.12.2022 05:15","493","467"
"21.12.2022 05:15 - 21.12.2022 05:30","500","471"
"21.12.2022 05:30 - 21.12.2022 05:45","510","478"
"21.12.2022 05:45 - 21.12.2022 06:00","524","494"
"21.12.2022 06:00 - 21.12.2022 06:15","549","514"
"21.12.2022 06:15 - 21.12.2022 06:30","564","532"
"21.12.2022 06:30 - 21.12.2022 06:45","582","552"
"21.12.2022 06:45 - 21.12.2022 07:00","605","571"
"21.12.2022 07:00 - 21.12.2022 07:15","632","592"
"21.12.2022 07:15 - 21.12.2022 07:30","642","612"
"21.12.2022 07:30 - 21.12.2022 07:45","659","625"
"21.12.2022 07:45 - 21.12.2022 08:00","671","634"
"21.12.2022 08:00 - 21.12.2022 08:15","685","647"
"21.12.2022 08:15 - 21.12.2022 08:30","685","659"
"21.12.2022 08:30 - 21.12.2022 08:45","691","658"
"21.12.2022 08:45 - 21.12.2022 09:00","698","664"
"21.12.2022 09:00 - 21.12.2022 09:15","705","668"
"21.12.2022 09:15 - 21.12.2022 09:30","708","669"
"21.12.2022 09:30 - 21.12.2022 09:45","708","669"
"21.12.2022 09:45 - 21.12.2022 10:00","710","675"
"21.12.2022 10:00 - 21.12.2022 10:15","712","677"
"21.12.2022 10:15 - 21.12.2022 10:30","712","679"
"21.12.2022 10:30 - 21.12.2022 10:45","715","680"
"21.12.2022 10:45 - 21.12.2022 11:00","718","678"
"21.12.2022 11:00 - 21.12.2022 11:15","719","681"
"21.12.2022 11:15 - 21.12.2022 11:30","723","684"
"21.12.2022 11:30 - 21.12.2022 11:45","726","688"
"21.12.2022 11:45 - 21.12.2022 12:00","731","689"
"21.12.2022 12:00 - 21.12.2022 12:15","726","681"
"21.12.2022 12:15 - 21.12.2022 12:30","721","675"
"21.12.2022 12:30 - 21.12.2022 12:45","717","669"
"21.12.2022 12:45 - 21.12.2022 13:00","716","670"
"21.12.2022 13:00 - 21.12.2022 13:15","711","667"
"21.12.2022 13:15 - 21.12.2022 13:30","708","664"
"21.12.2022 13:30 - 21.12.2022 13:45","703","660"
"21.12.2022 13:45 - 21.12.2022 14:00","698","656"
"21.12.2022 14:00 - 21.12.2022 14:15","694","656"
"21.12.2022 14:15 - 21.12.2022 14:30","693","654"
"21.12.2022 14:30 - 21.12.2022 14:45","687","646"
"21.12.2022 14:45 - 21.12.2022 15:00","685","644"
"21.12.2022 15:00 - 21.12.2022 15:15","681","641"
"21.12.2022 15:15 - 21.12.2022 15:30","680","639"
"21.12.2022 15:30 - 21.12.2022 15:45","676","637"
"21.12.2022 15:45 - 21.12.2022 16:00","677","634"
"21.12.2022 16:00 - 21.12.2022 16:15","674","630"
"21.12.2022 16:15 - 21.12.2022 16:30","677","633"
"21.12.2022 16:30 - 21.12.2022 16:45","685","642"
"21.12.2022 16:45 - 21.12.2022 17:00","700","654"
"21.12.2022 17:00 - 21.12.2022 17:15","705","666"
"21.12.2022 17:15 - 21.12.2022 17:30","707","670"
"21.12.2022 17:30 - 21.12.2022 17:45","710","672"
"21.12.2022 17:45 - 21.12.2022 18:00","718","676"
"21.12.2022 18:00 - 21.12.2022 18:15","715","677"
"21.12.2022 18:15 - 21.12.2022 18:30","715","677"
"21.12.2022 18:30 - 21.12.2022 18:45","714","677"
"21.12.2022 18:45 - 21.12.2022 19:00","712","676"
"21.12.2022 19:00 - 21.12.2022 19:15","699","670"
"21.12.2022 19:15 - 21.12.2022 19:30","695","664"
"21.12.2022 19:30 - 21.12.2022 19:45","685","653"
"21.12.2022 19:45 - 21.12.2022 20:00","677","645"
"21.12.2022 20:00 - 21.12.2022 20:15","660","632"
"21.12.2022 20:15 - 21.12.2022 20:30","648","618"
"21.12.2022 20:30 - 21.12.2022 20:45","635","607"
"21.12.2022 20:45 - 21.12.2022 21:00","628","596"
"21.12.2022 21:00 - 21.12.2022 21:15","613","586"
"21.12.2022 21:15 - 21.12.2022 21:30","603","578"
"21.12.2022 21:30 - 21.12.2022 21:45","589","564"
"21.12.2022 21:45 - 21.12.2022 22:00","579","552"
"21.12.2022 22:00 - 21.12.2022 22:15","580","552"
"21.12.2022 22:15 - 21.12.2022 22:30","578","551"
"21.12.2022 22:30 - 21.12.2022 22:45","568","546"
"21.12.2022 22:45 - 21.12.2022 23:00","560","531"
"21.12.2022 23:00 - 21.12.2022 23:15","546","521"
"21.12.2022 23:15 - 21.12.2022 23:30","538","515"
"21.12.2022 23:30 - 21.12.2022 23:45","531","505"
"21.12.2022 23:45 - 22.12.2022 00:00","523","500"
"22.12.2022 00:00 - 22.12.2022 00:15","497","493"
"22.12.2022 00:15 - 22.12.2022 00:30","491","483"
"22.12.2022 00:30 - 22.12.2022 00:45","487","475"
"22.12.2022 00:45 - 22.12.2022 01:00","480","467"
"22.12.2022 01:00 - 22.12.2022 01:15","471","461"
"22.12.2022 01:15 - 22.12.2022 01:30","470","457"
"22.12.2022 01:30 - 22.12.2022 01:45","467","450"
"22.12.2022 01:45 - 22.12.2022 02:00","460","446"
"22.12.2022 02:00 - 22.12.2022 02:15","458","444"
"22.12.2022 02:15 - 22.12.2022 02:30","457","440"
"22.12.2022 02:30 - 22.12.2022 02:45","456","438"
"22.12.2022 02:45 - 22.12.2022 03:00","456","435"
"22.12.2022 03:00 - 22.12.2022 03:15","455","435"
"22.12.2022 03:15 - 22.12.2022 03:30","456","433"
"22.12.2022 03:30 - 22.12.2022 03:45","459","439"
"22.12.2022 03:45 - 22.12.2022 04:00","462","441"
"22.12.2022 04:00 - 22.12.2022 04:15","463","441"
"22.12.2022 04:15 - 22.12.2022 04:30","467","442"
"22.12.2022 04:30 - 22.12.2022 04:45","472","446"
"22.12.2022 04:45 - 22.12.2022 05:00","475","451"
"22.12.2022 05:00 - 22.12.2022 05:15","486","465"
"22.12.2022 05:15 - 22.12.2022 05:30","492","472"
"22.12.2022 05:30 - 22.12.2022 05:45","503","479"
"22.12.2022 05:45 - 22.12.2022 06:00","519","497"
"22.12.2022 06:00 - 22.12.2022 06:15","546","511"
"22.12.2022 06:15 - 22.12.2022 06:30","563","527"
"22.12.2022 06:30 - 22.12.2022 06:45","578","542"
"22.12.2022 06:45 - 22.12.2022 07:00","596","564"
"22.12.2022 07:00 - 22.12.2022 07:15","620","586"
"22.12.2022 07:15 - 22.12.2022 07:30","633","600"
"22.12.2022 07:30 - 22.12.2022 07:45","652","618"
"22.12.2022 07:45 - 22.12.2022 08:00","666","631"
"22.12.2022 08:00 - 22.12.2022 08:15","683","640"
"22.12.2022 08:15 - 22.12.2022 08:30","688","645"
"22.12.2022 08:30 - 22.12.2022 08:45","690","642"
"22.12.2022 08:45 - 22.12.2022 09:00","692","652"
"22.12.2022 09:00 - 22.12.2022 09:15","695","661"
"22.12.2022 09:15 - 22.12.2022 09:30","700","663"
"22.12.2022 09:30 - 22.12.2022 09:45","700","664"
"22.12.2022 09:45 - 22.12.2022 10:00","704","670"
"22.12.2022 10:00 - 22.12.2022 10:15","709","671"
"22.12.2022 10:15 - 22.12.2022 10:30","711","670"
"22.12.2022 10:30 - 22.12.2022 10:45","712","672"
"22.12.2022 10:45 - 22.12.2022 11:00","713","674"
"22.12.2022 11:00 - 22.12.2022 11:15","716","675"
"22.12.2022 11:15 - 22.12.2022 11:30","717","677"
"22.12.2022 11:30 - 22.12.2022 11:45","720","683"
"22.12.2022 11:45 - 22.12.2022 12:00","721","685"
"22.12.2022 12:00 - 22.12.2022 12:15","714","680"
"22.12.2022 12:15 - 22.12.2022 12:30","704","673"
"22.12.2022 12:30 - 22.12.2022 12:45","701","668"
"22.12.2022 12:45 - 22.12.2022 13:00","698","665"
"22.12.2022 13:00 - 22.12.2022 13:15","694","658"
"22.12.2022 13:15 - 22.12.2022 13:30","690","652"
"22.12.2022 13:30 - 22.12.2022 13:45","687","649"
"22.12.2022 13:45 - 22.12.2022 14:00","684","647"
"22.12.2022 14:00 - 22.12.2022 14:15","680","643"
"22.12.2022 14:15 - 22.12.2022 14:30","678","644"
"22.12.2022 14:30 - 22.12.2022 14:45","672","639"
"22.12.2022 14:45 - 22.12.2022 15:00","668","636"
"22.12.2022 15:00 - 22.12.2022 15:15","662","632"
"22.12.2022 15:15 - 22.12.2022 15:30","659","634"
"22.12.2022 15:30 - 22.12.2022 15:45","658","629"
"22.12.2022 15:45 - 22.12.2022 16:00","658","626"
"22.12.2022 16:00 - 22.12.2022 16:15","656","626"
"22.12.2022 16:15 - 22.12.2022 16:30","655","626"
"22.12.2022 16:30 - 22.12.2022 16:45","659","633"
"22.12.2022 16:45 - 22.12.2022 17:00","668","646"
"22.12.2022 17:00 - 22.12.2022 17:15","682","647"
"22.12.2022 17:15 - 22.12.2022 17:30","685","649"
"22.12.2022 17:30 - 22.12.2022 17:45","689","654"
"22.12.2022 17:45 - 22.12.2022 18:00","695","653"
"22.12.2022 18:00 - 22.12.2022 18:15","694","655"
"22.12.2022 18:15 - 22.12.2022 18:30","697","655"
"22.12.2022 18:30 - 22.12.2022 18:45","697","652"
"22.12.2022 18:45 - 22.12.2022 19:00","696","652"
"22.12.2022 19:00 - 22.12.2022 19:15","688","644"
"22.12.2022 19:15 - 22.12.2022 19:30","679","636"
"22.12.2022 19:30 - 22.12.2022 19:45","670","628"
"22.12.2022 19:45 - 22.12.2022 20:00","663","621"
"22.12.2022 20:00 - 22.12.2022 20:15","647","607"
"22.12.2022 20:15 - 22.12.2022 20:30","635","596"
"22.12.2022 20:30 - 22.12.2022 20:45","622","582"
"22.12.2022 20:45 - 22.12.2022 21:00","617","573"
"22.12.2022 21:00 - 22.12.2022 21:15","600","563"
"22.12.2022 21:15 - 22.12.2022 21:30","592","554"
"22.12.2022 21:30 - 22.12.2022 21:45","578","540"
"22.12.2022 21:45 - 22.12.2022 22:00","568","530"
"22.12.2022 22:00 - 22.12.2022 22:15","571","535"
"22.12.2022 22:15 - 22.12.2022 22:30","570","530"
"22.12.2022 22:30 - 22.12.2022 22:45","560","523"
"22.12.2022 22:45 - 22.12.2022 23:00","553","514"
"22.12.2022 23:00 - 22.12.2022 23:15","542","504"
"22.12.2022 23:15 - 22.12.2022 23:30","535","495"
"22.12.2022 23:30 - 22.12.2022 23:45","526","485"
"22.12.2022 23:45 - 23.12.2022 00:00","520","477"
"23.12.2022 00:00 - 23.12.2022 00:15","494","469"
"23.12.2022 00:15 - 23.12.2022 00:30","486","461"
"23.12.2022 00:30 - 23.12.2022 00:45","470","450"
"23.12.2022 00:45 - 23.12.2022 01:00","462","440"
"23.12.2022 01:00 - 23.12.2022 01:15","453","436"
"23.12.2022 01:15 - 23.12.2022 01:30","448","429"
"23.12.2022 01:30 - 23.12.2022 01:45","445","426"
"23.12.2022 01:45 - 23.12.2022 02:00","442","422"
"23.12.2022 02:00 - 23.12.2022 02:15","440","419"
"23.12.2022 02:15 - 23.12.2022 02:30","437","415"
"23.12.2022 02:30 - 23.12.2022 02:45","435","414"
"23.12.2022 02:45 - 23.12.2022 03:00","434","413"
"23.12.2022 03:00 - 23.12.2022 03:15","435","413"
"23.12.2022 03:15 - 23.12.2022 03:30","434","411"
"23.12.2022 03:30 - 23.12.2022 03:45","433","412"
"23.12.2022 03:45 - 23.12.2022 04:00","433","411"
"23.12.2022 04:00 - 23.12.2022 04:15","437","412"
"23.12.2022 04:15 - 23.12.2022 04:30","439","415"
"23.12.2022 04:30 - 23.12.2022 04:45","443","419"
"23.12.2022 04:45 - 23.12.2022 05:00","450","426"
"23.12.2022 05:00 - 23.12.2022 05:15","463","437"
"23.12.2022 05:15 - 23.12.2022 05:30","467","438"
"23.12.2022 05:30 - 23.12.2022 05:45","470","447"
"23.12.2022 05:45 - 23.12.2022 06:00","483","458"
"23.12.2022 06:00 - 23.12.2022 06:15","517","474"
"23.12.2022 06:15 - 23.12.2022 06:30","532","488"
"23.12.2022 06:30 - 23.12.2022 06:45","553","499"
"23.12.2022 06:45 - 23.12.2022 07:00","570","515"
"23.12.2022 07:00 - 23.12.2022 07:15","592","536"
"23.12.2022 07:15 - 23.12.2022 07:30","603","552"
"23.12.2022 07:30 - 23.12.2022 07:45","617","565"
"23.12.2022 07:45 - 23.12.2022 08:00","631","577"
"23.12.2022 08:00 - 23.12.2022 08:15","643","596"
"23.12.2022 08:15 - 23.12.2022 08:30","647","604"
"23.12.2022 08:30 - 23.12.2022 08:45","652","600"
"23.12.2022 08:45 - 23.12.2022 09:00","655","602"
"23.12.2022 09:00 - 23.12.2022 09:15","663","606"
"23.12.2022 09:15 - 23.12.2022 09:30","666","609"
"23.12.2022 09:30 - 23.12.2022 09:45","667","611"
"23.12.2022 09:45 - 23.12.2022 10:00","670","615"
"23.12.2022 10:00 - 23.12.2022 10:15","676","616"
"23.12.2022 10:15 - 23.12.2022 10:30","678","620"
"23.12.2022 10:30 - 23.12.2022 10:45","679","621"
"23.12.2022 10:45 - 23.12.2022 11:00","682","626"
"23.12.2022 11:00 - 23.12.2022 11:15","684","629"
"23.12.2022 11:15 - 23.12.2022 11:30","686","633"
"23.12.2022 11:30 - 23.12.2022 11:45","686","636"
"23.12.2022 11:45 - 23.12.2022 12:00","689","639"
"23.12.2022 12:00 - 23.12.2022 12:15","683","641"
"23.12.2022 12:15 - 23.12.2022 12:30","674","633"
"23.12.2022 12:30 - 23.12.2022 12:45","672","623"
"23.12.2022 12:45 - 23.12.2022 13:00","670","621"
"23.12.2022 13:00 - 23.12.2022 13:15","665","617"
"23.12.2022 13:15 - 23.12.2022 13:30","662","613"
"23.12.2022 13:30 - 23.12.2022 13:45","655","610"
"23.12.2022 13:45 - 23.12.2022 14:00","653","603"
"23.12.2022 14:00 - 23.12.2022 14:15","651","598"
"23.12.2022 14:15 - 23.12.2022 14:30","647","597"
"23.12.2022 14:30 - 23.12.2022 14:45","642","587"
"23.12.2022 14:45 - 23.12.2022 15:00","639","587"
"23.12.2022 15:00 - 23.12.2022 15:15","635","584"
"23.12.2022 15:15 - 23.12.2022 15:30","631","577"
"23.12.2022 15:30 - 23.12.2022 15:45","629","573"
"23.12.2022 15:45 - 23.12.2022 16:00","630","575"
"23.12.2022 16:00 - 23.12.2022 16:15","626","575"
"23.12.2022 16:15 - 23.12.2022 16:30","626","576"
"23.12.2022 16:30 - 23.12.2022 16:45","629","584"
"23.12.2022 16:45 - 23.12.2022 17:00","639","595"
"23.12.2022 17:00 - 23.12.2022 17:15","645","604"
"23.12.2022 17:15 - 23.12.2022 17:30","648","607"
"23.12.2022 17:30 - 23.12.2022 17:45","649","605"
"23.12.2022 17:45 - 23.12.2022 18:00","652","608"
"23.12.2022 18:00 - 23.12.2022 18:15","651","609"
"23.12.2022 18:15 - 23.12.2022 18:30","651","606"
"23.12.2022 18:30 - 23.12.2022 18:45","653","606"
"23.12.2022 18:45 - 23.12.2022 19:00","656","604"
"23.12.2022 19:00 - 23.12.2022 19:15","648","595"
"23.12.2022 19:15 - 23.12.2022 19:30","640","587"
"23.12.2022 19:30 - 23.12.2022 19:45","632","580"
"23.12.2022 19:45 - 23.12.2022 20:00","623","573"
"23.12.2022 20:00 - 23.12.2022 20:15","608","563"
"23.12.2022 20:15 - 23.12.2022 20:30","598","553"
"23.12.2022 20:30 - 23.12.2022 20:45","586","541"
"23.12.2022 20:45 - 23.12.2022 21:00","580","531"
"23.12.2022 21:00 - 23.12.2022 21:15","561","518"
"23.12.2022 21:15 - 23.12.2022 21:30","552","512"
"23.12.2022 21:30 - 23.12.2022 21:45","540","500"
"23.12.2022 21:45 - 23.12.2022 22:00","531","492"
"23.12.2022 22:00 - 23.12.2022 22:15","531","499"
"23.12.2022 22:15 - 23.12.2022 22:30","529","500"
"23.12.2022 22:30 - 23.12.2022 22:45","520","490"
"23.12.2022 22:45 - 23.12.2022 23:00","512","484"
"23.12.2022 23:00 - 23.12.2022 23:15","499","473"
"23.12.2022 23:15 - 23.12.2022 23:30","493","466"
"23.12.2022 23:30 - 23.12.2022 23:45","485","457"
"23.12.2022 23:45 - 24.12.2022 00:00","478","453"
"24.12.2022 00:00 - 24.12.2022 00:15","453","443"
"24.12.2022 00:15 - 24.12.2022 00:30","443","435"
"24.12.2022 00:30 - 24.12.2022 00:45","434","423"
"24.12.2022 00:45 - 24.12.2022 01:00","426","416"
"24.12.2022 01:00 - 24.12.2022 01:15","422","413"
"24.12.2022 01:15 - 24.12.2022 01:30","418","407"
"24.12.2022 01:30 - 24.12.2022 01:45","415","403"
"24.12.2022 01:45 - 24.12.2022 02:00","409","398"
"24.12.2022 02:00 - 24.12.2022 02:15","407","394"
"24.12.2022 02:15 - 24.12.2022 02:30","403","390"
"24.12.2022 02:30 - 24.12.2022 02:45","398","387"
"24.12.2022 02:45 - 24.12.2022 03:00","396","387"
"24.12.2022 03:00 - 24.12.2022 03:15","396","387"
"24.12.2022 03:15 - 24.12.2022 03:30","397","385"
"24.12.2022 03:30 - 24.12.2022 03:45","396","382"
"24.12.2022 03:45 - 24.12.2022 04:00","396","381"
"24.12.2022 04:00 - 24.12.2022 04:15","398","382"
"24.12.2022 04:15 - 24.12.2022 04:30","398","380"
"24.12.2022 04:30 - 24.12.2022 04:45","402","382"
"24.12.2022 04:45 - 24.12.2022 05:00","408","387"
"24.12.2022 05:00 - 24.12.2022 05:15","417","392"
"24.12.2022 05:15 - 24.12.2022 05:30","419","395"
"24.12.2022 05:30 - 24.12.2022 05:45","423","397"
"24.12.2022 05:45 - 24.12.2022 06:00","430","403"
"24.12.2022 06:00 - 24.12.2022 06:15","437","403"
"24.12.2022 06:15 - 24.12.2022 06:30","443","407"
"24.12.2022 06:30 - 24.12.2022 06:45","451","410"
"24.12.2022 06:45 - 24.12.2022 07:00","453","416"
"24.12.2022 07:00 - 24.12.2022 07:15","464","428"
"24.12.2022 07:15 - 24.12.2022 07:30","472","433"
"24.12.2022 07:30 - 24.12.2022 07:45","481","438"
"24.12.2022 07:45 - 24.12.2022 08:00","489","447"
"24.12.2022 08:00 - 24.12.2022 08:15","503","457"
"24.12.2022 08:15 - 24.12.2022 08:30","503","465"
"24.12.2022 08:30 - 24.12.2022 08:45","508","462"
"24.12.2022 08:45 - 24.12.2022 09:00","513","468"
"24.12.2022 09:00 - 24.12.2022 09:15","520","474"
"24.12.2022 09:15 - 24.12.2022 09:30","526","483"
"24.12.2022 09:30 - 24.12.2022 09:45","529","486"
"24.12.2022 09:45 - 24.12.2022 10:00","536","493"
"24.12.2022 10:00 - 24.12.2022 10:15","541","499"
"24.12.2022 10:15 - 24.12.2022 10:30","545","510"
"24.12.2022 10:30 - 24.12.2022 10:45","546","508"
"24.12.2022 10:45 - 24.12.2022 11:00","549","507"
"24.12.2022 11:00 - 24.12.2022 11:15","549","509"
"24.12.2022 11:15 - 24.12.2022 11:30","554","515"
"24.12.2022 11:30 - 24.12.2022 11:45","558","521"
"24.12.2022 11:45 - 24.12.2022 12:00","562","527"
"24.12.2022 12:00 - 24.12.2022 12:15","558","525"
