"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Cyprus (CY)","Actual Total Load [MW] - Cyprus (CY)"
"07.01.2022 12:30 - 07.01.2022 13:00","N/A","390"
"07.01.2022 13:00 - 07.01.2022 13:30","N/A","398"
"07.01.2022 13:30 - 07.01.2022 14:00","N/A","414"
"07.01.2022 14:00 - 07.01.2022 14:30","N/A","441"
"07.01.2022 14:30 - 07.01.2022 15:00","N/A","474"
"07.01.2022 15:00 - 07.01.2022 15:30","N/A","505"
"07.01.2022 15:30 - 07.01.2022 16:00","N/A","543"
"07.01.2022 16:00 - 07.01.2022 16:30","N/A","595"
"07.01.2022 16:30 - 07.01.2022 17:00","N/A","625"
"07.01.2022 17:00 - 07.01.2022 17:30","N/A","639"
"07.01.2022 17:30 - 07.01.2022 18:00","N/A","644"
"07.01.2022 18:00 - 07.01.2022 18:30","N/A","643"
"07.01.2022 18:30 - 07.01.2022 19:00","N/A","634"
"07.01.2022 19:00 - 07.01.2022 19:30","N/A","621"
"07.01.2022 19:30 - 07.01.2022 20:00","N/A","606"
"07.01.2022 20:00 - 07.01.2022 20:30","N/A","588"
"07.01.2022 20:30 - 07.01.2022 21:00","N/A","569"
"07.01.2022 21:00 - 07.01.2022 21:30","N/A","544"
"07.01.2022 21:30 - 07.01.2022 22:00","N/A","517"
"07.01.2022 22:00 - 07.01.2022 22:30","N/A","492"
"07.01.2022 22:30 - 07.01.2022 23:00","N/A","468"
"07.01.2022 23:00 - 07.01.2022 23:30","N/A","435"
"07.01.2022 23:30 - 08.01.2022 00:00","N/A","407"
"08.01.2022 00:00 - 08.01.2022 00:30","N/A","385"
"08.01.2022 00:30 - 08.01.2022 01:00","N/A","367"
"08.01.2022 01:00 - 08.01.2022 01:30","N/A","356"
"08.01.2022 01:30 - 08.01.2022 02:00","N/A","346"
"08.01.2022 02:00 - 08.01.2022 02:30","N/A","339"
"08.01.2022 02:30 - 08.01.2022 03:00","N/A","337"
"08.01.2022 03:00 - 08.01.2022 03:30","N/A","339"
"08.01.2022 03:30 - 08.01.2022 04:00","N/A","341"
"08.01.2022 04:00 - 08.01.2022 04:30","N/A","348"
"08.01.2022 04:30 - 08.01.2022 05:00","N/A","359"
"08.01.2022 05:00 - 08.01.2022 05:30","N/A","376"
"08.01.2022 05:30 - 08.01.2022 06:00","N/A","386"
"08.01.2022 06:00 - 08.01.2022 06:30","N/A","400"
"08.01.2022 06:30 - 08.01.2022 07:00","N/A","414"
"08.01.2022 07:00 - 08.01.2022 07:30","N/A","418"
"08.01.2022 07:30 - 08.01.2022 08:00","N/A","407"
"08.01.2022 08:00 - 08.01.2022 08:30","N/A","397"
"08.01.2022 08:30 - 08.01.2022 09:00","N/A","382"
"08.01.2022 09:00 - 08.01.2022 09:30","N/A","375"
"08.01.2022 09:30 - 08.01.2022 10:00","N/A","356"
"08.01.2022 10:00 - 08.01.2022 10:30","N/A","358"
"08.01.2022 10:30 - 08.01.2022 11:00","N/A","366"
"08.01.2022 11:00 - 08.01.2022 11:30","N/A","363"
"08.01.2022 11:30 - 08.01.2022 12:00","N/A","344"
"08.01.2022 12:00 - 08.01.2022 12:30","N/A","346"
"08.01.2022 12:30 - 08.01.2022 13:00","N/A","361"
"08.01.2022 13:00 - 08.01.2022 13:30","N/A","358"
"08.01.2022 13:30 - 08.01.2022 14:00","N/A","365"
"08.01.2022 14:00 - 08.01.2022 14:30","N/A","388"
"08.01.2022 14:30 - 08.01.2022 15:00","N/A","414"
"08.01.2022 15:00 - 08.01.2022 15:30","N/A","442"
"08.01.2022 15:30 - 08.01.2022 16:00","N/A","477"
"08.01.2022 16:00 - 08.01.2022 16:30","N/A","520"
"08.01.2022 16:30 - 08.01.2022 17:00","N/A","576"
"08.01.2022 17:00 - 08.01.2022 17:30","N/A","598"
"08.01.2022 17:30 - 08.01.2022 18:00","N/A","609"
"08.01.2022 18:00 - 08.01.2022 18:30","N/A","610"
"08.01.2022 18:30 - 08.01.2022 19:00","N/A","603"
"08.01.2022 19:00 - 08.01.2022 19:30","N/A","596"
"08.01.2022 19:30 - 08.01.2022 20:00","N/A","582"
"08.01.2022 20:00 - 08.01.2022 20:30","N/A","568"
"08.01.2022 20:30 - 08.01.2022 21:00","N/A","555"
"08.01.2022 21:00 - 08.01.2022 21:30","N/A","539"
"08.01.2022 21:30 - 08.01.2022 22:00","N/A","513"
"08.01.2022 22:00 - 08.01.2022 22:30","N/A","492"
"08.01.2022 22:30 - 08.01.2022 23:00","N/A","475"
"08.01.2022 23:00 - 08.01.2022 23:30","N/A","446"
"08.01.2022 23:30 - 09.01.2022 00:00","N/A","416"
"09.01.2022 00:00 - 09.01.2022 00:30","N/A","389"
"09.01.2022 00:30 - 09.01.2022 01:00","N/A","368"
"09.01.2022 01:00 - 09.01.2022 01:30","N/A","351"
"09.01.2022 01:30 - 09.01.2022 02:00","N/A","343"
"09.01.2022 02:00 - 09.01.2022 02:30","N/A","335"
"09.01.2022 02:30 - 09.01.2022 03:00","N/A","331"
"09.01.2022 03:00 - 09.01.2022 03:30","N/A","328"
"09.01.2022 03:30 - 09.01.2022 04:00","N/A","328"
"09.01.2022 04:00 - 09.01.2022 04:30","N/A","333"
"09.01.2022 04:30 - 09.01.2022 05:00","N/A","338"
"09.01.2022 05:00 - 09.01.2022 05:30","N/A","346"
"09.01.2022 05:30 - 09.01.2022 06:00","N/A","358"
"09.01.2022 06:00 - 09.01.2022 06:30","N/A","360"
"09.01.2022 06:30 - 09.01.2022 07:00","N/A","363"
"09.01.2022 07:00 - 09.01.2022 07:30","N/A","356"
"09.01.2022 07:30 - 09.01.2022 08:00","N/A","337"
"09.01.2022 08:00 - 09.01.2022 08:30","N/A","319"
"09.01.2022 08:30 - 09.01.2022 09:00","N/A","308"
"09.01.2022 09:00 - 09.01.2022 09:30","N/A","316"
"09.01.2022 09:30 - 09.01.2022 10:00","N/A","313"
"09.01.2022 10:00 - 09.01.2022 10:30","N/A","310"
"09.01.2022 10:30 - 09.01.2022 11:00","N/A","323"
"09.01.2022 11:00 - 09.01.2022 11:30","N/A","319"
"09.01.2022 11:30 - 09.01.2022 12:00","N/A","342"
"09.01.2022 12:00 - 09.01.2022 12:30","N/A","341"
"09.01.2022 12:30 - 09.01.2022 13:00","N/A","338"
"09.01.2022 13:00 - 09.01.2022 13:30","N/A","353"
"09.01.2022 13:30 - 09.01.2022 14:00","N/A","379"
"09.01.2022 14:00 - 09.01.2022 14:30","N/A","419"
"09.01.2022 14:30 - 09.01.2022 15:00","N/A","454"
"09.01.2022 15:00 - 09.01.2022 15:30","N/A","495"
"09.01.2022 15:30 - 09.01.2022 16:00","N/A","529"
"09.01.2022 16:00 - 09.01.2022 16:30","N/A","580"
"09.01.2022 16:30 - 09.01.2022 17:00","N/A","603"
"09.01.2022 17:00 - 09.01.2022 17:30","N/A","625"
"09.01.2022 17:30 - 09.01.2022 18:00","N/A","637"
"09.01.2022 18:00 - 09.01.2022 18:30","N/A","634"
"09.01.2022 18:30 - 09.01.2022 19:00","N/A","626"
"09.01.2022 19:00 - 09.01.2022 19:30","N/A","613"
"09.01.2022 19:30 - 09.01.2022 20:00","N/A","599"
"09.01.2022 20:00 - 09.01.2022 20:30","N/A","581"
"09.01.2022 20:30 - 09.01.2022 21:00","N/A","561"
"09.01.2022 21:00 - 09.01.2022 21:30","N/A","534"
"09.01.2022 21:30 - 09.01.2022 22:00","N/A","503"
"09.01.2022 22:00 - 09.01.2022 22:30","N/A","474"
