"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Spain (ES)","Generation - Solar  [MW] Intraday / Spain (ES)","Generation - Solar  [MW] Current / Spain (ES)","Generation - Wind Offshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Offshore  [MW] Intraday / Spain (ES)","Generation - Wind Offshore  [MW] Current / Spain (ES)","Generation - Wind Onshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Onshore  [MW] Intraday / Spain (ES)","Generation - Wind Onshore  [MW] Current / Spain (ES)"
"07.01.2022 23:00 - 08.01.2022 00:00","18","25","14","n/e","n/e","n/e","7838","7139","7417"
"08.01.2022 00:00 - 08.01.2022 01:00","17","13","13","n/e","n/e","n/e","7441","7419","7419"
"08.01.2022 01:00 - 08.01.2022 02:00","9","11","11","n/e","n/e","n/e","7637","7334","7334"
"08.01.2022 02:00 - 08.01.2022 03:00","16","7","7","n/e","n/e","n/e","7859","7727","7727"
"08.01.2022 03:00 - 08.01.2022 04:00","13","13","13","n/e","n/e","n/e","8092","7805","7805"
"08.01.2022 04:00 - 08.01.2022 05:00","14","10","10","n/e","n/e","n/e","8350","8262","8262"
"08.01.2022 05:00 - 08.01.2022 06:00","13","6","6","n/e","n/e","n/e","8621","8926","8926"
"08.01.2022 06:00 - 08.01.2022 07:00","12","2","2","n/e","n/e","n/e","8890","9328","9328"
"08.01.2022 07:00 - 08.01.2022 08:00","10","1","1","n/e","n/e","n/e","9036","9189","9189"
"08.01.2022 08:00 - 08.01.2022 09:00","127","101","101","n/e","n/e","n/e","9208","9347","9343"
"08.01.2022 09:00 - 08.01.2022 10:00","2816","2354","2320","n/e","n/e","n/e","9409","9573","9127"
"08.01.2022 10:00 - 08.01.2022 11:00","5973","5335","5304","n/e","n/e","n/e","9268","9366","8634"
"08.01.2022 11:00 - 08.01.2022 12:00","7659","7045","7023","n/e","n/e","n/e","9127","9177","8582"
"08.01.2022 12:00 - 08.01.2022 13:00","8423","7805","7400","n/e","n/e","n/e","9013","9052","9284"
"08.01.2022 13:00 - 08.01.2022 14:00","8506","7932","7519","n/e","n/e","n/e","9610","9673","10096"
"08.01.2022 14:00 - 08.01.2022 15:00","8354","7816","7224","n/e","n/e","n/e","10230","10333","11248"
"08.01.2022 15:00 - 08.01.2022 16:00","7758","7209","6577","n/e","n/e","n/e","10813","11004","11973"
"08.01.2022 16:00 - 08.01.2022 17:00","5974","5428","4477","n/e","n/e","n/e","11559","11768","12058"
"08.01.2022 17:00 - 08.01.2022 18:00","2698","2344","1649","n/e","n/e","n/e","12303","12594","12285"
"08.01.2022 18:00 - 08.01.2022 19:00","223","191","85","n/e","n/e","n/e","13000","13457","12897"
"08.01.2022 19:00 - 08.01.2022 20:00","43","48","4","n/e","n/e","n/e","13433","13956","14053"
"08.01.2022 20:00 - 08.01.2022 21:00","28","32","16","n/e","n/e","n/e","13801","14347","14348"
"08.01.2022 21:00 - 08.01.2022 22:00","17","19","29","n/e","n/e","n/e","14111","14651","14732"
"08.01.2022 22:00 - 08.01.2022 23:00","15","19","23","n/e","n/e","n/e","14375","14837","14713"
"08.01.2022 23:00 - 09.01.2022 00:00","11","16","15","n/e","n/e","n/e","14633","15006","15006"
"09.01.2022 00:00 - 09.01.2022 01:00","17","11","11","n/e","n/e","n/e","14902","15428","15428"
"09.01.2022 01:00 - 09.01.2022 02:00","18","14","14","n/e","n/e","n/e","15101","15636","15636"
"09.01.2022 02:00 - 09.01.2022 03:00","15","1","1","n/e","n/e","n/e","15379","15849","15849"
"09.01.2022 03:00 - 09.01.2022 04:00","12","1","1","n/e","n/e","n/e","15603","15678","15678"
"09.01.2022 04:00 - 09.01.2022 05:00","8","0","0","n/e","n/e","n/e","15653","15833","15833"
"09.01.2022 05:00 - 09.01.2022 06:00","3","2","2","n/e","n/e","n/e","15615","16078","16078"
"09.01.2022 06:00 - 09.01.2022 07:00","7","3","3","n/e","n/e","n/e","15520","15934","15934"
"09.01.2022 07:00 - 09.01.2022 08:00","12","6","6","n/e","n/e","n/e","15457","15483","15483"
"09.01.2022 08:00 - 09.01.2022 09:00","94","87","87","n/e","n/e","n/e","15471","15564","15437"
"09.01.2022 09:00 - 09.01.2022 10:00","1721","1721","1686","n/e","n/e","n/e","15419","15776","14943"
"09.01.2022 10:00 - 09.01.2022 11:00","4135","4388","4180","n/e","n/e","n/e","15333","15820","14865"
"09.01.2022 11:00 - 09.01.2022 12:00","5771","6089","5806","n/e","n/e","n/e","15295","15848","14930"
